Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 31.85, 31.85, 31.219999, 31.690001, 8400.0, 31.690001, 0.6599990000000027, 0.7900010000000002, 1.3066655088945227, -1.0, 0.1, -1.0, 0.0
'2016-09-19', 31.190001, 32.16, 31.15, 32.0, 4400.0, 32.0, -0.18999800000000278, 0.17000099999999918, 1.3327014967772641, 0.0, 0.5, -0.8, 0.02116059566654078
'2016-09-16', 31.379999, 33.740002, 31.370001, 32.049999, 22800.0, 32.049999, 0.619999, -0.3100019999999972, 1.3180123701498085, 0.0, 0.8, -0.5, 0.007488862571346798
'2016-09-15', 30.76, 31.040001, 30.75, 31.040001, 2500.0, 31.040001, -0.2999989999999997, -1.2600000000000016, 1.3186130731446102, 1.0, 1.0, -0.1, 0.011811876896402252
'2016-09-14', 31.059999, 31.059999, 30.77, 30.92, 8800.0, 30.92, 0.03999900000000167, -1.5599999999999987, 1.2343942738584717, 0.0, 0.8, 0.0, 0.00635866891045296
'2016-09-13', 31.02, 31.16, 31.02, 31.16, 5300.0, 31.16, -0.6700009999999992, -1.7900010000000002, 1.171172495408429, 0.0, 0.5, 0.0, 0.005351386202450044
'2016-09-12', 31.690001, 31.690001, 31.34, 31.549999, 4000.0, 31.549999, -0.32999900000000437, -1.6999980000000043, 1.1473341376140342, 0.0, 0.1, 0.0, 0.0008414799355796942
'2016-09-09', 32.02, 32.119999, 31.51, 31.51, 9800.0, 31.51, -0.5999989999999968, -1.9700019999999938, 1.1215897256925027, 0.0, 0.0, 0.0, -0.0007584545373427397
'2016-09-08', 32.619999, 32.619999, 32.009998, 32.27, 5600.0, 32.27, -0.19000199999999978, -0.6799999999999997, 1.0937213439756563, 0.0, 0.0, 0.0, -0.0029506400352740606
'2016-09-07', 32.810001, 33.959999, 32.43, 32.580002, 11000.0, 32.580002, -0.5799980000000033, -1.1899990000000003, 1.0938767050170617, 0.0, 0.0, 0.0, -0.003251044636596555
'2016-09-06', 33.389999, 33.389999, 32.5, 32.860001, 5400.0, 32.860001, -0.6000029999999938, -0.010002999999997542, 1.0722634633755421, 0.0, 0.0, 0.0, -0.0046121564723616846
'2016-09-02', 33.990002, 33.990002, 32.66, 33.279999, 6400.0, 33.279999, 0.6900029999999973, 0.0899999999999963, 1.0648546809573498, 0.0, 0.0, 0.0, -0.005723613560353305
'2016-09-01', 33.299999, 33.900002, 33.139999, 33.689999, 20800.0, 33.689999, -0.7000010000000003, -0.9500010000000003, 1.0804317961717327, 0.0, 0.0, 0.0, -0.0036286262350938765
'2016-08-31', 34.0, 34.0, 33.5, 33.66, 10700.0, 33.66, 0.5999979999999994, -0.24000199999999694, 1.111224751544667, 0.0, 0.0, 0.0, -0.004864253393665155
'2016-08-30', 33.400002, 33.900002, 33.299999, 33.41, 4500.0, 33.41, -0.5, -1.3299979999999962, 1.1710954737628638, 0.0, 0.0, 0.0, -0.0033148030521503715
'2016-08-29', 33.900002, 34.48, 33.110001, 34.200001, 2700.0, 34.200001, -0.34999799999999937, -0.30999700000000274, 1.165341236911157, 0.0, 0.0, -0.1, -0.004031468788703904
'2016-08-26', 34.25, 34.25, 33.150002, 33.799999, 2200.0, 33.799999, 0.00999800000000306, 3.2399999999999984, 1.1820699105669885, 0.0, 0.0, -0.5, -0.004379562043795618
