Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 36.0, 36.59, 35.16, 36.59, 3000.0, 36.59, 0.17999999999999972, 0.2999989999999997, 0.33338596518029934, -1.0, 0.5, -1.0, 0.0
'2016-10-06', 35.82, 36.0, 35.799999, 36.0, 4000.0, 36.0, 0.48999799999999993, 0.07999800000000334, 0.3202237068421053, 0.0, 0.8, -0.8, 0.005025125628140696
'2016-10-05', 35.330002, 35.700001, 35.330002, 35.700001, 1000.0, 35.700001, -0.34999799999999937, -0.2999989999999997, 0.3139398621841376, 1.0, 1.0, -0.5, 0.00948199776495908
'2016-10-04', 35.68, 36.0, 35.330002, 35.330002, 14500.0, 35.330002, -0.0200010000000006, -0.5, 0.3134922168116331, 0.0, 0.8, -0.1, 0.00298953662182362
'2016-10-03', 35.700001, 35.720001, 35.619999, 35.619999, 1400.0, 35.619999, -0.04000099999999662, -0.5, 0.31103794095355375, 0.0, 0.5, 0.0, 0.0021008332744864608
'2016-09-30', 35.740002, 36.16, 35.740002, 36.16, 900.0, 36.16, 0.1100009999999969, -0.23999799999999993, 0.3076658202252274, 0.0, 0.1, 0.0, 0.0014549411608874732
'2016-09-29', 35.630001, 36.189999, 35.630001, 36.18, 3400.0, 36.18, -0.5499989999999997, -0.1100009999999969, 0.30400748273184874, 0.0, 0.0, 0.0, 0.0017307465133105102
'2016-09-28', 36.18, 36.18, 36.18, 36.18, 0.0, 36.18, -0.0200010000000006, 0.5800020000000004, 0.3058859605969006, 0.0, 0.0, 0.0, -0.000710732054015635
'2016-09-27', 36.200001, 36.200001, 35.43, 36.18, 2000.0, 36.18, 0.22000100000000344, 0.7000010000000003, 0.28008439879074487, 0.0, 0.0, 0.0, -0.0006906111687676483
'2016-09-26', 35.98, 36.119999, 35.619999, 36.119999, 4700.0, 36.119999, 0.23999799999999993, 0.4799999999999969, 0.24191106988904404, 0.0, 0.0, 0.0, 6.176270767711422e-05
'2016-09-23', 35.740002, 35.93, 35.700001, 35.93, 700.0, 35.93, 0.14000399999999757, 0.4500010000000003, 0.2169650486481608, 0.0, 0.0, 0.0, 0.0007274705804437366
'2016-09-22', 35.599998, 36.0, 35.599998, 36.0, 2600.0, 36.0, 0.09999799999999937, -0.060001999999997224, 0.2051254257529091, 0.0, 0.0, 0.0, 0.0010214556242901542
'2016-09-21', 35.5, 35.540001, 35.459999, 35.5, 6200.0, 35.5, 0.0, 0.0, 0.20042408255488042, 0.0, 0.0, -0.1, 0.0011737089201877935
'2016-09-20', 35.5, 35.509998, 35.5, 35.5, 3500.0, 35.5, 0.20999900000000338, 0.25, 0.19709087323468316, 0.0, 0.0, -0.5, 0.0010834236186348862
'2016-09-19', 35.290001, 35.700001, 35.259998, 35.299999, 7100.0, 35.299999, -0.36999899999999997, 0.20999899999999627, 0.19986198037970815, 0.0, 0.0, -0.8, 0.0014370703555864033
'2016-09-16', 35.66, 35.66, 35.25, 35.25, 2300.0, 35.25, 0.1599999999999966, -0.02999900000000366, 0.19988866067871092, -1.0, 0.1, -1.0, 0.0
'2016-09-15', 35.5, 35.880001, 35.400002, 35.540001, 3200.0, 35.540001, 0.25, 0.1599999999999966, 0.19229701090048762, 0.0, 0.5, -0.8, 0.004507042253521031
'2016-09-14', 35.25, 35.57, 35.16, 35.349998, 2100.0, 35.349998, 0.16999799999999965, 0.08000200000000035, 0.18667507529018326, 0.0, 0.8, -0.5, 0.005815602836879384
'2016-09-13', 35.080002, 35.75, 35.049999, 35.25, 7300.0, 35.25, -0.6099969999999999, -0.16999799999999965, 0.1898503379599632, 1.0, 1.0, -0.8, 0.0055111931483545935
'2016-09-12', 35.689999, 35.700001, 35.650002, 35.650002, 5800.0, 35.650002, 0.34999899999999684, 0.6099969999999999, 0.18862173976601077, -1.0, 0.8, -1.0, 0.0
'2016-09-09', 35.34, 35.59, 35.34, 35.459999, 500.0, 35.459999, 0.17000200000000376, 0.25999800000000306, 0.17095013347366023, 0.0, 0.5, -0.8, 0.009903763440860124
'2016-09-08', 35.169998, 35.689999, 35.169998, 35.25, 900.0, 35.25, -0.08000200000000035, 0.0899959999999993, 0.17116606491708566, 0.0, 0.1, -0.5, 0.007392678839504066
'2016-09-07', 35.25, 35.59, 35.110001, 35.110001, 1600.0, 35.110001, 0.16999799999999965, 0.15000200000000063, 0.1719587211490013, 0.0, 0.0, -0.1, 0.00416074704491726
'2016-09-06', 35.080002, 35.080002, 35.080002, 35.080002, 0.0, 35.080002, 0.0, 0.030003000000000668, 0.17307933582723137, 0.0, 0.0, 0.0, 0.004347184757857197
'2016-09-02', 35.080002, 35.080002, 35.080002, 35.080002, 0.0, 35.080002, 0.0, -0.16999799999999965, 0.17047134885122675, 0.0, 0.1, 0.0, 0.003477747806285757
'2016-09-01', 35.080002, 35.080002, 35.080002, 35.080002, 0.0, 35.080002, -0.019995999999999015, -0.16999799999999965, 0.16810861535548638, 0.0, 0.5, 0.0, 0.002898123171904798
'2016-08-31', 35.099998, 35.099998, 35.080002, 35.080002, 1300.0, 35.080002, 0.04999899999999968, -0.2700010000000006, 0.16564513576009074, 0.0, 0.8, 0.0, 0.0024013066081330623
'2016-08-30', 35.049999, 35.049999, 35.0, 35.049999, 1500.0, 34.92, -0.20000100000000032, -0.3200000000000003, 0.1637615600697313, 1.0, 1.0, 0.0, 0.0022824537027804214
