Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 7.87, 8.0, 7.73, 7.81, 34900.0, 7.81, 0.13999999999999968, -0.009999999999999787, 0.2799039517802887, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 7.73, 7.93, 7.7, 7.9, 43500.0, 7.9, 0.15000000000000036, 0.5300000000000002, 0.27990653201857696, 0.0, 0.5, -0.8, 0.018111254851228935
'2016-09-06', 7.58, 7.79, 7.58, 7.7, 110100.0, 7.7, 0.2400000000000002, 0.33999999999999986, 0.2772934666858681, 0.0, 0.8, -0.5, 0.019129287598944594
'2016-09-02', 7.34, 7.64, 7.16, 7.57, 183700.0, 7.57, -0.54, -0.20999999999999996, 0.2688857667403679, 1.0, 1.0, -0.8, 0.02406902815622163
'2016-09-01', 7.88, 7.88, 7.2, 7.36, 142900.0, 7.36, 0.6799999999999997, 0.03000000000000025, 0.24353621679103266, -1.0, 0.8, -1.0, 0.0
'2016-08-31', 7.2, 8.25, 7.18, 7.93, 481300.0, 7.93, -0.040000000000000036, -0.7800000000000002, 0.24319996345028955, 0.0, 0.5, -0.8, 0.0944444444444444
'2016-08-30', 7.24, 7.75, 7.03, 7.17, 137700.0, 7.17, -0.3099999999999996, -0.7400000000000002, 0.19743240756156405, 0.0, 0.1, -0.5, 0.04419889502762429
'2016-08-29', 7.55, 7.82, 7.05, 7.21, 212100.0, 7.21, -0.2999999999999998, -0.4400000000000004, 0.14399999999999996, 0.0, 0.0, -0.1, 0.014569536423841064
'2016-08-26', 7.85, 8.09, 7.35, 7.51, 92800.0, 7.51, -0.13000000000000078, -0.17999999999999972, 0.11484724153800505, 0.0, 0.0, 0.0, 0.0009554140127388614
'2016-08-25', 7.98, 7.98, 7.77, 7.79, 92500.0, 7.79, 0.0, -0.02999999999999936, 0.1153930481249002, 0.0, 0.0, 0.0, -0.002506265664160414
'2016-08-24', 7.98, 8.01, 7.93, 7.95, 35400.0, 7.95, -0.009999999999999787, 0.03000000000000025, 0.11474415986106747, 0.0, 0.0, 0.0, -0.0020885547201336787
'2016-08-23', 7.99, 8.04, 7.96, 7.97, 27900.0, 7.97, -0.03999999999999915, -0.009999999999999787, 0.11708496440145022, 0.0, 0.1, 0.0, -0.001966744144466303
