Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-21', 10.47, 10.47, 10.24, 10.39, 21400.0, 10.39, 0.05000000000000071, 0.3800000000000008, 0.1830069822590262, -1.0, 0.1, -1.0, 0.0
'2016-09-20', 10.42, 10.49, 10.31, 10.4, 27400.0, 10.4, 0.05000000000000071, 0.3100000000000005, 0.1847953823376908, 0.0, 0.5, -0.8, 0.004798464491362832
'2016-09-19', 10.37, 10.47, 10.32, 10.36, 32800.0, 10.36, 0.3699999999999992, 0.08999999999999986, 0.18516539153476336, 0.0, 0.8, -0.5, 0.004821600771456192
'2016-09-16', 10.0, 10.37, 10.0, 10.36, 52500.0, 10.36, -0.08999999999999986, -0.34999999999999964, 0.18568671345994453, 1.0, 1.0, -0.1, 0.015666666666666686
'2016-09-15', 10.09, 10.15, 10.01, 10.06, 37900.0, 10.06, -0.019999999999999574, -0.33999999999999986, 0.17123083834403188, 0.0, 0.8, 0.0, 0.009415262636273557
'2016-09-14', 10.11, 10.24, 10.02, 10.15, 46700.0, 10.15, -0.16999999999999993, -0.47000000000000064, 0.1629618223865809, 0.0, 0.5, 0.0, 0.007121661721068273
'2016-09-13', 10.28, 10.38, 10.1, 10.15, 30500.0, 10.15, -0.07000000000000028, -0.2400000000000002, 0.15481027815433374, 0.0, 0.1, 0.0, 0.0030804150453956113
'2016-09-12', 10.35, 10.41, 10.14, 10.4, 111600.0, 10.4, -0.08000000000000007, -0.5199999999999996, 0.15284305676084853, 0.0, 0.0, 0.0, 0.0016563146997929743
'2016-09-09', 10.43, 10.46, 10.31, 10.44, 70800.0, 10.44, -0.15000000000000036, -0.21000000000000085, 0.15362616964566927, 0.0, 0.0, -0.1, 0.00047938638542666497
'2016-09-08', 10.58, 10.58, 10.42, 10.43, 48300.0, 10.43, 0.0600000000000005, -0.09999999999999964, 0.1576479904372042, 0.0, 0.0, -0.5, -0.0011552194917034176
'2016-09-07', 10.52, 10.65, 10.39, 10.55, 96400.0, 10.55, -0.34999999999999964, -0.11000000000000121, 0.16231964350215472, 0.0, 0.0, -0.8, -0.0004752851711026515
'2016-09-06', 10.87, 10.98, 10.64, 10.91, 188900.0, 10.56, 0.22999999999999865, 0.33000000000000007, 0.16545559995223946, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 10.64, 10.85, 10.57, 10.83, 117200.0, 10.482566, -0.03999999999999915, 0.14000000000000057, 0.14769187143810203, 0.0, 0.0, -0.8, 0.02161654135338333
'2016-09-01', 10.68, 10.68, 10.42, 10.6, 45000.0, 10.259945, 0.049999999999998934, 0.35999999999999943, 0.14554915168270655, 0.0, 0.0, -0.5, 0.008895131086142299
'2016-08-31', 10.63, 10.7, 10.46, 10.61, 57000.0, 10.269624, 0.09000000000000163, 0.3200000000000003, 0.14154269085097007, 0.0, 0.0, -0.1, 0.0075258701787393675
'2016-08-30', 10.54, 10.72, 10.51, 10.66, 48400.0, 10.31802, 0.03999999999999915, 0.22999999999999865, 0.14061017823124386, 0.0, 0.0, 0.0, 0.00782732447817837
'2016-08-29', 10.5, 10.6, 10.39, 10.59, 35900.0, 10.250266, 0.17999999999999972, 0.1999999999999993, 0.14190333172817157, 0.0, 0.0, 0.0, 0.007047619047619033
'2016-08-26', 10.32, 10.56, 10.32, 10.48, 38900.0, 10.143794, 0.009999999999999787, 0.08000000000000007, 0.1440482172360659, 0.0, 0.0, 0.0, 0.008882428940568458
'2016-08-25', 10.31, 10.48, 10.31, 10.36, 53600.0, 10.027644, 0.0, 0.07000000000000028, 0.14488462843088465, 0.0, 0.0, 0.0, 0.00775945683802132
'2016-08-24', 10.31, 10.4, 10.31, 10.36, 47200.0, 10.027644, 0.009999999999999787, 0.14000000000000057, 0.14591511992326966, 0.0, 0.0, 0.0, 0.006789524733268656
