Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 19.67, 19.9, 18.52, 18.58, 527100.0, 18.58, 0.8400000000000034, 2.2600000000000016, 1.2406297185078539, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 18.83, 20.0, 18.700001, 19.889999, 339200.0, 19.889999, 1.009999999999998, 1.7199989999999978, 1.23713290510331, 0.0, 0.0, -0.8, 0.04460966542750948
'2016-09-07', 17.82, 18.92, 17.82, 18.84, 435300.0, 18.84, 0.25, -0.41999999999999815, 1.2651018530275862, 0.0, 0.1, -0.5, 0.05190796857463528
'2016-09-06', 17.57, 18.02, 17.42, 17.85, 129300.0, 17.85, 0.16000000000000014, -0.7299989999999994, 1.2815626345990776, 0.0, 0.5, -0.1, 0.03984063745019923
'2016-09-02', 17.41, 17.91, 17.059999, 17.450001, 147200.0, 17.450001, 0.2999989999999997, -0.9400000000000013, 1.2734268054612417, 0.0, 0.8, 0.0, 0.03245261344055143
'2016-09-01', 17.110001, 17.360001, 16.9, 17.280001, 217200.0, 17.280001, -1.129998999999998, -0.9399979999999992, 1.2564500839006412, 1.0, 1.0, 0.0, 0.029924007602337384
'2016-08-31', 18.24, 18.24, 16.9, 16.99, 225100.0, 16.99, -0.059999000000001246, -0.26000000000000156, 1.2257345331770573, 0.0, 0.8, 0.0, 0.013066520467836287
'2016-08-30', 18.299999, 18.549999, 18.07, 18.23, 213000.0, 18.23, -0.05000100000000174, -1.140001999999999, 1.2233245391693552, 0.0, 0.5, 0.0, 0.010694778101978523
'2016-08-29', 18.35, 18.59, 18.0, 18.17, 121000.0, 18.17, 0.30000100000000174, -1.2099989999999998, 1.2264856061122695, 0.0, 0.1, 0.0, 0.00899182561307902
'2016-08-26', 18.049999, 18.65, 18.0, 18.280001, 149700.0, 18.280001, -0.4500010000000003, -1.6700000000000017, 1.2792411878490748, 0.0, 0.0, 0.0, 0.00997230587719763
'2016-08-25', 18.5, 19.629999, 17.780001, 18.049999, 599400.0, 18.049999, -0.9400009999999988, -1.3700009999999985, 1.3282286851377836, 0.0, 0.0, 0.0, 0.006324324324324334
'2016-08-24', 19.440001, 19.92, 18.18, 18.42, 255800.0, 18.42, -0.11999800000000249, -0.059999000000001246, 1.3468382155752716, 0.0, 0.0, 0.0, 0.0010755657882939547
'2016-08-23', 19.559999, 19.77, 19.139999, 19.379999, 195800.0, 19.379999, -0.16000000000000014, -2.0900009999999973, 1.337352513687889, 0.0, 0.0, 0.0, 0.00046864777447074707
'2016-08-22', 19.719999, 19.92, 19.26, 19.48, 146500.0, 19.48, -0.15000199999999708, -1.7800009999999986, 1.3287654359845797, 0.0, 0.0, 0.0, -0.00019503433661821677
'2016-08-19', 19.870001, 20.15, 19.24, 19.540001, 363900.0, 19.540001, 0.37000099999999847, -2.0399990000000017, 1.3117065886769075, 0.0, 0.0, 0.0, -0.0007189625060555097
