Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 25.540001, 25.540001, 25.23, 25.4, 5500.0, 25.4, 0.25, 0.19000099999999875, 0.08451786110071646, -1.0, 0.1, -1.0, 0.0
'2016-10-06', 25.290001, 25.290001, 25.27, 25.280001, 700.0, 25.280001, -0.01999800000000107, -0.07000000000000028, 0.08259764363405826, 0.0, 0.0, -0.8, 0.009885329779148685
'2016-10-05', 25.309999, 25.309999, 25.309999, 25.309999, 0.0, 25.309999, 0.010000000000001563, 0.010000000000001563, 0.08008079392768837, 0.0, 0.0, -0.5, 0.004543698322548312
'2016-10-04', 25.299999, 25.32, 25.25, 25.309999, 2700.0, 25.309999, -0.05000100000000174, -0.08999999999999986, 0.07965504992325763, 0.0, 0.0, -0.1, 0.00316208181141299
'2016-10-03', 25.35, 25.35, 25.290001, 25.290001, 500.0, 25.290001, -0.010000999999999038, 0.05000100000000174, 0.07786689184054196, 0.0, 0.0, 0.0, 0.0018737771203155694
'2016-09-30', 25.360001, 25.360001, 25.27, 25.27, 600.0, 25.27, 0.06000200000000078, 0.050001999999999214, 0.07708889068555136, 0.0, 0.1, 0.0, 0.001419558303645175
'2016-09-29', 25.299999, 25.299999, 25.299999, 25.299999, 200.0, 25.299999, -0.08999999999999986, -0.030000999999998612, 0.07652182259829911, 0.0, 0.5, 0.0, 0.001581040905706495
'2016-09-28', 25.389999, 25.389999, 25.25, 25.290001, 1000.0, 25.290001, 0.08999999999999986, -0.010000999999999038, 0.07363591515283531, 0.0, 0.8, 0.0, 0.0008439881050352634
'2016-09-27', 25.299999, 25.35, 25.299999, 25.35, 1100.0, 25.35, -0.010000000000001563, -0.05000100000000174, 0.07406917247753396, 1.0, 1.0, 0.0, 0.0011857806792798713
'2016-09-26', 25.309999, 25.360001, 25.15, 25.34, 7500.0, 25.34, -0.02000099999999705, -0.060001999999997224, 0.07083714939010156, 0.0, 0.8, 0.0, 0.0010097107383440693
'2016-09-23', 25.33, 25.33, 25.290001, 25.33, 900.0, 25.33, -0.07000000000000028, -0.020000000000003126, 0.06792893443677427, 0.0, 0.5, 0.0, 0.0008290604026845712
'2016-09-22', 25.4, 25.4, 25.33, 25.33, 1900.0, 25.33, 0.04999999999999716, 0.1000009999999989, 0.06552019027550897, 0.0, 0.1, 0.0, 0.0005010773085182592
'2016-09-21', 25.35, 25.35, 25.35, 25.35, 100.0, 25.35, -0.02000099999999705, -0.1099989999999984, 0.06610517630064149, 0.0, 0.0, 0.0, 0.0006245923734385231
'2016-09-20', 25.370001, 25.370001, 25.26, 25.32, 2500.0, 25.32, 0.02000099999999705, -0.08000000000000185, 0.06525508409622632, 0.0, 0.0, 0.0, 0.0005154482680912472
'2016-09-19', 25.35, 25.35, 25.26, 25.34, 800.0, 25.34, 0.05000100000000174, -0.21999999999999886, 0.06651739756003694, 0.0, 0.0, 0.0, 0.0005353648915187341
'2016-09-16', 25.299999, 25.51, 25.299999, 25.49, 3300.0, 25.334, -0.16000000000000014, -0.15000200000000063, 0.06748586617741216, 0.0, 0.0, 0.0, 0.000632416362282598
'2016-09-15', 25.459999, 25.459999, 25.120001, 25.27, 8900.0, 25.115347, 0.009997999999999507, 0.08999800000000135, 0.06621597239593263, 0.0, 0.0, 0.0, 0.0001963914059855235
'2016-09-14', 25.450001, 25.450001, 25.450001, 25.450001, 600.0, 25.294246, -0.11999899999999997, -0.11999899999999997, 0.06653737963868316, 0.0, 0.0, 0.0, 0.00020802033159286772
'2016-09-13', 25.57, 25.59, 25.559999, 25.57, 2200.0, 25.413511, 0.11999899999999997, 0.03999900000000167, 0.06731025974531846, 0.0, 0.0, 0.0, -6.517837743883915e-05
'2016-09-12', 25.450001, 25.57, 25.389999, 25.57, 1400.0, 25.413511, 0.08000000000000185, 0.040001000000000175, 0.06384096125272731, 0.0, 0.0, 0.0, 0.00018612345458309218
'2016-09-09', 25.370001, 25.370001, 25.370001, 25.370001, 500.0, 25.214736, -0.19999900000000181, -0.02999900000000011, 0.06500939966466394, 0.0, 0.0, 0.0, 0.00033504137425931067
'2016-09-08', 25.57, 25.57, 25.57, 25.57, 100.0, 25.413511, 0.03999900000000167, 0.07000000000000028, 0.06515368754176547, 0.0, 0.0, 0.0, -5.586718066186213e-05
'2016-09-07', 25.530001, 25.530001, 25.35, 25.360001, 4300.0, 25.204797, 0.12000099999999847, 0.0799999999999983, 0.06390019335995775, 0.0, 0.0, 0.0, 1.780436493306544e-05
'2016-09-06', 25.41, 25.530001, 25.41, 25.530001, 1900.0, 25.373756, 0.010000000000001563, -0.019999999999999574, 0.07191134974783572, 0.0, 0.0, 0.0, 0.00022244066868572804
'2016-09-02', 25.4, 25.4, 25.4, 25.4, 500.0, 25.244551, -0.10000000000000142, 0.03999899999999812, 0.07527745125223238, 0.0, 0.0, 0.0, 0.0002296604330708688
'2016-09-01', 25.5, 25.58, 25.42, 25.440001, 1500.0, 25.284307, 0.04999899999999968, -0.010000000000001563, 0.07570499910368464, 0.0, 0.0, 0.0, 6.274666666666694e-05
'2016-08-31', 25.450001, 25.450001, 25.450001, 25.450001, 0.0, 25.294246, 0.0200010000000006, -0.04999899999999968, 0.07486594894572124, 0.0, 0.0, -0.1, 0.00013601329373379812
'2016-08-30', 25.43, 25.450001, 25.43, 25.450001, 600.0, 25.294246, 0.06999899999999926, 0.030000000000001137, 0.07501492666560144, 0.0, 0.0, -0.5, 0.0001602088521868316
'2016-08-29', 25.360001, 25.4, 25.309999, 25.309999, 1000.0, 25.155102, -0.1499990000000011, -0.12999899999999798, 0.07517473778113382, 0.0, 0.0, -0.8, 0.0002534925542223527
'2016-08-26', 25.51, 25.51, 25.299999, 25.4, 1900.0, 25.244551, 0.010000000000001563, 0.16000000000000014, 0.07428265223217037, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 25.5, 25.5, 25.5, 25.5, 600.0, 25.343939, 0.10000000000000142, 0.10000000000000142, 0.0725597121179898, 0.0, 0.1, -0.8, 0.00039215686274515933
'2016-08-24', 25.4, 25.4, 25.4, 25.4, 0.0, 25.244551, -0.08999999999999986, 0.0, 0.07110336935586575, 0.0, 0.5, -0.5, 0.0021653543307087204
'2016-08-23', 25.49, 25.5, 25.4, 25.4, 2200.0, 25.244551, 0.13999999999999702, 0.08999999999999986, 0.0710400544323881, 0.0, 0.8, -0.1, 0.00026154047338829774
'2016-08-22', 25.35, 25.6, 25.35, 25.6, 5700.0, 25.443328, -0.04999999999999716, -0.11999899999999997, 0.07296061403558017, 1.0, 1.0, 0.0, 0.0015779092702169638
'2016-08-19', 25.4, 25.4, 25.290001, 25.290001, 500.0, 25.135225, 0.0, -0.05000100000000174, 0.07296061403558017, 0.0, 0.8, 0.0, 0.000866141732283488
'2016-08-18', 25.4, 25.4, 25.4, 25.4, 100.0, 25.244551, 0.0, 0.010000999999999038, 0.07381979319339467, 0.0, 0.5, 0.0, 0.0007217847769029069
'2016-08-17', 25.4, 25.440001, 25.4, 25.440001, 500.0, 25.129261, -0.06999900000000281, -0.040001000000000175, 0.07395214368796589, 0.0, 0.1, 0.0, 0.0006186726659167772
'2016-08-16', 25.469999, 25.5, 25.469999, 25.5, 600.0, 25.188528, 0.01999800000000107, -0.02000099999999705, 0.073967919325738, 0.0, 0.0, 0.0, 0.0001963142990307939
'2016-08-15', 25.450001, 25.450001, 25.450001, 25.450001, 700.0, 25.139139, 0.06000200000000078, -0.04999899999999968, 0.07325473758222054, 0.0, 0.0, 0.0, 0.00026194716281369477
'2016-08-12', 25.389999, 25.450001, 25.389999, 25.450001, 1700.0, 25.139139, -0.050001999999999214, 0.04999899999999968, 0.07611118096001981, 0.0, 0.0, -0.1, 0.00047263097568456784
'2016-08-11', 25.440001, 25.440001, 25.440001, 25.440001, 0.0, 25.129261, -0.04999899999999968, 0.11000100000000046, 0.07766394487640677, 0.0, 0.0, -0.5, 0.0002501393555191177
'2016-08-10', 25.49, 25.49, 25.43, 25.440001, 1100.0, 25.129261, -0.010000000000001563, 0.16999999999999815, 0.08890766921272876, 0.0, 0.0, -0.8, 6.538511834707443e-05
'2016-08-09', 25.5, 25.5, 25.450001, 25.49, 1800.0, 25.17865, 0.16000000000000014, 0.019999999999999574, 0.09742298907545177, -1.0, 0.1, -1.0, 0.0
'2016-08-08', 25.34, 25.5, 25.34, 25.42, 2800.0, 25.109505, 0.010000000000001563, -0.03999900000000167, 0.0954545513748474, 0.0, 0.5, -0.8, 0.006314127861089193
'2016-08-05', 25.33, 25.34, 25.299999, 25.34, 3000.0, 25.030482, 0.00999999999999801, -0.030001000000002165, 0.09600994265862399, 0.0, 0.8, -0.5, 0.003355704697986611
'2016-08-04', 25.32, 25.34, 25.299999, 25.34, 2300.0, 25.030482, -0.16000000000000014, -0.17999999999999972, 0.09837862064708659, 1.0, 1.0, -0.1, 0.0023696682464454935
'2016-08-03', 25.48, 25.48, 25.290001, 25.299999, 2400.0, 24.99097, 0.1000009999999989, -0.019999999999999574, 0.09881588963771655, 0.0, 0.8, -0.1, 0.00019623233908947776
'2016-08-02', 25.379999, 25.379999, 25.379999, 25.379999, 0.0, 25.069993, 0.01999800000000107, 0.07000000000000028, 0.09767590798386401, 0.0, 0.5, -0.5, 0.0009456343950210436
'2016-08-01', 25.360001, 25.450001, 25.360001, 25.379999, 3000.0, 25.069993, -0.13999899999999954, 0.15000200000000063, 0.10074182735203242, 0.0, 0.1, -0.8, 0.0009200775136667616
'2016-07-29', 25.5, 25.51, 25.5, 25.51, 1400.0, 25.198406, 0.0, -0.040001000000000175, 0.10544146686091901, -1.0, 0.1, -1.0, 0.0
'2016-07-28', 25.5, 25.5, 25.5, 25.5, 300.0, 25.188528, 0.19000099999999875, 0.030000999999998612, 0.10962776716601319, 0.0, 0.5, -0.8, 0.0
'2016-07-27', 25.309999, 25.309999, 25.309999, 25.309999, 0.0, 25.000848, 0.10000000000000142, -0.16000000000000014, 0.10796926908690287, 0.0, 0.8, -0.5, 0.0037534770349062193
'2016-07-26', 25.209999, 25.559999, 25.209999, 25.309999, 2300.0, 25.000848, -0.33000200000000035, -0.25, 0.10898330453394654, 1.0, 1.0, -0.1, 0.003834470600336004
'2016-07-25', 25.540001, 25.540001, 25.540001, 25.540001, 0.0, 25.22804, 0.07000199999999879, 0.08999999999999986, 0.10674434723740141, 0.0, 0.8, 0.0, -0.0003915524513879245
