Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 3.38, 3.4, 3.36, 3.37, 28500.0, 3.37, 0.1299999999999999, 0.08999999999999986, 0.09960198570086617, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 3.25, 3.4, 3.25, 3.39, 14500.0, 3.39, 0.029999999999999805, 0.029999999999999805, 0.10404913369280021, 0.0, 0.8, -0.8, 0.039999999999999966
'2016-09-21', 3.22, 3.22, 3.16, 3.19, 1400.0, 3.19, -0.08999999999999986, -0.23999999999999977, 0.10173003489628808, 1.0, 1.0, -0.5, 0.024844720496894363
'2016-09-20', 3.31, 3.32, 3.26, 3.26, 4000.0, 3.26, 0.020000000000000018, -0.06000000000000005, 0.09478689548432079, 0.0, 0.8, -0.1, 0.007049345417925463
'2016-09-19', 3.29, 3.4, 3.29, 3.34, 11600.0, 3.34, 0.06999999999999984, -0.20000000000000018, 0.09238867174424938, 0.0, 0.5, 0.0, 0.006838905775075977
'2016-09-16', 3.22, 3.36, 3.21, 3.21, 13600.0, 3.21, -0.23999999999999977, -0.2799999999999998, 0.08905740969858834, 0.0, 0.1, 0.0, 0.009937888198757744
'2016-09-15', 3.46, 3.48, 3.39, 3.39, 83100.0, 3.39, 0.08999999999999986, 0.06000000000000005, 0.0799367805762084, 0.0, 0.0, 0.0, -0.0038535645472061696
'2016-09-14', 3.37, 3.5, 3.37, 3.46, 44200.0, 3.46, -0.1200000000000001, -0.1200000000000001, 0.08546344247688599, 0.0, 0.0, 0.0, 0.0004239084357778629
'2016-09-13', 3.49, 3.5, 3.42, 3.45, 23000.0, 3.45, -0.009999999999999787, 0.03000000000000025, 0.08797474385046855, 0.0, 0.0, 0.0, -0.003939828080229238
'2016-09-12', 3.5, 3.54, 3.45, 3.5, 55700.0, 3.5, 0.10000000000000009, -0.020000000000000018, 0.08749666660317215, 0.0, 0.0, 0.0, -0.003809523809523813
'2016-09-09', 3.4, 3.5, 3.3, 3.5, 28400.0, 3.5, -0.0900000000000003, -0.10000000000000009, 0.08970073702162218, 0.0, 0.0, 0.0, -0.0005882352941176475
'2016-09-08', 3.49, 3.5, 3.41, 3.48, 63000.0, 3.48, 0.03000000000000025, 0.0, 0.08949798259675402, 0.0, 0.0, 0.0, -0.002865329512893991
'2016-09-07', 3.46, 3.48, 3.46, 3.46, 7200.0, 3.46, -0.06000000000000005, -0.020000000000000018, 0.0891995266554456, 0.0, 0.0, 0.0, -0.0019267822736030848
'2016-09-06', 3.52, 3.52, 3.44, 3.44, 46400.0, 3.44, 0.020000000000000018, -0.009999999999999787, 0.0890293334930809, 0.0, 0.0, 0.0, -0.003059440559440562
