Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-19', 73.050003, 73.18, 72.400002, 72.550003, 265700.0, 72.550003, 0.38000499999999704, -1.5, 2.212290167979438, -1.0, 0.5, -1.0, 0.0
'2016-09-16', 72.669998, 73.080002, 72.169998, 72.489998, 406400.0, 72.489998, 0.6899950000000104, -1.9000019999999864, 2.132550757583942, 0.0, 0.8, -0.8, 0.005229186878469393
'2016-09-15', 71.980003, 73.5, 71.980003, 73.25, 710700.0, 73.25, -2.0299990000000037, -5.529999000000004, 2.0234070025920423, 1.0, 1.0, -0.5, 0.007432619862491583
'2016-09-14', 74.010002, 74.150002, 72.43, 72.620003, 774700.0, 72.620003, -0.5400010000000037, -4.640000000000001, 1.8710253952859197, 0.0, 0.8, -0.1, -0.004323735414392576
'2016-09-13', 74.550003, 75.050003, 73.309998, 74.290001, 558700.0, 74.290001, -0.019996999999989384, -3.879997000000003, 1.816864723345713, 0.0, 0.5, 0.0, -0.005030180884097349
'2016-09-12', 74.57, 75.849998, 74.519997, 75.440002, 511000.0, 75.440002, -2.940002000000007, -4.239998, 1.7824769061130954, 0.0, 0.1, 0.0, -0.00407669840418396
'2016-09-09', 77.510002, 77.510002, 74.970001, 75.120003, 519200.0, 75.120003, -1.1400000000000006, -0.6699980000000068, 1.758354180983546, 0.0, 0.0, 0.0, -0.00959015801169333
'2016-09-08', 78.650002, 79.120003, 77.910004, 78.080002, 313900.0, 78.080002, 0.2200019999999938, 0.8100060000000013, 1.7954657053638294, 0.0, 0.0, 0.0, -0.01017164446026151
'2016-09-07', 78.43, 78.989998, 77.830002, 78.730003, 378800.0, 78.730003, -0.3799979999999863, 0.08000200000000746, 1.772505438513431, 0.0, 0.0, 0.0, -0.008574520272854779
'2016-09-06', 78.809998, 79.660004, 77.989998, 78.709999, 371500.0, 78.709999, 0.6299979999999863, -0.1399990000000031, 1.7436067906254964, 0.0, 0.0, 0.0, -0.00812079000997365
'2016-09-02', 78.18, 78.919998, 78.18, 78.889999, 246600.0, 78.889999, 0.3400040000000075, -0.19000299999999015, 1.689482605074531, 0.0, 0.0, 0.0, -0.006561776669224869
'2016-09-01', 77.839996, 78.080002, 76.940002, 78.080002, 434300.0, 78.080002, -0.5100020000000001, -1.010002, 1.657798402562454, 0.0, 0.0, 0.0, -0.005594218030161624
'2016-08-31', 78.349998, 78.440002, 77.290001, 78.129997, 377700.0, 78.129997, -0.5999989999999968, 0.47000099999999634, 1.638266905253666, 0.0, 0.0, 0.0, -0.0056370933155607695
