Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 0.85, 0.87, 0.81, 0.83, 2904800.0, 0.83, 0.04999999999999993, 0.06999999999999995, 0.034132096331752036, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 0.8, 0.85, 0.79, 0.84, 3111700.0, 0.84, 0.020000000000000018, 0.020000000000000018, 0.028481963103378655, 0.0, 0.0, -0.8, 0.06249999999999992
'2016-09-27', 0.78, 0.81, 0.78, 0.8, 2841600.0, 0.8, 0.0, 0.050000000000000044, 0.026923760675078245, 0.0, 0.0, -0.5, 0.04487179487179484
'2016-09-26', 0.78, 0.8, 0.78, 0.8, 3216500.0, 0.8, 0.0, 0.06000000000000005, 0.026195843605851348, 0.0, 0.0, -0.1, 0.029914529914529895
'2016-09-23', 0.78, 0.78, 0.76, 0.78, 1443600.0, 0.78, 0.0, 0.040000000000000036, 0.027414513593269466, 0.0, 0.0, 0.0, 0.02243589743589742
'2016-09-22', 0.78, 0.79, 0.76, 0.78, 3081500.0, 0.78, 0.050000000000000044, 0.08000000000000007, 0.027000000000000014, 0.0, 0.0, 0.0, 0.017948717948717934
'2016-09-21', 0.73, 0.76, 0.73, 0.75, 1787100.0, 0.75, 0.010000000000000009, 0.020000000000000018, 0.026574841903993014, 0.0, 0.1, 0.0, 0.0273972602739726
'2016-09-20', 0.72, 0.73, 0.71, 0.72, 903200.0, 0.72, -0.020000000000000018, 0.0, 0.02654974366898652, 0.0, 0.5, 0.0, 0.025793650793650796
'2016-09-19', 0.74, 0.75, 0.71, 0.71, 783000.0, 0.71, 0.040000000000000036, 0.0, 0.026291105382281337, 0.0, 0.8, 0.0, 0.01858108108108108
'2016-09-16', 0.7, 0.74, 0.7, 0.74, 1542200.0, 0.74, -0.010000000000000009, -0.010000000000000009, 0.02638181191654585, 1.0, 1.0, 0.0, 0.023809523809523815
'2016-09-15', 0.71, 0.74, 0.7, 0.72, 1307900.0, 0.72, -0.010000000000000009, -0.050000000000000044, 0.02564934480428086, 0.0, 0.8, 0.0, 0.01971830985915493
'2016-09-14', 0.72, 0.72, 0.7, 0.72, 907300.0, 0.72, -0.020000000000000018, -0.040000000000000036, 0.02560381915956204, 0.0, 0.5, 0.0, 0.016414141414141416
'2016-09-13', 0.74, 0.75, 0.7, 0.72, 1374700.0, 0.72, 0.030000000000000027, -0.030000000000000027, 0.026248809496813387, 0.0, 0.1, 0.0, 0.012387387387387387
'2016-09-12', 0.71, 0.75, 0.7, 0.75, 1771300.0, 0.75, -0.050000000000000044, -0.040000000000000036, 0.026768555350551813, 0.0, 0.0, -0.1, 0.015167930660888408
'2016-09-09', 0.76, 0.76, 0.72, 0.74, 1741200.0, 0.74, 0.0, 0.030000000000000027, 0.027121127475744005, 0.0, 0.0, -0.5, 0.00845864661654135
'2016-09-08', 0.76, 0.77, 0.74, 0.76, 878900.0, 0.76, -0.010000000000000009, 0.08999999999999997, 0.027890659527678614, 0.0, 0.0, -0.8, 0.00789473684210526
'2016-09-07', 0.77, 0.77, 0.74, 0.76, 1168000.0, 0.76, 0.020000000000000018, 0.07000000000000006, 0.02860458393723326, -1.0, 0.1, -1.0, 0.0
'2016-09-06', 0.75, 0.76, 0.73, 0.76, 3205100.0, 0.76, 0.020000000000000018, 0.010000000000000009, 0.028489764243788813, 0.0, 0.5, -0.8, 0.02666666666666669
'2016-09-02', 0.73, 0.76, 0.72, 0.75, 1987900.0, 0.75, 0.05999999999999994, -0.010000000000000009, 0.052366231697747956, 0.0, 0.8, -0.5, 0.02739726027397263
'2016-09-01', 0.67, 0.73, 0.67, 0.72, 2234900.0, 0.72, -0.029999999999999916, -0.07999999999999996, 0.06589891248470392, 1.0, 1.0, -0.1, 0.04975124378109451
'2016-08-31', 0.7, 0.72, 0.68, 0.7, 2445500.0, 0.7, -0.040000000000000036, -0.020000000000000018, 0.0704619676768176, 0.0, 0.8, 0.0, 0.025000000000000022
'2016-08-30', 0.74, 0.74, 0.7, 0.71, 2744100.0, 0.71, 0.0, -0.010000000000000009, 0.07987837977547839, 0.0, 0.5, 0.0, 0.008108108108108115
'2016-08-29', 0.74, 0.75, 0.72, 0.73, 1229400.0, 0.73, -0.010000000000000009, -0.010000000000000009, 0.0935568751556447, 0.0, 0.1, 0.0, 0.006756756756756763
'2016-08-26', 0.75, 0.77, 0.72, 0.74, 3077300.0, 0.74, 0.030000000000000027, 0.020000000000000018, 0.10054518055746549, 0.0, 0.0, 0.0, 0.003809523809523813
'2016-08-25', 0.72, 0.74, 0.72, 0.72, 1634500.0, 0.72, -0.030000000000000027, -0.020000000000000018, 0.10372827751175451, 0.0, 0.0, 0.0, 0.008680555555555563
'2016-08-24', 0.75, 0.76, 0.71, 0.72, 3636800.0, 0.72, 0.0, 0.0, 0.10236318782756926, 0.0, 0.0, 0.0, 0.0029629629629629654
'2016-08-23', 0.75, 0.76, 0.74, 0.75, 1917200.0, 0.75, 0.020000000000000018, -0.020000000000000018, 0.10196077677224707, 0.0, 0.0, 0.0, 0.002666666666666669
'2016-08-22', 0.73, 0.74, 0.71, 0.74, 2620200.0, 0.74, -0.010000000000000009, -0.040000000000000036, 0.10155239479642462, 0.0, 0.0, 0.0, 0.004981320049813206
'2016-08-19', 0.74, 0.75, 0.72, 0.75, 2097000.0, 0.75, -0.010000000000000009, -0.020000000000000018, 0.10058495580022557, 0.0, 0.0, 0.0, 0.0033783783783783816
'2016-08-18', 0.75, 0.77, 0.73, 0.76, 1182400.0, 0.76, -0.020000000000000018, -0.050000000000000044, 0.10087891531710456, 0.0, 0.0, 0.0, 0.002051282051282053
'2016-08-17', 0.77, 0.77, 0.72, 0.75, 3374400.0, 0.75, 0.0, 0.0, 0.10065121294185514, 0.0, 0.0, -0.1, 0.0
'2016-08-16', 0.77, 0.77, 0.75, 0.75, 1867400.0, 0.75, 0.010000000000000009, 0.0, 0.10107203151987969, 0.0, 0.0, -0.5, 0.0
'2016-08-15', 0.76, 0.78, 0.75, 0.76, 2343300.0, 0.76, -0.040000000000000036, 0.010000000000000009, 0.1030647045953819, 0.0, 0.0, -0.8, 0.0008223684210526323
'2016-08-12', 0.8, 0.8, 0.76, 0.76, 2305700.0, 0.76, 0.030000000000000027, 0.050000000000000044, 0.10561197322694472, -1.0, 0.0, -1.0, 0.0
'2016-08-11', 0.77, 0.82, 0.77, 0.78, 4110600.0, 0.78, 0.0, 0.040000000000000036, 0.10982814858779247, 0.0, 0.0, -0.8, 0.038961038961038995
'2016-08-10', 0.77, 0.79, 0.76, 0.77, 2315800.0, 0.77, 0.020000000000000018, 0.0, 0.11345875413069231, 0.0, 0.1, -0.5, 0.019480519480519497
'2016-08-09', 0.75, 0.77, 0.75, 0.76, 2895400.0, 0.76, 0.0, -0.030000000000000027, 0.11828449696482725, 0.0, 0.5, -0.1, 0.02222222222222224
'2016-08-08', 0.75, 0.76, 0.73, 0.75, 4825700.0, 0.75, 0.020000000000000018, -0.040000000000000036, 0.1203628772596527, 0.0, 0.8, 0.0, 0.01666666666666668
'2016-08-05', 0.73, 0.76, 0.73, 0.76, 2500900.0, 0.76, -0.040000000000000036, -0.050000000000000044, 0.12271194816407334, 1.0, 1.0, 0.0, 0.01917808219178084
'2016-08-04', 0.77, 0.78, 0.75, 0.76, 2773100.0, 0.76, -0.010000000000000009, -0.030000000000000027, 0.12727092711569632, 0.0, 0.8, 0.0, 0.006493506493506499
'2016-08-03', 0.78, 0.78, 0.74, 0.76, 3124100.0, 0.76, -0.010000000000000009, -0.010000000000000009, 0.131927589566735, 0.0, 0.5, -0.1, 0.0036630036630036665
'2016-08-02', 0.79, 0.83, 0.76, 0.76, 8313600.0, 0.76, 0.010000000000000009, 0.0, 0.13620898975063608, 0.0, 0.1, -0.5, 0.0015822784810126595
'2016-08-01', 0.78, 0.79, 0.71, 0.76, 8476900.0, 0.76, -0.020000000000000018, 0.020000000000000018, 0.1392874725163753, 0.0, 0.0, -0.8, 0.0028490028490028513
'2016-07-29', 0.8, 0.82, 0.78, 0.78, 4977100.0, 0.78, 0.010000000000000009, -0.19999999999999996, 0.14143746164137547, -1.0, 0.1, -1.0, 0.0
'2016-07-28', 0.79, 0.8, 0.77, 0.79, 4839000.0, 0.79, 0.0, -0.19999999999999996, 0.14275114321394727, 0.0, 0.5, -0.8, 0.012658227848101276
'2016-07-27', 0.79, 0.81, 0.75, 0.77, 6163600.0, 0.77, 0.030000000000000027, -0.15999999999999992, 0.14479142086310073, 0.0, 0.8, -0.5, 0.006329113924050638
'2016-07-26', 0.76, 0.83, 0.75, 0.79, 11930500.0, 0.79, -0.24, -0.25, 0.14793429472423072, 1.0, 1.0, -0.1, 0.01754385964912282
'2016-07-25', 1.0, 1.0, 0.77, 0.78, 14304500.0, 0.78, 0.010000000000000009, -0.07000000000000006, 0.1485518988995653, 0.0, 0.8, 0.0, -0.04999999999999999
'2016-07-22', 0.99, 1.02, 0.98, 1.0, 3071200.0, 1.0, 0.040000000000000036, -0.030000000000000027, 0.14210520359539577, 0.0, 0.5, 0.0, -0.038383838383838374
'2016-07-21', 0.95, 1.04, 0.91, 1.0, 3980800.0, 1.0, -0.06000000000000005, -0.020000000000000018, 0.13544986772480314, 0.0, 0.1, 0.0, -0.0263157894736842
