Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 9.92, 9.96, 9.68, 9.71, 8124500.0, 9.71, 0.009999999999999787, 0.0600000000000005, 0.14772685003824537, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 9.91, 9.92, 9.74, 9.92, 11634000.0, 9.92, 0.3100000000000005, 0.09999999999999964, 0.1480424113406546, 0.0, 0.8, -0.8, 0.0010090817356205638
'2016-09-27', 9.6, 9.74, 9.52, 9.74, 9189300.0, 9.74, -0.22000000000000064, -0.15000000000000036, 0.14744339780253157, 1.0, 1.0, -0.5, 0.016666666666666684
'2016-09-26', 9.82, 9.85, 9.61, 9.61, 8010800.0, 9.61, -0.03999999999999915, 0.0600000000000005, 0.153260852434302, 0.0, 0.8, -0.1, 0.0033944331296673334
'2016-09-23', 9.86, 9.97, 9.81, 9.9, 9261500.0, 9.9, 0.049999999999998934, 0.08000000000000007, 0.15898602314529275, 0.0, 0.5, 0.0, 0.0015212981744422034
'2016-09-22', 9.81, 9.89, 9.8, 9.88, 12495600.0, 9.88, 0.0600000000000005, 0.09999999999999964, 0.1599360983504211, 0.0, 0.1, 0.0, 0.0022426095820591114
'2016-09-21', 9.75, 9.78, 9.6, 9.73, 11205400.0, 9.73, -0.009999999999999787, 0.009999999999999787, 0.15938806591321564, 0.0, 0.0, 0.0, 0.0029059829059829047
'2016-09-20', 9.76, 9.79, 9.64, 9.71, 8953300.0, 9.71, -0.019999999999999574, -0.14000000000000057, 0.1593629679554054, 0.0, 0.0, 0.0, 0.002341920374707262
'2016-09-19', 9.78, 9.83, 9.65, 9.72, 10542200.0, 9.72, 0.06999999999999851, -0.14000000000000057, 0.15989024013018713, 0.0, 0.0, 0.0, 0.0017893660531697415
'2016-09-16', 9.71, 9.74, 9.62, 9.73, 18595900.0, 9.73, -0.02999999999999936, 0.02000000000000135, 0.16815865524359241, 0.0, 0.0, -0.1, 0.002403020940611043
