Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 16.02, 16.02, 15.62, 15.78, 140700.0, 15.78, 0.23000000000000043, 0.34999999999999964, 0.478488431300997, -1.0, 0.0, -1.0, 0.0
'2016-10-06', 15.79, 16.049999, 15.6, 15.98, 60600.0, 15.98, 0.09999999999999964, 0.27999999999999936, 0.5074692557737421, 0.0, 0.0, -0.8, 0.014566181127295784
'2016-10-05', 15.69, 16.25, 15.67, 15.85, 112100.0, 15.85, -0.120000000000001, -0.11000000000000121, 0.5392341781535078, 0.0, 0.1, -0.5, 0.010516252390057363
'2016-10-04', 15.81, 15.94, 15.4, 15.89, 60100.0, 15.89, 0.14000000000000057, 0.20000000000000107, 0.5711122763714875, 0.0, 0.5, -0.1, 0.004427577482605926
'2016-10-03', 15.67, 15.9, 15.13, 15.85, 95700.0, 15.85, 0.16000000000000014, -0.05000000000000071, 0.588028144640109, 0.0, 0.8, 0.0, 0.005583918315252069
'2016-09-30', 15.51, 15.9, 15.45, 15.76, 1381000.0, 15.76, -0.2900000000000009, -0.3000000000000007, 0.6082423027781683, 1.0, 1.0, 0.0, 0.00657640232108317
'2016-09-29', 15.8, 15.8, 15.3, 15.59, 110600.0, 15.59, 0.19000000000000128, -0.10999999999999943, 0.628125384687555, 0.0, 0.8, 0.0, 0.00232067510548522
'2016-09-28', 15.61, 15.85, 15.46, 15.78, 118700.0, 15.78, -0.11000000000000121, -0.17999999999999972, 0.6308933604201444, 0.0, 0.5, -0.1, 0.0037521735151459703
'2016-09-27', 15.72, 15.76, 15.47, 15.68, 91500.0, 15.68, -0.08999999999999986, 0.120000000000001, 0.6366025700719581, 0.0, 0.1, -0.5, 0.0023854961832060983
'2016-09-26', 15.81, 15.87, 15.5, 15.72, 35300.0, 15.72, -0.09999999999999964, 0.28000000000000114, 0.6317776235001963, 0.0, 0.0, -0.8, 0.0014758591608686421
'2016-09-23', 15.91, 15.99, 15.54, 15.86, 70400.0, 15.86, 0.120000000000001, 1.120000000000001, 0.6156506846869866, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 15.79, 15.94, 15.61, 15.91, 94400.0, 15.91, 0.1899999999999995, 0.6499999999999986, 0.5809735784774457, 0.0, 0.1, -0.8, 0.007599746675110893
'2016-09-21', 15.6, 15.82, 15.525, 15.79, 73700.0, 15.79, 0.07000000000000028, 0.5190000000000001, 0.5481777378024596, 0.0, 0.5, -0.5, 0.009935897435897453
'2016-09-20', 15.53, 15.65, 15.34, 15.63, 54200.0, 15.63, 0.7400000000000002, 0.129999999999999, 0.5215365215719157, 0.0, 0.8, -0.1, 0.008156256707447967
'2016-09-19', 14.79, 15.63, 14.77, 15.53, 168000.0, 15.53, -0.3500000000000014, -0.5300000000000011, 0.4941893350618656, 1.0, 1.0, 0.0, 0.018931710615280612
'2016-09-16', 15.14, 15.45, 14.51, 14.72, 1152400.0, 14.72, 0.05900000000000105, -0.05999999999999872, 0.5067791421209923, 0.0, 0.8, 0.0, 0.010171730515191539
'2016-09-15', 15.081, 15.48, 15.081, 15.25, 136900.0, 15.25, -0.31900000000000084, -0.019000000000000128, 0.5266374137445567, 0.0, 0.5, 0.0, 0.009161638264482911
'2016-09-14', 15.4, 15.55, 15.12, 15.39, 145700.0, 15.39, 0.08000000000000007, 0.07000000000000028, 0.5506050813019759, 0.0, 0.1, 0.0, 0.004730983302411872
'2016-09-13', 15.32, 15.52, 15.11, 15.43, 107800.0, 15.43, 0.120000000000001, 0.030000000000001137, 0.5465567572438281, 0.0, 0.0, -0.1, 0.00481396866840731
'2016-09-12', 15.2, 15.35, 15.01, 15.29, 64600.0, 15.29, 0.09999999999999964, 0.20999999999999908, 0.5431522806727409, 0.0, 0.0, -0.5, 0.005190058479532171
'2016-09-09', 15.1, 15.165, 15.0, 15.15, 62000.0, 15.15, -0.23000000000000043, 0.14400000000000013, 0.5303712117208307, 0.0, 0.0, -0.8, 0.00536423841059603
'2016-09-08', 15.33, 15.33, 14.96, 15.14, 65700.0, 15.14, 0.040000000000000924, 0.5899999999999999, 0.5194952250876699, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 15.29, 15.45, 14.935, 15.45, 118200.0, 15.45, 0.29999999999999893, 0.46999999999999886, 0.5039791221425304, 0.0, 0.0, -0.8, 0.0026160889470242593
'2016-09-06', 14.99, 15.29, 14.89, 15.28, 86200.0, 15.28, 0.034000000000000696, 0.39000000000000057, 0.4810402616552313, 0.0, 0.0, -0.5, 0.011340893929286186
'2016-09-02', 14.956, 15.03, 14.79, 14.98, 25700.0, 14.98, 0.2159999999999993, 0.6660000000000004, 0.48110781882373677, 0.0, 0.0, -0.1, 0.008335562093251328
'2016-09-01', 14.74, 15.12, 14.64, 14.88, 83500.0, 14.88, -0.08000000000000007, 0.5899999999999999, 0.4760828172586037, 0.0, 0.0, 0.0, 0.010006784260515602
'2016-08-31', 14.82, 14.83, 14.5, 14.73, 45200.0, 14.73, 0.22000000000000064, 0.7200000000000006, 0.47844851574879227, 0.0, 0.0, 0.0, 0.0068825910931174065
'2016-08-30', 14.6, 14.839, 14.5, 14.75, 147400.0, 14.75, 0.3100000000000005, 0.5259999999999998, 0.4667525635232823, 0.0, 0.0, 0.0, 0.008333333333333338
'2016-08-29', 14.29, 14.73, 14.26, 14.5, 163500.0, 14.5, 0.1399999999999988, 0.27999999999999936, 0.46116598602527786, 0.0, 0.0, 0.0, 0.010396880935719293
'2016-08-26', 14.15, 14.33, 14.1, 14.3, 81100.0, 14.3, 0.05000000000000071, 0.08000000000000007, 0.46004849985868046, 0.0, 0.0, 0.0, 0.010424028268551233
