Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 15.5, 15.55, 15.28, 15.28, 355700.0, 15.28, 0.05000000000000071, 0.6099999999999994, 0.3721803383070574, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 15.45, 15.49, 15.29, 15.48, 725500.0, 15.48, -0.010000000000001563, 0.2599999999999998, 0.37430065722642464, 0.0, 0.1, -0.8, 0.0032362459546926028
'2016-09-16', 15.46, 15.46, 15.22, 15.38, 924300.0, 15.38, 0.41000000000000014, 0.4300000000000015, 0.3884986540804943, 0.0, 0.5, -0.5, 0.0012936610608020422
'2016-09-15', 15.05, 15.46, 15.05, 15.42, 366100.0, 15.42, 0.16000000000000014, -0.6099999999999994, 0.4011184139379958, 0.0, 0.8, -0.1, 0.009966777408637858
'2016-09-14', 14.89, 15.16, 14.78, 15.08, 378000.0, 15.08, -0.29999999999999893, -1.1799999999999997, 0.4068771092112868, 1.0, 1.0, 0.0, 0.010241773002014764
'2016-09-13', 15.19, 15.22, 14.71, 14.84, 467700.0, 14.84, 0.16000000000000014, -0.9800000000000022, 0.40126533726329044, 0.0, 0.8, 0.0, 0.004081632653061231
'2016-09-12', 15.03, 15.47, 14.95, 15.36, 691100.0, 15.36, -0.6300000000000008, -1.1799990000000005, 0.41647046553963474, 0.0, 0.5, 0.0, 0.005211798624972285
'2016-09-09', 15.66, 15.69, 15.05, 15.06, 608300.0, 15.06, -0.41000000000000014, -0.4799989999999994, 0.4480009719733008, 0.0, 0.1, 0.0, -0.0014595876664842194
'2016-09-08', 16.07, 16.09, 15.79, 15.8, 317300.0, 15.8, -0.10000000000000142, -0.10000000000000142, 0.5533298030009068, 0.0, 0.0, 0.0, -0.00443372744243933
'2016-09-07', 16.17, 16.209999, 15.98, 16.07, 336600.0, 16.07, -0.03999899999999812, 0.12999900000000153, 0.6212500693495334, 0.0, 0.0, 0.0, -0.0046038617467189
'2016-09-06', 16.209999, 16.309999, 16.09, 16.24, 480500.0, 16.24, 0.07000000000000028, 0.12999900000000153, 0.6792136661039408, 0.0, 0.0, 0.0, -0.004380006439235437
'2016-09-02', 16.139999, 16.309999, 16.129999, 16.209999, 203700.0, 16.209999, -0.030001000000002165, 0.11999899999999997, 0.7206710044581826, 0.0, 0.0, 0.0, -0.0036048160395008226
'2016-09-01', 16.17, 16.219999, 15.94, 16.1, 330600.0, 16.1, 0.12999900000000153, -0.08999999999999986, 0.7661840329262766, 0.0, 0.0, 0.0, -0.0034528963100391758
'2016-08-31', 16.040001, 16.23, 16.040001, 16.17, 704800.0, 16.17, -0.03999899999999812, 0.0, 0.7895217845703647, 0.0, 0.0, -0.1, -0.0025896842812876677
'2016-08-30', 16.08, 16.17, 16.02, 16.110001, 366500.0, 16.110001, 0.05999999999999872, -0.020000000000003126, 0.8131058054562759, 0.0, 0.0, -0.5, -0.0025764036958066737
'2016-08-29', 16.02, 16.35, 16.02, 16.129999, 366400.0, 16.129999, -0.240000000000002, 0.019999999999999574, 0.8336615687435954, 0.0, 0.0, -0.8, -0.0021639617145235105
'2016-08-26', 16.26, 16.370001, 15.91, 16.049999, 653400.0, 16.049999, 0.2199990000000014, 0.3500000000000014, 0.8431486319215276, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 16.040001, 16.389999, 16.040001, 16.280001, 406600.0, 16.280001, -0.059999000000001246, 0.10000100000000067, 0.8403122160906288, 0.0, 0.0, -0.8, 0.013715647523962211
'2016-08-24', 16.1, 16.15, 16.02, 16.1, 391900.0, 16.1, 0.10000000000000142, 0.15000000000000213, 0.8385781617317097, 0.0, 0.0, -0.5, 0.004968944099378886
'2016-08-23', 16.0, 16.23, 15.94, 16.040001, 720300.0, 16.040001, 0.08999999999999986, 0.14000000000000057, 0.8279103547821802, 0.0, 0.0, -0.1, 0.005416666666666699
'2016-08-22', 15.91, 15.97, 15.84, 15.97, 413200.0, 15.97, -0.02999999999999936, 0.009999999999999787, 0.8171206901200228, 0.0, 0.1, 0.0, 0.005499685732243894
