Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 5.98, 5.99, 5.85, 5.9, 8400.0, 5.9, 0.1900000000000004, 0.5700000000000003, 0.1976149454536946, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 5.79, 5.98, 5.77, 5.92, 10700.0, 5.92, 0.27000000000000046, -0.040000000000000036, 0.2023377264761951, 0.0, 0.1, -0.8, 0.03281519861830749
'2016-09-21', 5.52, 5.75, 5.5, 5.72, 22600.0, 5.72, 0.03999999999999915, -0.25, 0.21339686553982518, 0.0, 0.5, -0.5, 0.04166666666666675
'2016-09-20', 5.48, 5.51, 5.39, 5.44, 9100.0, 5.44, 0.07000000000000028, -0.3299999999999992, 0.21231240085203582, 0.0, 0.8, -0.1, 0.03041362530413625
'2016-09-19', 5.41, 5.57, 5.35, 5.49, 9200.0, 5.49, -0.41999999999999993, -0.54, 0.2056004755722991, 1.0, 1.0, 0.0, 0.02634011090573014
'2016-09-16', 5.83, 5.83, 5.34, 5.38, 34900.0, 5.38, 0.0600000000000005, -0.15000000000000036, 0.1979887763373357, 0.0, 0.8, 0.0, 0.0051457975986278
'2016-09-15', 5.77, 5.78, 5.61, 5.65, 11700.0, 5.65, -0.040000000000000036, -0.34000000000000075, 0.20358454427256176, 0.0, 0.5, 0.0, 0.0060658578856152764
'2016-09-14', 5.81, 5.85, 5.71, 5.74, 16900.0, 5.74, -0.14000000000000057, -0.29000000000000004, 0.2088657197552746, 0.0, 0.1, 0.0, 0.004179985247110913
'2016-09-13', 5.95, 5.95, 5.79, 5.8, 15400.0, 5.8, -0.03000000000000025, -0.16999999999999993, 0.20867012776682298, 0.0, 0.0, 0.0, 0.0006302521008403414
'2016-09-12', 5.98, 6.14, 5.89, 6.02, 25200.0, 6.02, -0.1299999999999999, -0.019999999999999574, 0.2056558614125387, 0.0, 0.0, 0.0, 0.0
'2016-09-09', 6.11, 6.13, 6.02, 6.05, 40800.0, 6.05, 0.010000000000000675, 0.11000000000000032, 0.20319913604365764, 0.0, 0.0, 0.0, -0.0021276595744680834
'2016-09-08', 6.1, 6.15, 6.1, 6.15, 4400.0, 6.15, -0.020000000000000462, 0.1299999999999999, 0.1938410001349903, 0.0, 0.0, 0.0, -0.0017883755588673507
'2016-09-07', 6.12, 6.15, 5.93, 6.11, 22400.0, 6.11, 0.1200000000000001, 0.1900000000000004, 0.18529525987820988, 0.0, 0.0, 0.0, -0.0019063180827886667
'2016-09-06', 6.0, 6.18, 5.95, 6.08, 22900.0, 6.08, 0.0, 0.11000000000000032, 0.17400159641668678, 0.0, 0.0, 0.0, -0.00025641025641025093
'2016-09-02', 6.0, 6.12, 5.92, 6.05, 18100.0, 6.05, 0.03000000000000025, 0.20999999999999996, 0.16668799863484138, 0.0, 0.0, 0.0, -0.00023809523809523303
'2016-09-01', 5.97, 6.1, 5.95, 6.05, 24400.0, 6.05, 0.040000000000000036, 0.1299999999999999, 0.15848624195459013, 0.0, 0.0, 0.0, 0.00011166945840313429
'2016-08-31', 5.93, 5.99, 5.85, 5.95, 8700.0, 5.95, 0.040000000000000036, 0.13999999999999968, 0.15229685923660186, 0.0, 0.0, 0.0, 0.0005269814502529587
'2016-08-30', 5.89, 5.98, 5.87, 5.95, 8400.0, 5.95, 0.09999999999999964, 0.019999999999999574, 0.1747979786305704, 0.0, 0.0, 0.0, 0.0008988315190252747
'2016-08-29', 5.79, 5.95, 5.7, 5.91, 21900.0, 5.91, -0.04999999999999982, 0.1299999999999999, 0.18168470858422112, 0.0, 0.0, -0.1, 0.0018230665899059719
'2016-08-26', 5.84, 5.89, 5.75, 5.76, 16100.0, 5.76, 0.04999999999999982, 0.14999999999999947, 0.1890940389212615, 0.0, 0.0, -0.5, 0.001261715933669796
'2016-08-25', 5.79, 5.87, 5.73, 5.77, 21500.0, 5.77, -0.08000000000000007, 0.07000000000000028, 0.18845129049409268, 0.0, 0.0, -0.8, 0.0016407599309153748
'2016-08-24', 5.87, 5.98, 5.78, 5.78, 6100.0, 5.78, 0.20999999999999996, 0.23000000000000043, 0.18821530224718716, -1.0, 0.0, -1.0, 0.0
'2016-08-23', 5.66, 6.0, 5.66, 5.88, 15800.0, 5.88, -0.03000000000000025, 0.07000000000000028, 0.18631395248045404, 0.0, 0.0, -0.8, 0.03710247349823321
'2016-08-22', 5.69, 5.78, 5.62, 5.77, 20000.0, 5.77, -0.02999999999999936, 0.23000000000000043, 0.18913399130422504, 0.0, 0.1, -0.5, 0.015817223198593997
'2016-08-19', 5.72, 5.74, 5.62, 5.74, 19900.0, 5.74, 0.08000000000000007, 0.16000000000000014, 0.1930066204966958, 0.0, 0.5, -0.1, 0.008741258741258763
'2016-08-18', 5.64, 5.78, 5.64, 5.75, 9000.0, 5.75, 0.04999999999999982, 0.040000000000000036, 0.1984856557929453, 0.0, 0.8, 0.0, 0.010195035460992928
'2016-08-17', 5.59, 5.65, 5.55, 5.64, 17300.0, 5.64, 0.1299999999999999, 0.10999999999999943, 0.20641947582532033, 1.0, 1.0, -0.1, 0.010017889087656539
'2016-08-16', 5.46, 5.63, 5.46, 5.62, 47900.0, 5.59, -0.09999999999999964, 0.05999999999999961, 0.2162775993948518, 0.0, 0.8, -0.5, 0.012515262515262521
'2016-08-15', 5.56, 5.67, 5.44, 5.49, 66500.0, 5.460694, -0.040000000000000036, 0.009999999999999787, 0.2153160467777541, 0.0, 0.3, -0.8, 0.007965056526207619
'2016-08-12', 5.6, 5.6, 5.53, 5.56, 11400.0, 5.53032, 0.11999999999999922, -0.15000000000000036, 0.2286581631071927, -1.0, 0.3, -1.0, 0.0
'2016-08-11', 5.48, 5.76, 5.47, 5.56, 17900.0, 5.53032, 0.08000000000000007, -0.08999999999999986, 0.24365754656894986, 0.0, 0.8, -0.8, 0.021897810218977957
'2016-08-10', 5.4, 5.53, 5.4, 5.53, 22400.0, 5.500481, -0.14999999999999947, -0.10999999999999943, 0.2520989664573992, 1.0, 1.0, -0.5, 0.01851851851851845
'2016-08-09', 5.55, 5.55, 5.3, 5.43, 84200.0, 5.401014, -0.20000000000000018, 0.040000000000000036, 0.2589656776915084, 0.0, 0.8, -0.1, 0.0030030030030029926
'2016-08-08', 5.75, 5.96, 5.71, 5.84, 17200.0, 5.808826, 0.17999999999999972, -0.009999999999999787, 0.27066256154522406, 0.0, 0.5, 0.0, -0.006521739130434798
'2016-08-05', 5.57, 5.78, 5.57, 5.77, 81200.0, 5.739199, 0.0600000000000005, -0.17999999999999972, 0.27588645007200574, 0.0, 0.1, 0.0, 0.0010771992818671223
'2016-08-04', 5.51, 5.63, 5.51, 5.6, 7400.0, 5.570107, 0.0, -0.39000000000000057, 0.2791234294875457, 0.0, 0.0, 0.0, 0.0027223230490018104
'2016-08-03', 5.51, 5.64, 5.51, 5.6, 58800.0, 5.570107, -0.25, -0.3799999999999999, 0.2825607112737996, 0.0, 0.0, 0.0, 0.002333419756287266
'2016-08-02', 5.76, 5.76, 5.5, 5.55, 115000.0, 5.520374, 0.009999999999999787, -0.16000000000000014, 0.28451986847240657, 0.0, 0.0, 0.0, -0.0034722222222222255
'2016-08-01', 5.75, 5.85, 5.71, 5.77, 64500.0, 5.739199, -0.15000000000000036, -0.15000000000000036, 0.28603127257153, 0.0, 0.0, 0.0, -0.002898550724637688
'2016-07-29', 5.9, 5.9, 5.79, 5.8, 51200.0, 5.769039, 0.010000000000000675, 0.15000000000000036, 0.28515414934538286, 0.0, 0.0, 0.0, -0.005084745762711876
'2016-07-28', 5.89, 6.0, 5.89, 5.96, 63100.0, 5.928185, -0.03000000000000025, 0.15999999999999925, 0.2826344321242941, 0.0, 0.0, 0.0, -0.004475999382620776
'2016-07-27', 5.92, 5.95, 5.81, 5.87, 41700.0, 5.838665, 0.019999999999999574, 0.11000000000000032, 0.2769163531947268, 0.0, 0.0, 0.0, -0.004504504504504509
'2016-07-26', 5.9, 6.12, 5.79, 5.95, 71600.0, 5.918238, 0.15000000000000036, -0.33000000000000007, 0.26823621430870714, 0.0, 0.0, 0.0, -0.003911342894393751
'2016-07-25', 5.75, 5.96, 5.75, 5.9, 40800.0, 5.868505, 0.019999999999999574, -0.29000000000000004, 0.2608509578710077, 0.0, 0.0, -0.1, -0.0018633540372670853
'2016-07-22', 5.73, 5.8, 5.62, 5.8, 30300.0, 5.769039, -0.07999999999999918, -0.28999999999999915, 0.26351913276521943, 0.0, 0.0, -0.5, -0.0015125072716695844
'2016-07-21', 5.81, 5.88, 5.68, 5.77, 11200.0, 5.739199, -0.4200000000000008, 0.009999999999999787, 0.27094505388034346, 0.0, 0.0, -0.8, -0.002259036144578313
'2016-07-20', 6.23, 6.23, 5.84, 5.86, 9200.0, 5.828719, 0.1900000000000004, 0.54, 0.2681502480990005, -1.0, 0.0, -1.0, 0.0
'2016-07-19', 6.04, 6.15, 5.84, 5.98, 36400.0, 5.948078, 0.020000000000000462, 0.33999999999999986, 0.234937343893123, 0.0, 0.1, -0.8, 0.03145695364238417
'2016-07-18', 6.02, 6.11, 5.96, 6.09, 20700.0, 6.057491, 0.21999999999999975, 0.4899999999999993, 0.21329921602189617, 0.0, 0.5, -0.5, 0.01744186046511635
'2016-07-15', 5.8, 5.97, 5.8, 5.94, 44400.0, 5.908292, 0.10999999999999943, 0.2999999999999998, 0.19006314740106772, 0.0, 0.8, -0.1, 0.024712643678160957
'2016-07-14', 5.69, 5.89, 5.66, 5.85, 31500.0, 5.818772, -0.009999999999999787, 0.2400000000000002, 0.18233820834433528, 1.0, 1.0, 0.0, 0.023725834797891036
'2016-07-13', 5.7, 5.7, 5.59, 5.7, 14700.0, 5.669573, 0.16999999999999993, 0.3200000000000003, 0.1774210309467911, 0.0, 0.8, 0.0, 0.018596491228070184
