Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 2.94, 3.0, 2.76, 2.81, 283900.0, 2.81, 0.2599999999999998, 0.23999999999999977, 0.13992220060527286, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 2.68, 2.94, 2.64, 2.94, 330900.0, 2.94, 0.10000000000000009, -0.029999999999999805, 0.138177020118719, 0.0, 0.8, -0.8, 0.09701492537313425
'2016-09-27', 2.58, 2.68, 2.58, 2.68, 94400.0, 2.68, -0.06000000000000005, -0.040000000000000036, 0.13586104011902095, 1.0, 1.0, -0.5, 0.06976744186046509
'2016-09-26', 2.64, 2.68, 2.58, 2.62, 139000.0, 2.62, -0.06000000000000005, -0.11999999999999966, 0.1300431552301859, 0.0, 0.8, -0.1, 0.03787878787878786
'2016-09-23', 2.7, 2.74, 2.63, 2.66, 85900.0, 2.66, -0.009999999999999787, -0.10999999999999988, 0.125883544066199, 0.0, 0.5, 0.0, 0.0222222222222222
'2016-09-22', 2.71, 2.73, 2.66, 2.69, 163300.0, 2.69, 0.08999999999999986, -0.1299999999999999, 0.12702624400755408, 0.0, 0.1, 0.0, 0.016974169741697416
'2016-09-21', 2.62, 2.64, 2.57, 2.64, 224900.0, 2.64, -0.13999999999999968, -0.1599999999999997, 0.1293354810818233, 0.0, 0.0, 0.0, 0.0203562340966921
'2016-09-20', 2.76, 2.76, 2.55, 2.55, 305500.0, 2.55, -0.050000000000000266, -0.15000000000000036, 0.1251794267796785, 0.0, 0.0, 0.0, 0.009316770186335413
'2016-09-19', 2.81, 2.88, 2.69, 2.7, 206200.0, 2.7, -0.029999999999999805, -0.009999999999999787, 0.136569477637656, 0.0, 0.0, 0.0, 0.005782918149466187
'2016-09-16', 2.84, 2.85, 2.75, 2.81, 353800.0, 2.81, 0.06000000000000005, 0.1299999999999999, 0.1408659725491654, 0.0, 0.0, 0.0, 0.003912363067292648
'2016-09-15', 2.78, 2.88, 2.76, 2.83, 262600.0, 2.83, -0.13000000000000034, -0.0900000000000003, 0.15110114346210474, 0.0, 0.0, 0.0, 0.005755395683453243
'2016-09-14', 2.91, 2.94, 2.7, 2.85, 382700.0, 2.85, 0.0900000000000003, 0.020000000000000018, 0.15736157938539722, 0.0, 0.0, 0.0, 0.0009372071227741268
