Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 67.019997, 67.139999, 65.339996, 65.790001, 418900.0, 65.790001, 0.9300010000000043, -0.9100030000000032, 1.007358251801665, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 66.089996, 66.769997, 65.5, 66.690002, 347600.0, 66.690002, 0.9699930000000023, -1.7800069999999977, 1.0771472994315026, 0.0, 0.8, -0.8, 0.014071736363851563
'2016-09-27', 65.120003, 66.190002, 64.949997, 66.120003, 426200.0, 65.760003, -1.7199930000000023, -2.7799990000000037, 1.170894707935785, 1.0, 1.0, -0.5, 0.014588405347585801
'2016-09-26', 66.839996, 66.839996, 65.480003, 65.57, 185000.0, 65.212994, -1.0900040000000075, -1.3200080000000014, 1.2600406727935805, 0.0, 0.8, -0.1, 0.0008976711089769479
'2016-09-23', 67.93, 68.150002, 67.300003, 67.440002, 163100.0, 67.072816, 0.05999700000000985, -0.12000299999999697, 1.3990841618892598, 0.0, 0.5, -0.1, -0.0033490468128956393
'2016-09-22', 67.870003, 68.029999, 67.5, 68.0, 455400.0, 67.629764, -0.02999900000000366, 0.04000100000000373, 1.4971921777501314, 0.0, 0.1, -0.5, -0.0025048061365195266
'2016-09-21', 67.900002, 68.440002, 67.169998, 67.779999, 242700.0, 67.410961, -0.26000200000000007, 1.360000999999997, 1.5517295878130724, 0.0, 0.0, -0.8, -0.0021600514827672538
'2016-09-20', 68.160004, 68.169998, 67.57, 67.580002, 187400.0, 67.212053, 0.1100009999999969, 0.8600009999999969, 1.6357154049681204, -1.0, 0.1, -1.0, 0.0
'2016-09-19', 68.050003, 68.519997, 67.120003, 67.809998, 238500.0, 67.440796, 0.22000100000001055, 0.5100020000000001, 1.6596680158208441, 0.0, 0.5, -0.8, 0.001616473110221566
'2016-09-16', 67.830002, 68.059998, 67.120003, 67.68, 591200.0, 67.311507, 1.2900009999999895, 0.09999899999999684, 1.7684770596585244, 0.0, 0.8, -0.5, 0.002432566639169548
'2016-09-15', 66.540001, 68.339996, 66.540001, 68.059998, 200200.0, 67.689435, -0.7600020000000001, -2.0999979999999994, 1.928207208460901, 1.0, 1.0, -0.1, 0.008115434203254656
'2016-09-14', 67.300003, 68.07, 66.809998, 66.900002, 331300.0, 66.535755, -0.23999799999999993, -1.2999949999999956, 2.1795617858042884, 0.0, 0.8, 0.0, 0.0031946543895399115
'2016-09-13', 67.540001, 67.779999, 66.559998, 67.43, 309300.0, 67.062868, -0.19000199999999268, -0.15999599999999248, 2.314763775863368, 0.0, 0.5, 0.0, 0.001835957923660667
'2016-09-12', 67.730003, 68.779999, 67.190002, 68.769997, 317600.0, 68.395568, -0.9099960000000067, -1.2699970000000036, 2.3868422055102205, 0.0, 0.1, 0.0, 0.0010581253530039568
'2016-09-09', 68.639999, 69.220001, 68.050003, 68.25, 280600.0, 67.878403, 0.04000100000000373, 0.2299950000000024, 2.3976206791326695, 0.0, 0.0, 0.0, -0.0009989906072946566
'2016-09-08', 68.599998, 69.0, 68.470001, 68.830002, 190700.0, 68.455247, 0.9000010000000032, -0.26000299999999754, 2.3643399259939386, 0.0, 0.0, 0.0, -0.0008017383615667136
'2016-09-07', 67.699997, 68.489998, 67.260002, 68.489998, 243600.0, 68.117094, -1.3000030000000038, -1.3300020000000075, 2.335653437230982, 0.0, 0.0, 0.0, 0.0007549762356546249
'2016-09-06', 69.0, 69.0, 67.18, 67.760002, 268600.0, 67.391073, 0.5899959999999993, -0.3099979999999931, 2.353775349807165, 0.0, 0.0, 0.0, -0.0012173855072463758
'2016-09-02', 68.410004, 68.910004, 67.82, 68.870003, 157500.0, 68.49503, -0.4499969999999962, 0.12000299999999697, 2.29562658275445, 0.0, 0.0, 0.0, -0.0003322214792923083
