Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 7.6, 7.64, 7.54, 7.6, 9197600.0, 7.6, 0.08999999999999986, -0.1900000000000004, 0.29684657466255004, 0.0, 0.0, -0.1, -0.002631578947368404
'2016-09-30', 7.51, 7.56, 7.42, 7.47, 17227600.0, 7.47, 0.009999999999999787, -0.33000000000000007, 0.3005116008113866, 0.0, 0.0, 0.0, 0.0009986684420772386
'2016-09-29', 7.5, 7.58, 7.29, 7.41, 15477700.0, 7.41, -0.33999999999999986, -0.5399999999999991, 0.2995544840073152, 0.0, 0.0, 0.0, 0.0010666666666666676
'2016-09-28', 7.84, 7.87, 7.77, 7.87, 7080800.0, 7.87, 0.04999999999999982, -0.34999999999999964, 0.30745550716955594, 0.0, 0.0, 0.0, -0.00637755102040816
'2016-09-27', 7.79, 7.86, 7.73, 7.81, 4571300.0, 7.81, -0.04999999999999982, -0.22999999999999954, 0.31762591553936864, 0.0, 0.0, 0.0, -0.0045846323124885385
'2016-09-26', 7.84, 7.89, 7.8, 7.81, 5790300.0, 7.81, -0.1999999999999993, -0.25, 0.3310924677823737, 0.0, 0.0, 0.0, -0.00478316326530612
'2016-09-23', 8.04, 8.04, 7.9, 7.97, 12614600.0, 7.97, -0.15000000000000036, 0.009999999999999787, 0.3419429777024233, 0.0, 0.0, 0.0, -0.0069098949695964515
'2016-09-22', 8.19, 8.29, 8.16, 8.2, 9231400.0, 8.2, 0.16999999999999993, 0.33999999999999986, 0.35171152952384144, 0.0, 0.0, 0.0, -0.00793650793650793
'2016-09-21', 8.02, 8.14, 7.91, 8.11, 10802200.0, 8.11, -0.07000000000000028, 0.0, 0.35459977439361123, 0.0, 0.1, 0.0, -0.00544094309680344
'2016-09-20', 8.09, 8.11, 8.0, 8.04, 5771400.0, 8.04, 0.0600000000000005, 0.05000000000000071, 0.35502112613195286, 0.0, 0.5, 0.0, -0.005665430572723526
'2016-09-19', 8.03, 8.09, 7.97, 8.0, 6992500.0, 8.0, 0.17999999999999972, 0.07999999999999918, 0.35185792587349796, 0.0, 0.8, 0.0, -0.00469393620078551
'2016-09-16', 7.85, 7.93, 7.83, 7.87, 5546300.0, 7.87, -0.16999999999999993, -0.17999999999999972, 0.34740642225241347, 1.0, 1.0, 0.0, -0.00282074613284804
