Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 8.52, 8.6, 8.27, 8.31, 351200.0, 8.31, 0.1999999999999993, 0.4900000000000002, 0.2514325621977658, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 8.32, 8.61, 8.27, 8.54, 509200.0, 8.54, 0.17999999999999972, 0.09999999999999964, 0.27296804859828483, 0.0, 0.1, -0.8, 0.024038461538461453
'2016-10-04', 8.14, 8.37, 8.12, 8.29, 325800.0, 8.29, 0.08999999999999986, -0.019999999999999574, 0.2868652413009751, 0.0, 0.5, -0.5, 0.023341523341523278
'2016-10-03', 8.05, 8.17, 7.97, 8.14, 350700.0, 8.14, 0.02000000000000135, -0.049999999999998934, 0.30812858066434257, 0.0, 0.8, -0.1, 0.01946169772256724
'2016-09-30', 8.03, 8.16, 7.96, 8.12, 423400.0, 8.12, -0.19000000000000128, -0.27000000000000135, 0.311631014003563, 1.0, 1.0, 0.0, 0.015255292652552934
'2016-09-29', 8.22, 8.29, 8.0, 8.0, 266400.0, 8.0, 0.0600000000000005, -0.05999999999999872, 0.30745984380981456, 0.0, 0.8, -0.1, 0.0072992700729926745
'2016-09-28', 8.16, 8.42, 8.12, 8.26, 354300.0, 8.26, 0.0600000000000005, -0.07000000000000028, 0.3062780145916814, 0.0, 0.5, -0.5, 0.007352941176470577
'2016-09-27', 8.1, 8.29, 8.02, 8.18, 230400.0, 8.18, -0.20000000000000107, 0.08999999999999986, 0.3109456901489748, 0.0, 0.1, -0.8, 0.007407407407407407
'2016-09-26', 8.3, 8.33, 8.07, 8.11, 463200.0, 8.11, 0.02000000000000135, 0.14000000000000057, 0.30892807505235836, -1.0, 0.0, -1.0, 0.0
'2016-09-23', 8.28, 8.53, 8.25, 8.37, 372900.0, 8.37, 0.049999999999998934, 0.27999999999999936, 0.3168147022402142, 0.0, 0.0, -0.8, 0.002415458937198231
'2016-09-22', 8.23, 8.35, 8.1, 8.31, 393100.0, 8.31, 0.22000000000000064, 0.23000000000000043, 0.34095552007067825, 0.0, 0.0, -0.5, 0.004252733900364537
'2016-09-21', 8.01, 8.19, 7.97, 8.15, 256300.0, 8.15, -0.15000000000000036, 0.019999999999999574, 0.36851669644068447, 0.0, 0.0, -0.1, 0.01206824802330424
'2016-09-20', 8.16, 8.2, 7.88, 7.97, 327500.0, 7.97, 0.16000000000000014, 0.10999999999999943, 0.3814837989861285, 0.0, 0.1, 0.0, 0.0042892156862745275
'2016-09-19', 8.0, 8.17, 7.96, 8.07, 437800.0, 8.07, 0.0, -0.16999999999999993, 0.4303601850646606, 0.0, 0.5, 0.0, 0.007500000000000018
'2016-09-16', 8.0, 8.07, 7.84, 7.95, 649300.0, 7.95, 0.009999999999999787, 0.0, 0.4587398197477763, 0.0, 0.8, 0.0, 0.006250000000000015
'2016-09-15', 7.99, 8.1, 7.87, 8.04, 437500.0, 8.04, -0.0600000000000005, -0.40000000000000036, 0.5271668510907044, 1.0, 1.0, 0.0, 0.0055426425889504825
'2016-09-14', 8.05, 8.09, 7.89, 8.02, 312300.0, 8.02, -0.11999999999999922, -0.5, 0.5975260105914498, 0.0, 0.8, 0.0, 0.003881987577639751
'2016-09-13', 8.17, 8.28, 7.92, 8.03, 508200.0, 8.03, 0.16999999999999993, -0.4299999999999997, 0.630617422319851, 0.0, 0.5, 0.0, 0.0017679858561131616
'2016-09-12', 8.0, 8.33, 7.89, 8.33, 628500.0, 8.33, -0.39000000000000057, -0.6300000000000008, 0.6595015794775122, 0.0, 0.1, 0.0, 0.003750000000000009
'2016-09-09', 8.39, 8.43, 8.07, 8.07, 433300.0, 8.07, -0.16000000000000014, -0.33999999999999986, 0.6863676533429847, 0.0, 0.0, 0.0, -0.0009751869108245731
'2016-09-08', 8.55, 8.59, 8.39, 8.47, 403300.0, 8.47, -0.049999999999998934, 0.10000000000000142, 0.7065648511558503, 0.0, 0.0, 0.0, -0.0024366471734892786
'2016-09-07', 8.6, 8.7, 8.46, 8.55, 916000.0, 8.55, -0.030000000000001137, 0.129999999999999, 0.7245204544309903, 0.0, 0.0, 0.0, -0.0026833631484794182
'2016-09-06', 8.63, 8.79, 8.5, 8.6, 791500.0, 8.6, -0.09999999999999964, 0.14000000000000057, 0.7438724502374195, 0.0, 0.0, 0.0, -0.0027313358715444465
'2016-09-02', 8.73, 8.79, 8.57, 8.59, 389700.0, 8.59, 0.28000000000000114, 0.17999999999999972, 0.7584347184973946, 0.0, 0.0, 0.0, -0.0032836960672012194
'2016-09-01', 8.45, 8.65, 8.28, 8.63, 522800.0, 8.63, -0.02000000000000135, -0.3000000000000007, 0.7592715807491633, 0.0, 0.0, 0.0, -0.0011094674556212914
'2016-08-31', 8.47, 8.55, 8.19, 8.4, 875000.0, 8.4, -0.019999999999999574, -0.33999999999999986, 0.7676254873887975, 0.0, 0.0, 0.0, -0.0011806375442739074
'2016-08-30', 8.49, 8.67, 8.33, 8.46, 695200.0, 8.46, -0.0600000000000005, -0.4399999999999995, 0.7787189622849968, 0.0, 0.0, 0.0, -0.0012432927627273884
'2016-08-29', 8.55, 8.79, 8.49, 8.59, 516300.0, 8.59, -0.1999999999999993, -0.2599999999999998, 0.7840212582151922, 0.0, 0.0, 0.0, -0.001538935056940597
'2016-08-26', 8.75, 8.85, 8.23, 8.5, 952200.0, 8.5, -0.0600000000000005, -0.25, 0.7850973754184184, 0.0, 0.0, 0.0, -0.0025714285714285674
'2016-08-25', 8.81, 8.97, 8.73, 8.79, 654800.0, 8.79, -0.11999999999999922, 0.02000000000000135, 0.7717011511373211, 0.0, 0.0, 0.0, -0.0027566077509323804
'2016-08-24', 8.93, 9.01, 8.75, 8.87, 641000.0, 8.87, 0.11999999999999922, 0.28999999999999915, 0.748172885546293, 0.0, 0.0, 0.0, -0.0032067596457294057
'2016-08-23', 8.81, 9.0, 8.74, 8.99, 559400.0, 8.99, -0.1899999999999995, 0.27000000000000135, 0.7131137512502631, 0.0, 0.0, 0.0, -0.0025169027291121735
'2016-08-22', 9.0, 9.08, 8.62, 8.79, 739600.0, 8.79, 0.21000000000000085, 0.16999999999999993, 0.6781215885730881, 0.0, 0.0, 0.0, -0.0032407407407407376
'2016-08-19', 8.79, 9.12, 8.72, 9.09, 1361600.0, 9.09, 0.14999999999999858, 0.629999999999999, 0.6224667773374647, 0.0, 0.0, -0.1, -0.0022298065984072742
'2016-08-18', 8.64, 8.85, 8.56, 8.82, 607800.0, 8.82, 0.10000000000000142, 0.6100000000000012, 0.575791628977011, 0.0, 0.0, -0.5, -0.0015135327635327628
'2016-08-17', 8.54, 8.78, 8.47, 8.65, 794900.0, 8.65, -0.2900000000000009, 0.8199999999999994, 0.5372754311234498, 0.0, 0.0, -0.8, -0.0010408534998698866
'2016-08-16', 8.83, 8.83, 8.55, 8.69, 817000.0, 8.69, 0.6699999999999999, 1.21, 0.5081055227235994, -1.0, 0.0, -1.0, 0.0
'2016-08-15', 8.16, 8.97, 8.15, 8.88, 1720000.0, 8.88, 0.13000000000000078, 0.4299999999999997, 0.40377166264555464, 0.0, 0.0, -0.8, 0.08210784313725489
'2016-08-12', 8.03, 8.16, 7.94, 8.05, 536200.0, 8.05, 0.3099999999999996, 0.7699999999999996, 0.35654219011686866, 0.0, 0.0, -0.5, 0.04981320049813205
'2016-08-11', 7.72, 8.03, 7.71, 8.0, 926800.0, 8.0, 0.09999999999999964, 0.3099999999999996, 0.3084124222890873, 0.0, 0.0, -0.1, 0.047927461139896384
'2016-08-10', 7.62, 7.77, 7.6, 7.72, 557700.0, 7.72, -0.11000000000000032, 0.7599999999999998, 0.2807270323048116, 0.0, 0.0, 0.0, 0.039698162729658794
'2016-08-09', 7.73, 7.81, 7.59, 7.6, 832400.0, 7.6, 0.47000000000000064, 1.0200000000000005, 0.2635518081052673, 0.0, 0.0, 0.0, 0.028460543337645524
'2016-08-08', 7.26, 7.84, 7.26, 7.77, 1077600.0, 7.77, -0.15000000000000036, 0.13999999999999968, 0.2214751051974516, 0.0, 0.1, 0.0, 0.03604224058769514
'2016-08-05', 7.41, 7.59, 6.81, 7.3, 1950400.0, 7.3, 0.5499999999999998, 0.2599999999999998, 0.21307171458350732, 0.0, 0.5, 0.0, 0.02737613263929053
'2016-08-04', 6.86, 7.04, 6.58, 6.58, 883800.0, 6.58, 0.15000000000000036, -0.2599999999999998, 0.2009723585194962, 0.0, 0.8, 0.0, 0.035896501457725945
'2016-08-03', 6.71, 6.87, 6.54, 6.85, 945200.0, 6.85, -0.41000000000000014, -0.4800000000000004, 0.21783173934637415, 1.0, 1.0, 0.0, 0.03510514985924822
'2016-08-02', 7.12, 7.17, 6.74, 6.74, 974900.0, 6.74, -0.03000000000000025, 0.009999999999999787, 0.23614237701484722, 0.0, 0.8, 0.0, 0.024016853932584268
'2016-08-01', 7.15, 7.25, 6.98, 7.12, 762000.0, 7.12, 0.03000000000000025, 0.1800000000000006, 0.2734026334913401, 0.0, 0.5, 0.0, 0.021360457724094083
'2016-07-29', 7.12, 7.32, 7.01, 7.2, 1216000.0, 7.2, -0.07000000000000028, 0.16000000000000014, 0.2836016376696174, 0.0, 0.1, 0.0, 0.020014044943820225
'2016-07-28', 7.19, 7.21, 7.05, 7.12, 394100.0, 7.12, 0.08000000000000007, 0.07000000000000028, 0.28887309785901955, 0.0, 0.0, 0.0, 0.0175457365999786
'2016-07-27', 7.11, 7.25, 7.06, 7.2, 458900.0, 7.2, 0.14000000000000057, 0.0600000000000005, 0.290406037586457, 0.0, 0.0, 0.0, 0.01727948563391601
'2016-07-26', 6.97, 7.2, 6.91, 7.12, 600600.0, 7.12, 0.009999999999999787, 0.08999999999999986, 0.2896749135765049, 0.0, 0.0, 0.0, 0.01779053084648494
'2016-07-25', 6.96, 7.13, 6.92, 6.93, 569200.0, 6.93, -0.16000000000000014, 0.040000000000000036, 0.3086270672942778, 0.0, 0.0, 0.0, 0.016792385057471264
'2016-07-22', 7.12, 7.19, 6.79, 6.95, 601000.0, 6.95, 0.07000000000000028, 0.2400000000000002, 0.35527391623303217, 0.0, 0.0, 0.0, 0.014127561136814275
'2016-07-21', 7.05, 7.32, 7.03, 7.18, 850800.0, 7.18, 0.16999999999999993, 0.10999999999999943, 0.4046700988322327, 0.0, 0.0, 0.0, 0.014026792750197008
'2016-07-20', 6.88, 7.2, 6.75, 7.07, 963800.0, 7.07, -0.040000000000000036, -0.1299999999999999, 0.44297742606141916, 0.0, 0.0, 0.0, 0.014917380660954714
'2016-07-19', 6.92, 7.21, 6.77, 6.79, 1498300.0, 6.79, 0.040000000000000036, -0.020000000000000462, 0.46897867755368156, 0.0, 0.0, -0.1, 0.013800578034682081
'2016-07-18', 6.88, 6.99, 6.75, 6.91, 1017000.0, 6.91, -0.0600000000000005, -0.0600000000000005, 0.48567478831003774, 0.0, 0.0, -0.5, 0.013496677740863789
'2016-07-15', 6.94, 6.97, 6.81, 6.89, 964500.0, 6.89, -0.0699999999999994, 0.10000000000000053, 0.5031430103746736, 0.0, 0.0, -0.8, 0.01237883154309667
'2016-07-14', 7.01, 7.03, 6.82, 6.88, 1226900.0, 6.88, 0.0699999999999994, 0.2999999999999998, 0.5104024555844796, -1.0, 0.0, -1.0, 0.0
'2016-07-13', 6.94, 7.01, 6.74, 6.95, 1148300.0, 6.95, 0.0, 0.4200000000000008, 0.5148882295109192, 0.0, 0.0, -0.8, 0.010086455331412017
'2016-07-12', 6.94, 7.09, 6.79, 6.94, 1370600.0, 6.94, 0.10000000000000053, 0.6700000000000008, 0.5132801920545499, 0.0, 0.0, -0.5, 0.0050432276657060085
'2016-07-11', 6.84, 6.96, 6.8, 6.92, 1070400.0, 6.92, 0.1299999999999999, -0.16000000000000014, 0.5094124066019594, 0.0, 0.1, -0.1, 0.008284600389863544
'2016-07-08', 6.71, 7.05, 6.54, 6.84, 1897900.0, 6.84, 0.1900000000000004, -0.08000000000000007, 0.5020885269440927, 0.0, 0.5, 0.0, 0.011177347242921007
'2016-07-07', 6.52, 6.65, 6.34, 6.62, 1592500.0, 6.62, 0.25, -0.3800000000000008, 0.48844299110086076, 0.0, 0.8, 0.0, 0.015030674846625776
'2016-07-06', 6.27, 6.53, 6.26, 6.41, 1328300.0, 6.41, -0.7300000000000004, -0.6000000000000005, 0.46735235339326386, 1.0, 1.0, 0.0, 0.01967038809144073
'2016-07-05', 7.0, 7.0, 6.28, 6.35, 1505400.0, 6.35, 0.20999999999999996, 0.3899999999999997, 0.4178555039989568, 0.0, 0.8, 0.0, 0.00020408163265305687
'2016-07-01', 6.79, 6.9, 6.71, 6.86, 1089900.0, 6.86, -0.11000000000000032, -0.1900000000000004, 0.40991123700408866, 0.0, 0.5, 0.0, 0.004050073637702499
'2016-06-30', 6.9, 6.92, 6.55, 6.76, 1346500.0, 6.76, 0.03000000000000025, -0.009999999999999787, 0.3909312244145026, 0.0, 0.1, 0.0, 0.0017713365539452405
'2016-06-29', 6.87, 7.0, 6.75, 6.92, 1431500.0, 6.92, 0.2599999999999998, -0.34999999999999964, 0.37647133578357145, 0.0, 0.0, 0.0, 0.002037845705967972
'2016-06-28', 6.61, 6.82, 6.6, 6.74, 1221200.0, 6.74, -0.3700000000000001, -0.7799999999999994, 0.35803848334439625, 0.0, 0.0, 0.0, 0.005501306560308066
'2016-06-27', 6.98, 7.03, 6.3, 6.56, 1844400.0, 6.56, 0.07000000000000028, -0.5199999999999996, 0.3143213147225127, 0.0, 0.0, 0.0, 0.0003581661891117402
'2016-06-24', 6.91, 7.24, 6.68, 7.03, 2170100.0, 7.03, -0.3099999999999996, -0.8300000000000001, 0.30077677215281545, 0.0, 0.0, 0.0, 0.00111321384838027
'2016-06-23', 7.22, 7.25, 7.04, 7.24, 1596900.0, 7.24, -0.16999999999999993, -0.20999999999999996, 0.27509917403648376, 0.0, 0.0, -0.1, -0.0020775623268698058
'2016-06-22', 7.39, 7.41, 7.11, 7.16, 1148800.0, 7.16, -0.11000000000000032, 0.0699999999999994, 0.28300157047071123, 0.0, 0.0, -0.5, -0.0034280559314388806
'2016-06-21', 7.5, 7.5, 7.15, 7.35, 1155500.0, 7.35, -0.2400000000000002, 0.25, 0.28637213551601004, 0.0, 0.0, -0.8, -0.0040833333333333355
'2016-06-20', 7.74, 7.89, 7.41, 7.52, 1471700.0, 7.52, 0.3100000000000005, 0.7400000000000002, 0.29309763257696614, -1.0, 0.0, -1.0, 0.0
'2016-06-17', 7.43, 7.81, 7.41, 7.69, 1275300.0, 7.69, 0.10999999999999943, -0.16000000000000014, 0.293217590801704, 0.0, 0.1, -0.8, 0.04172274562584125
'2016-06-16', 7.32, 7.43, 6.9, 7.42, 1060500.0, 7.42, 0.07000000000000028, -0.6799999999999997, 0.36744100055504, 0.0, 0.5, -0.5, 0.028688524590163928
'2016-06-15', 7.25, 7.57, 7.22, 7.32, 962900.0, 7.32, 0.25, -0.8800000000000008, 0.3607690858892061, 0.0, 0.8, -0.1, 0.022528735632183917
'2016-06-14', 7.0, 7.31, 7.0, 7.19, 1317200.0, 7.19, -0.5899999999999999, -1.0899999999999999, 0.35444792753426185, 1.0, 1.0, -0.1, 0.026428571428571437
'2016-06-13', 7.59, 7.89, 7.06, 7.09, 2658200.0, 7.09, -0.41000000000000014, -0.4299999999999997, 0.34246248780787014, 0.0, 0.8, -0.5, 0.003952569169960484
'2016-06-10', 8.0, 8.0, 7.67, 7.71, 599700.0, 7.71, -0.13000000000000078, 0.08999999999999986, 0.38439288350448025, 0.0, 0.5, -0.8, -0.0054166666666666625
'2016-06-09', 8.13, 8.15, 7.95, 8.15, 405000.0, 8.15, 0.040000000000000924, 0.13000000000000078, 0.4410240608200672, -1.0, 0.1, -1.0, 0.0
'2016-06-08', 8.09, 8.21, 8.03, 8.15, 660600.0, 8.15, 0.07000000000000028, 0.29000000000000004, 0.47807728338511235, 0.0, 0.0, -0.8, 0.0049443757725588285
'2016-06-07', 8.02, 8.09, 7.96, 8.05, 693600.0, 8.05, 0.10999999999999943, 0.2999999999999998, 0.4842484440404075, 0.0, 0.0, -0.5, 0.006857855361596086
'2016-06-06', 7.91, 8.06, 7.87, 8.01, 540800.0, 8.01, -0.08999999999999986, 0.35000000000000053, 0.4983890715762804, 0.0, 0.0, -0.1, 0.00927096502317744
'2016-06-03', 8.0, 8.0, 7.73, 7.9, 519900.0, 7.9, 0.20000000000000018, 0.5599999999999996, 0.49923730718856435, 0.0, 0.0, 0.0, 0.004062500000000024
'2016-06-02', 7.8, 8.0, 7.8, 7.99, 878300.0, 7.99, 0.08000000000000007, 0.34999999999999964, 0.5025513793522897, 0.0, 0.0, 0.0, 0.008461538461538486
'2016-06-01', 7.72, 7.89, 7.62, 7.83, 725400.0, 7.83, 0.16000000000000014, 0.3199999999999994, 0.5051623501410215, 0.0, 0.0, 0.0, 0.008851468048359262
'2016-05-31', 7.56, 7.86, 7.55, 7.71, 1072000.0, 7.71, 0.11999999999999922, -0.1900000000000004, 0.5066014212376433, 0.0, 0.1, 0.0, 0.010770975056689365
'2016-05-27', 7.44, 7.59, 7.41, 7.56, 703600.0, 7.56, -0.009999999999999787, -0.09999999999999964, 0.49980318348548186, 0.0, 0.5, 0.0, 0.011592741935483876
'2016-05-26', 7.45, 7.54, 7.3, 7.44, 508000.0, 7.44, 0.04999999999999982, -0.08999999999999986, 0.48708714711937223, 0.0, 0.8, 0.0, 0.010141685309470554
'2016-05-25', 7.4, 7.59, 7.36, 7.44, 941100.0, 7.44, -0.34999999999999964, -0.1899999999999995, 0.4689966832386866, 1.0, 1.0, 0.0, 0.00986486486486487
'2016-05-24', 7.75, 7.8, 7.36, 7.4, 1058300.0, 7.4, 0.20999999999999996, 0.08000000000000007, 0.4559392015999015, 0.0, 0.8, 0.0, 0.004457478005865112
'2016-05-23', 7.54, 7.88, 7.51, 7.73, 1239700.0, 7.73, 0.0, -0.15000000000000036, 0.46709694449391936, 0.0, 0.5, 0.0, 0.006520778072502218
'2016-05-20', 7.54, 7.57, 7.4, 7.51, 973300.0, 7.51, -0.04999999999999982, -0.16000000000000014, 0.4675587901240038, 0.0, 0.1, 0.0, 0.006019179759232818
'2016-05-19', 7.59, 7.72, 7.39, 7.47, 716700.0, 7.47, -0.08000000000000007, -0.3600000000000003, 0.4675587901240038, 0.0, 0.0, 0.0, 0.005081874647092048
'2016-05-18', 7.67, 7.77, 7.5, 7.64, 1043200.0, 7.64, -0.020000000000000462, -0.21999999999999975, 0.4725937884577927, 0.0, 0.0, 0.0, 0.0039982616253802766
'2016-05-17', 7.69, 7.92, 7.57, 7.74, 920300.0, 7.74, -0.009999999999999787, -0.54, 0.47825098013490785, 0.0, 0.0, 0.0, 0.003576072821846557
'2016-05-16', 7.7, 7.85, 7.52, 7.72, 548800.0, 7.72, -0.25, -0.3700000000000001, 0.4858167235582663, 0.0, 0.0, 0.0, 0.0032849503437738774
'2016-05-13', 7.95, 8.02, 7.6, 7.63, 941600.0, 7.63, 0.0600000000000005, -0.15999999999999925, 0.4799908563943924, 0.0, 0.0, 0.0, 0.00125786163522013
'2016-05-12', 7.89, 8.03, 7.62, 7.83, 795200.0, 7.83, -0.34000000000000075, 0.1200000000000001, 0.4798374724841735, 0.0, 0.0, 0.0, 0.0016009605763458148
'2016-05-11', 8.23, 8.23, 7.73, 7.8, 969700.0, 7.8, 0.16000000000000014, -0.7699999999999996, 0.49436884565631317, 0.0, 0.0, 0.0, -0.0006075334143377864
'2016-05-10', 8.07, 8.43, 8.02, 8.28, 613200.0, 8.28, -0.03999999999999915, 0.019999999999999574, 0.5126571303837814, 0.0, 0.0, 0.0, 0.0003540449637103942
'2016-05-09', 8.11, 8.13, 7.83, 7.99, 877100.0, 7.99, 0.33999999999999986, -0.13000000000000078, 0.5202017770912446, 0.0, 0.0, 0.0, 0.00011209505660801116
'2016-05-06', 7.77, 8.13, 7.71, 8.13, 931400.0, 8.13, -1.2300000000000004, -0.7800000000000011, 0.5209909361548967, 0.0, 0.0, 0.0, 0.0020144367970454996
'2016-05-05', 9.0, 9.0, 7.64, 7.87, 1858600.0, 7.87, 0.9499999999999993, 0.08999999999999986, 0.5207734632256141, 0.0, 0.0, 0.0, -0.004027777777777774
'2016-05-04', 8.05, 8.24, 8.0, 8.1, 693300.0, 8.1, -0.1899999999999995, -1.08, 0.4949510637987917, 0.0, 0.0, 0.0, 0.00039751552795031083
'2016-05-03', 8.24, 8.34, 8.04, 8.07, 731800.0, 8.07, -0.3100000000000005, -0.7599999999999998, 0.4979941989845085, 0.0, 0.0, 0.0, -0.0005134428678117972
'2016-05-02', 8.55, 8.55, 8.2, 8.32, 817900.0, 8.32, -0.35999999999999943, 0.120000000000001, 0.49957137183345035, 0.0, 0.0, 0.0, -0.0018193632228719944
'2016-04-29', 8.91, 8.93, 8.37, 8.48, 739800.0, 8.48, -0.22000000000000064, 0.25, 0.4956342737677988, 0.0, 0.0, 0.0, -0.0031265031265031236
'2016-04-28', 9.13, 9.21, 8.54, 8.92, 1197200.0, 8.92, 0.13000000000000078, 0.9000000000000004, 0.47246681247352057, 0.0, 0.0, 0.0, -0.003776862937643992
'2016-04-27', 9.0, 9.27, 8.88, 9.27, 951000.0, 9.27, 0.5700000000000003, 0.6400000000000006, 0.4302226813588, 0.0, 0.0, 0.0, -0.003222222222222219
'2016-04-26', 8.43, 9.04, 8.34, 9.03, 1005700.0, 9.03, -0.23000000000000043, -0.009999999999999787, 0.3918554155127457, 0.0, 0.0, 0.0, -0.0011479738261967586
'2016-04-25', 8.66, 8.85, 8.3, 8.43, 775000.0, 8.43, 0.4299999999999997, 0.16000000000000014, 0.39674509028678184, 0.0, 0.0, 0.0, -0.0019125288683602749
