Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 10.07, 10.09, 10.02, 10.07, 110700.0, 9.791383, 0.030000000000001137, 0.1899999999999995, 0.07421066110891497, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 10.04, 10.1, 10.04, 10.07, 58900.0, 9.791383, 0.0799999999999983, 0.1899999999999995, 0.07241546796092668, 0.0, 0.0, -0.8, 0.002988047808765054
'2016-09-21', 9.96, 9.99, 9.89, 9.99, 64900.0, 9.713596, 0.08000000000000007, 0.1700000000000017, 0.0715510695626247, 0.0, 0.0, -0.5, 0.005522088353413625
'2016-09-20', 9.88, 9.93, 9.87, 9.89, 81800.0, 9.616364, 0.0, 0.040000000000000924, 0.07335529974037323, 0.0, 0.1, -0.1, 0.0064102564102563936
'2016-09-19', 9.88, 9.94, 9.85, 9.91, 50700.0, 9.63581, 0.030000000000001137, -0.03999999999999915, 0.0741350119714026, 0.0, 0.5, 0.0, 0.004807692307692295
'2016-09-16', 9.85, 9.88, 9.8, 9.86, 92900.0, 9.587193, 0.0600000000000005, 0.0, 0.08074376480915142, 0.0, 0.8, 0.0, 0.004467005076142145
'2016-09-15', 9.79, 9.85, 9.74, 9.84, 78700.0, 9.567747, -0.05000000000000071, -0.25, 0.0867307455417179, 1.0, 1.0, 0.0, 0.004766768811712651
'2016-09-14', 9.84, 9.87, 9.7, 9.77, 80900.0, 9.499684, -0.08000000000000007, -0.2599999999999998, 0.08952032667997184, 0.0, 0.8, 0.0, 0.003339140534262492
'2016-09-13', 9.92, 9.92, 9.84, 9.85, 79400.0, 9.577471, 0.07000000000000028, -0.16000000000000014, 0.09012398866746478, 0.0, 0.5, 0.0, 0.0018901209677419399
'2016-09-12', 9.85, 9.99, 9.85, 9.98, 34300.0, 9.703873, -0.1899999999999995, -0.16999999999999993, 0.09126518138552794, 0.0, 0.1, 0.0, 0.002481669486745636
'2016-09-09', 10.04, 10.04, 9.87, 9.88, 86500.0, 9.60664, -0.0600000000000005, 0.0799999999999983, 0.09175813618178792, 0.0, 0.0, 0.0, 0.0002988047808765054
'2016-09-08', 10.1, 10.11, 10.06, 10.07, 62900.0, 9.791383, 0.019999999999999574, 0.15000000000000036, 0.09067708273501816, 0.0, 0.0, 0.0, -0.00027002700270026427
'2016-09-07', 10.08, 10.12, 10.08, 10.12, 78300.0, 9.84, 0.0600000000000005, 0.16000000000000014, 0.08394177876494052, 0.0, 0.0, 0.0, -8.26719576719559e-05
'2016-09-06', 10.02, 10.1, 10.0, 10.08, 99700.0, 9.801106, 0.05999999999999872, 0.07000000000000028, 0.07923523346480542, 0.0, 0.0, 0.0, 0.0003838476892369163
'2016-09-02', 9.96, 10.0, 9.95, 9.97, 73900.0, 9.69415, 0.010000000000001563, 0.0, 0.07663477597598164, 0.0, 0.0, 0.0, 0.0007888697647733751
'2016-09-01', 9.95, 9.98, 9.9, 9.92, 81400.0, 9.645534, 0.02999999999999936, 0.02999999999999936, 0.07773816451539246, 0.0, 0.0, 0.0, 0.0008040201005025192
'2016-08-31', 9.92, 9.97, 9.9, 9.95, 53100.0, 9.674703, -0.02999999999999936, -0.02999999999999936, 0.0764169847321625, 0.0, 0.0, 0.0, 0.0009450604838709699
'2016-08-30', 9.95, 9.97, 9.91, 9.94, 42300.0, 9.66498, -0.010000000000001563, -0.040000000000000924, 0.07627727198990682, 0.0, 0.0, 0.0, 0.0007094295004433994
'2016-08-29', 9.96, 9.97, 9.95, 9.97, 29600.0, 9.69415, 0.040000000000000924, 0.0, 0.0750555349946514, 0.0, 0.0, -0.1, 0.0006135653726015139
'2016-08-26', 9.92, 9.96, 9.91, 9.92, 29200.0, 9.645534, -0.02999999999999936, -0.02999999999999936, 0.0723755637091845, 0.0, 0.0, -0.5, 0.0007958404074702906
'2016-08-25', 9.95, 9.98, 9.92, 9.93, 79500.0, 9.655257, -0.040000000000000924, -0.010000000000001563, 0.07296041544716028, 0.0, 0.0, -0.8, 0.0006030150753768894
'2016-08-24', 9.99, 10.0, 9.92, 9.92, 69600.0, 9.645534, 0.02999999999999936, 0.09999999999999964, 0.07133644853010904, -1.0, 0.0, -1.0, 0.0
