Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 13.63, 13.69, 13.55, 13.56, 66000.0, 13.434386, 0.02000000000000135, 0.09000000000000163, 0.21168136431911067, -1.0, 0.0, -1.0, 0.0
'2016-09-30', 13.61, 13.83, 13.55, 13.72, 76900.0, 13.592903, 0.0, 0.05999999999999872, 0.21014518790588577, 0.0, 0.0, -0.8, 0.0014695077149156025
'2016-09-29', 13.61, 13.62, 13.46, 13.5, 93000.0, 13.374941, 0.009999999999999787, 0.05999999999999872, 0.20911480100652857, 0.0, 0.0, -0.5, 0.0007347538574578013
'2016-09-28', 13.6, 13.63, 13.42, 13.6, 76200.0, 13.474015, 0.0600000000000005, 0.16000000000000014, 0.2087340146906798, 0.0, 0.0, -0.1, 0.0007352941176470868
'2016-09-27', 13.54, 13.63, 13.48, 13.57, 56300.0, 13.444292, -0.010000000000001563, 0.40999999999999837, 0.20893273771453086, 0.0, 0.0, 0.0, 0.0016617429837518767
'2016-09-26', 13.55, 13.64, 13.5, 13.6, 123100.0, 13.474015, 0.0, 0.4400000000000013, 0.21599922839368363, 0.0, 0.0, 0.0, 0.0011808118081180821
'2016-09-23', 13.55, 13.59, 13.47, 13.55, 172800.0, 13.424478, 0.11000000000000121, 0.370000000000001, 0.22160751090359934, 0.0, 0.1, 0.0, 0.0009840098400984018
'2016-09-22', 13.44, 13.59, 13.4, 13.53, 107000.0, 13.404663, 0.3099999999999987, 0.33000000000000007, 0.22414801657238315, 0.0, 0.5, 0.0, 0.0020195578231292652
'2016-09-21', 13.13, 13.29, 13.13, 13.28, 109500.0, 13.156979, 0.02000000000000135, 0.010000000000001563, 0.22820653413568648, 0.0, 0.8, 0.0, 0.00476009139375476
'2016-09-20', 13.11, 13.3, 12.99, 13.01, 112500.0, 12.88948, -0.07000000000000028, -0.05000000000000071, 0.21873093567719734, 1.0, 1.0, 0.0, 0.004407153148571924
'2016-09-19', 13.18, 13.36, 13.14, 13.15, 68500.0, 12.912266, 0.07000000000000028, -0.040000000000000924, 0.20628351579534632, 0.0, 0.8, 0.0, 0.0034142640364188243
'2016-09-16', 13.11, 13.16, 12.99, 13.04, 79100.0, 12.804255, -0.009999999999999787, -0.3500000000000014, 0.19776641665246286, 0.0, 0.5, 0.0, 0.0036058525761043024
'2016-09-15', 13.12, 13.19, 13.05, 13.07, 73100.0, 12.833713, -0.040000000000000924, -0.6800000000000015, 0.17968645531097274, 0.0, 0.1, 0.0, 0.0032393292682926927
'2016-09-14', 13.16, 13.27, 13.03, 13.05, 145400.0, 12.814075, -0.0600000000000005, -0.6799999999999997, 0.15857560412062813, 0.0, 0.0, 0.0, 0.002747252747252751
'2016-09-13', 13.22, 13.32, 13.1, 13.15, 129700.0, 12.912266, -0.2400000000000002, -0.5099999999999998, 0.13586104011902078, 0.0, 0.0, -0.1, 0.0022152582666954837
'2016-09-12', 13.46, 13.46, 13.31, 13.42, 143300.0, 13.177386, -0.33999999999999986, -0.17999999999999972, 0.1183704167246003, 0.0, 0.0, -0.5, 0.0008420009905894003
'2016-09-09', 13.8, 13.86, 13.51, 13.53, 182500.0, 13.285397, -0.03999999999999915, 0.28000000000000114, 0.11433673464328463, 0.0, 0.0, -0.8, -0.0007699275362318837
'2016-09-08', 13.84, 13.94, 13.82, 13.92, 119400.0, 13.668346, 0.10999999999999943, 0.379999999999999, 0.1109459327780878, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 13.73, 13.85, 13.71, 13.8, 36400.0, 13.550516, 0.08999999999999986, 0.23000000000000043, 0.10470063143182187, 0.0, 0.1, -0.8, 0.008011653313911102
'2016-09-06', 13.64, 13.77, 13.62, 13.76, 46500.0, 13.511239, 0.120000000000001, 0.15000000000000036, 0.10339997850848681, 0.0, 0.5, -0.5, 0.007331378299120208
'2016-09-02', 13.52, 13.62, 13.5, 13.6, 62700.0, 13.354132, 0.05999999999999872, -0.05000000000000071, 0.10390647504152727, 0.0, 0.8, -0.1, 0.00788954635108482
