Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 12.72, 13.09, 12.33, 12.36, 573800.0, 12.36, 0.47000000000000064, 0.8000000000000007, 1.1288204758360234, -1.0, 0.1, -1.0, 0.0
'2016-10-05', 12.25, 13.0, 12.25, 12.99, 585700.0, 12.99, -0.46000000000000085, -0.4299999999999997, 1.2922102082177738, 0.0, 0.5, -0.8, 0.03836734693877556
'2016-10-04', 12.71, 12.85, 12.12, 12.27, 459500.0, 12.27, 0.9600000000000009, -0.27999999999999936, 1.3119129798377127, 0.0, 0.8, -0.5, 0.000393391030684492
'2016-10-03', 11.75, 12.82, 11.7, 12.63, 1782000.0, 12.63, -0.16999999999999993, -0.6999999999999993, 1.3302724867067233, 1.0, 1.0, -0.1, 0.02751773049645392
'2016-09-30', 11.92, 12.0, 11.55, 11.79, 879000.0, 11.79, -0.7599999999999998, -0.6300000000000008, 1.3078085571757903, 0.0, 0.8, -0.5, 0.0167785234899329
'2016-09-29', 12.68, 12.71, 11.95, 12.08, 818400.0, 12.08, -0.3100000000000005, -0.1899999999999995, 1.2883800767716886, 0.0, 0.5, -0.8, 0.0006309148264984373
'2016-09-28', 12.99, 13.14, 12.47, 12.72, 571600.0, 12.72, 0.5400000000000009, -0.15000000000000036, 1.380102612932177, -1.0, 0.1, -1.0, 0.0
'2016-09-27', 12.45, 12.81, 12.27, 12.8, 518400.0, 12.8, -0.10000000000000142, -1.3800000000000008, 1.489028539775749, 0.0, 0.0, -0.8, 0.04337349397590369
'2016-09-26', 12.55, 12.72, 12.31, 12.38, 718300.0, 12.38, -0.3199999999999985, -1.25, 1.5517493372033846, 0.0, 0.0, -0.5, 0.01752988047808763
'2016-09-23', 12.87, 12.96, 12.38, 12.56, 1056600.0, 12.56, -0.27000000000000135, -1.0300000000000011, 1.591794664270509, 0.0, 0.0, -0.1, 0.003108003108003134
'2016-09-22', 13.14, 13.58, 12.82, 12.88, 1394900.0, 12.88, -0.6899999999999995, -0.46999999999999886, 1.6353658997980578, 0.0, 0.0, 0.0, -0.0028538812785388196
'2016-09-21', 13.83, 13.83, 12.79, 13.27, 1191200.0, 13.27, 0.02999999999999936, 0.3000000000000007, 1.7541828117642069, 0.0, 0.0, 0.0, -0.012147505422993489
'2016-09-20', 13.8, 13.91, 13.48, 13.75, 612200.0, 13.75, -0.09999999999999964, 0.120000000000001, 1.7628354456008526, 0.0, 0.0, 0.0, -0.009782608695652178
'2016-09-19', 13.9, 14.0, 13.49, 13.57, 593600.0, 13.57, 0.2900000000000009, -0.7400000000000002, 1.7532246629948622, 0.0, 0.0, 0.0, -0.009352517985611512
'2016-09-16', 13.61, 14.06, 13.5, 13.84, 754400.0, 13.84, 0.08000000000000007, -0.40000000000000036, 1.7302143652160895, 0.0, 0.0, 0.0, -0.005694342395297569
'2016-09-15', 13.53, 13.75, 13.25, 13.46, 705200.0, 13.46, -0.15000000000000036, -1.5700000000000003, 1.7019315527169268, 0.0, 0.0, 0.0, -0.004434589800443452
'2016-09-14', 13.68, 13.95, 13.4, 13.51, 1001700.0, 13.51, -0.9600000000000009, -2.09, 1.630078536921902, 0.0, 0.0, 0.0, -0.005043859649122803
'2016-09-13', 14.64, 14.67, 13.57, 13.67, 938400.0, 13.67, 0.6300000000000008, -0.5, 1.5599175371082576, 0.0, 0.0, 0.0, -0.010245901639344263
'2016-09-12', 14.01, 14.78, 14.01, 14.75, 901600.0, 14.75, -1.0899999999999999, -0.6899999999999995, 1.5295814826285377, 0.0, 0.0, 0.0, -0.006067094932191289
'2016-09-09', 15.1, 15.23, 13.98, 14.16, 888400.0, 14.16, -0.6699999999999999, 0.75, 1.4721221166737888, 0.0, 0.0, 0.0, -0.01074885379521141
