Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 11.28, 11.45, 11.09, 11.22, 10027900.0, 11.214872, 0.33999999999999986, 0.5599999999999987, 0.27570435050772935, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 10.94, 11.12, 10.7, 11.09, 11913000.0, 11.084931, 0.03999999999999915, 0.3699999999999992, 0.27488098434696345, 0.0, 0.0, -0.8, 0.031078610603290664
'2016-09-20', 10.9, 10.97, 10.76, 10.78, 5796100.0, 10.775073, 0.08999999999999986, 0.40000000000000036, 0.2734928396381399, 0.0, 0.0, -0.5, 0.01743119266055041
'2016-09-19', 10.81, 10.93, 10.68, 10.7, 6817100.0, 10.695109, 0.08999999999999986, 0.040000000000000924, 0.2714817366478514, 0.0, 0.1, -0.1, 0.014492753623188371
'2016-09-16', 10.72, 10.74, 10.48, 10.62, 13729300.0, 10.615146, 0.15000000000000036, 0.13000000000000078, 0.26642989488585717, 0.0, 0.5, 0.0, 0.013059701492537283
'2016-09-15', 10.57, 10.87, 10.44, 10.8, 10080000.0, 10.795064, 0.07000000000000028, -0.4800000000000004, 0.25730569799796943, 0.0, 0.8, 0.0, 0.013434247871333946
'2016-09-14', 10.5, 10.66, 10.45, 10.5, 8650900.0, 10.495201, -0.2699999999999996, -1.0600000000000005, 0.2735641302022862, 1.0, 1.0, 0.0, 0.012380952380952371
'2016-09-13', 10.77, 10.83, 10.44, 10.52, 13561100.0, 10.515192, 0.17999999999999972, -0.7100000000000009, 0.27065024580730696, 0.0, 0.8, 0.0, 0.006764822920811776
'2016-09-12', 10.59, 11.02, 10.51, 11.0, 11774800.0, 10.994972, -0.46000000000000085, -0.6899999999999995, 0.29277219054335685, 0.0, 0.5, 0.0, 0.008144475920679881
'2016-09-09', 11.05, 11.06, 10.69, 10.69, 15065800.0, 10.685114, -0.5099999999999998, -0.25, 0.325227441783268, 0.0, 0.1, 0.0, 0.0023127199597787695
'2016-09-08', 11.56, 11.58, 11.36, 11.41, 20290600.0, 11.404785, 0.08000000000000007, 0.5600000000000005, 0.36720884157837674, 0.0, 0.0, 0.0, -0.002422145328719733
'2016-09-07', 11.48, 11.5, 11.22, 11.45, 19934200.0, 11.444767, 0.20000000000000107, 0.120000000000001, 0.3812837963162523, 0.0, 0.0, 0.0, -0.001583782071586958
'2016-09-06', 11.28, 11.56, 11.21, 11.56, 12217900.0, 11.554717, -0.02000000000000135, 0.09999999999999964, 0.3909640506349515, 0.0, 0.0, -0.1, 0.0
'2016-09-02', 11.3, 11.42, 11.26, 11.31, 21213000.0, 11.304831, 0.3000000000000007, 0.3600000000000012, 0.39829581413260623, 0.0, 0.0, -0.5, -0.00013614703880191525
'2016-09-01', 11.0, 11.28, 10.9, 11.14, 17059200.0, 11.134909, -0.35999999999999943, -0.05000000000000071, 0.4077756736246046, 0.0, 0.0, -0.8, 0.001818181818181814
'2016-08-31', 11.36, 11.36, 10.91, 11.08, 24740000.0, 11.069938, 0.17999999999999972, 0.35999999999999943, 0.4132774155724243, -1.0, 0.0, -1.0, 0.0
'2016-08-30', 11.18, 11.29, 11.09, 11.28, 7789000.0, 11.269757, 0.2400000000000002, 0.27999999999999936, 0.41258924960411775, 0.0, 0.0, -0.8, 0.01610017889087654
'2016-08-29', 10.94, 11.3, 10.92, 11.24, 9288100.0, 11.229793, -0.11000000000000121, -0.3200000000000003, 0.4186799360954487, 0.0, 0.1, -0.5, 0.01919561243144424
'2016-08-26', 11.05, 11.35, 10.79, 10.97, 18536500.0, 10.960039, 0.05000000000000071, -0.1999999999999993, 0.4297545811274152, 0.0, 0.5, -0.1, 0.009351432880844605
'2016-08-25', 11.0, 11.06, 10.86, 10.9, 12025000.0, 10.890102, 0.09999999999999964, -0.2599999999999998, 0.4398454273946702, 0.0, 0.8, 0.0, 0.008181818181818169
'2016-08-24', 10.9, 11.08, 10.81, 10.98, 10361300.0, 10.970029, -0.35999999999999943, -0.4900000000000002, 0.44578831548417946, 1.0, 1.0, 0.0, 0.008440366972477048
'2016-08-23', 11.26, 11.35, 10.98, 10.99, 12105800.0, 10.98002, 0.009999999999999787, 0.02999999999999936, 0.47912895503773895, 0.0, 0.8, 0.0, 0.0014801657785671943
'2016-08-22', 11.25, 11.25, 11.03, 11.1, 8183900.0, 11.089921, -0.009999999999999787, -0.16999999999999993, 0.4908966852154898, 0.0, 0.5, 0.0, 0.0013968253968253896
