Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 8.24, 8.3, 8.24, 8.28, 16000.0, 8.28, 0.15000000000000036, 0.2999999999999998, 0.09834406721076545, 0.0, 0.0, -0.8, 0.0
'2016-09-21', 8.09, 8.21, 8.09, 8.21, 77200.0, 8.21, 0.13999999999999968, 0.2400000000000002, 0.09463908048769047, 0.0, 0.0, -0.5, 0.009270704573547612
'2016-09-20', 7.95, 8.04, 7.95, 7.99, 211100.0, 7.99, 0.0, 0.040000000000000036, 0.09465492884977281, 0.0, 0.1, -0.1, 0.012159329140461217
'2016-09-19', 7.95, 7.96, 7.89, 7.91, 122500.0, 7.91, 0.009999999999999787, -0.04999999999999982, 0.0910945784458231, 0.0, 0.5, 0.0, 0.009119496855345913
'2016-09-16', 7.94, 7.94, 7.9, 7.92, 25500.0, 7.92, 0.09000000000000075, -0.05999999999999961, 0.08733396946333208, 0.0, 0.8, 0.0, 0.007556675062972287
'2016-09-15', 7.85, 7.95, 7.85, 7.94, 17000.0, 7.94, -0.0600000000000005, -0.23000000000000043, 0.08795453370918413, 1.0, 1.0, 0.0, 0.008280254777070077
'2016-09-14', 7.91, 7.92, 7.86, 7.92, 17600.0, 7.92, -0.08999999999999986, -0.28999999999999915, 0.08441695458983477, 0.0, 0.8, 0.0, 0.005959906086328338
'2016-09-13', 8.0, 8.03, 7.91, 7.92, 7100.0, 7.92, 0.0, -0.17999999999999972, 0.07865254110467271, 0.0, 0.5, 0.0, 0.0037500000000000033
'2016-09-12', 8.0, 8.04, 7.99, 8.04, 32200.0, 8.04, -0.08000000000000007, -0.17999999999999972, 0.07645187302407244, 0.0, 0.1, 0.0, 0.003333333333333336
'2016-09-09', 8.08, 8.1, 7.92, 8.07, 15600.0, 8.07, -0.11999999999999922, -0.07000000000000028, 0.08131967098364881, 0.0, 0.0, 0.0, 0.001980198019801982
'2016-09-08', 8.2, 8.21, 8.19, 8.2, 6700.0, 8.2, 0.019999999999999574, 0.03999999999999915, 0.09308598175880196, 0.0, 0.0, 0.0, 0.0004434589800443562
'2016-09-07', 8.18, 8.21, 8.17, 8.17, 115500.0, 8.17, 0.0, 0.09999999999999964, 0.09861316116804883, 0.0, 0.0, 0.0, 0.0006112469437652863
'2016-09-06', 8.18, 8.18, 8.14, 8.14, 42800.0, 8.14, 0.02999999999999936, 0.08999999999999986, 0.1069558579768101, 0.0, 0.0, 0.0, 0.0005642279480910335
