Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 15.72, 15.72, 15.525, 15.65, 70400.0, 15.530306, 0.10000000000000142, 0.14000000000000057, 0.293011945148999, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 15.62, 15.77, 15.57, 15.74, 95500.0, 15.619618, -0.0600000000000005, 0.14999999999999858, 0.2953498866692783, 0.0, 0.0, -0.8, 0.006402048655569874
'2016-10-04', 15.68, 15.77, 15.551, 15.62, 147700.0, 15.500535, 0.08999999999999986, 0.2599999999999998, 0.2984748267814594, 0.0, 0.0, -0.5, 0.001275510204081662
'2016-10-03', 15.59, 15.84, 15.452, 15.63, 88100.0, 15.510459, 0.009999999999999787, 0.22000000000000064, 0.29888608011897927, 0.0, 0.0, -0.1, 0.0027795595467179986
'2016-09-30', 15.58, 15.75, 15.49, 15.7, 118200.0, 15.579924, 0.10999999999999943, 0.3200000000000003, 0.29938529615790344, 0.0, 0.0, 0.0, 0.002246469833119393
'2016-09-29', 15.47, 15.68, 15.4, 15.49, 208300.0, 15.37153, 0.05000000000000071, 0.08999999999999986, 0.29961252755294904, 0.0, 0.0, 0.0, 0.003232062055591467
'2016-09-28', 15.42, 15.49, 15.27, 15.48, 83900.0, 15.361606, 0.05000000000000071, 0.16999999999999993, 0.29947157164282256, 0.0, 0.0, 0.0, 0.0032425421530479976
'2016-09-27', 15.37, 15.41, 15.261, 15.36, 91500.0, 15.242524, 0.10999999999999943, 0.16999999999999993, 0.29800167784762555, 0.0, 0.0, 0.0, 0.0032530904359141318
'2016-09-26', 15.26, 15.37, 15.21, 15.31, 53500.0, 15.192907, -0.120000000000001, 0.17999999999999972, 0.295685455998243, 0.0, 0.0, 0.0, 0.0037680209698558393
'2016-09-23', 15.38, 15.45, 15.24, 15.24, 82100.0, 15.123442, 0.13000000000000078, 0.3100000000000005, 0.2909035731799953, 0.0, 0.0, 0.0, 0.002456292443288541
'2016-09-22', 15.25, 15.485, 15.25, 15.33, 121200.0, 15.212753, 0.05000000000000071, 0.0, 0.2891260778430214, 0.0, 0.1, 0.0, 0.003081967213114758
'2016-09-21', 15.2, 15.561, 15.06, 15.18, 238800.0, 15.063901, 0.11999999999999922, 0.10999999999999943, 0.2818502360395598, 0.0, 0.5, 0.0, 0.0031100478468899604
'2016-09-20', 15.08, 15.24, 15.04, 15.12, 94200.0, 15.00436, 0.009999999999999787, -0.23000000000000043, 0.2743550011694094, 0.0, 0.8, 0.0, 0.0035366931918656085
'2016-09-19', 15.07, 15.2, 14.98, 15.02, 98200.0, 14.905125, -0.17999999999999972, -0.25, 0.2607137638611867, 1.0, 1.0, 0.0, 0.0033178500331785023
'2016-09-16', 15.25, 15.28, 15.06, 15.09, 112900.0, 14.974589, 0.16000000000000014, -0.25, 0.24731805882753932, 0.0, 0.8, 0.0, 0.0022014051522248274
'2016-09-15', 15.09, 15.45, 15.02, 15.32, 165000.0, 15.20283, -0.22000000000000064, -0.7900000000000009, 0.2536973262242495, 0.0, 0.5, 0.0, 0.0027833001988071607
'2016-09-14', 15.31, 15.31, 15.04, 15.15, 161400.0, 15.03413, -0.009999999999999787, -0.6699999999999999, 0.2502922735967336, 0.0, 0.1, 0.0, 0.001673742651861529
'2016-09-13', 15.32, 15.341, 15.115, 15.2, 172000.0, 15.083748, -0.17999999999999972, -0.5600000000000005, 0.24694781275043148, 0.0, 0.0, 0.0, 0.0015358623867301503
'2016-09-12', 15.5, 15.598, 15.23, 15.57, 139300.0, 15.331836, -0.3800000000000008, -0.4399999999999995, 0.24157722482791189, 0.0, 0.0, 0.0, 0.0007885304659498231
'2016-09-09', 15.88, 15.89, 15.42, 15.5, 189700.0, 15.262907, -0.09999999999999964, 0.15000000000000036, 0.24448153758969646, 0.0, 0.0, 0.0, -0.000530292986875249
'2016-09-08', 15.98, 16.07, 15.9, 15.94, 52500.0, 15.696176, 0.09999999999999964, 0.11000000000000121, 0.24497732321357588, 0.0, 0.0, 0.0, -0.0008135168961201495
'2016-09-07', 15.88, 16.049999, 15.87, 15.95, 112600.0, 15.706023, -0.05999999999999872, -0.06999999999999851, 0.24037678756485603, 0.0, 0.0, 0.0, -0.00047978889288713005
'2016-09-06', 15.94, 15.95, 15.82, 15.83, 107200.0, 15.587859, 0.20999999999999908, -0.05000000000000071, 0.24364933818912765, 0.0, 0.0, 0.0, -0.0006273525721455425
'2016-09-02', 15.73, 15.89, 15.71, 15.89, 353500.0, 15.646941, -0.1399999999999988, -0.1399999999999988, 0.24151926539213278, 0.0, 0.0, 0.0, -2.7640343845876854e-05
'2016-09-01', 15.87, 15.88, 15.66, 15.77, 107200.0, 15.528777, -0.08000000000000007, 0.019999999999999574, 0.247123226121886, 0.0, 0.0, 0.0, -0.00039382482671707254
'2016-08-31', 15.95, 16.01, 15.78, 15.85, 120500.0, 15.607553, -0.040000000000000924, 0.1899999999999995, 0.2451720484340196, 0.0, 0.0, 0.0, -0.0005768025078369873
'2016-08-30', 15.99, 16.040001, 15.87, 15.88, 114000.0, 15.637094, 0.120000000000001, 0.16999999999999993, 0.24254667362981677, 0.0, 0.0, 0.0, -0.0006494443642661268
'2016-08-29', 15.87, 16.09, 15.87, 15.98, 149000.0, 15.735564, 0.019999999999999574, 0.05999999999999872, 0.23626374151688095, 0.0, 0.0, 0.0, -0.0003500665126373978
'2016-08-26', 15.85, 15.92, 15.78, 15.8, 74700.0, 15.558318, 0.08999999999999986, 0.1399999999999988, 0.23119400222900824, 0.0, 0.0, 0.0, -0.00029292474087426544
'2016-08-25', 15.76, 15.83, 15.71, 15.83, 53200.0, 15.587859, -0.0600000000000005, 0.08999999999999986, 0.2244452420227854, 0.0, 0.0, 0.0, -8.751969193068254e-05
'2016-08-24', 15.82, 15.872, 15.67, 15.73, 43100.0, 15.489388, 0.009999999999999787, 0.3100000000000005, 0.22228635185773837, 0.0, 0.0, 0.0, -0.00021070375052675863
'2016-08-23', 15.81, 15.89, 15.74, 15.8, 54300.0, 15.558318, 0.09999999999999964, 0.14000000000000057, 0.22260802621049708, 0.0, 0.0, 0.0, -0.0001836322458223661
'2016-08-22', 15.71, 15.79, 15.63, 15.77, 56600.0, 15.528777, 0.040000000000000924, 0.13000000000000078, 0.21942855076058107, 0.0, 0.0, 0.0, 1.989178866963675e-05
'2016-08-19', 15.67, 15.67, 15.55, 15.66, 105400.0, 15.420459, 0.16000000000000014, 0.16000000000000014, 0.22950284432998982, 0.0, 0.0, 0.0, 9.669122623813253e-05
'2016-08-18', 15.51, 15.68, 15.51, 15.65, 53700.0, 15.410612, -0.16000000000000014, 0.08000000000000007, 0.24022119436515627, 0.0, 0.0, 0.0, 0.00039822505404483034
'2016-08-17', 15.67, 15.69, 15.53, 15.53, 68700.0, 15.292448, 0.08999999999999986, 0.1999999999999993, 0.2630513257902343, 0.0, 0.0, 0.0, 9.116601331023924e-05
'2016-08-16', 15.58, 15.605, 15.5, 15.58, 83700.0, 15.341683, 0.07000000000000028, 0.0, 0.27753198013922653, 0.0, 0.0, 0.0, 0.0002496077592354881
'2016-08-15', 15.51, 15.63, 15.5, 15.58, 67800.0, 15.341683, 0.08000000000000007, 0.10999999999999943, 0.29416189797834497, 0.0, 0.0, -0.1, 0.0003659365361493036
