Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 19.059999, 19.27, 18.959999, 18.959999, 205500.0, 18.959999, 0.30999900000000125, 1.1199980000000025, 0.5451810086572688, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 18.75, 19.129999, 18.59, 19.02, 212100.0, 19.02, 0.4800000000000004, 1.1900009999999988, 0.5467643315608494, 0.0, 0.0, -0.8, 0.016533280000000067
'2016-09-21', 18.27, 18.65, 18.17, 18.6, 186300.0, 18.6, -0.08000000000000185, 0.630001, 0.5473273636504383, 0.0, 0.1, -0.5, 0.021620114942528783
'2016-09-20', 18.35, 18.440001, 18.059999, 18.17, 188000.0, 18.17, 0.40999900000000267, 0.47999900000000295, 0.5361960798071347, 0.0, 0.5, -0.1, 0.012897347865576744
'2016-09-19', 17.940001, 18.26, 17.879999, 18.25, 201800.0, 18.25, 0.3800019999999975, -0.48999900000000096, 0.527099930311052, 0.0, 0.8, 0.0, 0.01560755208430594
'2016-09-16', 17.559999, 17.92, 17.559999, 17.92, 659800.0, 17.92, -0.0799999999999983, -0.770000999999997, 0.4997182058815205, 1.0, 1.0, 0.0, 0.01708428343304575
'2016-09-15', 17.639999, 17.77, 17.389999, 17.6, 270300.0, 17.6, -0.23000199999999893, -1.390001999999999, 0.4379356136091308, 0.0, 0.8, 0.0, 0.013416478462763348
'2016-09-14', 17.870001, 17.870001, 17.6, 17.65, 99100.0, 17.65, -0.5599990000000012, -1.3300000000000018, 0.37225361396721235, 0.0, 0.5, 0.0, 0.00951313401077676
'2016-09-13', 18.43, 18.5, 17.799999, 17.809999, 194600.0, 17.809999, 0.10000000000000142, -0.7700010000000006, 0.316347099455407, 0.0, 0.1, 0.0, 0.004272917797070005
'2016-09-12', 18.33, 18.65, 18.27, 18.559999, 170300.0, 18.559999, -0.7000010000000003, -0.9699990000000014, 0.3169662419467554, 0.0, 0.0, 0.0, 0.004425040916530297
'2016-09-09', 19.030001, 19.16, 18.440001, 18.450001, 217200.0, 18.450001, -0.1700000000000017, -0.010000000000001563, 0.3038528668076141, 0.0, 0.0, -0.1, 0.00015763530438071252
'2016-09-08', 19.200001, 19.26, 19.15, 19.200001, 200000.0, 19.200001, 0.0, 0.25, 0.3217554495791004, 0.0, 0.0, -0.5, -0.0006628882230503249
'2016-09-07', 19.200001, 19.4, 19.200001, 19.24, 172100.0, 19.24, -0.09999799999999937, 0.33999999999999986, 0.3368710686440423, 0.0, 0.0, -0.8, -0.0006076475377961311
'2016-09-06', 19.299999, 19.32, 19.1, 19.23, 181000.0, 19.23, 0.2599979999999995, 0.44999899999999826, 0.3567881340210745, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 19.040001, 19.26, 19.040001, 19.18, 162100.0, 19.18, 0.08999999999999986, 0.21000100000000188, 0.36230868063998983, 0.0, 0.0, -0.8, 0.013655356425664027
'2016-09-01', 18.950001, 19.040001, 18.85, 18.98, 161000.0, 18.98, 0.08999999999999986, -0.11999899999999997, 0.3751887187364011, 0.0, 0.1, -0.5, 0.00923477523827042
'2016-08-31', 18.860001, 19.030001, 18.809999, 18.889999, 242900.0, 18.889999, 0.010000999999999038, -0.509999999999998, 0.38770666864457815, 0.0, 0.5, -0.1, 0.007776563744614846
'2016-08-30', 18.85, 18.959999, 18.809999, 18.889999, 260100.0, 18.889999, 0.020000000000003126, -0.869999, 0.41864797649404173, 0.0, 0.8, 0.0, 0.0059681564986737165
'2016-08-29', 18.83, 19.0, 18.700001, 18.860001, 249800.0, 18.860001, -0.240000000000002, -0.6399990000000031, 0.4314111411020815, 1.0, 1.0, 0.0, 0.00499202336696762
'2016-08-26', 19.07, 19.35, 18.780001, 18.85, 312600.0, 18.85, -0.3000009999999982, -0.30999900000000125, 0.44511777570078015, 0.0, 0.8, 0.0, 0.002010129348016076
'2016-08-25', 19.370001, 19.48, 19.299999, 19.34, 181000.0, 19.34, -0.3499980000000029, 0.16999999999999815, 0.4517048195452425, 0.0, 0.5, 0.0, -0.0005162769849255838
'2016-08-24', 19.719999, 19.74, 19.35, 19.4, 198700.0, 19.4, 0.25, 0.4599989999999998, 0.4441806211445584, 0.0, 0.1, 0.0, -0.0026622719402774925
'2016-08-23', 19.469999, 19.76, 19.469999, 19.68, 103000.0, 19.68, 0.08999999999999986, 0.3199990000000028, 0.4091106328506713, 0.0, 0.0, 0.0, -0.000970153562354527
'2016-08-22', 19.379999, 19.42, 19.27, 19.370001, 105400.0, 19.370001, 0.1799980000000012, 0.1399990000000031, 0.39028822027986215, 0.0, 0.0, 0.0, -0.00041279671892656877
'2016-08-19', 19.200001, 19.48, 19.16, 19.43, 156100.0, 19.43, -0.059999000000001246, 0.05000100000000174, 0.38724231836620354, 0.0, 0.0, 0.0, 0.00047347535412770107
'2016-08-18', 19.26, 19.469999, 19.190001, 19.34, 103600.0, 19.34, 0.11000000000000298, 0.26000000000000156, 0.41358918989773724, 0.0, 0.0, 0.0, 0.0001730659397715391
'2016-08-17', 19.15, 19.33, 19.059999, 19.290001, 87300.0, 19.290001, -0.08999999999999986, -0.010000000000001563, 0.43412097161996965, 0.0, 0.0, 0.0, 0.000602526611769436
'2016-08-16', 19.24, 19.24, 18.969999, 19.120001, 110800.0, 19.120001, 0.08999999999999986, 0.20999899999999982, 0.4657903480468783, 0.0, 0.0, 0.0, 0.00022274651024651492
'2016-08-15', 19.15, 19.41, 19.049999, 19.27, 116600.0, 19.27, 0.14999999999999858, 0.25, 0.4668172728884348, 0.0, 0.0, 0.0, 0.0005221897302001779
'2016-08-12', 19.0, 19.25, 18.940001, 19.139999, 105300.0, 19.139999, -0.16000000000000014, 0.040001000000000175, 0.45528024556350505, 0.0, 0.0, 0.0, 0.0009868388157894727
'2016-08-11', 19.16, 19.16, 18.879999, 19.040001, 308900.0, 19.040001, 0.12999900000000153, 0.5700000000000003, 0.4672283388954828, 0.0, 0.0, 0.0, 0.0004298139506324436
'2016-08-10', 19.030001, 19.110001, 18.950001, 19.040001, 155600.0, 19.040001, 0.13000100000000003, 0.5, 0.4797047524610309, 0.0, 0.0, 0.0, 0.0007882232317743415
'2016-08-09', 18.9, 19.040001, 18.780001, 19.01, 123200.0, 19.01, -0.059999000000001246, 0.3500009999999989, 0.5259955760484862, 0.0, 0.0, 0.0, 0.0011138930659983324
'2016-08-08', 18.959999, 19.0, 18.790001, 18.879999, 101800.0, 18.879999, 0.36999899999999997, 0.30999900000000125, 0.5464961789439907, 0.0, 0.0, 0.0, 0.0008966245198641621
'2016-08-05', 18.59, 18.92, 18.530001, 18.889999, 152200.0, 18.889999, 0.059999000000001246, 0.16999999999999815, 0.564035269780102, 0.0, 0.0, -0.1, 0.0018186915648454106
'2016-08-04', 18.530001, 18.73, 18.219999, 18.540001, 135400.0, 18.540001, -0.01999800000000107, -0.010000000000001563, 0.5687361220776402, 0.0, 0.0, -0.5, 0.0018888239180833903
'2016-08-03', 18.549999, 18.780001, 18.280001, 18.51, 154900.0, 18.51, -0.1000009999999989, 0.11999899999999997, 0.5845768721432482, 0.0, 0.0, -0.8, 0.0017578812619975836
'2016-08-02', 18.65, 18.66, 18.42, 18.59, 180400.0, 18.59, 0.22999999999999687, 0.25, 0.5738279108663552, -1.0, 0.0, -1.0, 0.0
'2016-08-01', 18.42, 18.700001, 18.24, 18.690001, 152300.0, 18.690001, -0.12000099999999847, 0.15000000000000213, 0.5639465932164107, 0.0, 0.1, -0.8, 0.012486427795873879
'2016-07-29', 18.540001, 18.67, 18.299999, 18.43, 120400.0, 18.43, 0.11000100000000046, 0.12000099999999847, 0.5718782682047293, 0.0, 0.5, -0.5, 0.0029665316630780765
'2016-07-28', 18.43, 18.67, 18.42, 18.57, 94100.0, 18.57, 0.030000000000001137, 0.0799999999999983, 0.5755432920103927, 0.0, 0.8, -0.1, 0.003979019714234019
'2016-07-27', 18.4, 18.530001, 18.27, 18.459999, 79700.0, 18.459999, 0.129999999999999, 0.05999999999999872, 0.579078394040781, 1.0, 1.0, 0.0, 0.003396739130434783
'2016-07-26', 18.27, 18.440001, 18.200001, 18.42, 79100.0, 18.42, -0.15000000000000213, 0.28000000000000114, 0.5838764533704447, 0.0, 0.8, 0.0, 0.004159824849480011
'2016-07-25', 18.42, 18.5, 18.25, 18.309999, 84200.0, 18.309999, 0.07000000000000028, 0.16000000000000014, 0.5741566118523607, 0.0, 0.5, 0.0, 0.002081071299312313
'2016-07-22', 18.35, 18.48, 18.15, 18.41, 116000.0, 18.41, 0.010000000000001563, 0.1400010000000016, 0.5528107277062729, 0.0, 0.1, 0.0, 0.002335539120280242
'2016-07-21', 18.34, 18.4, 18.280001, 18.34, 85400.0, 18.34, 0.3500000000000014, 0.059999000000001246, 0.5367538501651746, 0.0, 0.0, 0.0, 0.0021128680479825432
'2016-07-20', 17.99, 18.42, 17.950001, 18.41, 145000.0, 18.41, -0.2700000000000031, -0.3500000000000014, 0.51798727680692, 0.0, 0.0, 0.0, 0.004076338706688902
'2016-07-19', 18.26, 18.33, 17.959999, 18.0, 124600.0, 18.0, 0.05000100000000174, -0.12999899999999798, 0.5106102380490579, 0.0, 0.0, 0.0, 0.0021358159912376615
'2016-07-18', 18.209999, 18.280001, 18.07, 18.23, 124500.0, 18.23, -0.07000199999999879, -0.040001000000000175, 0.49119380698740367, 0.0, 0.0, -0.1, 0.0021966003902081925
'2016-07-15', 18.280001, 18.280001, 17.99, 18.209999, 185100.0, 18.209999, -0.059999000000001246, 0.3500009999999989, 0.4723467053158927, 0.0, 0.0, -0.5, 0.0016867203672472446
'2016-07-14', 18.34, 18.360001, 18.16, 18.17, 95200.0, 18.17, -0.04999899999999968, 0.7699999999999996, 0.44606739520752164, 0.0, 0.0, -0.8, 0.0013002264910661804
'2016-07-13', 18.389999, 18.43, 18.18, 18.200001, 129000.0, 18.200001, 0.13999899999999954, 0.8999990000000011, 0.41182803423076153, -1.0, 0.1, -1.0, 0.0
'2016-07-12', 18.25, 18.42, 18.139999, 18.35, 172600.0, 18.35, 0.3200000000000003, 0.9400009999999988, 0.3670479053210841, 0.0, 0.5, -0.8, 0.007671178082191756
'2016-07-11', 17.93, 18.16, 17.860001, 18.110001, 117700.0, 18.110001, 0.35999999999999943, 0.38000100000000003, 0.3264123922629861, 0.0, 0.8, -0.5, 0.012827635248187391
'2016-07-08', 17.57, 17.93, 17.450001, 17.82, 155000.0, 17.82, 0.08000000000000185, -0.2200009999999999, 0.30635680298298684, 1.0, 1.0, -0.1, 0.015556801365964698
'2016-07-07', 17.49, 17.57, 17.23, 17.370001, 106300.0, 17.370001, 0.1800009999999972, 0.08999999999999986, 0.3023409413606525, 0.0, 0.8, -0.1, 0.012864479702687268
'2016-07-06', 17.309999, 17.48, 17.26, 17.450001, 125500.0, 17.450001, -0.23999999999999844, 0.15999900000000267, 0.30203207692149553, 0.0, 0.5, -0.5, 0.01247833694271153
'2016-07-05', 17.549999, 17.559999, 17.309999, 17.43, 156600.0, 17.43, -0.2400020000000005, 0.8399999999999999, 0.31018732899215906, 0.0, 0.1, -0.8, 0.007977208431749767
'2016-07-01', 17.790001, 17.889999, 17.540001, 17.59, 155800.0, 17.59, 0.3900010000000016, 0.8300020000000004, 0.3135429315643481, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 17.4, 17.73, 17.290001, 17.719999, 176700.0, 17.719999, 0.25, 0.5700000000000003, 0.31072975997474955, 0.0, 0.5, -0.8, 0.022413850574712738
'2016-06-29', 17.15, 17.4, 16.99, 17.389999, 145200.0, 17.389999, 0.44000099999999875, -0.08999999999999986, 0.32374575734769434, 0.0, 0.8, -0.5, 0.018658921282798883
'2016-06-28', 16.709999, 17.110001, 16.709999, 16.950001, 230300.0, 16.950001, -0.25, -0.26000000000000156, 0.33272307982025623, 1.0, 1.0, -0.1, 0.02154402682290207
'2016-06-27', 16.959999, 17.15, 16.530001, 16.65, 328300.0, 16.65, 0.12999900000000153, -0.6600019999999986, 0.3313984775002578, 0.0, 0.8, 0.0, 0.012234700013838449
'2016-06-24', 16.83, 17.34, 16.83, 17.24, 651400.0, 17.24, -0.41000000000000014, -0.4600010000000019, 0.3390668079049056, 0.0, 0.5, -0.1, 0.01140821152703508
'2016-06-23', 17.24, 17.58, 17.0, 17.559999, 308100.0, 17.559999, 0.27000099999999705, 0.25, 0.3453733409909724, 0.0, 0.1, -0.5, 0.005317101701469468
'2016-06-22', 16.969999, 17.129999, 16.75, 16.959999, 190400.0, 16.959999, -0.6500019999999971, 0.08999999999999986, 0.34913571095960166, 0.0, 0.0, -0.8, 0.006902955200948608
'2016-06-21', 17.620001, 17.73, 16.870001, 16.9, 166100.0, 16.9, 0.3299999999999983, 0.7400019999999969, 0.35200135782646713, -1.0, 0.0, -1.0, 0.0
'2016-06-20', 17.290001, 17.540001, 17.219999, 17.52, 230100.0, 17.52, 0.30000100000000174, 0.5100000000000016, 0.34130296053100995, 0.0, 0.0, -0.8, 0.01908617587702848
'2016-06-17', 16.99, 17.129999, 16.799999, 17.09, 415000.0, 17.09, 0.1100009999999969, -0.2700000000000031, 0.35675703839584333, 0.0, 0.1, -0.5, 0.018540347263095943
'2016-06-16', 16.879999, 16.950001, 16.65, 16.950001, 127000.0, 16.950001, 0.0, -0.5899999999999999, 0.3631175234005727, 0.0, 0.5, -0.1, 0.014612994546583342
'2016-06-15', 16.879999, 17.07, 16.809999, 16.889999, 100800.0, 16.889999, 0.09999800000000292, -1.020000999999997, 0.36436015515860115, 0.0, 0.8, 0.0, 0.010959745909937507
'2016-06-14', 16.780001, 16.860001, 16.629999, 16.780001, 189800.0, 16.780001, -0.47999900000000295, -1.0100000000000016, 0.3626336932934389, 1.0, 1.0, 0.0, 0.010011918354474472
'2016-06-13', 17.26, 17.26, 16.74, 16.76, 183900.0, 16.76, -0.20999899999999982, -0.3099999999999987, 0.3590866518767981, 0.0, 0.8, 0.0, 0.0034762553109308316
'2016-06-10', 17.469999, 17.540001, 17.17, 17.24, 175500.0, 17.24, -0.4300009999999972, 0.09999800000000292, 0.3576356016339659, 0.0, 0.5, 0.0, 0.001226608950742168
'2016-06-09', 17.9, 17.91, 17.58, 17.58, 194700.0, 17.58, 0.1099989999999984, 0.5900009999999973, 0.3559282460154151, 0.0, 0.1, 0.0, -0.00195530027932961
'2016-06-08', 17.790001, 18.049999, 17.76, 18.030001, 167800.0, 18.030001, 0.2200009999999999, 0.4200000000000017, 0.327323329786857, 0.0, 0.0, 0.0, -0.0010617699734187243
'2016-06-07', 17.57, 17.969999, 17.559999, 17.76, 225100.0, 17.76, 0.19999900000000181, 0.28999900000000167, 0.30238599570829805, 0.0, 0.0, 0.0, 0.0002845816733067626
'2016-06-06', 17.370001, 17.68, 17.360001, 17.629999, 240000.0, 17.629999, 0.060001999999997224, -0.09999800000000292, 0.2895812316670957, 0.0, 0.0, 0.0, 0.0013084209222136906
'2016-06-03', 17.309999, 17.469999, 17.26, 17.280001, 187100.0, 17.280001, -0.060001999999997224, 0.0, 0.28303031302208403, 0.0, 0.0, -0.1, 0.0014924033213404443
'2016-06-02', 17.370001, 17.440001, 17.280001, 17.360001, 253400.0, 17.360001, 0.08999999999999986, -0.02999900000000011, 0.28982050698174666, 0.0, 0.0, -0.5, 0.0011071253957192768
'2016-06-01', 17.280001, 17.469999, 17.15, 17.389999, 525100.0, 17.389999, -0.18999800000000278, -0.06999900000000281, 0.290628230639965, 0.0, 0.0, -0.8, 0.001405423199090919
'2016-05-31', 17.469999, 17.65, 17.33, 17.379999, 332300.0, 17.379999, 0.16000000000000014, 0.37999900000000153, 0.28690682192501504, -1.0, 0.0, -1.0, 0.0
'2016-05-27', 17.309999, 17.389999, 17.18, 17.309999, 91000.0, 17.309999, -0.09000099999999733, 0.4299999999999997, 0.2749432151481142, 0.0, 0.0, -0.8, 0.009243212550156713
'2016-05-26', 17.4, 17.42, 17.27, 17.27, 84500.0, 17.27, 0.04999999999999716, 0.5399989999999981, 0.27000723249651415, 0.0, 0.0, -0.5, 0.00201146551724146
'2016-05-25', 17.35, 17.459999, 17.23, 17.33, 156100.0, 17.33, 0.26000000000000156, 0.6499990000000011, 0.25932392420896866, 0.0, 0.0, -0.1, 0.0023054562920268966
'2016-05-24', 17.09, 17.389999, 17.0, 17.299999, 331900.0, 17.299999, 0.21000099999999833, 0.4400000000000013, 0.254200306758369, 0.0, 0.1, 0.0, 0.0055587916910474185
'2016-05-23', 16.879999, 17.02, 16.879999, 16.940001, 146200.0, 16.940001, 0.01999800000000107, 0.12999900000000153, 0.2567454985009713, 0.0, 0.5, 0.0, 0.006990521741144651
'2016-05-20', 16.860001, 16.92, 16.76, 16.879999, 200100.0, 16.879999, 0.16000000000000014, 0.12000100000000202, 0.2615934491204158, 0.0, 0.8, 0.0, 0.006030031275403452
'2016-05-19', 16.700001, 16.84, 16.690001, 16.76, 277300.0, 16.76, 0.05000100000000174, -0.01999800000000107, 0.2699712780616486, 1.0, 1.0, 0.0, 0.006586808844245844
'2016-05-18', 16.65, 16.940001, 16.65, 16.799999, 295600.0, 16.799999, -0.10000000000000142, -0.020000000000003126, 0.2975380533653842, 0.0, 0.8, 0.0, 0.0061561486486486705
'2016-05-17', 16.75, 16.98, 16.65, 16.700001, 368400.0, 16.700001, 0.010000000000001563, -0.10000000000000142, 0.32839930822842267, 0.0, 0.5, 0.0, 0.004776112769485913
'2016-05-16', 16.74, 16.889999, 16.73, 16.82, 328200.0, 16.82, 0.02000099999999705, -0.10000000000000142, 0.36643444579778356, 0.0, 0.1, 0.0, 0.004360806451612922
'2016-05-13', 16.719999, 16.889999, 16.639999, 16.719999, 294100.0, 16.719999, 0.04999899999999968, -0.25, 0.37454383757729715, 0.0, 0.0, 0.0, 0.004077860182995117
'2016-05-12', 16.67, 16.82, 16.66, 16.77, 406200.0, 16.77, -0.17999999999999972, 0.1700000000000017, 0.3745189112276069, 0.0, 0.0, -0.1, 0.003999195160967805
'2016-05-11', 16.85, 16.85, 16.59, 16.610001, 226300.0, 16.610001, 0.010000000000001563, 0.1499990000000011, 0.37403485250626317, 0.0, 0.1, -0.5, 0.0028303994521798673
'2016-05-10', 16.84, 17.0, 16.77, 16.85, 228600.0, 16.85, -0.12999900000000153, 0.019999999999999574, 0.37643868457553153, 0.0, 0.5, -0.8, 0.002672204784526644
'2016-05-09', 16.969999, 17.040001, 16.809999, 16.83, 208800.0, 16.83, 0.4699990000000014, -0.07000199999999879, 0.4242362548555291, -1.0, 0.8, -1.0, 0.0019642507541298812
'2016-05-06', 16.5, 17.07, 16.5, 16.98, 373100.0, 16.98, -0.20000100000000032, -0.4599989999999998, 0.4798771275608463, 1.0, 1.0, -0.8, 0.0036742386363636417
'2016-05-05', 16.700001, 16.93, 16.41, 16.540001, 300800.0, 16.540001, -0.11999899999999997, -0.379998999999998, 0.5381076292593888, 0.0, 0.8, -0.5, 0.002712215406454171
'2016-05-04', 16.82, 17.059999, 16.530001, 16.639999, 270400.0, 16.639999, -0.2200009999999999, -0.6000000000000014, 0.546135376502135, 0.0, 0.5, -0.1, 0.0021469117452767904
'2016-05-03', 17.040001, 17.120001, 16.75, 16.959999, 170200.0, 16.959999, 0.08000200000000035, -0.34999799999999937, 0.5503311696711111, 0.0, 0.1, 0.0, 0.00132813804906529
'2016-05-02', 16.959999, 17.25, 16.879999, 17.18, 203100.0, 17.18, -0.12000099999999847, -0.36000100000000046, 0.5485013319140922, 0.0, 0.0, 0.0, 0.0015035378245010556
'2016-04-29', 17.08, 17.209999, 16.700001, 16.85, 144100.0, 16.85, -0.3400000000000034, -0.19000000000000128, 0.5461871381580665, 0.0, 0.0, 0.0, 0.0010873173859707905
'2016-04-28', 17.42, 17.559999, 17.059999, 17.1, 137700.0, 17.1, 0.030001000000002165, 0.4500010000000003, 0.564391734840231, 0.0, 0.0, 0.0, 0.00013046393904602777
'2016-04-27', 17.389999, 17.6, 17.17, 17.469999, 163600.0, 17.469999, 0.06999899999999926, -0.08000000000000185, 0.5755825977992202, 0.0, 0.0, 0.0, 0.00020001501262681488
'2016-04-26', 17.32, 17.690001, 17.27, 17.42, 222400.0, 17.42, 0.05000000000000071, -0.06999899999999926, 0.569892990189441, 0.0, 0.0, -0.1, 0.00036085209776751614
'2016-04-25', 17.27, 17.360001, 17.07, 17.360001, 159300.0, 17.360001, 0.3000009999999982, 0.2200009999999999, 0.5576385696850565, 0.0, 0.0, -0.5, 0.00046322872032426594
'2016-04-22', 16.969999, 17.25, 16.870001, 17.25, 121100.0, 17.25, -0.5, -0.12000099999999847, 0.5495919433344829, 0.0, 0.0, -0.8, 0.0011332215889210853
'2016-04-21', 17.469999, 17.48, 16.75, 16.940001, 222400.0, 16.940001, 0.08000000000000185, 0.5899999999999999, 0.5431786017511909, -1.0, 0.0, -1.0, 0.0
'2016-04-20', 17.389999, 17.5, 17.01, 17.43, 186700.0, 17.43, 0.33999999999999986, 0.4399979999999992, 0.5078743739245453, 0.0, 0.1, -0.8, 0.0046003452904167415
'2016-04-19', 17.049999, 17.280001, 16.93, 17.27, 185900.0, 17.27, -0.040001000000000175, 0.33999999999999986, 0.4702675270527818, 0.0, 0.5, -0.5, 0.012316716264910096
'2016-04-18', 17.09, 17.09, 16.709999, 17.059999, 188100.0, 17.059999, 0.21000099999999833, 0.38000100000000003, 0.451606923478426, 0.0, 0.8, -0.1, 0.007411722254729892
'2016-04-15', 16.879999, 17.129999, 16.879999, 17.129999, 159000.0, 17.129999, -0.07000199999999879, 0.2199990000000014, 0.4298660145263677, 1.0, 1.0, 0.0, 0.008738152176430813
'2016-04-14', 16.950001, 17.200001, 16.870001, 16.93, 114700.0, 16.93, 0.2400020000000005, 0.39000199999999907, 0.41607630341919527, 0.0, 0.8, 0.0, 0.0061356692545328
'2016-04-13', 16.709999, 16.92, 16.68, 16.889999, 140300.0, 16.889999, 0.0, 0.5099979999999995, 0.4102281019956323, 0.0, 0.5, 0.0, 0.0075802916964068595
'2016-04-12', 16.709999, 16.719999, 16.48, 16.65, 131400.0, 16.65, 0.04999899999999968, 0.6099989999999984, 0.42967481890407416, 0.0, 0.1, 0.0, 0.006497392882634451
'2016-04-11', 16.66, 16.76, 16.43, 16.690001, 109600.0, 16.690001, 0.1000009999999989, 0.6799999999999997, 0.433087533672404, 0.0, 0.0, 0.0, 0.006077423469387764
'2016-04-08', 16.559999, 16.66, 16.42, 16.559999, 162800.0, 16.559999, 0.35999800000000093, 0.13999899999999954, 0.43460432035000535, 0.0, 0.0, 0.0, 0.00610574379328834
'2016-04-07', 16.200001, 16.6, 16.200001, 16.469999, 200000.0, 16.469999, 0.1000009999999989, -0.7999989999999997, 0.44247479235190595, 0.0, 0.0, 0.0, 0.007839493343241159
'2016-04-06', 16.1, 16.33, 15.88, 16.32, 197300.0, 16.32, 0.120000000000001, -0.6000009999999989, 0.46533659554747286, 0.0, 0.0, -0.1, 0.0077357368718238275
'2016-04-05', 15.98, 16.209999, 15.92, 16.17, 195300.0, 16.17, -0.4400000000000013, -0.6499990000000011, 0.49967770254673055, 0.0, 0.0, -0.5, 0.007770124113475183
'2016-04-04', 16.42, 16.43, 15.97, 16.08, 208300.0, 16.08, -0.5799999999999983, 0.6500000000000021, 0.5216286682009009, 0.0, 0.0, -0.8, 0.0049189496861238614
'2016-04-01', 17.0, 17.0, 16.379999, 16.4, 211800.0, 16.4, 0.2999989999999997, 1.4399999999999995, 0.5417014471912046, -1.0, 0.0, -1.0, 0.0
'2016-03-31', 16.700001, 17.17, 16.610001, 17.15, 274400.0, 17.15, 0.07000199999999879, 1.300001, 0.5202993803145572, 0.0, 0.0, -0.8, 0.01796401090035861
