Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 27.040001, 27.120001, 26.940001, 27.059999, 452900.0, 27.059999, 0.05000100000000174, 1.3100009999999997, 0.4902410512305419, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 26.99, 27.1, 26.91, 27.040001, 313500.0, 27.040001, 0.619999, 1.4199999999999982, 0.5495736820486669, 0.0, 0.0, -0.8, 0.0018525750277881342
'2016-09-21', 26.370001, 26.9, 26.370001, 26.889999, 256500.0, 26.889999, 0.33999999999999986, 0.8399999999999999, 0.6327065457931077, 0.0, 0.0, -0.5, 0.012703829628220373
'2016-09-20', 26.030001, 26.17, 25.98, 26.16, 281100.0, 26.16, 0.3000009999999982, 0.48000199999999893, 0.6747460657169969, 0.0, 0.1, -0.1, 0.012933793842983994
'2016-09-19', 25.73, 25.799999, 25.639999, 25.75, 226100.0, 25.75, 0.16000000000000014, -0.28000000000000114, 0.7049441079503391, 0.0, 0.5, 0.0, 0.012728342401865524
'2016-09-16', 25.57, 25.57, 25.23, 25.42, 232600.0, 25.42, 0.03999900000000167, -0.9799989999999994, 0.713054134457709, 0.0, 0.8, 0.0, 0.011497856863511928
'2016-09-15', 25.530001, 25.59, 25.42, 25.52, 202000.0, 25.52, -0.01999800000000107, -1.359998000000001, 0.7222068668098031, 1.0, 1.0, 0.0, 0.009857683384605702
'2016-09-14', 25.549999, 25.67, 25.41, 25.52, 241400.0, 25.52, -0.4600010000000019, -1.2700010000000006, 0.7504473197148643, 0.0, 0.8, 0.0, 0.008331015142952791
'2016-09-13', 26.01, 26.01, 25.34, 25.43, 571200.0, 25.43, -0.5399989999999981, -0.6699999999999982, 0.7706296936924565, 0.0, 0.5, 0.0, 0.004950024029219524
'2016-09-12', 26.549999, 26.809999, 26.18, 26.639999, 612500.0, 26.639999, -0.33999999999999986, 0.5399989999999981, 0.772454613985311, 0.0, 0.1, 0.0, 0.0020506466560193362
'2016-09-09', 26.889999, 26.91, 26.26, 26.27, 575500.0, 26.27, 0.06999899999999926, 1.109998000000001, 0.7756195459404975, 0.0, 0.0, 0.0, 0.0005578356473720978
'2016-09-08', 26.82, 26.85, 26.540001, 26.700001, 408100.0, 26.700001, 0.14000000000000057, 1.0500000000000007, 0.778813949327544, 0.0, 0.0, 0.0, 0.0007457155447088329
'2016-09-07', 26.68, 26.809999, 26.58, 26.709999, 293100.0, 26.709999, 0.6699999999999982, 0.8899989999999995, 0.7805223682042469, 0.0, 0.0, 0.0, 0.0011244409045477277
'2016-09-06', 26.01, 26.370001, 25.99, 26.370001, 289600.0, 26.370001, 0.22999900000000295, 0.06999900000000281, 0.7856349013805306, 0.0, 0.0, 0.0, 0.003046168633365861
'2016-09-02', 25.780001, 25.91, 25.549999, 25.870001, 452300.0, 25.870001, 0.010000999999999038, -0.08999999999999986, 0.7756831933209133, 0.0, 0.0, 0.0, 0.003491078219896117
'2016-09-01', 25.77, 25.77, 25.620001, 25.76, 218300.0, 25.76, -0.0200010000000006, -0.5800000000000018, 0.7549891318867881, 0.0, 0.0, 0.0, 0.003285476652438237
'2016-08-31', 25.790001, 25.9, 25.719999, 25.860001, 259800.0, 25.860001, -0.14999999999999858, -0.26999800000000107, 0.7320959473551485, 0.0, 0.0, -0.1, 0.003029274795297604
'2016-08-30', 25.940001, 25.940001, 25.58, 25.6, 262200.0, 25.6, 0.07000000000000028, 0.3299999999999983, 0.7092102722202275, 0.0, 0.0, -0.5, 0.002494444096318318
'2016-08-29', 25.870001, 26.059999, 25.870001, 26.0, 374400.0, 26.0, -0.47999900000000295, 0.13000100000000003, 0.6921603260006715, 0.0, 0.1, -0.8, 0.0025125627169477146
'2016-08-26', 26.35, 26.49, 25.92, 25.98, 532000.0, 25.98, 0.2900010000000002, 0.6499990000000011, 0.6716217396722892, -1.0, 0.5, -1.0, 0.0
'2016-08-25', 26.059999, 26.209999, 25.99, 26.110001, 335700.0, 26.110001, 0.4499980000000008, 0.03999900000000167, 0.6692866517589373, 0.0, 0.8, -0.8, 0.011128204571304864
'2016-08-24', 25.610001, 25.719999, 25.51, 25.68, 239000.0, 25.68, -0.12999899999999798, -0.7999989999999997, 0.6621296540711891, 1.0, 1.0, -0.5, 0.014447461364800435
'2016-08-23', 25.74, 25.799999, 25.51, 25.530001, 449500.0, 25.530001, 0.03999899999999812, -0.5200000000000031, 0.6349577701796738, 0.0, 0.8, -0.1, 0.007899507899507939
'2016-08-22', 25.700001, 25.700001, 25.559999, 25.639999, 464900.0, 25.639999, -0.31999899999999926, -1.0999979999999994, 0.6108739949180182, 0.0, 0.5, 0.0, 0.006322947224788056
'2016-08-19', 26.02, 26.02, 25.620001, 25.719999, 504200.0, 25.719999, -0.39000000000000057, -0.740000000000002, 0.5896529187019504, 0.0, 0.1, 0.0, 0.0025365103766333734
'2016-08-18', 26.41, 26.58, 26.299999, 26.58, 479300.0, 26.58, 0.14999999999999858, -0.6499990000000011, 0.6002536568636407, 0.0, 0.0, 0.0, -0.0003786444528587575
'2016-08-17', 26.26, 26.52, 26.15, 26.51, 521800.0, 26.51, -0.5399989999999981, -1.5399989999999981, 0.6394211827724926, 0.0, 0.0, 0.0, 0.0004896094005004888
'2016-08-16', 26.799999, 26.85, 26.59, 26.620001, 333300.0, 26.620001, 0.03999899999999812, -1.3100020000000008, 0.6738542372224468, 0.0, 0.0, 0.0, -0.002098876011152082
'2016-08-15', 26.76, 26.860001, 26.67, 26.690001, 336900.0, 26.690001, -0.2999989999999997, -0.7999989999999997, 0.711819945117487, 0.0, 0.0, 0.0, -0.0017023750207606715
'2016-08-12', 27.059999, 27.1, 26.74, 26.76, 642600.0, 26.76, -0.7399999999999984, -0.41000000000000014, 0.730999671226827, 0.0, 0.0, 0.0, -0.0026237953667330137
'2016-08-11', 27.799999, 27.799999, 27.549999, 27.75, 358800.0, 27.75, -0.3100020000000008, 0.5699989999999993, 0.7447806031908247, 0.0, 0.0, 0.0, -0.004741658116933413
'2016-08-10', 28.110001, 28.370001, 28.110001, 28.309999, 535500.0, 28.309999, 0.5500019999999992, 0.630001, 0.7403789559860763, 0.0, 0.0, 0.0, -0.005217600312429726
'2016-08-09', 27.559999, 27.700001, 27.51, 27.67, 229900.0, 27.67, 0.08999999999999986, -0.41000000000000014, 0.7239508748529597, 0.0, 0.0, 0.0, -0.0033772441774706213
'2016-08-08', 27.469999, 27.559999, 27.34, 27.41, 301600.0, 27.41, 0.23999900000000096, -0.510000999999999, 0.77205953691001, 0.0, 0.0, 0.0, -0.0029122654344264287
