Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 5.65, 5.65, 4.88, 4.97, 896800.0, 4.97, 0.4500000000000002, 0.8890000000000002, 0.38607257377625553, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 5.2, 5.56, 5.02, 5.49, 608200.0, 5.49, 0.04999999999999982, 0.11000000000000032, 0.3609512570971322, 0.0, 0.1, -0.8, 0.08653846153846156
'2016-10-04', 5.15, 5.31, 4.87, 5.12, 423200.0, 5.12, 0.1900000000000004, -0.09999999999999964, 0.3698385668850067, 0.0, 0.5, -0.5, 0.04854368932038835
'2016-10-03', 4.96, 5.51, 4.96, 5.27, 212600.0, 5.27, 0.19899999999999984, -0.11000000000000032, 0.3686008817135413, 0.0, 0.8, -0.1, 0.04637096774193551
'2016-09-30', 4.761, 5.006, 4.761, 4.99, 13500.0, 4.99, -0.32899999999999974, -0.32899999999999974, 0.3764773993511725, 1.0, 1.0, 0.0, 0.04668136946019745
'2016-09-29', 5.09, 5.17, 4.635, 4.76, 9200.0, 4.76, -0.16000000000000014, 0.2400000000000002, 0.38058799537324123, 0.0, 0.8, 0.0, 0.022003929273084498
'2016-09-28', 5.25, 5.25, 4.95, 5.01, 18000.0, 5.01, 0.17999999999999972, 0.16999999999999993, 0.3757623125801144, 0.0, 0.5, 0.0, 0.01269841269841271
'2016-09-27', 5.07, 5.11, 5.0, 5.05, 25900.0, 5.05, -0.019999999999999574, 0.41999999999999993, 0.3693691679366623, 0.0, 0.1, -0.1, 0.016342631727247113
'2016-09-26', 5.09, 5.212, 4.93, 4.97, 8700.0, 4.97, 0.2400000000000002, 0.21999999999999975, 0.36739721767530514, 0.0, 0.0, -0.5, 0.013752455795677812
'2016-09-23', 4.85, 5.23, 4.85, 5.15, 24100.0, 5.15, -0.23000000000000043, 0.1299999999999999, 0.35589838749595687, 0.0, 0.0, -0.8, 0.018327605956471954
'2016-09-22', 5.08, 5.43, 5.08, 5.18, 63000.0, 5.18, 0.4299999999999997, 0.5300000000000002, 0.35741170782290965, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 4.65, 5.06, 4.65, 4.98, 28200.0, 4.98, -0.21999999999999975, 0.3800000000000008, 0.3441144770760646, 0.0, 0.0, -0.8, 0.09247311827956982
