Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 16.09, 16.120001, 16.040001, 16.09, 43400.0, 15.964767, 0.059999000000001246, 0.040001000000000175, 0.13461879347137576, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 16.030001, 16.08, 15.98, 16.059999, 51600.0, 15.935, 0.12000099999999847, 0.15000099999999783, 0.1296580871202754, 0.0, 0.0, -0.8, 0.003742919292394383
'2016-09-26', 15.91, 16.040001, 15.91, 16.02, 78600.0, 15.895312, -0.1499990000000011, 0.16000000000000014, 0.12688397167004825, 0.0, 0.0, -0.5, 0.005656819610307973
'2016-09-23', 16.059999, 16.1, 15.92, 15.94, 56200.0, 15.815934, 0.010000000000001563, 0.35999900000000196, 0.12986141176949217, 0.0, 0.0, -0.1, 0.0006226858004992946
'2016-09-22', 16.049999, 16.18, 15.96, 16.02, 90000.0, 15.895312, 0.1699989999999989, 0.3499990000000004, 0.12742797268374362, 0.0, 0.0, 0.0, 0.0006230685746460198
'2016-09-21', 15.88, 15.99, 15.87, 15.98, 141500.0, 15.855623, 0.13000000000000078, 0.28000000000000114, 0.1221838850986906, 0.0, 0.0, 0.0, 0.0026448362720402903
'2016-09-20', 15.75, 15.88, 15.72, 15.84, 54600.0, 15.716713, 0.05000000000000071, 0.11999999999999922, 0.12243325519567805, 0.0, 0.1, 0.0, 0.0035978835978835964
'2016-09-19', 15.7, 15.82, 15.51, 15.67, 58300.0, 15.548036, 0.0, -0.07000000000000028, 0.12243325519567805, 0.0, 0.5, 0.0, 0.0035486806187443186
'2016-09-16', 15.7, 15.72, 15.62, 15.67, 25400.0, 15.548036, 0.09999999999999964, 0.02999999999999936, 0.11953805307669008, 0.0, 0.8, 0.0, 0.0031050955414012784
'2016-09-15', 15.6, 15.72, 15.6, 15.68, 43000.0, 15.557958, -0.030000000000001137, -0.40000000000000036, 0.11672575322823536, 1.0, 1.0, 0.0, 0.0034900284900284914
'2016-09-14', 15.63, 15.84, 15.55, 15.64, 80700.0, 15.51827, -0.1399999999999988, -0.3899999999999988, 0.10950449539239625, 0.0, 0.8, 0.0, 0.0029430582213691558
'2016-09-13', 15.77, 15.77, 15.43, 15.64, 101700.0, 15.51827, 0.09999999999999964, -0.240000000000002, 0.10485180494408393, 0.0, 0.5, 0.0, 0.0018446993716492782
'2016-09-12', 15.67, 15.88, 15.46, 15.84, 111200.0, 15.716713, -0.33000000000000007, -0.37000100000000025, 0.10429078248408788, 0.0, 0.1, 0.0, 0.002233567326100829
'2016-09-09', 16.0, 16.0, 15.6, 15.66, 124900.0, 15.538113, -0.019999999999999574, -0.019999999999999574, 0.09922819021510748, 0.0, 0.0, 0.0, 0.000432692307692307
