Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 5.25, 5.26, 5.04, 5.16, 35000.0, 5.16, 0.25, 0.5499999999999998, 0.27309033914317316, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 5.0, 5.24, 4.99, 5.24, 87600.0, 5.24, 0.019999999999999574, 0.20999999999999996, 0.26896509480269415, 0.0, 0.0, -0.8, 0.05
'2016-09-23', 4.98, 4.98, 4.83, 4.96, 7500.0, 4.96, 0.08000000000000007, 0.17000000000000082, 0.2757575424575405, 0.0, 0.0, -0.5, 0.027108433734939714
'2016-09-22', 4.9, 4.95, 4.85, 4.95, 9800.0, 4.95, 0.20000000000000018, 0.13000000000000078, 0.28309813767588715, 0.0, 0.0, -0.1, 0.023809523809523784
'2016-09-21', 4.7, 4.8, 4.7, 4.72, 6400.0, 4.72, -0.08999999999999986, 0.009999999999999787, 0.29121755899441687, 0.0, 0.0, 0.0, 0.02925531914893616
'2016-09-20', 4.79, 4.89, 4.69, 4.8, 9500.0, 4.8, -0.019999999999999574, 0.09999999999999964, 0.2980389609132038, 0.0, 0.1, 0.0, 0.019206680584551147
'2016-09-19', 4.81, 4.88, 4.79, 4.84, 1800.0, 4.84, 0.040000000000000036, 0.0699999999999994, 0.30277310903637983, 0.0, 0.5, 0.0, 0.01524601524601526
'2016-09-16', 4.77, 4.92, 4.66, 4.79, 4900.0, 4.79, 0.07999999999999918, 0.07999999999999918, 0.30344851293094194, 0.0, 0.8, 0.0, 0.014375561545372879
'2016-09-15', 4.69, 4.87, 4.68, 4.73, 6400.0, 4.73, 0.0, -0.22999999999999954, 0.3046717723861023, 1.0, 1.0, 0.0, 0.014925373134328346
'2016-09-14', 4.69, 4.74, 4.69, 4.71, 2400.0, 4.71, -0.04999999999999982, -0.1999999999999993, 0.30765872145754114, 0.0, 0.8, 0.0, 0.013266998341625197
'2016-09-13', 4.74, 4.9, 4.65, 4.9, 11900.0, 4.9, 0.04999999999999982, -0.019999999999999574, 0.311175013278523, 0.0, 0.5, 0.0, 0.01075949367088607
'2016-09-12', 4.69, 4.85, 4.65, 4.81, 10300.0, 4.81, -0.22999999999999954, -0.10999999999999943, 0.31338669758338855, 0.0, 0.1, 0.0, 0.010854816824966071
'2016-09-09', 4.92, 4.96, 4.78, 4.84, 24100.0, 4.84, 0.03000000000000025, 0.07000000000000028, 0.3167131544824468, 0.0, 0.0, 0.0, 0.005589430894308944
'2016-09-08', 4.89, 4.95, 4.78, 4.89, 25700.0, 4.89, 0.1299999999999999, 0.08999999999999986, 0.3058750652726625, 0.0, 0.0, 0.0, 0.0056630486078338895
'2016-09-07', 4.76, 4.97, 4.71, 4.84, 61600.0, 4.84, -0.040000000000000036, -0.020000000000000462, 0.2957333633904404, 0.0, 0.0, 0.0, 0.007352941176470592
'2016-09-06', 4.8, 4.9, 4.65, 4.8, 5000.0, 4.8, -0.04999999999999982, -0.009999999999999787, 0.28856753494151455, 0.0, 0.0, 0.0, 0.006250000000000002
'2016-09-02', 4.85, 4.89, 4.62, 4.8, 10800.0, 4.8, 0.04999999999999982, 0.5099999999999998, 0.2765101967177502, 0.0, 0.0, 0.0, 0.005154639175257737
'2016-09-01', 4.8, 4.85, 4.73, 4.85, 40800.0, 4.85, 0.019999999999999574, 0.2699999999999996, 0.26134715099524874, 0.0, 0.0, 0.0, 0.005514705882352944
'2016-08-31', 4.78, 4.98, 4.78, 4.82, 21300.0, 4.82, -0.02999999999999936, 0.33999999999999986, 0.24125965726209228, 0.0, 0.0, -0.1, 0.005462575546257551
'2016-08-30', 4.81, 5.34, 4.78, 4.89, 420600.0, 4.89, 0.46999999999999975, 0.3299999999999992, 0.21861076521220696, 0.0, 0.0, -0.5, 0.004814531130320609
'2016-08-29', 4.34, 4.55, 4.34, 4.53, 400.0, 4.53, -0.1900000000000004, -0.16000000000000014, 0.18704990421453496, 0.0, 0.0, -0.8, 0.010483870967741938
'2016-08-26', 4.53, 4.53, 4.53, 4.53, 200.0, 4.53, 0.08999999999999986, 0.1299999999999999, 0.18599910394049401, -1.0, 0.0, -1.0, 0.0
