Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 15.33, 15.47, 15.15, 15.2, 49900.0, 14.862864, 0.13000000000000078, 0.5600000000000005, 0.2939964096530584, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 15.2, 15.43, 15.17, 15.34, 75600.0, 14.99976, 0.34999999999999964, 0.8099999999999987, 0.3014822640812485, 0.0, 0.0, -0.8, 0.008552631578947421
'2016-09-21', 14.85, 15.07, 14.7, 15.03, 78800.0, 14.696635, 0.009999999999999787, 0.33999999999999986, 0.30133480825597764, 0.0, 0.1, -0.5, 0.016161616161616175
'2016-09-20', 14.84, 14.86, 14.65, 14.67, 57200.0, 14.34462, 0.07000000000000028, 0.3000000000000007, 0.3047140736275022, 0.0, 0.5, -0.1, 0.011006289308176107
'2016-09-19', 14.77, 14.95, 14.73, 14.83, 48100.0, 14.501071, 0.379999999999999, -0.21000000000000085, 0.31312120478959743, 0.0, 0.8, 0.0, 0.009478672985782
'2016-09-16', 14.39, 14.66, 14.38, 14.64, 35000.0, 14.315286, -0.11999999999999922, -0.75, 0.33666683168312816, 1.0, 1.0, 0.0, 0.013064628214037519
'2016-09-15', 14.51, 14.67, 14.47, 14.55, 82900.0, 14.227282, -0.02999999999999936, -1.040000000000001, 0.3730391698229858, 0.0, 0.8, 0.0, 0.00941879163795084
'2016-09-14', 14.54, 14.75, 14.42, 14.52, 58200.0, 14.197947, -0.4400000000000013, -0.6700000000000017, 0.4385562170982823, 0.0, 0.5, -0.1, 0.007761839261151512
'2016-09-13', 14.98, 15.03, 14.42, 14.5, 86800.0, 14.178391, -0.16000000000000014, -0.03999999999999915, 0.49552452568521344, 0.0, 0.1, -0.5, 0.0029205607476635483
'2016-09-12', 15.14, 15.2, 15.06, 15.19, 48600.0, 14.853086, -0.41000000000000014, 0.5500000000000007, 0.4998439756564044, 0.0, 0.0, -0.8, 0.0013943930720681016
'2016-09-09', 15.55, 15.55, 15.13, 15.18, 94700.0, 14.843308, 0.33999999999999986, 0.9800000000000004, 0.5080271208858398, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 15.21, 15.69, 15.21, 15.67, 123600.0, 15.32244, 0.19000000000000128, 0.8300000000000001, 0.4756587245307526, 0.0, 0.0, -0.8, 0.022353714661406957
