Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 13.58, 13.75, 13.58, 13.66, 1943700.0, 13.66, 0.4499999999999993, 1.2100000000000009, 0.5552626005373994, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 13.13, 13.24, 13.12, 13.24, 744600.0, 13.24, 0.26000000000000156, 1.1100000000000012, 0.4778070275284318, 0.0, 0.5, -0.8, 0.034272658035034216
'2016-09-07', 12.87, 12.99, 12.86, 12.87, 1035500.0, 12.87, 0.46999999999999886, 0.8899999999999988, 0.4265968692910073, 0.0, 0.8, -0.5, 0.02758352758352762
'2016-09-06', 12.4, 12.47, 12.36, 12.44, 406000.0, 12.44, 0.030000000000001137, 0.2699999999999996, 0.39376261884541547, 1.0, 1.0, -0.1, 0.03172043010752687
'2016-09-02', 12.37, 12.41, 12.32, 12.35, 456800.0, 12.35, 0.34999999999999964, 0.25, 0.38885587161426377, 0.0, 0.8, 0.0, 0.024454324979789832
'2016-09-01', 12.02, 12.06, 11.94, 12.02, 242800.0, 12.02, 0.03999999999999915, -0.3000000000000007, 0.3811166342327357, 0.0, 0.5, 0.0, 0.025956738768718814
'2016-08-31', 11.98, 12.02, 11.82, 11.91, 490100.0, 11.91, -0.15000000000000036, 0.120000000000001, 0.38384965228010237, 0.0, 0.1, -0.1, 0.02225932109070673
'2016-08-30', 12.13, 12.16, 12.08, 12.14, 372100.0, 12.14, 0.010000000000001563, 0.34000000000000163, 0.38695980267837743, 0.0, 0.0, -0.5, 0.017076904958191017
'2016-08-29', 12.12, 12.14, 12.05, 12.09, 431500.0, 12.09, -0.20000000000000107, 0.1899999999999995, 0.38616058835670936, 0.0, 0.1, -0.8, 0.015057755775577568
'2016-08-26', 12.32, 12.42, 12.09, 12.2, 707900.0, 12.2, 0.46000000000000085, 0.40000000000000036, 0.38257548274817604, -1.0, 0.5, -1.0, 0.0
'2016-08-25', 11.86, 12.13, 11.83, 12.05, 972100.0, 12.05, 0.07000000000000028, -0.21000000000000085, 0.3669455000405373, 0.0, 0.8, -0.8, 0.03878583473861728
