Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 35.77, 35.91, 35.27, 35.290001, 1828500.0, 35.290001, 0.2299990000000065, 0.5800010000000029, 0.4378165008587874, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 35.540001, 35.98, 35.509998, 35.619999, 1741300.0, 35.619999, 0.2999989999999997, 0.5499989999999997, 0.43520691286111163, 0.0, 0.0, -0.8, 0.006471552997424129
'2016-09-16', 35.240002, 35.540001, 34.939999, 35.459999, 2794600.0, 35.459999, -0.10999600000000243, 0.3900039999999976, 0.44955334332097074, 0.0, 0.0, -0.5, 0.007519834987523642
'2016-09-15', 35.349998, 35.860001, 35.009998, 35.689999, 1641200.0, 35.689999, 0.15999899999999911, -0.030003000000000668, 0.45792245763039674, 0.0, 0.1, -0.1, 0.0039604151227015045
'2016-09-14', 35.189999, 35.57, 35.099998, 35.43, 1681200.0, 35.43, 0.1999970000000033, -0.9900009999999995, 0.48378844658232967, 0.0, 0.5, 0.0, 0.004120495996604055
'2016-09-13', 34.990002, 35.490002, 34.029999, 35.18, 1815900.0, 35.18, 0.14000399999999757, -1.0699990000000028, 0.5115207118668467, 0.0, 0.8, 0.0, 0.004458405003806552
'2016-09-12', 34.849998, 35.470001, 34.689999, 35.43, 1742100.0, 35.43, -0.5300030000000007, -1.0, 0.5368518696808987, 1.0, 1.0, 0.0, 0.004399818521271286
'2016-09-09', 35.380001, 35.599998, 34.91, 34.91, 2177100.0, 34.91, -0.7999989999999997, -0.3200000000000003, 0.6118220571754153, 0.0, 0.8, 0.0, 0.001574735480000221
'2016-09-08', 36.18, 36.299999, 35.73, 35.73, 1866100.0, 35.73, 0.11999899999999997, 0.2799979999999991, 0.6697134786374189, 0.0, 0.5, 0.0, -0.0014165284687672629
'2016-09-07', 36.060001, 36.27, 35.98, 36.220001, 990900.0, 36.220001, 0.21000300000000038, -0.20999900000000338, 0.690317381967462, 0.0, 0.1, 0.0, -0.0008935754974974337
'2016-09-06', 35.849998, 36.07, 35.619999, 36.040001, 1605900.0, 36.040001, 0.14999699999999905, -0.10000300000000095, 0.7194567318792774, 0.0, 0.0, 0.0, -0.0002231464559635296
'2016-09-02', 35.700001, 35.889999, 35.5, 35.790001, 1310500.0, 35.790001, -0.20000100000000032, -0.04000099999999662, 0.7804568689069711, 0.0, 0.0, 0.0, 0.00017825056796344935
'2016-09-01', 35.900002, 36.049999, 35.5, 35.560001, 1804400.0, 35.560001, -0.3699980000000025, -0.0899999999999963, 0.84799022577027, 0.0, 0.0, 0.0, -0.00030176878541677497
'2016-08-31', 36.27, 36.349998, 35.860001, 36.09, 1595900.0, 36.09, 0.3199990000000028, 0.5, 0.9044609495910938, 0.0, 0.0, -0.1, -0.0010604228966511844
'2016-08-30', 35.950001, 36.240002, 35.939999, 36.23, 1220700.0, 36.23, 0.20999900000000338, 0.14000000000000057, 0.9444416140778967, 0.0, 0.0, -0.5, -0.0003576415557182901
'2016-08-29', 35.740002, 36.139999, 35.709999, 35.98, 1060700.0, 35.98, -0.25, -0.01999600000000612, 0.9864778854546017, 0.0, 0.0, -0.8, 5.59559752309773e-05
'2016-08-26', 35.990002, 36.130001, 35.48, 35.689999, 1299800.0, 35.689999, 0.2200019999999938, 0.3200039999999973, 1.0026000818326883, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 35.77, 35.990002, 35.650002, 35.860001, 1017300.0, 35.860001, -0.04000099999999662, 0.38000100000000003, 0.9791248440439845, 0.0, 0.0, -0.8, 0.006150461280402399
'2016-08-24', 35.810001, 35.959999, 35.669998, 35.880001, 1153900.0, 35.880001, 0.05000299999999669, 0.4799989999999994, 0.9611986811625375, 0.0, 0.0, -0.5, 0.0025132783436671393
'2016-08-23', 35.759998, 35.84, 35.610001, 35.790001, 833600.0, 35.790001, 0.09000000000000341, 0.7099990000000034, 0.9354554877478085, 0.0, 0.0, -0.1, 0.002143959851451836
'2016-08-22', 35.669998, 35.700001, 35.389999, 35.599998, 1268000.0, 35.599998, 0.27999899999999656, 0.3999979999999965, 0.8967810347148051, 0.0, 0.1, 0.0, 0.002242809209016477
'2016-08-19', 35.389999, 35.700001, 35.25, 35.669998, 1287600.0, 35.669998, 0.05999700000000274, 0.5799980000000033, 0.8566487672330085, 0.0, 0.5, 0.0, 0.003390805408047589
'2016-08-18', 35.330002, 35.459999, 35.139999, 35.459999, 1048300.0, 35.459999, 0.28000300000000067, 0.6400030000000001, 0.8816541179709682, 0.0, 0.8, 0.0, 0.0031135010974525116
'2016-08-17', 35.049999, 35.459999, 35.049999, 35.400002, 1904000.0, 35.400002, -0.22000100000000344, -0.10000300000000095, 0.9230876484094799, 1.0, 1.0, 0.0, 0.003831273799954815
'2016-08-16', 35.27, 35.459999, 35.07, 35.169998, 1028100.0, 35.169998, 0.4599990000000034, 0.4399980000000028, 1.0000436058278772, 0.0, 0.8, 0.0, 0.0025517507796994393
'2016-08-15', 34.810001, 35.380001, 34.810001, 35.349998, 1471900.0, 35.349998, 0.1200019999999995, -0.09999899999999684, 1.0160899961243042, 0.0, 0.5, 0.0, 0.0037664814264791865
'2016-08-12', 34.689999, 35.330002, 34.450001, 34.650002, 1255200.0, 34.650002, -0.4600030000000004, -0.6400030000000001, 1.0571745916994977, 0.0, 0.1, 0.0, 0.003747486415321017
'2016-08-11', 35.150002, 35.41, 34.68, 34.689999, 1137500.0, 34.689999, 0.3200000000000003, 0.3200000000000003, 1.101826401178954, 0.0, 0.0, -0.1, 0.0021725073120518177
'2016-08-10', 34.830002, 35.009998, 34.689999, 34.950001, 2155000.0, 34.950001, -0.07999799999999624, -0.0899959999999993, 1.1601540242769375, 0.0, 0.0, -0.5, 0.002775385044958263
'2016-08-09', 34.91, 35.119999, 34.650002, 34.709999, 1462000.0, 34.709999, -0.42000200000000376, 0.34999899999999684, 1.2800129831465168, 0.0, 0.0, -0.8, 0.002379750126699426
'2016-08-08', 35.330002, 35.509998, 34.82, 34.919998, 1613900.0, 34.919998, 0.5, 0.870002999999997, 1.3048028034582695, -1.0, 0.0, -1.0, 0.0
'2016-08-05', 34.830002, 35.290001, 34.75, 35.189999, 1512600.0, 35.189999, -0.0899959999999993, 0.4299999999999997, 1.246188058557047, 0.0, 0.0, -0.8, 0.014355439887715194
'2016-08-04', 34.919998, 35.080002, 34.59, 34.669998, 2352900.0, 34.669998, 0.3599969999999999, 1.259998000000003, 1.1981418382372397, 0.0, 0.0, -0.5, 0.0058706188929335094
'2016-08-03', 34.560001, 34.860001, 34.419998, 34.860001, 2007400.0, 34.860001, 0.10000199999999637, 0.7600020000000001, 1.1382562679140038, 0.0, 0.0, -0.1, 0.007426706961032791
'2016-08-02', 34.459999, 34.650002, 34.25, 34.5, 2853500.0, 34.5, 0.05999700000000274, 0.5499990000000068, 1.092395358711516, 0.0, 0.0, 0.0, 0.006311687646885864
'2016-08-01', 34.400002, 34.560001, 34.25, 34.48, 1917300.0, 34.48, 0.740002000000004, 0.6800009999999972, 1.0472972819177095, 0.0, 0.0, 0.0, 0.00540697642982695
'2016-07-29', 33.66, 34.509998, 33.630001, 34.389999, 2493800.0, 34.389999, -0.1399990000000031, 0.41999799999999965, 1.0004129159951063, 0.0, 0.0, 0.0, 0.00826897405426819
'2016-07-28', 33.799999, 33.900002, 32.450001, 33.619999, 2385600.0, 33.619999, -0.1100009999999969, 0.7700000000000031, 0.9853411252290742, 0.0, 0.0, 0.0, 0.006466623183712439
'2016-07-27', 33.91, 34.240002, 33.84, 34.139999, 2032200.0, 34.139999, 0.18999899999999315, 1.0200009999999935, 0.962983777953207, 0.0, 0.0, 0.0, 0.005234451489236228
'2016-07-26', 33.720001, 33.880001, 33.580002, 33.84, 1826000.0, 33.84, 0.4799990000000065, 1.0500030000000038, 0.9336504027150252, 0.0, 0.0, 0.0, 0.005305130329029338
'2016-07-25', 33.240002, 33.740002, 33.240002, 33.619999, 1373400.0, 33.619999, 0.21000300000000038, 0.6000029999999938, 0.9067724454477329, 0.0, 0.0, 0.0, 0.006287604916509943
'2016-07-22', 33.029999, 33.389999, 32.990002, 33.34, 1079100.0, 33.34, 0.13999999999999346, 0.0, 0.8948468025812734, 0.0, 0.1, 0.0, 0.006330341754420949
'2016-07-21', 32.889999, 33.200001, 32.779999, 32.98, 1852400.0, 32.98, 0.22000100000000344, -0.6399999999999935, 0.894622239533368, 0.0, 0.5, 0.0, 0.006182231362589372
'2016-07-20', 32.669998, 32.939999, 32.509998, 32.889999, 853400.0, 32.889999, 0.029998999999996556, -0.8100019999999972, 0.8969709624440321, 0.0, 0.8, 0.0, 0.006263106973795725
'2016-07-19', 32.639999, 32.91, 32.369999, 32.529999, 2067200.0, 32.529999, -0.38999999999999346, -0.8100019999999972, 0.8958752672609984, 1.0, 1.0, 0.0, 0.005886736437356239
'2016-07-18', 33.029999, 33.189999, 32.639999, 32.669998, 1911800.0, 32.669998, -0.5, -0.8199990000000028, 0.8992194881495247, 0.0, 0.8, 0.0, 0.004642250619908695
'2016-07-15', 33.529999, 33.580002, 32.990002, 33.080002, 1488400.0, 33.080002, 0.04999899999999968, -0.36000000000000654, 0.8957765731110886, 0.0, 0.5, 0.0, 0.003355209986734573
'2016-07-14', 33.48, 33.529999, 33.200001, 33.400002, 1517300.0, 33.400002, 0.029998999999996556, 1.0900009999999938, 0.8720355295777195, 0.0, 0.1, -0.1, 0.003250407618244437
'2016-07-13', 33.450001, 33.639999, 33.060001, 33.16, 1402200.0, 33.16, -0.39999699999999905, 1.4500010000000003, 0.8516124169292856, 0.0, 0.0, -0.5, 0.003122406483635083
'2016-07-12', 33.849998, 34.02, 33.369999, 33.389999, 1505300.0, 33.389999, -0.04000100000000373, 2.369997999999999, 0.845640923521786, 0.0, 0.0, -0.8, 0.002301180265015706
'2016-07-11', 33.889999, 33.950001, 33.419998, 33.669998, 3117100.0, 33.669998, 1.5, 1.9099990000000027, 0.8063152705026638, -1.0, 0.0, -1.0, 0.0
'2016-07-08', 32.389999, 33.16, 32.099998, 33.09, 2379000.0, 33.09, 0.3899990000000031, 0.6899980000000028, 0.7556273952456882, 0.0, 0.0, -0.8, 0.04631059111795588
'2016-07-07', 32.0, 32.029999, 31.629999, 31.969999, 1393200.0, 31.969999, 0.5199999999999996, 0.4800000000000004, 0.7552459427830881, 0.0, 0.0, -0.5, 0.02953123437500005
'2016-07-06', 31.48, 31.950001, 31.41, 31.76, 3830700.0, 31.76, -0.5, 0.6700009999999992, 0.7551349551212506, 0.0, 0.0, -0.1, 0.025518837357052127
'2016-07-05', 31.98, 32.049999, 31.18, 31.59, 2484000.0, 31.59, 0.2799990000000001, 2.0399990000000017, 0.7510274321232074, 0.0, 0.0, 0.0, 0.01493119918699189
'2016-07-01', 31.700001, 32.150002, 31.49, 32.119999, 2093900.0, 32.119999, 0.18000100000000074, 0.8200019999999988, 0.7612343608912953, 0.0, 0.1, 0.0, 0.013817021646150755
'2016-06-30', 31.52, 32.610001, 31.190001, 31.700001, 2499000.0, 31.700001, 0.7100009999999983, -0.5500000000000007, 0.7612343608912953, 0.0, 0.5, 0.0, 0.012531720600676838
'2016-06-29', 30.809999, 31.549999, 30.540001, 31.35, 2026100.0, 31.35, 0.8699980000000025, -2.410002000000002, 0.7501664795389413, 0.0, 0.8, 0.0, 0.014281078035737691
