Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 58.849998, 58.849998, 58.209999, 58.48, 2162500.0, 58.48, 0.2299989999999994, 0.9099989999999991, 0.32577212281238727, -1.0, 0.8, -1.0, 0.0
'2016-09-19', 58.619999, 58.900002, 58.470001, 58.66, 856000.0, 58.66, -0.04999899999999968, 0.4599990000000034, 0.34021283867844526, 0.0, 0.5, -0.8, 0.0039235585793851585
'2016-09-16', 58.669998, 58.68, 58.200001, 58.389999, 3485200.0, 58.389999, 0.5700000000000003, 1.019995999999999, 0.3414438146093426, 0.0, 0.1, -0.5, 0.0015340038020795544
'2016-09-15', 58.099998, 58.580002, 57.98, 58.549999, 2560300.0, 58.549999, 0.15999899999999911, -0.15000200000000063, 0.3552079792670472, 0.0, 0.0, -0.1, 0.00430292613779436
'2016-09-14', 57.939999, 58.259998, 57.900002, 58.139999, 1262700.0, 58.139999, -0.22000099999999634, -0.4600030000000004, 0.3458559752612528, 0.0, 0.0, 0.0, 0.003926471417439958
'2016-09-13', 58.16, 58.389999, 57.849998, 57.950001, 2569100.0, 57.950001, 0.509997999999996, -0.7299990000000065, 0.34865818122501196, 0.0, 0.0, 0.0, 0.002372757909215966
'2016-09-12', 57.650002, 58.400002, 57.5, 58.369999, 1359300.0, 58.369999, -0.5999979999999994, -1.1999959999999987, 0.37961114086469533, 0.0, 0.0, 0.0, 0.0034691990701636597
'2016-09-09', 58.25, 58.290001, 57.669998, 57.700001, 2286600.0, 57.700001, -0.15000200000000063, -0.630001, 0.3984999812653053, 0.0, 0.0, 0.0, 0.0014714849785407709
'2016-09-08', 58.400002, 58.59, 58.169998, 58.509998, 1557000.0, 58.509998, -0.48999700000000246, 0.0200010000000006, 0.39378225912524534, 0.0, 0.0, 0.0, 0.00096317633687752
'2016-09-07', 58.889999, 59.02, 58.290001, 58.470001, 1258600.0, 58.470001, 0.04000100000000373, 0.5200000000000031, 0.4769604057192258, 0.0, 0.0, 0.0, -7.547216218421008e-05
'2016-09-06', 58.849998, 59.07, 58.650002, 58.91, 1517300.0, 58.91, -0.030003000000000668, 0.3599960000000024, 1.8521399941693404, 0.0, 0.0, 0.0, 0.0
