Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 50.279999, 51.48, 49.040001, 49.330002, 2569200.0, 49.330002, 1.9499969999999962, 6.219997999999997, 1.7856810784251538, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 48.330002, 49.73, 48.200001, 49.630001, 2260100.0, 49.630001, 1.8300020000000004, 4.170002000000004, 1.5093187837789084, 0.0, 0.0, -0.8, 0.04034754643709711
'2016-09-26', 46.5, 47.700001, 45.599998, 46.709999, 1743900.0, 46.709999, 2.2999989999999997, 3.490001999999997, 1.3209551791037453, 0.0, 0.0, -0.5, 0.04064515053763437
'2016-09-23', 44.200001, 46.75, 44.200001, 46.18, 1679200.0, 46.18, 0.14000000000000057, 0.7800030000000007, 1.3491890301053313, 0.0, 0.1, -0.1, 0.045852170908321895
'2016-09-22', 44.060001, 44.889999, 43.77, 44.049999, 1088200.0, 44.049999, -0.09999899999999684, -0.20999900000000338, 1.459894312841728, 0.0, 0.5, 0.0, 0.03529277042004605
'2016-09-21', 44.16, 44.419998, 43.810001, 44.009998, 843200.0, 44.009998, 1.1500019999999935, 0.06999999999999318, 1.4907390853610596, 0.0, 0.8, 0.0, 0.02771738677536232
'2016-09-20', 43.009998, 43.5, 42.990002, 43.369999, 959700.0, 43.369999, -0.4099999999999966, -0.630001, 1.5510491987328432, 1.0, 1.0, 0.0, 0.028171748190579597
'2016-09-19', 43.419998, 43.419998, 42.365002, 42.740002, 579200.0, 42.740002, -0.8500020000000035, -1.0800020000000004, 1.7012573657153922, 0.0, 0.8, 0.0, 0.022570248456877922
'2016-09-16', 44.27, 44.48, 42.34, 43.0, 962200.0, 43.0, 0.17999999999999972, 0.6500010000000032, 1.8858528873933182, 0.0, 0.5, 0.0, 0.01696972837135756
'2016-09-15', 44.09, 44.25, 43.560001, 44.220001, 422500.0, 44.220001, 0.4500010000000003, -0.9099999999999966, 2.0816748187726115, 0.0, 0.1, 0.0, 0.01559940273682617
'2016-09-14', 43.639999, 44.779999, 43.634998, 44.049999, 609700.0, 44.049999, -0.8600009999999969, -0.5600019999999972, 2.3281515127673487, 0.0, 0.0, -0.1, 0.01521539906543076
'2016-09-13', 44.5, 44.650002, 43.360001, 43.82, 844100.0, 43.82, 0.880001, 0.1100009999999969, 2.576816571879338, 0.0, 0.0, -0.5, 0.011807965270684364
'2016-09-12', 43.619999, 44.790001, 43.400002, 44.75, 653700.0, 44.75, -1.380001, -0.13000100000000003, 2.7762910412916817, 0.0, 0.0, -0.8, 0.012723521612185268
'2016-09-09', 45.0, 45.060001, 43.16, 43.189999, 1489300.0, 43.189999, 0.7999989999999997, 2.2900009999999966, 2.914080138111203, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 44.200001, 45.34, 44.161999, 45.099998, 871800.0, 45.099998, -0.18999800000000278, 1.369999, 2.985065917046387, 0.0, 0.1, -0.8, 0.018099524477386317
'2016-09-07', 44.389999, 45.0, 44.029999, 44.5, 724300.0, 44.5, 0.6399990000000031, 1.4399980000000028, 2.993950063251787, 0.0, 0.5, -0.5, 0.006870928291753249
'2016-09-06', 43.75, 44.5, 43.599998, 44.060001, 1265400.0, 44.060001, 1.0400009999999966, 0.4099999999999966, 3.04313145225638, 0.0, 0.8, -0.1, 0.009523809523809525
'2016-09-02', 42.709999, 43.0, 41.669998, 42.209999, 696900.0, 42.209999, -0.12000299999999697, -0.25, 3.0779653382570813, 1.0, 1.0, -0.1, 0.013404361119277926
'2016-09-01', 42.830002, 42.942001, 41.0, 41.529999, 1452200.0, 41.529999, -0.11999899999999997, 0.7600020000000001, 3.197742525425089, 0.0, 0.8, -0.5, 0.01013307447429024
'2016-08-31', 42.950001, 43.029999, 42.450001, 42.75, 280600.0, 42.75, -0.3899990000000031, 0.5600019999999972, 3.277854892456461, 0.0, 0.3, -0.8, 0.007954982352619733
'2016-08-30', 43.34, 43.389999, 42.389999, 42.77, 778100.0, 42.77, 0.38000100000000003, -0.509997999999996, 3.329107572508598, -1.0, 0.3, -1.0, 0.0
'2016-08-29', 42.959999, 44.049999, 42.799999, 43.91, 734700.0, 43.91, 0.8899990000000031, -2.5400009999999966, 3.337986961578412, 0.0, 0.8, -0.8, 0.00884546109975468
'2016-08-26', 42.07, 43.73, 42.07, 42.529999, 870400.0, 42.529999, -0.3199990000000028, -4.189998000000003, 3.339905432606815, 1.0, 1.0, -0.5, 0.015093891133824614
