Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 14.3, 14.33, 14.01, 14.09, 132400.0, 14.09, 0.11000000000000121, 0.7100000000000009, 0.8987136486235324, -1.0, 0.5, -1.0, 0.0
'2016-09-30', 14.19, 14.41, 13.99, 14.35, 192700.0, 14.35, 0.6099999999999994, 0.28999999999999915, 0.8744079902044202, 0.0, 0.8, -0.8, 0.00775193798449621
'2016-09-29', 13.58, 14.17, 13.57, 14.05, 189700.0, 14.05, -0.08000000000000007, -0.4599999999999991, 0.8491580143491161, 1.0, 1.0, -0.5, 0.026509572901325502
'2016-09-28', 13.66, 13.91, 13.49, 13.6, 147300.0, 13.6, 0.07000000000000028, -0.16999999999999993, 0.849649862525081, 0.0, 0.8, -0.1, 0.01561737432894096
'2016-09-27', 13.59, 13.83, 13.5, 13.68, 100100.0, 13.68, -0.3100000000000005, -0.07000000000000028, 0.8344073745279741, 0.0, 0.5, 0.0, 0.01306107431935248
'2016-09-26', 13.9, 13.9, 13.54, 13.62, 146600.0, 13.62, -0.1399999999999988, 0.2400000000000002, 0.8233309716565318, 0.0, 0.1, 0.0, 0.005755395683453243
'2016-09-23', 14.04, 14.28, 13.69, 13.98, 141500.0, 13.98, 0.20999999999999908, 0.3899999999999988, 0.7932409610088363, 0.0, 0.0, 0.0, 0.0030864197530864387
'2016-09-22', 13.83, 14.23, 13.6, 14.19, 146000.0, 14.19, 0.16999999999999993, 0.7200000000000006, 0.7529970488358874, 0.0, 0.0, 0.0, 0.0048548703646317595
'2016-09-21', 13.66, 13.9, 13.43, 13.65, 107200.0, 13.65, 0.0, 0.9100000000000001, 0.702745805157645, 0.0, 0.0, 0.0, 0.00585651537335286
'2016-09-20', 13.66, 13.74, 13.4, 13.63, 131700.0, 13.63, 0.009999999999999787, 0.6899999999999995, 0.6541227373785106, 0.0, 0.0, 0.0, 0.00520579144298032
'2016-09-19', 13.65, 13.65, 13.34, 13.56, 186900.0, 13.56, 0.5400000000000009, 0.75, 0.6182743907216458, 0.0, 0.0, 0.0, 0.004761904761904765
'2016-09-16', 13.11, 13.71, 12.96, 13.6, 359700.0, 13.6, 0.35999999999999943, 0.4299999999999997, 0.5629963489125742, 0.0, 0.0, 0.0, 0.00825185493377714
'2016-09-15', 12.75, 13.2, 12.54, 13.13, 185900.0, 13.13, -0.22000000000000064, -0.16000000000000014, 0.5491736216049227, 0.0, 0.0, 0.0, 0.01013071895424837
'2016-09-14', 12.97, 13.01, 12.63, 12.7, 121300.0, 12.7, 0.07000000000000028, -0.009999999999999787, 0.5456111761644511, 0.0, 0.0, 0.0, 0.007888025621256152
'2016-09-13', 12.9, 12.96, 12.76, 12.91, 129600.0, 12.91, 0.22000000000000064, 0.14000000000000057, 0.5481493105593281, 0.0, 0.0, -0.1, 0.0077519379844961265
'2016-09-12', 12.68, 13.0, 12.58, 12.99, 139200.0, 12.99, -0.23000000000000043, 0.129999999999999, 0.5332050887479102, 0.0, 0.0, -0.5, 0.008517350157728712
'2016-09-09', 12.91, 13.07, 12.65, 12.75, 152400.0, 12.75, -0.07000000000000028, 0.370000000000001, 0.5288692339951974, 0.0, 0.0, -0.8, 0.0067292796281952
'2016-09-08', 12.98, 13.17, 12.88, 13.08, 105200.0, 13.08, 0.22000000000000064, 1.0500000000000007, 0.530850470680984, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 12.76, 13.16, 12.7, 12.96, 223200.0, 12.96, 0.20999999999999908, 0.9800000000000004, 0.5324514584030694, 0.0, 0.0, -0.8, 0.01724137931034488
'2016-09-06', 12.55, 12.79, 12.37, 12.74, 228400.0, 12.74, 0.010000000000001563, 1.0, 0.5379450612180475, 0.0, 0.0, -0.5, 0.017131474103585644
'2016-09-02', 12.54, 12.64, 12.37, 12.45, 197000.0, 12.45, 0.6099999999999994, 1.1599999999999984, 0.5654260930189433, 0.0, 0.0, -0.1, 0.011695906432748572
'2016-09-01', 11.93, 12.53, 11.93, 12.51, 200500.0, 12.51, 0.15000000000000036, 0.33999999999999986, 0.595122396374617, 0.0, 0.1, 0.0, 0.022003352891869252
'2016-08-31', 11.78, 12.03, 11.72, 11.95, 188800.0, 11.95, 0.22999999999999865, 0.28999999999999915, 0.6174719966659756, 0.0, 0.5, 0.0, 0.020373514431239408
'2016-08-30', 11.55, 11.92, 11.53, 11.83, 165600.0, 11.83, 0.16999999999999993, -0.14999999999999858, 0.6410745319817, 0.0, 0.8, 0.0, 0.020634920634920628
'2016-08-29', 11.38, 11.66, 11.38, 11.63, 203900.0, 11.63, -0.20999999999999908, -0.3899999999999988, 0.6524501683824001, 1.0, 1.0, 0.0, 0.02008536279186542
'2016-08-26', 11.59, 11.65, 11.24, 11.39, 211400.0, 11.39, 0.09999999999999964, -0.23000000000000043, 0.6525523393227212, 0.0, 0.8, 0.0, 0.014991371872303717
'2016-08-25', 11.49, 11.63, 11.45, 11.53, 177700.0, 11.53, -0.20999999999999908, -0.33000000000000007, 0.6665819946229838, 0.0, 0.5, 0.0, 0.014408664539212844
'2016-08-24', 11.7, 11.75, 11.41, 11.5, 208400.0, 11.5, -0.07000000000000028, -0.08999999999999986, 0.6842851907079551, 0.0, 0.1, 0.0, 0.01094017094017095
'2016-08-23', 11.77, 11.83, 11.63, 11.7, 93800.0, 11.7, -0.05000000000000071, 0.07000000000000028, 0.6928248135150923, 0.0, 0.0, 0.0, 0.00934579439252337
'2016-08-22', 11.82, 11.96, 11.68, 11.7, 99900.0, 11.7, 0.0, -0.15000000000000036, 0.6847510496523537, 0.0, 0.0, 0.0, 0.008178228990411733
'2016-08-19', 11.82, 12.1, 11.7, 11.84, 189500.0, 11.84, 0.030000000000001137, 0.05000000000000071, 0.6699270275352551, 0.0, 0.0, -0.1, 0.0075491344526877535
'2016-08-18', 11.79, 11.92, 11.7, 11.82, 153100.0, 11.82, 0.08999999999999986, 0.10999999999999943, 0.6498235657981841, 0.0, 0.0, -0.5, 0.007209499575911798
'2016-08-17', 11.7, 11.8, 11.63, 11.73, 176100.0, 11.73, -0.27000000000000135, 0.2599999999999998, 0.6268050379149451, 0.0, 0.0, -0.8, 0.0072934472934473
'2016-08-16', 11.97, 12.1, 11.66, 11.66, 221200.0, 11.66, 0.20000000000000107, 0.02000000000000135, 0.5968562082556681, -1.0, 0.1, -1.0, 0.0
'2016-08-15', 11.77, 12.11, 11.77, 11.96, 154800.0, 11.96, 0.08999999999999986, -0.5300000000000011, 0.5777988885032193, 0.0, 0.5, -0.8, 0.016992353440951662
'2016-08-12', 11.68, 11.88, 11.56, 11.77, 179700.0, 11.77, 0.2400000000000002, -1.3800000000000008, 0.5485520333872927, 0.0, 0.8, -0.5, 0.012414383561643875
