Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 33.240002, 33.59, 33.240002, 33.369999, 588700.0, 33.369999, 0.3200039999999973, 0.05000299999999669, 0.40084385413953, -1.0, 0.1, -1.0, 0.0
'2016-09-21', 32.919998, 33.34, 32.740002, 33.27, 389400.0, 33.27, 0.00999800000000306, 0.04999899999999968, 0.40211690638583736, 0.0, 0.5, -0.8, 0.00972065672664978
'2016-09-20', 32.91, 32.93, 32.580002, 32.869999, 412700.0, 32.869999, 0.5400009999999966, 0.0899999999999963, 0.40366610690998445, 0.0, 0.8, -0.5, 0.0050137040413248315
'2016-09-19', 32.369999, 33.240002, 32.369999, 32.759998, 741300.0, 32.759998, -0.8200000000000003, -0.9500010000000003, 0.41600284411569116, 1.0, 1.0, -0.1, 0.008958943742939226
'2016-09-16', 33.189999, 33.419998, 32.130001, 32.349998, 4368800.0, 32.349998, 0.3200000000000003, 0.1299980000000005, 0.40878490350615204, 0.0, 0.8, 0.0, 0.0003766420722097392
'2016-09-15', 32.869999, 33.290001, 32.790001, 33.25, 347300.0, 33.25, 0.04999899999999968, -0.8500020000000035, 0.4365880848899374, 0.0, 0.5, 0.0, 0.002251311294533334
'2016-09-14', 32.82, 33.040001, 32.665001, 32.990002, 620300.0, 32.990002, -0.5, -1.1099999999999994, 0.44322269205977366, 0.0, 0.1, 0.0, 0.0021328559821247035
'2016-09-13', 33.32, 33.48, 32.779999, 32.950001, 511900.0, 32.950001, 0.25999900000000054, -0.18999800000000278, 0.5072693168121618, 0.0, 0.0, -0.1, -0.0003429857657348797
'2016-09-12', 33.060001, 33.720001, 32.91, 33.669998, 1649100.0, 33.669998, -0.6600000000000037, -0.2700010000000006, 0.6116761586558661, 0.0, 0.0, -0.5, 0.0006805845226683341
'2016-09-09', 33.720001, 33.869999, 33.049999, 33.189999, 1479400.0, 33.189999, -0.20999899999999627, 0.36000000000000654, 0.6787096880611004, 0.0, 0.0, -0.8, -0.001581649485189011
'2016-09-08', 33.93, 34.049999, 33.580002, 33.939999, 732200.0, 33.939999, 0.42000199999999666, 0.8100009999999997, 0.7583214711755679, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 33.509998, 33.889999, 33.27, 33.880001, 2109700.0, 33.880001, 0.1799960000000027, 0.23999799999999993, 0.7997228590659878, 0.0, 0.0, -0.8, 0.012533632499769073
'2016-09-06', 33.330002, 33.689999, 33.189999, 33.509998, 846800.0, 33.509998, -0.029998999999996556, 0.17000200000000376, 0.7996044833411252, 0.0, 0.0, -0.5, 0.009000869546902508
'2016-09-02', 33.360001, 33.57, 33.209999, 33.52, 477600.0, 33.52, 0.24000199999999694, 0.24000199999999694, 0.8082406330359521, 0.0, 0.0, -0.1, 0.005695433482351143
'2016-09-01', 33.119999, 33.389999, 32.709999, 33.25, 632700.0, 33.25, -0.15000100000000316, 0.379997000000003, 0.8115365809522637, 0.0, 0.0, 0.0, 0.006114138167697406
'2016-08-31', 33.27, 33.470001, 32.889999, 33.23, 505600.0, 33.23, 0.11000000000000654, 1.0600009999999997, 0.8108100333763083, 0.0, 0.0, 0.0, 0.003967538322813324
'2016-08-30', 33.16, 33.360001, 32.790001, 33.299999, 700100.0, 33.299999, 0.04000099999999662, 0.75, 0.8101275866604366, 0.0, 0.1, 0.0, 0.0038701246481705025
'2016-08-29', 33.119999, 33.360001, 32.990002, 33.16, 465000.0, 33.16, 0.379997000000003, 0.6399990000000031, 0.8110627357578867, 0.0, 0.5, 0.0, 0.0034937932386842323
'2016-08-26', 32.740002, 33.07, 32.41, 32.990002, 786100.0, 32.990002, 0.5300029999999936, 0.25, 0.8130547483695533, 0.0, 0.8, 0.0, 0.004543364108529999
'2016-08-25', 32.209999, 32.779999, 32.029999, 32.73, 728400.0, 32.73, -0.2000009999999932, -0.3399999999999963, 0.8098413375481684, 1.0, 1.0, 0.0, 0.005933288672943511
'2016-08-24', 32.41, 32.57, 32.005001, 32.119999, 486100.0, 32.119999, -0.07000000000000028, -0.7200010000000034, 0.7980794675564318, 0.0, 0.8, 0.0, 0.004689910521444009
'2016-08-23', 32.48, 32.779999, 32.330002, 32.509998, 588100.0, 32.509998, -0.010002000000000066, -0.9000010000000032, 0.8276840156603409, 0.0, 0.5, 0.0, 0.004058441558441567
'2016-08-22', 32.490002, 32.810001, 32.299999, 32.419998, 314600.0, 32.419998, -0.05999700000000274, -0.6499970000000062, 0.8310824365326865, 0.0, 0.1, 0.0, 0.003693438779515421
'2016-08-19', 32.549999, 32.66, 32.43, 32.619999, 292900.0, 32.619999, -0.5800020000000004, -0.5499989999999997, 0.8468872235833189, 0.0, 0.0, 0.0, 0.0032612573375785073
'2016-08-18', 33.130001, 33.59, 32.630001, 32.75, 510700.0, 32.75, -0.25, -0.3400000000000034, 0.8862320456741245, 0.0, 0.0, 0.0, 0.0017248048291421932
'2016-08-17', 33.380001, 33.410999, 33.009998, 33.259998, 513600.0, 33.259998, 0.24000199999999694, 0.17000199999999666, 0.9697652219204261, 0.0, 0.0, 0.0, 0.0010984601228741719
'2016-08-16', 33.139999, 33.540001, 33.0, 33.389999, 456200.0, 33.389999, 0.04000100000000373, 0.36000000000000654, 1.0652845060367346, 0.0, 0.0, 0.0, 0.0014898933008416742
'2016-08-15', 33.099998, 33.439999, 32.75, 33.299999, 364200.0, 33.299999, -0.3700030000000041, -0.17000200000000376, 1.1466580031657896, 0.0, 0.0, 0.0, 0.0014750347434710886
'2016-08-12', 33.470001, 33.470001, 33.080002, 33.200001, 267300.0, 33.200001, 0.26000200000000007, -0.1599999999999966, 1.2206556573332112, 0.0, 0.0, 0.0, 0.0007635344857025785
'2016-08-11', 33.209999, 33.48, 32.939999, 33.389999, 306700.0, 33.389999, 0.4300000000000068, -0.47000099999999634, 1.3146895275233403, 0.0, 0.0, 0.0, 0.001141065661389632
'2016-08-10', 32.779999, 33.305, 32.639999, 33.02, 491100.0, 33.02, -0.49000100000000657, -1.1900020000000069, 1.4022821948054522, 0.0, 0.0, 0.0, 0.001754119943688838
'2016-08-09', 33.27, 33.630001, 32.560001, 32.860001, 599600.0, 32.860001, -0.3600009999999969, -0.38999999999999346, 1.5251985371971728, 0.0, 0.0, 0.0, 0.00094465198162222
'2016-08-08', 33.630001, 33.82, 32.91, 33.16, 910100.0, 33.16, -0.04999899999999968, -0.9699969999999993, 1.5992521133682698, 0.0, 0.0, 0.0, 0.00040548075457441017
'2016-08-05', 33.68, 34.02, 33.325001, 33.689999, 571100.0, 33.689999, -0.29000100000000373, -1.4500010000000003, 1.6703251971469375, 0.0, 0.0, 0.0, 0.00032273055871114324
'2016-08-04', 33.970001, 34.130001, 33.490002, 33.529999, 344900.0, 33.529999, 0.31000100000000685, -0.9799999999999969, 1.7164294133143438, 0.0, 0.0, 0.0, -4.906412376418501e-05
'2016-08-03', 33.66, 34.009998, 33.650002, 33.919998, 299500.0, 33.919998, -0.9399980000000028, -1.5999980000000065, 1.7675846489871518, 0.0, 0.0, 0.0, 0.00032085561497326577
'2016-08-02', 34.599998, 34.709999, 33.700001, 33.93, 726600.0, 33.93, -0.5300030000000007, -0.30000400000000127, 1.7959077577158458, 0.0, 0.0, -0.1, -0.000744773275598277
'2016-08-01', 35.130001, 35.18, 34.52, 34.619999, 423300.0, 34.619999, 0.17999999999999972, 1.6799999999999997, 1.76393909052106, 0.0, 0.0, -0.5, -0.0012651431886233505
'2016-07-29', 34.950001, 35.43, 34.610001, 35.25, 500100.0, 35.25, -0.30999700000000274, 0.850003000000001, 1.6934141491480756, 0.0, 0.0, -0.8, -0.0010423063261960181
'2016-07-28', 35.259998, 35.279999, 34.43, 34.93, 424400.0, 34.93, 0.3599960000000024, 1.379997000000003, 1.6251828767664578, -1.0, 0.0, -1.0, 0.0
'2016-07-27', 34.900002, 35.5, 34.759998, 35.25, 317600.0, 35.25, 1.4500010000000003, 1.100003000000001, 1.5120471285428791, 0.0, 0.0, -0.8, 0.010315071042116342
