Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 30.620001, 30.690001, 29.83, 30.059999, 2230000.0, 30.059999, 0.12000099999999847, 0.5500009999999982, 1.1008779680078689, -1.0, 0.1, -1.0, 0.0
'2016-10-06', 30.5, 30.799999, 30.4, 30.5, 2849800.0, 30.5, 0.26000000000000156, -0.19000099999999875, 1.0967822010067152, 0.0, 0.0, -0.8, 0.003934459016393392
'2016-10-05', 30.24, 30.700001, 30.24, 30.58, 2425000.0, 30.58, -0.4699990000000014, -0.8099990000000012, 1.097035018462963, 0.0, 0.0, -0.5, 0.006283085317460318
'2016-10-04', 30.709999, 30.75, 29.98, 30.209999, 4290500.0, 30.209999, 0.6399989999999995, -0.7000010000000003, 1.0798699681394959, 0.0, 0.0, -0.1, -0.0009768588183064995
'2016-10-03', 30.07, 30.959999, 30.07, 30.77, 6458800.0, 30.77, -0.6200009999999985, -1.239999000000001, 1.0483937780034909, 0.0, 0.0, 0.0, 0.004572672098436965
'2016-09-30', 30.690001, 30.959999, 30.26, 30.280001, 5928300.0, 30.280001, -0.35999800000000093, -1.25, 0.9678557132483868, 0.0, 0.0, 0.0, -0.00045617463485908837
'2016-09-29', 31.049999, 31.33, 30.74, 30.77, 4028400.0, 30.77, -0.36000100000000046, -0.9100000000000001, 0.9411401502083342, 0.0, 0.0, 0.0, -0.0023080945456176514
'2016-09-28', 31.41, 31.469999, 30.73, 31.049999, 4808200.0, 31.049999, 0.1000009999999989, -0.6600000000000001, 0.9272386183603297, 0.0, 0.0, 0.0, -0.003593027698185299
'2016-09-27', 31.309999, 31.469999, 31.15, 31.360001, 2921300.0, 31.360001, -0.6300019999999975, 0.18999800000000278, 0.9325251103088676, 0.0, 0.0, 0.0, -0.002754703058278614
'2016-09-26', 31.940001, 32.09, 31.26, 31.280001, 2958200.0, 31.280001, -0.01999800000000107, 0.040001000000000175, 0.9276851926530156, 0.0, 0.1, 0.0, -0.004591943083115955
'2016-09-23', 31.959999, 32.41, 31.799999, 31.969999, 3284100.0, 31.969999, -0.11000100000000046, -0.13000100000000359, 0.9401847102806751, 0.0, 0.5, 0.0, -0.00419273479952237
'2016-09-22', 32.07, 32.18, 31.77, 32.110001, 2875900.0, 32.110001, 0.9499990000000018, 0.8500009999999989, 0.9442376058675445, 0.0, 0.8, 0.0, -0.00411032400714347
'2016-09-21', 31.120001, 31.9, 30.969999, 31.870001, 2221700.0, 31.870001, -0.7799990000000001, -0.059999000000001246, 0.9407115892185283, 1.0, 1.0, 0.0, -0.0013389031274988286
'2016-09-20', 31.9, 32.0, 31.52, 31.530001, 2414500.0, 31.530001, -0.19000000000000483, 0.27000099999999705, 0.8980541405734469, 0.0, 0.8, 0.0, -0.003086566192428262
'2016-09-19', 32.09, 32.150002, 31.49, 31.74, 3301200.0, 31.74, 0.870001000000002, 0.28000100000000216, 0.8857763975939106, 0.0, 0.5, 0.0, -0.003272045140898377
'2016-09-16', 31.219999, 31.360001, 30.879999, 31.24, 4168400.0, 31.24, 0.03999900000000167, -0.38000100000000003, 0.8652829717888705, 0.0, 0.1, 0.0, -0.001281225751053575
'2016-09-15', 31.18, 31.530001, 31.09, 31.309999, 2636300.0, 31.309999, -0.4499990000000018, -0.9799999999999969, 0.7922054741044735, 0.0, 0.0, 0.0, -0.0011225124278383604
'2016-09-14', 31.629999, 31.629999, 31.15, 31.32, 2701600.0, 31.32, -0.17999999999999972, -1.0500009999999982, 0.7139818523067065, 0.0, 0.0, 0.0, -0.0018783322458791004
'2016-09-13', 31.809999, 31.969999, 31.370001, 31.610001, 3103800.0, 31.610001, 0.20999899999999982, -1.0399989999999981, 0.6659136910049099, 0.0, 0.0, 0.0, -0.0020783087732885548
'2016-09-12', 31.6, 32.029999, 31.33, 31.940001, 3638000.0, 31.940001, -0.5599999999999952, -2.1700000000000017, 0.6085596541571522, 0.0, 0.0, 0.0, -0.0016322435043304513
'2016-09-09', 32.16, 32.27, 31.73, 31.73, 2913800.0, 31.73, -0.5200000000000031, -1.25, 0.5243726473935885, 0.0, 0.0, 0.0, -0.0023942770522388033
'2016-09-08', 32.68, 32.880001, 32.459999, 32.470001, 2309200.0, 32.470001, -0.16999799999999965, -0.48999799999999993, 0.484879112358255, 0.0, 0.0, 0.0, -0.00300168881506091
'2016-09-07', 32.849998, 32.919998, 32.669998, 32.849998, 2539200.0, 32.849998, -0.9200020000000038, -0.740002000000004, 0.48035752451366825, 0.0, 0.0, 0.0, -0.0030856470676193055
'2016-09-06', 33.77, 33.77, 32.82, 32.900002, 3088000.0, 32.900002, 0.36000000000000654, 0.17000200000000376, 0.48311913313515414, 0.0, 0.0, 0.0, -0.004055566427624216
'2016-09-02', 33.41, 33.790001, 33.32, 33.689999, 1763500.0, 33.689999, 0.24000199999999694, -0.36000000000000654, 0.4931491878407019, 0.0, 0.0, 0.0, -0.003479495909408359
'2016-09-01', 33.169998, 33.330002, 32.950001, 33.16, 1908700.0, 33.16, -0.42000200000000376, -0.29000100000000373, 0.5064628527358441, 0.0, 0.0, 0.0, -0.00307506440006418
'2016-08-31', 33.59, 33.810001, 33.110001, 33.130001, 2755200.0, 33.130001, -0.009997999999995955, 0.3899990000000031, 0.5085042950338894, 0.0, 0.0, 0.0, -0.003400736253921731
'2016-08-30', 33.599998, 33.77, 33.450001, 33.57, 1634400.0, 33.57, -0.17000200000000376, -0.0200010000000006, 0.5295894538236792, 0.0, 0.0, 0.0, -0.0032848293401463685
'2016-08-29', 33.77, 33.98, 33.650002, 33.700001, 2541200.0, 33.700001, 0.31000099999999975, -0.00999899999999343, 0.5327210993267234, 0.0, 0.0, 0.0, -0.0033313581369770343
'2016-08-26', 33.459999, 33.939999, 33.299999, 33.700001, 2900000.0, 33.700001, 0.25999800000000306, 0.5599970000000027, 0.5269608717300928, 0.0, 0.0, -0.1, -0.002926807186014606
'2016-08-25', 33.200001, 33.459999, 33.099998, 33.369999, 2168200.0, 33.369999, -0.41999799999999965, 0.29000100000000373, 0.5267873996227788, 0.0, 0.1, -0.5, -0.0025903613677602014
'2016-08-24', 33.619999, 33.779999, 33.099998, 33.18, 1803900.0, 33.18, -0.1599999999999966, -0.07000000000000028, 0.5300688526777507, 0.0, 0.5, -0.8, -0.0028784691228651766
'2016-08-23', 33.779999, 33.799999, 33.349998, 33.779999, 2576100.0, 33.779999, 0.8799969999999959, 0.039996999999999616, 0.5322578136801336, -1.0, 0.8, -1.0, -0.002923325649003126
