Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 3.13, 3.13, 2.91, 3.01, 202300.0, 3.01, 0.08999999999999986, 0.25, 0.19988329928569148, -1.0, 0.0, -1.0, 0.0
'2016-10-06', 3.04, 3.14, 3.04, 3.1, 61300.0, 3.1, 0.1200000000000001, 0.14000000000000012, 0.18131617565886265, 0.0, 0.0, -0.8, 0.02960526315789469
'2016-10-05', 2.92, 3.13, 2.92, 3.01, 273300.0, 3.01, 0.08000000000000007, 0.23999999999999977, 0.164412759710296, 0.0, 0.0, -0.5, 0.03595890410958904
'2016-10-04', 2.84, 2.92, 2.84, 2.87, 95300.0, 2.87, -0.040000000000000036, 0.36999999999999966, 0.1551805400171039, 0.0, 0.0, -0.1, 0.034037558685446015
'2016-10-03', 2.88, 2.99, 2.78, 2.79, 96400.0, 2.79, -0.020000000000000018, 0.4099999999999997, 0.14773286702694152, 0.0, 0.1, 0.0, 0.021701388888888888
'2016-09-30', 2.9, 3.08, 2.85, 2.88, 248000.0, 2.88, 0.21999999999999975, 0.3900000000000001, 0.13801167422440108, 0.0, 0.5, 0.0, 0.01586206896551724
'2016-09-29', 2.68, 3.01, 2.67, 2.85, 372700.0, 2.85, 0.20999999999999996, 0.15000000000000036, 0.12374929853897712, 0.0, 0.8, 0.0, 0.027985074626865652
'2016-09-28', 2.47, 2.79, 2.45, 2.65, 195200.0, 2.65, 0.0, -0.17999999999999972, 0.12221292893961747, 1.0, 1.0, 0.0, 0.038172353961827624
'2016-09-27', 2.47, 2.56, 2.45, 2.46, 247900.0, 2.46, -0.03999999999999959, -0.13999999999999968, 0.12299999999999998, 0.0, 0.8, 0.0, 0.03340080971659917
'2016-09-26', 2.51, 2.57, 2.46, 2.56, 129200.0, 2.56, -0.020000000000000018, -0.16000000000000014, 0.12515945385343005, 0.0, 0.5, 0.0, 0.027445772465692794
'2016-09-23', 2.53, 2.59, 2.46, 2.49, 75100.0, 2.49, -0.1200000000000001, -0.07000000000000028, 0.1290632919669002, 0.0, 0.1, 0.0, 0.02371541501976285
'2016-09-22', 2.65, 2.67, 2.52, 2.56, 56500.0, 2.56, 0.040000000000000036, 0.1299999999999999, 0.13164092575386016, 0.0, 0.0, 0.0, 0.01646655231560892
'2016-09-21', 2.61, 2.68, 2.51, 2.61, 76000.0, 2.61, -0.06000000000000005, 0.040000000000000036, 0.13049861642519006, 0.0, 0.0, 0.0, 0.016602809706257982
'2016-09-20', 2.67, 2.67, 2.52, 2.52, 79700.0, 2.52, 0.06999999999999984, 0.040000000000000036, 0.15142434854848583, 0.0, 0.0, 0.0, 0.013252664938058194
'2016-09-19', 2.6, 2.7, 2.56, 2.69, 81900.0, 2.69, 0.08000000000000007, -0.1599999999999997, 0.16081770217651203, 0.0, 0.0, 0.0, 0.014560439560439556
'2016-09-16', 2.52, 2.53, 2.45, 2.53, 36800.0, 2.53, -0.04999999999999982, -0.22999999999999998, 0.1973378377864271, 0.0, 0.0, 0.0, 0.016137566137566135
'2016-09-15', 2.57, 2.61, 2.47, 2.56, 99100.0, 2.56, -0.06000000000000005, -0.33000000000000007, 0.2262911104455203, 0.0, 0.0, 0.0, 0.013618677042801558
'2016-09-14', 2.63, 2.73, 2.52, 2.55, 141700.0, 2.55, -0.1299999999999999, 0.0, 0.2684242082144522, 0.0, 0.0, -0.1, 0.011183180496533213
'2016-09-13', 2.76, 2.79, 2.52, 2.65, 185100.0, 2.65, 0.009999999999999787, 0.2799999999999998, 0.2996370026103808, 0.0, 0.0, -0.5, 0.007447665056360712
'2016-09-12', 2.75, 2.87, 2.61, 2.8, 75900.0, 2.8, -0.1499999999999999, 0.25, 0.33262073831250444, 0.0, 0.0, -0.8, 0.007272727272727271
'2016-09-09', 2.9, 2.93, 2.71, 2.75, 127800.0, 2.75, 0.27, 0.48999999999999977, 0.3715044489041222, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 2.63, 2.98, 2.62, 2.95, 497500.0, 2.95, 0.1499999999999999, 0.25, 0.38867924507948143, 0.0, 0.0, -0.8, 0.10266159695817492
'2016-09-07', 2.48, 2.6, 2.48, 2.6, 182200.0, 2.6, -0.020000000000000018, -0.020000000000000018, 0.4067361962419049, 0.0, 0.0, -0.5, 0.08467741935483869
'2016-09-06', 2.5, 2.55, 2.45, 2.45, 80200.0, 2.45, 0.08999999999999986, 0.029999999999999805, 0.4200391516143333, 0.0, 0.0, -0.1, 0.05333333333333332
'2016-09-02', 2.41, 2.49, 2.41, 2.49, 56700.0, 2.49, 0.03000000000000025, 0.11000000000000032, 0.42887242340299236, 0.0, 0.0, 0.0, 0.05082987551867217
'2016-09-01', 2.38, 2.46, 2.38, 2.4, 50000.0, 2.4, -0.1200000000000001, -0.1200000000000001, 0.4354671820776701, 0.0, 0.1, 0.0, 0.04369747899159664
'2016-08-31', 2.5, 2.54, 2.4, 2.4, 74900.0, 2.4, 0.029999999999999805, 0.06999999999999984, 0.4399540380034664, 0.0, 0.5, 0.0, 0.02666666666666666
'2016-08-30', 2.47, 2.56, 2.44, 2.5, 81500.0, 2.5, 0.17000000000000037, -0.029999999999999805, 0.4423176334817423, 0.0, 0.8, 0.0, 0.024869866975130113
'2016-08-29', 2.3, 2.56, 2.26, 2.42, 195400.0, 2.42, -0.20000000000000018, -0.15000000000000036, 0.4421206471843028, 1.0, 1.0, 0.0, 0.03260869565217392
'2016-08-26', 2.5, 2.53, 2.33, 2.33, 170000.0, 2.33, 0.06999999999999984, -0.10000000000000009, 0.4457613960654537, 0.0, 0.8, 0.0, 0.017777777777777774
'2016-08-25', 2.43, 2.47, 2.39, 2.47, 45600.0, 2.47, -0.06999999999999984, -0.25, 0.4459471817254695, 0.0, 0.5, 0.0, 0.01934156378600822
'2016-08-24', 2.5, 2.61, 2.4, 2.41, 112300.0, 2.41, 0.04999999999999982, -0.10000000000000009, 0.44601557023145383, 0.0, 0.1, 0.0, 0.014545454545454542
'2016-08-23', 2.45, 2.59, 2.45, 2.56, 62900.0, 2.56, -0.1499999999999999, -0.040000000000000036, 0.4432116374324523, 0.0, 0.0, 0.0, 0.015306122448979581
'2016-08-22', 2.6, 2.62, 2.45, 2.46, 82400.0, 2.46, -0.08000000000000007, 0.16000000000000014, 0.44226299365372584, 0.0, 0.0, 0.0, 0.008875739644970407
'2016-08-19', 2.68, 2.7, 2.63, 2.64, 151000.0, 2.64, 0.08000000000000007, 0.28000000000000025, 0.43528802724939114, 0.0, 0.0, 0.0, 0.00586353944562899
'2016-08-18', 2.6, 2.66, 2.58, 2.61, 124600.0, 2.61, 0.10999999999999988, -0.1299999999999999, 0.42064302627709826, 0.0, 0.0, 0.0, 0.0076923076923076875
'2016-08-17', 2.49, 2.7, 2.38, 2.55, 198600.0, 2.55, 0.050000000000000266, 0.08000000000000007, 0.40737111117778363, 0.0, 0.0, 0.0, 0.010291164658634529
'2016-08-16', 2.44, 2.55, 2.37, 2.52, 131300.0, 2.52, 0.040000000000000036, -0.14000000000000012, 0.39805429557061955, 0.0, 0.0, 0.0, 0.011089681774349084
'2016-08-15', 2.4, 2.65, 2.4, 2.45, 362700.0, 2.45, -0.33000000000000007, -0.5800000000000001, 0.3881437305374847, 0.0, 0.0, 0.0, 0.011574074074074075
'2016-08-12', 2.73, 2.75, 2.53, 2.55, 192800.0, 2.55, 0.31999999999999984, -0.1499999999999999, 0.37876715216020984, 0.0, 0.0, -0.1, 0.0032774243300559077
'2016-08-11', 2.41, 2.74, 2.38, 2.67, 242200.0, 2.67, -0.16999999999999993, 0.4800000000000002, 0.34834928193154385, 0.0, 0.0, -0.5, 0.010165975103734435
'2016-08-10', 2.58, 2.58, 2.34, 2.39, 246400.0, 2.39, -0.3999999999999999, 0.6500000000000001, 0.3354169875774862, 0.0, 0.0, -0.8, 0.005906238464377996
'2016-08-09', 2.98, 3.0, 2.41, 2.52, 400500.0, 2.52, 0.10000000000000009, 1.26, 0.3097362677433102, -1.0, 0.0, -1.0, 0.0
'2016-08-08', 2.88, 3.08, 2.72, 2.91, 1127800.0, 2.91, 0.95, 1.14, 0.22963642761741626, 0.0, 0.0, -0.8, 0.03472222222222225
'2016-08-05', 1.93, 2.64, 1.88, 2.58, 1278200.0, 2.58, 0.0, 0.32999999999999985, 0.11982579948501165, 0.0, 0.0, -0.5, 0.27202072538860106
'2016-08-04', 1.93, 1.99, 1.87, 1.92, 119200.0, 1.92, 0.20999999999999996, 0.49, 0.12436728758890828, 0.0, 0.0, -0.1, 0.18134715025906736
'2016-08-03', 1.72, 1.93, 1.7, 1.92, 199100.0, 1.92, -0.020000000000000018, 0.17999999999999994, 0.12810629267222676, 0.0, 0.1, 0.0, 0.18313953488372092
'2016-08-02', 1.74, 1.89, 1.61, 1.7, 309600.0, 1.7, 0.1399999999999999, 0.1399999999999999, 0.13522162877620164, 0.0, 0.5, 0.0, 0.1425287356321839
'2016-08-01', 1.6, 1.88, 1.52, 1.75, 523200.0, 1.75, 0.16000000000000014, -0.08999999999999986, 0.14046945100863267, 0.0, 0.8, 0.0, 0.14374999999999996
'2016-07-29', 1.44, 1.53, 1.4, 1.5, 133200.0, 1.5, -0.10000000000000009, -0.30000000000000004, 0.13839757544440176, 1.0, 1.0, 0.0, 0.1527777777777778
'2016-07-28', 1.54, 1.55, 1.41, 1.47, 202600.0, 1.47, -0.06000000000000005, -0.26, 0.12070579476101749, 0.0, 0.8, 0.0, 0.11688311688311688
'2016-07-27', 1.6, 1.7, 1.51, 1.53, 371300.0, 1.53, -0.08999999999999986, -0.25, 0.11090336133569416, 0.0, 0.5, 0.0, 0.09583333333333333
'2016-07-26', 1.69, 1.83, 1.61, 1.61, 228800.0, 1.61, -0.050000000000000044, -0.13000000000000012, 0.10986304605684696, 0.0, 0.1, 0.0, 0.07633136094674557
'2016-07-25', 1.74, 1.83, 1.69, 1.69, 122600.0, 1.69, -0.06000000000000005, -0.16999999999999993, 0.1059853239316127, 0.0, 0.0, 0.0, 0.06478578892371996
