Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-30', 26.200001, 26.200001, 25.799999, 25.799999, 499100.0, 25.799999, 0.07000199999999879, 0.9400009999999988, 0.5122883304463188, -1.0, 0.0, -1.0, 0.0
'2016-09-29', 26.129999, 26.290001, 25.790001, 25.940001, 299300.0, 25.940001, 0.35999900000000196, 0.7799990000000001, 0.5104805670480187, 0.0, 0.0, -0.8, 0.002678989769574763
'2016-09-28', 25.77, 26.24, 25.700001, 26.23, 249300.0, 26.23, 0.38000100000000003, 0.5799990000000008, 0.5085965438344021, 0.0, 0.0, -0.5, 0.008343053938688411
'2016-09-27', 25.389999, 25.9, 25.299999, 25.77, 284800.0, 25.77, 0.12999899999999798, 0.6999980000000008, 0.5117189995172795, 0.0, 0.0, -0.1, 0.010634134592390765
'2016-09-26', 25.26, 25.559999, 25.23, 25.440001, 217600.0, 25.440001, -0.08999999999999986, 0.28000000000000114, 0.5221487558160626, 0.0, 0.1, 0.0, 0.009303256136183677
'2016-09-23', 25.35, 25.58, 25.23, 25.450001, 220900.0, 25.450001, 0.15999900000000267, 0.5800000000000018, 0.5241911136219901, 0.0, 0.5, 0.0, 0.006706122287968433
'2016-09-22', 25.190001, 25.73, 24.969999, 25.43, 372200.0, 25.43, 0.5, 0.3200000000000003, 0.5311023368850333, 0.0, 0.8, 0.0, 0.00668254571857038
'2016-09-21', 24.690001, 24.98, 24.459999, 24.93, 302500.0, 24.93, -0.28999900000000167, -0.48999900000000096, 0.5298179406385639, 1.0, 1.0, 0.0, 0.008736908747564892
'2016-09-20', 24.98, 24.98, 24.43, 24.49, 242900.0, 24.49, 0.21000000000000085, -0.16999999999999815, 0.5118441281833973, 0.0, 0.8, 0.0, 0.0061048889111289025
'2016-09-19', 24.77, 25.370001, 24.77, 24.93, 257300.0, 24.93, -0.1000009999999989, -0.990000000000002, 0.5023830842431223, 0.0, 0.5, 0.0, 0.006414574081550266
'2016-09-16', 24.870001, 24.9, 24.49, 24.6, 625800.0, 24.6, -0.30999900000000125, -0.4200000000000017, 0.4793194049903767, 0.0, 0.1, 0.0, 0.005347808389714186
'2016-09-15', 25.18, 25.23, 24.969999, 25.09, 257200.0, 25.09, 0.030000000000001137, -1.2300000000000004, 0.46871021082714115, 0.0, 0.0, 0.0, 0.0036825799696729024
'2016-09-14', 25.15, 25.370001, 24.879999, 25.09, 322600.0, 25.09, -0.610000000000003, -1.489999000000001, 0.4966106057849481, 0.0, 0.0, 0.0, 0.0034791285619615703
'2016-09-13', 25.76, 25.950001, 25.030001, 25.16, 348300.0, 25.16, 0.4699990000000014, -0.22999999999999687, 0.49603131700002884, 0.0, 0.0, 0.0, 0.0013139064739608182
'2016-09-12', 25.290001, 26.120001, 25.15, 26.01, 519700.0, 26.01, -1.119999, -0.6699979999999996, 0.5043613846575411, 0.0, 0.0, 0.0, 0.0025701857425786583
