Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 36.48, 37.220001, 36.009998, 36.540001, 776000.0, 36.540001, 0.8899999999999935, -1.9399980000000028, 1.5457247785283654, -1.0, 0.1, -1.0, 0.0
'2016-10-10', 35.59, 36.990002, 35.380001, 36.830002, 1444200.0, 36.830002, 0.07000000000000028, -2.5799979999999962, 1.5228114950099216, 0.0, 0.5, -0.8, 0.025007024445068655
'2016-10-07', 35.52, 35.849998, 34.580002, 35.41, 2048400.0, 35.41, 0.020000000000003126, -2.0200009999999935, 1.4230681361062867, 0.0, 0.8, -0.5, 0.013513513513513424
'2016-10-06', 35.5, 35.75, 32.310001, 35.330002, 9500700.0, 35.330002, -2.9199979999999996, -2.8400000000000034, 1.302821118360259, 1.0, 1.0, -0.1, 0.009201877934272271
'2016-10-05', 38.419998, 38.900002, 37.639999, 38.509998, 672800.0, 38.509998, 0.25, -1.6900029999999973, 1.1681940615045179, 0.0, 0.8, 0.0, -0.012623621167288991
'2016-10-04', 38.169998, 38.48, 37.669998, 38.189999, 526700.0, 38.189999, 0.629997000000003, -1.7800030000000007, 1.167232612693086, 0.0, 0.5, 0.0, -0.008855111807970243
'2016-10-03', 37.540001, 38.099998, 37.0, 38.07, 1166000.0, 38.07, -0.7999990000000068, -2.3400000000000034, 1.1748403792292827, 0.0, 0.1, 0.0, -0.004706095594758596
'2016-09-30', 38.34, 38.34, 37.66, 37.740002, 973100.0, 37.740002, -1.7700009999999935, -1.9599989999999963, 1.1659075019918652, 0.0, 0.0, 0.0, -0.006930471719204138
'2016-09-29', 40.110001, 40.110001, 37.919998, 38.110001, 772200.0, 38.110001, 0.1599999999999966, -1.4299999999999997, 1.2105775729519546, 0.0, 0.0, 0.0, -0.011312643073731164
'2016-09-28', 39.950001, 40.209999, 39.400002, 40.119999, 525000.0, 40.119999, 0.07000000000000028, -1.3599999999999994, 1.2295773143649626, 0.0, 0.0, 0.0, -0.009650955119291914
'2016-09-27', 39.880001, 40.209999, 39.41, 39.779999, 660300.0, 39.779999, -0.41999799999999965, 0.030003000000000668, 1.242304399466665, 0.0, 0.0, 0.0, -0.00852557902393233
'2016-09-26', 40.299999, 40.48, 39.77, 39.810001, 460900.0, 39.810001, -1.240001999999997, 1.8299979999999962, 1.2537910756141661, 0.0, 0.0, 0.0, -0.008617187220367837
'2016-09-23', 41.540001, 41.700001, 40.169998, 40.450001, 902900.0, 40.450001, 0.22999999999999687, 2.5400009999999966, 1.2425077989296127, 0.0, 0.0, 0.0, -0.010150860371909957
'2016-09-22', 41.310001, 41.790001, 40.91, 41.5, 1266700.0, 41.5, 1.4600030000000004, 3.4200019999999967, 1.128806868158078, 0.0, 0.0, 0.0, -0.008993912599071074
'2016-09-21', 39.849998, 41.049999, 39.23, 40.959999, 984500.0, 40.959999, 1.379996999999996, 2.2299989999999994, 0.9804827093725959, 0.0, 0.0, 0.0, -0.006040505770091709
'2016-09-20', 38.470001, 39.970001, 38.470001, 39.849998, 811600.0, 39.849998, -0.5299989999999966, 0.880001, 0.9364215672801963, 0.0, 0.0, 0.0, -0.003448576290219846
'2016-09-19', 39.0, 39.150002, 37.810001, 38.380001, 784500.0, 38.380001, 1.110000999999997, 1.0800020000000004, 0.9418695608798191, 0.0, 0.0, 0.0, -0.004038461538461544
'2016-09-16', 37.889999, 38.799999, 37.060001, 38.75, 1343200.0, 38.75, 0.2700000000000031, 0.8899990000000031, 0.931144118061663, 0.0, 0.0, -0.1, -0.0021889976203762684
'2016-09-15', 37.619999, 38.299999, 37.259998, 37.880001, 668900.0, 37.880001, 0.029998999999996556, 0.4299999999999997, 0.9362611423462415, 0.0, 0.1, -0.5, -0.001683500251495965
'2016-09-14', 37.59, 38.040001, 36.98, 37.52, 379600.0, 37.52, -0.32999799999999624, 0.36000000000000654, 0.9339678759647763, 0.0, 0.5, -0.8, -0.001554164741462604
'2016-09-13', 37.919998, 38.0, 36.970001, 37.599998, 760300.0, 37.599998, 0.9199979999999996, -0.2700010000000006, 0.9283921059796162, -1.0, 0.8, -1.0, -0.0018987316402284658
'2016-09-12', 37.0, 38.450001, 36.98, 38.25, 647200.0, 38.25, -0.18999900000000025, -1.2799989999999966, 0.9378713167242492, 1.0, 1.0, -0.8, -0.0006692406692406733
'2016-09-09', 37.189999, 37.490002, 36.939999, 36.990002, 859700.0, 36.990002, -0.04000099999999662, -1.9099989999999991, 0.9101750602681205, 0.0, 0.8, -0.5, -0.0008677785072858424
'2016-09-08', 37.23, 37.66, 37.060001, 37.59, 633300.0, 37.59, -0.9599990000000034, -1.7700000000000031, 0.8885513155572707, 0.0, 0.5, -0.1, -0.000875871492134674
'2016-09-07', 38.189999, 38.740002, 37.119999, 37.380001, 927700.0, 37.380001, -0.0899999999999963, -0.8100009999999997, 0.8833789538412808, 0.0, 0.1, 0.0, -0.0018656705996073337
'2016-09-06', 38.279999, 38.709999, 37.75, 38.240002, 782900.0, 38.240002, -0.8199990000000028, -1.8100010000000069, 1.029515798163133, 0.0, 0.0, 0.0, -0.00188087674714934
'2016-09-02', 39.099998, 39.25, 37.759998, 38.310001, 622400.0, 38.310001, 0.09999799999999937, -0.7000010000000003, 1.1755556809728585, 0.0, 0.0, -0.1, -0.0025772163427260006
'2016-09-01', 39.0, 40.0, 38.610001, 38.970001, 715500.0, 38.970001, 0.0, 0.22999999999999687, 1.2866920560106083, 0.0, 0.0, -0.5, -0.002393162393162396
'2016-08-31', 39.0, 39.259998, 38.139999, 39.169998, 1671700.0, 39.169998, -1.0900000000000034, -0.04999899999999968, 1.3614269108062749, 0.0, 0.0, -0.8, -0.0023076923076923105
'2016-08-30', 40.09, 40.799999, 39.59, 40.139999, 500000.0, 40.139999, 0.29000100000000373, 0.2999990000000068, 1.4392702156458645, -1.0, 0.0, -1.0, 0.0
'2016-08-29', 39.799999, 40.740002, 39.049999, 40.23, 1226300.0, 40.23, 1.0299989999999966, 1.2999989999999997, 1.4475935166110074, 0.0, 0.0, -0.8, 0.007286457469509075
'2016-08-26', 38.77, 40.259998, 38.639999, 39.810001, 1074900.0, 39.810001, -0.27999899999999656, 0.9099990000000062, 1.414073988823628, 0.0, 0.0, -0.5, 0.01702347175651277
'2016-08-25', 39.049999, 39.790001, 38.240002, 38.810001, 808600.0, 38.810001, -0.7400019999999969, 1.25, 1.4159458546619155, 0.0, 0.0, -0.1, 0.008877516232458834
'2016-08-24', 39.790001, 40.549999, 38.59, 39.040001, 1271900.0, 39.040001, 1.2900009999999966, 2.7900009999999966, 1.4039244484107303, 0.0, 0.0, 0.0, 0.0018848893720812348
'2016-08-23', 38.5, 39.939999, 38.470001, 39.580002, 1048400.0, 39.580002, 0.6399990000000031, 1.490001999999997, 1.3255432939661738, 0.0, 0.0, 0.0, 0.008259740259740278
'2016-08-22', 37.860001, 39.02, 37.740002, 38.450001, 641000.0, 38.450001, 0.060001999999997224, 0.7700009999999935, 1.3067324840229984, 0.0, 0.0, 0.0, 0.009816864505629599
'2016-08-19', 37.799999, 38.099998, 37.52, 37.91, 687800.0, 37.91, 0.7999989999999997, 0.7999989999999997, 1.357216609380629, 0.0, 0.0, 0.0, 0.008654576948533796
'2016-08-18', 37.0, 38.369999, 37.0, 37.799999, 805200.0, 37.799999, -0.00999800000000306, 0.08000200000000035, 1.4178068953613476, 0.0, 0.0, 0.0, 0.0104391891891892
