Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-10', 1.31, 1.31, 1.1, 1.22, 13600.0, 1.22, 0.050000000000000044, 0.14000000000000012, 0.11853785143245267, -1.0, 0.5, -1.0, 0.0
'2016-10-07', 1.26, 1.33, 1.18, 1.3, 13800.0, 1.3, 0.26, -0.08000000000000007, 0.12878103725143528, 0.0, 0.8, -0.8, 0.039682539682539715
'2016-10-06', 1.0, 1.1, 1.0, 1.05, 6400.0, 1.05, -0.25, -0.25, 0.1294278005513327, 1.0, 1.0, -0.3, 0.15500000000000003
'2016-10-05', 1.25, 1.25, 1.07, 1.07, 6600.0, 1.07, 0.08000000000000007, 0.18999999999999995, 0.11914929943375897, 0.0, 0.8, -0.3, 0.016000000000000014
'2016-10-04', 1.17, 1.17, 1.15, 1.15, 5300.0, 1.15, -0.17000000000000015, 0.1499999999999999, 0.12897932650881175, 0.0, 0.5, -0.8, 0.029914529914529944
'2016-10-03', 1.34, 1.34, 1.34, 1.34, 200.0, 1.34, 0.09000000000000008, 0.08000000000000007, 0.12666710526239858, -1.0, 0.1, -1.0, 0.0
'2016-09-30', 1.25, 1.31, 1.25, 1.25, 1400.0, 1.25, 0.18999999999999995, 0.06000000000000005, 0.12955007611816452, 0.0, 0.5, -0.8, 0.07200000000000006
'2016-09-29', 1.06, 1.25, 1.0, 1.25, 10600.0, 1.25, 0.040000000000000036, -0.06999999999999984, 0.13342663402284669, 0.0, 0.8, -0.5, 0.1320754716981132
'2016-09-28', 1.02, 1.24, 1.0, 1.23, 21100.0, 1.23, -0.24, -0.16999999999999993, 0.12459757443688685, 1.0, 1.0, -0.8, 0.10457516339869283
'2016-09-27', 1.26, 1.3, 1.05, 1.18, 9300.0, 1.18, 0.07000000000000006, -0.1399999999999999, 0.11140317170828967, -1.0, 0.8, -1.0, 0.0
'2016-09-26', 1.19, 1.43, 1.19, 1.2, 8400.0, 1.2, 0.06000000000000005, -0.06000000000000005, 0.11164477397332828, 0.0, 0.8, -0.8, 0.05882352941176476
'2016-09-23', 1.13, 1.13, 1.13, 1.13, 100.0, 1.13, -0.06000000000000005, -0.13000000000000012, 0.11464970804827877, 1.0, 1.0, -0.5, 0.057522123893805364
'2016-09-22', 1.19, 1.19, 1.14, 1.14, 9000.0, 1.14, -0.20999999999999996, -0.06000000000000005, 0.11284453415601878, 0.0, 0.8, -0.1, 0.01960784313725492
'2016-09-21', 1.4, 1.4, 1.15, 1.15, 6300.0, 1.15, 0.1499999999999999, 0.020000000000000018, 0.1130923909416053, 0.0, 0.5, 0.0, -0.024999999999999984
