Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 54.740002, 55.540001, 53.529999, 53.529999, 126800.0, 53.529999, 0.4300009999999972, 1.0700039999999973, 1.9519986165413192, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 54.310001, 55.360001, 54.220001, 54.84, 168700.0, 54.84, 0.8300010000000029, 1.0500029999999967, 1.996200262599283, 0.0, 0.0, -0.8, 0.00791752885440008
'2016-09-21', 53.48, 54.279999, 53.369999, 53.91, 226700.0, 53.91, -0.5900000000000034, 1.0499999999999972, 2.011743426881625, 0.0, 0.0, -0.5, 0.011780123410620794
'2016-09-20', 54.07, 54.290001, 53.290001, 53.299999, 199600.0, 53.299999, 0.40000200000000063, 0.6500020000000006, 2.0038918604226743, 0.0, 0.1, -0.1, 0.004130460514148305
'2016-09-19', 53.669998, 54.57, 53.610001, 53.73, 219100.0, 53.73, 0.4099999999999966, -0.5600019999999972, 2.0096249009375575, 0.0, 0.5, 0.0, 0.004984181292497893
'2016-09-16', 53.259998, 54.189999, 53.240002, 53.849998, 288300.0, 53.849998, 0.8299980000000033, -0.75, 1.9886646350423691, 0.0, 0.8, 0.0, 0.00555765698676892
'2016-09-15', 52.43, 53.57, 52.009998, 53.450001, 205300.0, 53.450001, -0.9899979999999999, -2.229999999999997, 2.0159115424104415, 1.0, 1.0, 0.0, 0.007343130523237324
'2016-09-14', 53.419998, 53.459999, 52.32, 52.34, 239400.0, 52.34, -0.8100019999999972, -1.610000999999997, 2.0775146024146034, 0.0, 0.8, 0.0, 0.003529988900411408
'2016-09-13', 54.23, 54.259998, 53.150002, 53.189999, 203100.0, 53.189999, 0.2200019999999938, -0.2799980000000062, 2.401378921370274, 0.0, 0.5, 0.0, 0.001175553199336161
'2016-09-12', 54.009998, 54.529999, 53.669998, 54.240002, 266300.0, 54.240002, -0.6500019999999935, -1.7700009999999935, 3.0133424030913956, 0.0, 0.1, 0.0, 0.0015017877903930838
'2016-09-09', 54.66, 55.080002, 54.02, 54.029999, 199900.0, 54.029999, -0.36999899999999997, -0.4300000000000068, 3.8166183392867135, 0.0, 0.0, 0.0, 0.00014636297109403652
