Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 3.65, 3.74, 3.27, 3.44, 3616600.0, 3.44, 0.6499999999999999, 0.6499999999999999, 0.2967994085049512, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 3.0, 3.09, 2.98, 3.05, 201100.0, 3.05, 0.08000000000000007, 0.1499999999999999, 0.30303355149773975, 0.0, 0.0, -0.8, 0.21666666666666665
'2016-09-21', 2.92, 3.0, 2.89, 2.96, 607400.0, 2.96, 0.020000000000000018, -0.08000000000000007, 0.3245990689382142, 0.0, 0.0, -0.5, 0.125
'2016-09-20', 2.9, 2.97, 2.9, 2.92, 220300.0, 2.92, -0.10000000000000009, -0.1299999999999999, 0.34391358733780136, 0.0, 0.0, -0.1, 0.08620689655172414
'2016-09-19', 3.0, 3.0, 2.89, 2.91, 266100.0, 2.91, 0.1499999999999999, -0.14000000000000012, 0.3894384846587884, 0.0, 0.0, 0.0, 0.05416666666666666
'2016-09-16', 2.85, 3.03, 2.79, 2.99, 477400.0, 2.99, -0.1499999999999999, 0.03000000000000025, 0.42352607160992256, 0.0, 0.0, 0.0, 0.05614035087719297
'2016-09-15', 3.0, 3.05, 2.72, 2.88, 793100.0, 2.88, -0.029999999999999805, -0.22999999999999998, 0.4611261577196996, 0.0, 0.1, 0.0, 0.03611111111111111
'2016-09-14', 3.03, 3.16, 3.0, 3.0, 325000.0, 3.0, -0.11000000000000032, -0.25, 0.49277096324988773, 0.0, 0.5, 0.0, 0.02923149457802924
'2016-09-13', 3.14, 3.2, 2.93, 3.03, 392200.0, 3.03, 0.3200000000000003, -0.31000000000000005, 0.5232913995938485, 0.0, 0.8, 0.0, 0.02030254777070063
'2016-09-12', 2.82, 3.22, 2.82, 3.19, 639700.0, 3.19, -0.41000000000000014, -0.43999999999999995, 0.5526993355845071, 1.0, 1.0, 0.0, 0.03270291568163909
'2016-09-09', 3.23, 3.25, 2.93, 2.95, 509000.0, 2.95, -0.04999999999999982, 0.040000000000000036, 0.5808178142355255, 0.0, 0.8, 0.0, 0.013003095975232196
'2016-09-08', 3.28, 3.34, 3.23, 3.26, 180700.0, 3.26, -0.17000000000000037, 0.1599999999999997, 0.6050234155248319, 0.0, 0.5, 0.0, 0.010254988913525503
'2016-09-07', 3.45, 3.56, 3.2, 3.27, 698300.0, 3.27, 0.1900000000000004, 0.10000000000000009, 0.6208055698490113, 0.0, 0.1, 0.0, 0.004830917874396128
'2016-09-06', 3.26, 3.4, 3.2, 3.39, 958400.0, 3.39, 0.06999999999999984, -0.03000000000000025, 0.6248485149751631, 0.0, 0.0, 0.0, 0.009202453987730065
