Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 10.83, 10.89, 10.75, 10.77, 32800.0, 10.77, 0.040000000000000924, 0.27999999999999936, 0.12671972572922044, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 10.79, 10.89, 10.79, 10.88, 49200.0, 10.88, 0.019999999999999574, 0.379999999999999, 0.12711499605562748, 0.0, 0.0, -0.8, 0.003707136237256805
'2016-09-21', 10.77, 10.81, 10.62, 10.75, 64800.0, 10.75, 0.2400000000000002, 0.33000000000000007, 0.12973691327708795, 0.0, 0.1, -0.5, 0.002785515320334285
'2016-09-20', 10.53, 10.64, 10.45, 10.6, 104600.0, 10.6, -0.02000000000000135, -0.02000000000000135, 0.2024999314128826, 0.0, 0.5, -0.1, 0.009496676163342854
'2016-09-19', 10.55, 10.55, 10.39, 10.53, 55100.0, 10.53, 0.14000000000000057, -0.08000000000000007, 0.48428010719233766, 0.0, 0.8, 0.0, 0.006635071090047378
'2016-09-16', 10.41, 10.54, 10.36, 10.53, 179400.0, 10.53, -0.02999999999999936, -0.28999999999999915, 0.6338345385210733, 1.0, 1.0, 0.0, 0.008069164265129682
'2016-09-15', 10.44, 10.51, 10.44, 10.48, 27400.0, 10.48, -0.11000000000000121, -0.19000000000000128, 0.7323642081187017, 0.0, 0.8, 0.0, 0.0062260536398467525
'2016-09-14', 10.55, 10.55, 10.43, 10.48, 34000.0, 10.48, -0.08000000000000007, -0.29999999999999893, 0.8042650198922132, 0.0, 0.5, 0.0, 0.0037914691943127872
'2016-09-13', 10.63, 10.63, 10.49, 10.55, 50700.0, 10.55, -0.06999999999999851, -0.08000000000000007, 0.8599863694010245, 0.0, 0.1, 0.0, 0.0023518344308560593
'2016-09-12', 10.7, 10.76, 10.6, 10.71, 79300.0, 10.71, 0.06999999999999851, -0.0600000000000005, 0.9192349475998445, 0.0, 0.0, 0.0, 0.0013499480789200497
'2016-09-09', 10.63, 10.8, 10.57, 10.69, 180900.0, 10.69, -0.21999999999999886, -0.15999999999999837, 0.9725684209007267, 0.0, 0.0, 0.0, 0.0018814675446848473
'2016-09-08', 10.85, 10.88, 10.72, 10.76, 92800.0, 10.76, 0.1399999999999988, 0.129999999999999, 1.0195315373030671, 0.0, 0.0, 0.0, -0.00016757436112274467
'2016-09-07', 10.71, 11.0, 10.64, 10.88, 207900.0, 10.88, -0.049999999999998934, -0.049999999999998934, 1.068617434923379, 0.0, 0.0, 0.0, 0.0009337068160597511
'2016-09-06', 10.76, 10.77, 10.66, 10.68, 58000.0, 10.68, -0.02999999999999936, 0.03999999999999915, 1.101205400156271, 0.0, 0.0, 0.0, 0.0005004289390906512
'2016-09-02', 10.79, 10.82, 10.72, 10.78, 60400.0, 10.78, 0.06999999999999851, 0.05999999999999872, 1.1266651380660242, 0.0, 0.0, 0.0, 0.0002647954455183432
'2016-09-01', 10.72, 10.77, 10.69, 10.75, 98200.0, 10.75, -0.03999999999999915, -0.1399999999999988, 1.1552412446469063, 0.0, 0.0, 0.0, 0.0006840796019900461
'2016-08-31', 10.76, 10.76, 10.62, 10.72, 194700.0, 10.72, 0.03999999999999915, -0.08000000000000007, 1.1933300279283832, 0.0, 0.0, 0.0, 0.00040659851301115405
