Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-04', 9.02, 9.02, 8.92, 8.92, 11700.0, 8.92, 0.049999999999998934, 0.08000000000000007, 0.043539254319139034, -1.0, 0.0, -1.0, 0.0
'2016-10-03', 8.97, 9.12, 8.97, 9.05, 25300.0, 9.05, 0.0, 0.0600000000000005, 0.041990739719874264, 0.0, 0.0, -0.8, 0.005574136008918498
'2016-09-30', 8.97, 9.0, 8.95, 8.97, 28900.0, 8.97, -0.009999999999999787, 0.040000000000000924, 0.043139309220245996, 0.0, 0.0, -0.5, 0.002787068004459249
'2016-09-29', 8.98, 8.98, 8.9, 8.93, 12700.0, 8.93, 0.040000000000000924, 0.09999999999999964, 0.048538644398046366, 0.0, 0.0, -0.1, 0.0014847809948032348
'2016-09-28', 8.94, 8.98, 8.92, 8.95, 35000.0, 8.95, 0.02999999999999936, 0.009999999999999787, 0.09718538984847454, 0.0, 0.1, 0.0, 0.002237136465324387
'2016-09-27', 8.91, 8.94, 8.81, 8.93, 50200.0, 8.93, -0.019999999999999574, -0.0600000000000005, 0.11813551540497873, 0.0, 0.5, 0.0, 0.002469135802469123
'2016-09-26', 8.93, 8.97, 8.85, 8.86, 23000.0, 8.86, 0.049999999999998934, -0.05000000000000071, 0.1348332303254652, 0.0, 0.8, 0.0, 0.0016797312430011171
'2016-09-23', 8.88, 8.98, 8.88, 8.96, 12600.0, 8.96, -0.049999999999998934, 0.0, 0.14084822406484993, 1.0, 1.0, 0.0, 0.0022522522522522327
'2016-09-22', 8.93, 8.97, 8.93, 8.96, 7900.0, 8.96, -0.040000000000000924, -0.07000000000000028, 0.14344181940966697, 0.0, 0.8, 0.0, 0.001259798432250838
'2016-09-21', 8.97, 8.98, 8.88, 8.91, 9200.0, 8.91, -0.009999999999999787, 0.0, 0.1447004568832531, 0.0, 0.5, -0.1, 0.0006193484454353887
'2016-09-20', 8.98, 8.98, 8.89, 8.9, 7300.0, 8.9, 0.09999999999999964, 0.11000000000000121, 0.14377606043968347, 0.0, 0.1, -0.5, 0.00044543429844097043
'2016-09-19', 8.88, 8.97, 8.88, 8.94, 7400.0, 8.94, -0.11999999999999922, -0.08999999999999986, 0.14377606043968344, 0.0, 0.0, -0.8, 0.0014332514332514208
'2016-09-16', 9.0, 9.0, 8.84, 8.84, 83700.0, 8.84, 0.02999999999999936, 0.08999999999999986, 0.14741626625157592, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 8.97, 8.99, 8.91, 8.99, 5500.0, 8.99, 0.10000000000000142, 0.02000000000000135, 0.14586180674414612, 0.0, 0.0, -0.8, 0.003344481605351099
'2016-09-14', 8.87, 8.97, 8.86, 8.93, 6900.0, 8.93, -0.10000000000000142, 0.0, 0.14497662646862142, 0.0, 0.0, -0.5, 0.007328072153325862
'2016-09-13', 8.97, 8.97, 8.87, 8.89, 8100.0, 8.89, 0.0600000000000005, -0.019999999999999574, 0.14716166469415703, 0.0, 0.1, -0.1, 0.0011148272017836997
'2016-09-12', 8.91, 8.96, 8.85, 8.94, 9900.0, 8.94, -0.03999999999999915, -0.08000000000000007, 0.15103384462504477, 0.0, 0.5, 0.0, 0.002525252525252521
'2016-09-09', 8.95, 8.99, 8.88, 8.88, 19000.0, 8.88, 0.08000000000000007, 0.0, 0.15490498880137948, 0.0, 0.8, 0.0, 0.001117318435754206
'2016-09-08', 8.87, 8.98, 8.87, 8.95, 14700.0, 8.95, -0.120000000000001, -0.08000000000000007, 0.15456066770042096, 1.0, 1.0, 0.0, 0.002442690717775287
