Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 14.67, 14.81, 14.52, 14.62, 632000.0, 14.62, 0.5099999999999998, 0.6300000000000008, 0.3951449804256098, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 14.16, 14.46, 13.91, 14.32, 1929400.0, 14.32, -0.16999999999999993, -0.03999999999999915, 0.39518054945387515, 0.0, 0.1, -0.8, 0.03601694915254236
'2016-09-20', 14.33, 14.34, 13.93, 14.01, 1168000.0, 14.01, -0.25, 0.07000000000000028, 0.3820814340192706, 0.0, 0.5, -0.5, 0.01186322400558269
'2016-09-19', 14.58, 14.71, 14.17, 14.37, 1211100.0, 14.37, 0.5400000000000009, 0.09999999999999964, 0.3813869426186482, 0.0, 0.8, -0.1, 0.0020576131687242765
'2016-09-16', 14.04, 14.29, 13.95, 14.26, 1558800.0, 14.26, -0.16000000000000014, -0.1800000000000015, 0.4238846803344305, 1.0, 1.0, 0.0, 0.011217948717948732
'2016-09-15', 14.2, 14.34, 14.1, 14.27, 1070500.0, 14.27, -0.0600000000000005, -0.9600000000000009, 0.4557934473713578, 0.0, 0.8, 0.0, 0.006619718309859164
'2016-09-14', 14.26, 14.34, 13.96, 14.14, 635800.0, 14.14, -0.22000000000000064, -0.35999999999999943, 0.7289634192925367, 0.0, 0.5, 0.0, 0.004791958859280039
'2016-09-13', 14.48, 14.64, 14.03, 14.24, 1245600.0, 14.24, 0.2599999999999998, 0.39000000000000057, 0.7973768800817397, 0.0, 0.1, 0.0, 0.0018745067087608475
'2016-09-12', 14.22, 14.84, 13.5, 14.78, 1296100.0, 14.78, -0.9399999999999995, 0.0600000000000005, 0.8373558914158835, 0.0, 0.0, 0.0, 0.003955696202531639
'2016-09-09', 15.16, 15.25, 14.6, 14.61, 1376300.0, 14.61, 0.5400000000000009, 0.7799999999999994, 0.8889157565383922, 0.0, 0.0, 0.0, -0.003591322192905308
'2016-09-08', 14.62, 15.59, 14.62, 15.41, 1766000.0, 15.41, 0.5299999999999994, 0.0, 0.9201572329408346, 0.0, 0.0, 0.0, 0.0003419972640218927
'2016-09-07', 14.09, 14.53, 14.01, 14.52, 1135700.0, 14.52, -0.07000000000000028, -0.8599999999999994, 0.9491982581807309, 0.0, 0.0, 0.0, 0.003742176914639654
'2016-09-06', 14.16, 14.21, 13.94, 14.14, 911900.0, 14.14, -0.22000000000000064, -1.0700000000000003, 0.9843499829272558, 0.0, 0.0, 0.0, 0.0030014124293785294
'2016-09-02', 14.38, 14.54, 14.09, 14.13, 848200.0, 14.13, -0.23999999999999844, -0.6699999999999999, 1.0058188482801242, 0.0, 0.0, 0.0, 0.0015512998823151768
'2016-09-01', 14.62, 14.66, 14.08, 14.2, 1115500.0, 14.2, -0.33000000000000007, -0.41999999999999993, 1.0226694915215222, 0.0, 0.0, 0.0, 0.00024428376001563764
'2016-08-31', 14.95, 15.08, 14.58, 14.67, 799000.0, 14.67, -0.28000000000000114, 0.05999999999999872, 1.027260055790267, 0.0, 0.0, 0.0, -0.0012486064659977675
'2016-08-30', 15.23, 15.48, 14.89, 15.03, 684600.0, 15.03, 0.17999999999999972, -0.019999999999999574, 1.02220377398812, 0.0, 0.0, 0.0, -0.0022980958634274476
'2016-08-29', 15.05, 15.48, 15.05, 15.25, 482700.0, 15.25, 0.010000000000001563, -0.16999999999999993, 1.0020266130863658, 0.0, 0.0, 0.0, -0.0014852452608950586
'2016-08-26', 15.04, 15.34, 14.88, 15.06, 660800.0, 15.06, 0.14999999999999858, -0.02000000000000135, 0.9872883176773755, 0.0, 0.0, 0.0, -0.0013667257683215102
'2016-08-25', 14.89, 15.22, 14.89, 15.01, 783700.0, 15.01, -0.35999999999999943, -0.47999999999999865, 0.9747434990236605, 0.0, 0.0, 0.0, -0.0007776324626206236
'2016-08-24', 15.25, 15.37, 14.94, 14.95, 515000.0, 14.95, 0.02999999999999936, 0.21000000000000085, 0.9652926441700924, 0.0, 0.0, -0.1, -0.0019016393442622952
'2016-08-23', 15.22, 15.45, 15.09, 15.35, 418700.0, 15.35, 0.16000000000000014, 0.3600000000000012, 0.9443316272487235, 0.0, 0.0, -0.5, -0.0017207934422126298
'2016-08-22', 15.06, 15.26, 14.92, 15.17, 871200.0, 15.17, -0.3099999999999987, 0.08000000000000007, 0.9216495477614519, 0.0, 0.0, -0.8, -0.0011771097428467964
'2016-08-19', 15.37, 15.39, 15.13, 15.24, 1139400.0, 15.24, 0.33000000000000007, 0.41999999999999993, 0.9006871450916423, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 15.04, 15.45, 15.02, 15.43, 1029600.0, 15.43, 0.17999999999999972, 0.1999999999999993, 0.8624319618896836, 0.0, 0.0, -0.8, 0.021941489361702135
'2016-08-17', 14.86, 15.02, 14.64, 14.92, 671400.0, 14.92, -0.120000000000001, -0.02000000000000135, 0.8367503942169506, 0.0, 0.0, -0.5, 0.017160161507402415
'2016-08-16', 14.98, 15.06, 14.83, 14.88, 745300.0, 14.88, 0.030000000000001137, 0.20000000000000107, 0.8196858476812251, 0.0, 0.0, -0.1, 0.008678237650200241
'2016-08-15', 14.95, 15.27, 14.92, 15.05, 733800.0, 15.05, 0.10999999999999943, 0.35999999999999943, 0.7923347356599566, 0.0, 0.0, 0.0, 0.007023411371237458
'2016-08-12', 14.84, 15.04, 14.68, 14.87, 655800.0, 14.87, -0.040000000000000924, 0.4900000000000002, 0.7661389488133916, 0.0, 0.0, 0.0, 0.007142857142857134
'2016-08-11', 14.88, 15.1, 14.8, 14.84, 1358100.0, 14.84, 0.10000000000000142, 1.1800000000000015, 0.7401249143819499, 0.0, 0.0, 0.0, 0.005488351254480269
'2016-08-10', 14.78, 14.94, 14.62, 14.81, 1541300.0, 14.81, 0.1899999999999995, 1.209999999999999, 0.7098692367847286, 0.0, 0.0, 0.0, 0.005702687028803401
'2016-08-09', 14.59, 14.82, 14.59, 14.75, 1440400.0, 14.75, 0.2400000000000002, 3.09, 0.6813907346987726, 0.0, 0.0, 0.0, 0.006682659355723093
