Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 72.480003, 72.940002, 71.959999, 72.0, 535400.0, 72.0, 0.4800029999999964, 0.630004999999997, 0.7959069128321345, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 72.0, 73.110001, 71.760002, 72.949997, 685900.0, 72.949997, 1.1500020000000006, -1.0500030000000038, 0.7883898793845848, 0.0, 0.8, -0.8, 0.006666708333333283
'2016-09-21', 70.849998, 71.389999, 70.589996, 71.370003, 275900.0, 71.370003, -1.5600060000000013, -1.7700049999999976, 0.7731168225684912, 1.0, 1.0, -0.3, 0.011503211333894441
'2016-09-20', 72.410004, 72.620003, 70.720001, 70.730003, 554700.0, 70.730003, 0.5600060000000013, 0.030006999999997674, 0.6600894492454833, 0.0, 0.8, -0.3, 0.0003222344801969431
'2016-09-19', 71.849998, 72.900002, 71.279999, 71.889999, 475700.0, 71.889999, -1.2000050000000044, -0.6100009999999969, 0.6454971904959506, 0.0, 0.5, -0.8, 0.0021920842642194544
'2016-09-16', 73.050003, 73.330002, 71.32, 71.489998, 760100.0, 71.489998, 0.4300000000000068, 1.1700060000000008, 0.6104245332045822, -1.0, 0.1, -1.0, 0.0
'2016-09-15', 72.620003, 73.32, 72.470001, 73.300003, 315000.0, 73.300003, 0.24000599999999395, -0.4799950000000024, 0.6235989614097874, 0.0, 0.1, -0.8, 0.005921233575272736
'2016-09-14', 72.379997, 73.470001, 72.379997, 72.769997, 525900.0, 72.769997, -0.08000199999999325, -0.5, 0.6596720268472046, 0.0, 0.5, -0.5, 0.0046283920127822105
'2016-09-13', 72.459999, 73.459999, 72.199997, 72.279999, 395700.0, 72.279999, 0.5800019999999932, 0.16999799999999254, 0.6745896346702414, 0.0, 0.8, -0.1, 0.0027141595737532717
'2016-09-12', 71.879997, 72.940002, 71.620003, 72.760002, 506100.0, 72.760002, -1.2200009999999963, -2.510002, 0.7117870598274808, 1.0, 1.0, 0.0, 0.004069303174845711
'2016-09-09', 73.099998, 73.300003, 72.120003, 72.129997, 467200.0, 72.129997, 0.22000099999999634, -0.7700049999999976, 0.7262260440293365, 0.0, 0.8, 0.0, -0.00013678522946059606
'2016-09-08', 72.879997, 73.830002, 72.800003, 73.760002, 396100.0, 73.760002, 0.5899959999999993, -0.3199999999999932, 0.7718108090027027, 0.0, 0.5, 0.0, 0.0003887806599845697
'2016-09-07', 72.290001, 72.989998, 71.970001, 72.849998, 518800.0, 72.849998, -2.0999979999999994, -1.5400009999999895, 0.8052444855265052, 0.0, 0.1, 0.0, 0.0015018911714458863
'2016-09-06', 74.389999, 74.599998, 73.559998, 73.720001, 505200.0, 73.720001, 0.5199960000000061, 0.22000099999999634, 0.8359261133778888, 0.0, 0.0, 0.0, -0.002251640035645113
'2016-09-02', 73.870003, 74.209999, 73.790001, 74.169998, 264600.0, 74.169998, 0.6700060000000008, 0.13000499999999704, 0.8347928098532953, 0.0, 0.0, 0.0, -0.001233397961431115
'2016-09-01', 73.199997, 73.580002, 71.75, 73.510002, 982100.0, 73.510002, -0.630004999999997, -0.3500060000000076, 0.8400419199224954, 0.0, 0.0, 0.0, -0.00020490984446350785
'2016-08-31', 73.830002, 73.849998, 72.75, 73.040001, 377400.0, 73.040001, -0.3399960000000135, 0.47000099999999634, 0.849036613897153, 0.0, 0.0, 0.0, -0.0009604361110541355
'2016-08-30', 74.169998, 74.230003, 73.879997, 74.019997, 203000.0, 74.019997, 0.4300000000000068, 0.629997000000003, 0.8419474805632667, 0.0, 0.0, 0.0, -0.001258364826525503
