Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 15.02, 15.02, 14.9, 14.91, 95900.0, 14.853963, 0.05999999999999872, 0.09999999999999964, 0.19920397140173238, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 14.96, 15.01, 14.92, 15.01, 69700.0, 14.953587, -0.05999999999999872, -0.11999999999999922, 0.19484580798387444, 0.0, 0.0, -0.8, 0.00401069518716569
'2016-09-16', 15.02, 15.02, 14.88, 14.91, 25100.0, 14.853963, 0.03999999999999915, 0.0, 0.18405947106543824, 0.0, 0.0, -0.5, 0.0
'2016-09-15', 14.98, 14.99, 14.88, 14.93, 177300.0, 14.873888, 0.0600000000000005, -0.29999999999999893, 0.17368426014530566, 0.0, 0.0, -0.1, 0.0008900756564307777
'2016-09-14', 14.92, 15.07, 14.92, 14.96, 102700.0, 14.903775, -0.16000000000000014, -0.46000000000000085, 0.15588314711846035, 0.0, 0.0, 0.0, 0.001675603217158171
'2016-09-13', 15.08, 15.08, 14.95, 15.01, 53000.0, 14.953587, 0.0600000000000005, -0.41000000000000014, 0.1269995625539273, 0.0, 0.0, 0.0, -0.0007957559681697678
'2016-09-12', 15.02, 15.1, 15.02, 15.09, 45900.0, 14.977496, -0.2599999999999998, -0.2900000000000009, 0.10987063099643853, 0.0, 0.0, 0.0, 0.0
'2016-09-09', 15.28, 15.28, 15.06, 15.09, 137300.0, 14.977496, -0.10000000000000142, -0.0600000000000005, 0.07964434833823565, 0.0, 0.0, 0.0, -0.002430815258040387
'2016-09-08', 15.38, 15.4, 15.31, 15.31, 48900.0, 15.195856, -0.10999999999999943, 0.0, 0.07487471016452896, 0.0, 0.0, 0.0, -0.0029258777633290084
'2016-09-07', 15.49, 15.49, 15.33, 15.33, 79300.0, 15.215707, 0.17999999999999972, 0.08999999999999986, 0.07692781609332797, 0.0, 0.0, 0.0, -0.0033713506922028597
'2016-09-06', 15.31, 15.48, 15.31, 15.46, 78500.0, 15.344738, -0.02999999999999936, -0.10999999999999943, 0.07931722525544005, 0.0, 0.0, 0.0, -0.0018941868060091504
'2016-09-02', 15.34, 15.35, 15.3, 15.33, 45000.0, 15.215707, -0.040000000000000924, -0.07000000000000028, 0.07666739130092332, 0.0, 0.0, 0.0, -0.0018964086760696946
'2016-09-01', 15.38, 15.44, 15.27, 15.3, 125300.0, 15.185931, -0.019999999999999574, -0.03999999999999915, 0.07765235919718659, 0.0, 0.0, 0.0, -0.0019505851755526723
'2016-08-31', 15.4, 15.44, 15.34, 15.43, 62800.0, 15.314962, -0.019999999999999574, -0.049999999999998934, 0.08109048443970884, 0.0, 0.0, 0.0, -0.0018981018981019018
'2016-08-30', 15.42, 15.45, 15.42, 15.42, 45300.0, 15.305036, 0.009999999999999787, -0.07000000000000028, 0.08177204086157241, 0.0, 0.0, 0.0, -0.0018528812303131386
'2016-08-29', 15.41, 15.48, 15.41, 15.42, 64700.0, 15.305036, -0.009999999999999787, -0.07000000000000028, 0.08201354901613649, 0.0, 0.0, 0.0, -0.001687216093445817
'2016-08-26', 15.42, 15.47, 15.37, 15.39, 56400.0, 15.27526, -0.02999999999999936, 0.009999999999999787, 0.08280096617793783, 0.0, 0.0, 0.0, -0.0016212710765239962
'2016-08-25', 15.45, 15.47, 15.42, 15.47, 45400.0, 15.354663, -0.040000000000000924, 0.009999999999999787, 0.09156903892085404, 0.0, 0.1, 0.0, -0.0016371597182562336
'2016-08-24', 15.49, 15.49, 15.43, 15.43, 36600.0, 15.314962, 0.009999999999999787, 0.0600000000000005, 0.09264268274756869, 0.0, 0.5, 0.0, -0.0016856753461014298
'2016-08-23', 15.48, 15.49, 15.43, 15.48, 56100.0, 15.364588, 0.07000000000000028, 0.030000000000001137, 0.09204165723555101, 0.0, 0.8, 0.0, -0.001563987488100098
'2016-08-22', 15.41, 15.52, 15.39, 15.48, 75000.0, 15.364588, -0.02999999999999936, -0.019999999999999574, 0.09346419397585122, 1.0, 1.0, 0.0, -0.0012654120700843626
'2016-08-19', 15.44, 15.44, 15.33, 15.34, 65900.0, 15.225632, 0.009999999999999787, -0.08000000000000007, 0.09686416606086411, 0.0, 0.8, 0.0, -0.0012953367875647667
'2016-08-18', 15.43, 15.43, 15.35, 15.39, 85100.0, 15.27526, -0.019999999999999574, 0.009999999999999787, 0.09723968097209877, 0.0, 0.5, 0.0, -0.001207800624521299
'2016-08-17', 15.45, 15.45, 15.35, 15.39, 58600.0, 15.27526, 0.019999999999999574, -0.14000000000000057, 0.0983847323295416, 0.0, 0.1, 0.0, -0.001210074574363303
'2016-08-16', 15.43, 15.48, 15.38, 15.42, 70400.0, 15.305036, -0.08999999999999986, -0.14000000000000057, 0.09890736406692206, 0.0, 0.0, 0.0, -0.0011071505724778573
'2016-08-15', 15.52, 15.52, 15.4, 15.4, 93900.0, 15.285184, 0.09999999999999964, -0.07000000000000028, 0.1001582081841856, 0.0, 0.0, 0.0, -0.001288659793814433
'2016-08-12', 15.42, 15.49, 15.42, 15.46, 43500.0, 15.344738, -0.16999999999999993, -0.16000000000000014, 0.10182173965645387, 0.0, 0.0, 0.0, -0.0009977052778609207
'2016-08-11', 15.59, 15.59, 15.4, 15.4, 58200.0, 15.285184, 0.019999999999999574, 0.019999999999999574, 0.1051792121413099, 0.0, 0.0, 0.0, -0.0013541443945549148
'2016-08-10', 15.57, 15.62, 15.51, 15.62, 171800.0, 15.447962, -0.019999999999999574, 0.040000000000000924, 0.1047218538160334, 0.0, 0.0, 0.0, -0.0012615836315258296
'2016-08-09', 15.59, 15.59, 15.48, 15.5, 52700.0, 15.329284, 0.009999999999999787, 0.16999999999999993, 0.10361306223959728, 0.0, 0.0, 0.0, -0.0012607551259649207
'2016-08-08', 15.58, 15.63, 15.53, 15.54, 71900.0, 15.368844, 0.009999999999999787, 0.17999999999999972, 0.10323866631365507, 0.0, 0.0, 0.0, -0.0011981172443303392
'2016-08-05', 15.57, 15.62, 15.55, 15.57, 90900.0, 15.398513, 0.040000000000000924, 0.15000000000000036, 0.10301240486249966, 0.0, 0.0, 0.0, -0.001139494892991072
'2016-08-04', 15.53, 15.61, 15.5, 15.54, 91400.0, 15.368844, 0.10999999999999943, 0.16000000000000014, 0.10160982017283339, 0.0, 0.0, 0.0, -0.0010262395363811972
'2016-08-03', 15.42, 15.57, 15.38, 15.55, 92200.0, 15.378734, 0.019999999999999574, 0.05000000000000071, 0.10239574643943403, 0.0, 0.0, 0.0, -0.0007860708249813314
'2016-08-02', 15.4, 15.45, 15.34, 15.45, 89300.0, 15.279835, -0.019999999999999574, 0.07000000000000028, 0.11007522680219893, 0.0, 0.0, 0.0, -0.0007257448433919037
'2016-08-01', 15.42, 15.44, 15.37, 15.44, 100900.0, 15.269945, 0.05000000000000071, 0.08999999999999986, 0.11677138157766026, 0.0, 0.0, 0.0, -0.0007411524921252554
'2016-07-29', 15.37, 15.42, 15.37, 15.37, 40300.0, 15.200716, 0.0, 0.0, 0.12107665157062916, 0.0, 0.0, 0.0, -0.0006325453625388558
'2016-07-28', 15.37, 15.37, 15.33, 15.34, 47100.0, 15.171047, 0.03999999999999915, 0.049999999999998934, 0.12792402258979949, 0.0, 0.0, 0.0, -0.0006154495419296975
'2016-07-27', 15.33, 15.37, 15.31, 15.34, 74300.0, 15.171047, 0.0, 0.02999999999999936, 0.13538463723776042, 0.0, 0.0, 0.0, -0.0005321522985546065
'2016-07-26', 15.33, 15.34, 15.29, 15.33, 56800.0, 15.161156, -0.03999999999999915, -0.03999999999999915, 0.14346854087995115, 0.0, 0.0, 0.0, -0.0005185073678224372
'2016-07-25', 15.37, 15.39, 15.29, 15.3, 65100.0, 15.131487, 0.049999999999998934, -0.030000000000001137, 0.14830936135883888, 0.0, 0.0, 0.0, -0.0005692908262849702
'2016-07-22', 15.32, 15.37, 15.32, 15.33, 83900.0, 15.161156, 0.019999999999999574, -0.049999999999998934, 0.15071717442503574, 0.0, 0.0, -0.1, -0.0004776157422148645
'2016-07-21', 15.3, 15.37, 15.3, 15.32, 53600.0, 15.151266, -0.06999999999999851, 0.08000000000000007, 0.1525228580319101, 0.0, 0.0, -0.5, -0.00043572984749455515
'2016-07-20', 15.37, 15.37, 15.33, 15.33, 45500.0, 15.161156, -0.030000000000001137, 0.019999999999999574, 0.15822943959818453, 0.0, 0.1, -0.8, -0.0005295728616604374
'2016-07-19', 15.4, 15.41, 15.27, 15.3, 126600.0, 15.131487, 0.030000000000001137, 0.0, 0.1606320847983573, -1.0, 0.5, -1.0, 0.0
'2016-07-18', 15.37, 15.43, 15.36, 15.38, 137500.0, 15.210606, 0.14999999999999858, -0.16000000000000014, 0.15833894726889594, 0.0, 0.8, -0.8, 0.001951854261548545
'2016-07-15', 15.22, 15.4, 15.22, 15.36, 130900.0, 15.190826, -0.129999999999999, -0.34999999999999964, 0.15594336578813903, 1.0, 1.0, -0.5, 0.005913272010512474
'2016-07-14', 15.35, 15.41, 15.25, 15.28, 286900.0, 15.111707, -0.05000000000000071, -0.13000000000000078, 0.15726693514178014, 0.0, 0.8, -0.1, 0.0010857763300760198
'2016-07-13', 15.4, 15.43, 15.28, 15.38, 367200.0, 15.210606, -0.129999999999999, 0.05000000000000071, 0.15643386959209168, 0.0, 0.5, 0.0, 0.0
'2016-07-12', 15.53, 15.55, 15.37, 15.43, 235200.0, 15.204672, -0.040000000000000924, 0.16000000000000014, 0.15512145778926478, 0.0, 0.1, 0.0, -0.0016741790083708824
'2016-07-11', 15.57, 15.57, 15.48, 15.48, 107700.0, 15.253941, 0.08999999999999986, 0.23000000000000043, 0.14151913887056644, 0.0, 0.0, 0.0, -0.0018197388139584664
'2016-07-08', 15.48, 15.54, 15.45, 15.52, 100900.0, 15.293358, 0.13000000000000078, 0.20000000000000107, 0.11966434538138564, 0.0, 0.0, 0.0, -0.0007382798080472505
'2016-07-07', 15.35, 15.49, 15.34, 15.49, 267900.0, 15.263795, -0.019999999999999574, 0.08000000000000007, 0.10273212199156051, 0.0, 0.0, 0.0, 0.00040716612377850745
'2016-07-06', 15.37, 15.37, 15.33, 15.33, 95300.0, 15.106132, 0.02999999999999936, 0.1399999999999988, 0.09505787710652909, 0.0, 0.0, 0.0, 0.00021687269572761615
'2016-07-05', 15.34, 15.34, 15.3, 15.31, 127400.0, 15.086425, 0.0600000000000005, 0.09999999999999964, 0.08549268974596601, 0.0, 0.0, 0.0, 0.0003911342894393774
'2016-07-01', 15.28, 15.33, 15.24, 15.29, 70000.0, 15.066716, 0.009999999999999787, 0.09999999999999964, 0.07892401408950256, 0.0, 0.0, 0.0, 0.0007139457401237566
'2016-06-30', 15.27, 15.29, 15.24, 15.24, 99000.0, 15.017446, 0.03999999999999915, 0.10999999999999943, 0.07668478046884893, 0.0, 0.0, 0.0, 0.0007094520846976685
'2016-06-29', 15.23, 15.28, 15.23, 15.23, 83700.0, 15.007592, -0.009999999999999787, 0.07000000000000028, 0.07398873788174347, 0.0, 0.0, 0.0, 0.0008586292236981662
'2016-06-28', 15.24, 15.27, 15.23, 15.25, 122400.0, 15.0273, 0.0600000000000005, 0.09999999999999964, 0.07112196097783959, 0.0, 0.0, 0.0, 0.0007499062617172859
'2016-06-27', 15.18, 15.24, 15.16, 15.22, 175700.0, 14.997739, 0.019999999999999574, 0.08999999999999986, 0.06778151173685443, 0.0, 0.0, 0.0, 0.00096618357487923
'2016-06-24', 15.16, 15.2, 15.14, 15.17, 186800.0, 14.948469, 0.0, 0.07000000000000028, 0.06737622396332076, 0.0, 0.0, 0.0, 0.0009894459102902384
'2016-06-23', 15.16, 15.16, 15.09, 15.12, 64600.0, 14.899199, 0.019999999999999574, 0.0600000000000005, 0.06629982403194346, 0.0, 0.0, 0.0, 0.0009312432096849301
'2016-06-22', 15.14, 15.18, 15.13, 15.15, 62300.0, 14.92876, 0.05000000000000071, 0.08000000000000007, 0.06597642676660272, 0.0, 0.0, 0.0, 0.000954058417730808
'2016-06-21', 15.09, 15.15, 15.08, 15.15, 95600.0, 14.92876, 0.0, 0.0600000000000005, 0.06656992981486128, 0.0, 0.0, 0.0, 0.001081231906804787
'2016-06-20', 15.09, 15.13, 15.07, 15.1, 86100.0, 14.879491, -0.009999999999999787, 0.08000000000000007, 0.06720532386318483, 0.0, 0.0, 0.0, 0.0010271703114645477
'2016-06-17', 15.1, 15.13, 15.05, 15.13, 58000.0, 14.909053, 0.03999999999999915, 0.049999999999998934, 0.06723094525588647, 0.0, 0.0, 0.0, 0.0009460737937559153
'2016-06-16', 15.06, 15.13, 15.05, 15.09, 102100.0, 14.869637, 0.030000000000001137, -0.009999999999999787, 0.06741579109443788, 0.0, 0.0, 0.0, 0.0010261982373536154
'2016-06-15', 15.03, 15.08, 15.03, 15.05, 60800.0, 14.830221, 0.019999999999999574, -0.07000000000000028, 0.06758122684756636, 0.0, 0.0, 0.0, 0.0010703231218722005
'2016-06-14', 15.01, 15.06, 15.01, 15.02, 74200.0, 14.80066, -0.040000000000000924, 0.009999999999999787, 0.06672996994521192, 0.0, 0.0, -0.1, 0.0010826115922718204
'2016-06-13', 15.05, 15.08, 15.01, 15.01, 73700.0, 14.790805, -0.019999999999999574, 0.030000000000001137, 0.06535713852025311, 0.0, 0.1, -0.5, 0.000930232558139534
'2016-06-10', 15.07, 15.11, 15.04, 15.07, 179400.0, 14.794747, -0.02999999999999936, -0.03999999999999915, 0.06489393054995377, 0.0, 0.5, -0.8, 0.0008422234699606965
'2016-06-09', 15.1, 15.12, 15.06, 15.07, 249300.0, 14.794747, 0.09999999999999964, -0.05000000000000071, 0.06986097305044901, -1.0, 0.8, -1.0, 0.0007358351729212674
'2016-06-08', 15.0, 15.06, 15.0, 15.04, 122300.0, 14.765295, -0.019999999999999574, -0.08999999999999986, 0.07431165603202661, 1.0, 1.0, -0.8, 0.0009523809523809532
'2016-06-07', 15.02, 15.05, 15.0, 15.03, 183100.0, 14.755478, -0.08999999999999986, -0.05000000000000071, 0.08013876853447545, 0.0, 0.8, -0.5, 0.000872400018366318
'2016-06-06', 15.11, 15.11, 15.01, 15.02, 74900.0, 14.745661, -0.040000000000000924, 0.10999999999999943, 0.08074376480915146, 0.0, 0.5, -0.1, 0.0006397529230090468
'2016-06-03', 15.15, 15.18, 15.03, 15.07, 149500.0, 14.794747, 0.0600000000000005, 0.07000000000000028, 0.08224894460653522, 0.0, 0.1, 0.0, 0.0005323112956456935
'2016-06-02', 15.09, 15.12, 15.05, 15.08, 201700.0, 14.804564, 0.019999999999999574, -0.07000000000000028, 0.08381262169599253, 0.0, 0.0, 0.0, 0.0006419814446653423
