Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 2.14, 2.14, 2.14, 2.14, 400.0, 2.14, 0.040000000000000036, 0.08000000000000007, 0.08417178202277109, 0.0, 0.0, -0.8, 0.0
'2016-10-05', 2.1, 2.14, 2.1, 2.14, 3800.0, 2.14, -0.020000000000000018, 0.14000000000000012, 0.08480303977780253, 0.0, 0.0, -0.5, 0.009523809523809532
'2016-10-04', 2.12, 2.14, 2.05, 2.13, 2700.0, 2.13, 0.020000000000000018, -0.020000000000000018, 0.084970583144992, 0.0, 0.1, -0.1, 0.0031446540880503172
'2016-10-03', 2.1, 2.12, 2.1, 2.1, 1300.0, 2.1, 0.040000000000000036, -0.06999999999999984, 0.08494704232638123, 0.0, 0.5, 0.0, 0.004761904761904766
'2016-09-30', 2.06, 2.1, 2.06, 2.08, 8400.0, 2.08, 0.10000000000000009, -0.009999999999999787, 0.0849764673306675, 0.0, 0.8, -0.1, 0.0077669902912621425
'2016-09-29', 1.96, 2.02, 1.96, 2.01, 6100.0, 2.01, -0.18000000000000016, 0.0, 0.08484037298886003, 1.0, 1.0, -0.5, 0.015306122448979605
'2016-09-28', 2.14, 2.15, 2.06, 2.11, 10300.0, 2.11, -0.029999999999999805, 0.18000000000000016, 0.08148960397225867, 0.0, 0.8, -0.8, 0.0
'2016-09-27', 2.17, 2.18, 2.13, 2.18, 16300.0, 2.135, 0.10000000000000009, 0.10000000000000009, 0.08336599359984195, -1.0, 0.5, -1.0, 0.0
'2016-09-26', 2.07, 2.08, 2.07, 2.08, 2700.0, 2.037064, 0.10999999999999988, -0.020000000000000018, 0.08326397113331126, 0.0, 0.8, -0.8, 0.0483091787439614
'2016-09-23', 1.96, 2.04, 1.96, 2.04, 3900.0, 1.99789, 0.0, -0.1299999999999999, 0.08324061508662703, 1.0, 1.0, -0.5, 0.05357142857142856
'2016-09-22', 1.96, 2.06, 1.92, 1.96, 5500.0, 1.919541, -0.10999999999999988, -0.18999999999999995, 0.08076027626390478, 0.0, 0.8, -0.1, 0.03571428571428571
'2016-09-21', 2.07, 2.07, 1.97, 1.98, 8800.0, 1.939128, -0.020000000000000018, 0.10999999999999988, 0.08594313365372608, 0.0, 0.5, -0.1, 0.01207729468599035
'2016-09-20', 2.09, 2.14, 2.01, 2.01, 5600.0, 1.968509, 0.0, -0.050000000000000266, 0.09390065672471803, 0.0, 0.1, -0.5, 0.007655502392344505
'2016-09-19', 2.09, 2.13, 2.05, 2.05, 1000.0, 2.007683, -0.06000000000000005, 0.06000000000000005, 0.09385568117534969, 0.0, 0.5, -0.8, 0.006379585326953754
'2016-09-16', 2.15, 2.15, 1.92, 2.11, 20400.0, 2.066445, 0.18999999999999995, -0.010000000000000231, 0.09389355675444401, -1.0, 0.8, -1.0, 0.0013289036544850512
'2016-09-15', 1.96, 1.98, 1.92, 1.94, 15600.0, 1.899954, -0.18000000000000016, -0.06000000000000005, 0.09293307030091902, 1.0, 1.0, -0.8, 0.01339285714285714
'2016-09-14', 2.14, 2.14, 1.96, 1.96, 4900.0, 1.919541, 0.11000000000000032, 0.14000000000000012, 0.09099206314594453, 0.0, 0.8, -0.5, 0.0015576323987538838
'2016-09-13', 2.03, 2.08, 2.02, 2.08, 2700.0, 2.037064, -0.13000000000000034, -0.14000000000000012, 0.09268165346436634, 0.0, 0.5, -0.1, 0.006896551724137938
'2016-09-12', 2.16, 2.16, 2.03, 2.09, 1700.0, 2.046858, 0.14000000000000012, 0.1200000000000001, 0.09322851256753781, 0.0, 0.1, 0.0, 0.00042087542087541186
'2016-09-09', 2.02, 2.17, 2.01, 2.16, 2700.0, 2.115413, 0.020000000000000018, -0.08000000000000007, 0.0950415113983826, 0.0, 0.0, 0.0, 0.006188118811881184
'2016-09-08', 2.0, 2.12, 2.0, 2.09, 1800.0, 2.046858, -0.16999999999999993, -0.33999999999999986, 0.0953706220780569, 0.0, 0.0, 0.0, 0.0065384615384615355
'2016-09-07', 2.17, 2.18, 2.05, 2.05, 3600.0, 2.007683, 0.1299999999999999, 0.040000000000000036, 0.09677293009927931, 0.0, 0.0, 0.0, 0.0
'2016-09-06', 2.04, 2.16, 2.04, 2.07, 7800.0, 2.027271, -0.06000000000000005, -0.08999999999999986, 0.09727395449051213, 0.0, 0.0, 0.0, 0.004248366013071892
'2016-09-02', 2.1, 2.25, 2.02, 2.03, 25800.0, 1.988096, -0.23999999999999977, -0.1299999999999999, 0.09950376877284597, 0.0, 0.0, 0.0, 0.0020833333333333285
'2016-09-01', 2.34, 2.34, 2.09, 2.13, 4900.0, 2.086032, 0.20999999999999996, 0.29000000000000004, 0.1035932215714694, 0.0, 0.0, -0.1, -0.004273504273504271
'2016-08-31', 2.13, 2.3, 2.08, 2.3, 8800.0, 2.252523, 0.0, -0.050000000000000266, 0.08733651393699354, 0.0, 0.0, -0.5, 0.0010432968179447063
'2016-08-30', 2.13, 2.13, 2.13, 2.13, 200.0, 2.086032, -0.10000000000000009, 0.10999999999999988, 0.08654414416290042, 0.0, 0.0, -0.8, 0.0009883864591055112
'2016-08-29', 2.23, 2.25, 2.05, 2.13, 21300.0, 2.086032, 0.18000000000000016, 0.16999999999999993, 0.09372773809758182, -1.0, 0.1, -1.0, 0.0
'2016-08-26', 2.05, 2.1, 2.02, 2.08, 3100.0, 2.037064, -0.13000000000000034, -0.010000000000000231, 0.09323566318147199, 0.0, 0.5, -0.8, 0.08780487804878058
'2016-08-25', 2.18, 2.18, 1.99, 2.02, 6200.0, 1.978303, 0.16000000000000014, 0.11000000000000032, 0.09279367794557271, 0.0, 0.8, -0.5, 0.01146788990825684
'2016-08-24', 2.02, 2.3, 2.02, 2.13, 15500.0, 2.086032, -0.040000000000000036, -0.06000000000000005, 0.0855855647226148, 1.0, 1.0, -0.1, 0.03465346534653464
'2016-08-23', 2.06, 2.1, 1.99, 2.04, 28200.0, 1.99789, 0.0, -0.020000000000000018, 0.08652552609875692, 0.0, 0.8, -0.1, 0.02063106796116504
'2016-08-22', 2.06, 2.1, 2.06, 2.09, 4600.0, 2.046858, -0.009999999999999787, 0.08000000000000007, 0.08652552609875692, 0.0, 0.5, -0.5, 0.01650485436893203
'2016-08-19', 2.07, 2.08, 2.0, 2.07, 15300.0, 2.027271, -0.010000000000000231, 0.06999999999999984, 0.08544328853429947, 0.0, 0.1, -0.8, 0.012882447665056375
'2016-08-18', 2.08, 2.08, 1.98, 2.07, 1200.0, 2.027271, 0.0, 0.0, 0.08767363723871999, -1.0, 0.0, -1.0, 0.0
'2016-08-17', 2.08, 2.08, 1.99, 2.04, 1300.0, 1.99789, 0.10000000000000009, 0.050000000000000266, 0.08573602898820698, 0.0, 0.0, -0.8, 0.0
'2016-08-16', 1.98, 2.07, 1.98, 2.05, 7200.0, 2.007683, -0.020000000000000018, 0.10000000000000009, 0.0866153694341958, 0.0, 0.0, -0.5, 0.025252525252525276
'2016-08-15', 2.0, 2.06, 1.99, 2.06, 17900.0, 2.017477, -0.08000000000000007, 0.1299999999999999, 0.08761088212469194, 0.0, 0.0, -0.1, 0.013333333333333345
'2016-08-12', 2.08, 2.08, 1.71, 1.98, 46800.0, 1.939128, 0.050000000000000266, 0.010000000000000231, 0.08822257206759629, 0.0, 0.1, 0.0, 0.0
'2016-08-11', 2.03, 2.08, 2.0, 2.05, 2400.0, 2.007683, 0.1499999999999999, -0.020000000000000018, 0.08725187040338384, 0.0, 0.5, 0.0, 0.004926108374384263
'2016-08-10', 1.88, 2.03, 1.75, 2.03, 2300.0, 1.988096, 0.009999999999999787, -0.2200000000000002, 0.08771164878927616, 0.0, 0.8, 0.0, 0.017730496453900724
'2016-08-09', 1.87, 2.08, 1.87, 2.07, 1300.0, 2.027271, -0.19999999999999973, -0.1599999999999997, 0.08597415632360432, 1.0, 1.0, 0.0, 0.0160427807486631
'2016-08-08', 2.07, 2.07, 2.07, 2.07, 0.0, 2.027271, 0.020000000000000018, 0.11999999999999988, 0.08566147844211475, 0.0, 0.8, 0.0, 0.0006038647342995309
'2016-08-05', 2.05, 2.09, 2.03, 2.07, 2400.0, 2.027271, -0.050000000000000266, 0.04999999999999982, 0.0845175852839054, 0.0, 0.5, 0.0, 0.001626016260162615
'2016-08-04', 2.1, 2.15, 2.1, 2.11, 1200.0, 2.066445, 0.07000000000000028, 0.18000000000000016, 0.08506272195660486, 0.0, 0.1, 0.0, -0.0009523809523809532
'2016-08-03', 2.03, 2.04, 1.77, 2.0, 34000.0, 1.958716, 0.07999999999999985, 0.029999999999999805, 0.08282847068222107, 0.0, 0.0, 0.0, 0.002239140170174665
'2016-08-02', 1.95, 2.03, 1.94, 2.03, 2700.0, 1.988096, -0.050000000000000044, 0.0, 0.08268010643437755, 0.0, 0.0, 0.0, 0.005555555555555561
'2016-08-01', 2.0, 2.02, 1.95, 2.02, 2000.0, 1.978303, 0.08000000000000007, 0.08000000000000007, 0.08334999833366658, 0.0, 0.0, 0.0, 0.0030769230769230795
'2016-07-29', 1.92, 2.03, 1.92, 2.0, 2400.0, 1.958716, -0.08000000000000007, -0.010000000000000009, 0.08399735445569434, 0.0, 0.0, 0.0, 0.005952380952380958
'2016-07-28', 2.0, 2.0, 2.0, 2.0, 300.0, 1.958716, 0.050000000000000044, 0.1299999999999999, 0.08345391276360596, 0.0, 0.0, 0.0, 0.002666666666666669
'2016-07-27', 1.95, 2.0, 1.95, 2.0, 18700.0, 1.958716, 0.030000000000000027, -0.020000000000000018, 0.08348253310323862, 0.0, 0.0, 0.0, 0.00416666666666667
'2016-07-26', 1.92, 1.98, 1.9, 1.98, 5900.0, 1.939128, -0.010000000000000009, -0.010000000000000009, 0.08457475325940293, 0.0, 0.0, -0.1, 0.00490196078431373
'2016-07-25', 1.93, 1.93, 1.8, 1.92, 500.0, 1.880367, 0.05999999999999983, 0.1499999999999999, 0.08454124568648265, 0.0, 0.0, -0.5, 0.00431778929188256
'2016-07-22', 1.87, 1.93, 1.77, 1.93, 1000.0, 1.89016, -0.09999999999999987, 0.10000000000000009, 0.0874680894193229, 0.0, 0.0, -0.8, 0.005910498170560089
'2016-07-21', 1.97, 1.97, 1.86, 1.93, 1400.0, 1.89016, 0.040000000000000036, 0.020000000000000018, 0.0868210164009204, -1.0, 0.1, -1.0, 0.0
'2016-07-20', 1.93, 1.93, 1.93, 1.93, 400.0, 1.89016, 0.1499999999999999, -0.030000000000000027, 0.08942035562443265, 0.0, 0.5, -0.8, 0.020725388601036288
'2016-07-19', 1.78, 1.9, 1.78, 1.9, 2900.0, 1.86078, 0.010000000000000009, -0.28, 0.08793684602536579, 0.0, 0.8, -0.5, 0.05337078651685392
'2016-07-18', 1.77, 1.88, 1.77, 1.8, 4200.0, 1.762844, -0.17999999999999994, -0.29000000000000004, 0.07428473747831534, 1.0, 1.0, -0.1, 0.03766478342749528
'2016-07-15', 1.95, 1.96, 1.75, 1.95, 8900.0, 1.909748, -0.010000000000000009, -0.05999999999999983, 0.05406683107249978, 0.0, 0.8, 0.0, 0.0025641025641025663
'2016-07-14', 1.96, 1.98, 1.95, 1.96, 2300.0, 1.919541, -0.10000000000000009, -0.16000000000000014, 0.05155795013596087, 0.0, 0.5, 0.0, 0.0010204081632653069
'2016-07-13', 2.06, 2.06, 2.06, 2.06, 0.0, 2.017477, 0.0, 0.10000000000000009, 0.04869519711657637, 0.0, 0.1, -0.1, -0.00728155339805826
'2016-07-12', 2.06, 2.06, 2.06, 2.06, 0.0, 2.017477, 0.050000000000000266, -0.040000000000000036, 0.049436828377233163, 0.0, 0.1, -0.5, -0.0062413314840499366
'2016-07-11', 2.01, 2.09, 1.95, 2.06, 4900.0, 2.017477, -0.11000000000000032, -0.040000000000000036, 0.0501120965658216, 0.0, 0.5, -0.8, -0.002487562189054715
'2016-07-08', 2.12, 2.12, 1.95, 2.01, 5500.0, 1.968509, 0.16000000000000014, 0.08000000000000007, 0.050438080851674026, -1.0, 0.8, -1.0, -0.007861635220125793
'2016-07-07', 1.96, 2.05, 1.96, 2.05, 2100.0, 2.007683, -0.14000000000000012, -0.08999999999999986, 0.04979959839195498, 1.0, 1.0, -0.8, 0.0005102040816326534
'2016-07-06', 2.1, 2.1, 2.1, 2.1, 0.0, 2.056651, 0.050000000000000266, 0.050000000000000266, 0.04787019485604336, 0.0, 0.8, -0.5, -0.0056277056277056325
'2016-07-05', 2.05, 2.11, 2.05, 2.1, 1700.0, 2.056651, 0.009999999999999787, 0.029999999999999805, 0.047141630575674165, 0.0, 0.5, -0.1, -0.0032520325203251976
'2016-07-01', 2.04, 2.04, 2.04, 2.04, 0.0, 1.99789, -0.009999999999999787, -0.06000000000000005, 0.047427137098219815, 0.0, 0.1, 0.0, -0.0026395173453997007
'2016-06-30', 2.05, 2.05, 2.04, 2.04, 700.0, 1.99789, 0.0, 0.040000000000000036, 0.04818944098266991, 0.0, 0.0, -0.1, -0.0027874564459930266
'2016-06-29', 2.05, 2.05, 2.01, 2.02, 5900.0, 1.978303, 0.029999999999999805, -0.020000000000000018, 0.048904669170404085, 0.0, 0.1, -0.5, -0.002601626016260158
'2016-06-28', 2.02, 2.02, 2.02, 2.02, 1100.0, 1.978303, -0.08000000000000007, 0.0, 0.049563651555909, 0.0, 0.5, -0.8, -0.0015470297029702984
'2016-06-27', 2.1, 2.1, 2.1, 2.1, 600.0, 2.01258, 0.0900000000000003, 0.08000000000000007, 0.049772817213146955, -1.0, 0.8, -1.0, 0.0011904761904761915
'2016-06-24', 2.01, 2.1, 2.0, 2.0, 2800.0, 1.916743, -0.06000000000000005, -0.050000000000000266, 0.0491358660586474, 1.0, 1.0, -0.8, 0.006080707573244906
'2016-06-23', 2.07, 2.12, 2.02, 2.02, 2500.0, 1.935911, 0.04999999999999982, 0.020000000000000018, 0.048757905341937496, 0.0, 0.8, -0.5, 0.0024154589371980805
'2016-06-22', 2.02, 2.02, 2.02, 2.02, 0.0, 1.935911, 0.0, -0.029999999999999805, 0.048521472909767875, 0.0, 0.5, -0.1, 0.004500450045004505
'2016-06-21', 2.02, 2.02, 2.02, 2.02, 400.0, 1.935911, -0.040000000000000036, 0.010000000000000231, 0.048968243677805036, 0.0, 0.1, 0.0, 0.0041254125412541285
'2016-06-20', 2.06, 2.06, 2.06, 2.06, 600.0, 1.974245, 0.010000000000000231, -0.029999999999999805, 0.048808013913928375, 0.0, 0.0, 0.0, 0.0022404779686333105
'2016-06-17', 2.05, 2.05, 2.05, 2.05, 0.0, 1.964662, 0.0, -0.040000000000000036, 0.04895462751932201, 0.0, 0.0, 0.0, 0.002439024390243913
'2016-06-16', 2.05, 2.05, 2.05, 2.05, 0.0, 1.964662, 0.040000000000000036, -0.11000000000000032, 0.04912116538610309, 0.0, 0.0, 0.0, 0.002276422764227652
'2016-06-15', 2.01, 2.05, 2.0, 2.05, 10400.0, 1.964662, -0.08000000000000007, -0.15000000000000036, 0.05155795013596086, 0.0, 0.0, -0.1, 0.003420398009950259
'2016-06-14', 2.09, 2.1, 2.06, 2.09, 900.0, 2.002997, 0.0, -0.07000000000000028, 0.05119570294468084, 0.0, 0.0, -0.5, 0.0008443568815085913
'2016-06-13', 2.09, 2.18, 2.01, 2.13, 4500.0, 2.041332, -0.07000000000000028, 0.0, 0.05122499389946283, 0.0, 0.0, -0.8, 0.0007974481658692251
'2016-06-10', 2.16, 2.16, 2.16, 2.16, 0.0, 2.070083, 0.0, 0.16000000000000014, 0.05122499389946283, -1.0, 0.0, -1.0, 0.0
'2016-06-09', 2.16, 2.16, 2.16, 2.16, 0.0, 2.070083, 0.0, 0.1200000000000001, 0.052835173469532204, 0.0, 0.1, -0.8, 0.0
'2016-06-08', 2.16, 2.16, 2.16, 2.16, 200.0, 2.070083, 0.07000000000000028, 0.16000000000000014, 0.04842405279289303, 0.0, 0.5, -0.3, 0.0
'2016-06-07', 2.09, 2.2, 2.09, 2.2, 900.0, 2.108418, 0.08999999999999986, 0.06000000000000005, 0.04363484845854287, 0.0, 0.8, -0.3, 0.011164274322169106
'2016-06-06', 2.0, 2.16, 2.0, 2.16, 1700.0, 2.070083, -0.040000000000000036, -0.009999999999999787, 0.05085491345211614, 1.0, 1.0, -0.8, 0.020000000000000018
'2016-06-03', 2.04, 2.04, 2.0, 2.04, 8600.0, 1.955078, 0.040000000000000036, 0.03000000000000025, 0.050464508980734846, -1.0, 0.8, -1.0, 0.0
'2016-06-02', 2.0, 2.0, 2.0, 2.0, 400.0, 1.916743, -0.029999999999999805, 0.0, 0.05246797965320268, 0.0, 0.5, -0.8, 0.020000000000000018
'2016-06-01', 2.03, 2.08, 2.03, 2.05, 1300.0, 1.964662, 0.020000000000000018, 0.029999999999999805, 0.05388877434122993, 0.0, 0.1, -0.5, 0.0024630541871921755
'2016-05-31', 2.01, 2.05, 2.0, 2.02, 2200.0, 1.935911, 0.0, 0.009999999999999787, 0.07696752561957543, 0.0, 0.5, -0.1, 0.004975124378109494
'2016-05-27', 2.01, 2.01, 2.01, 2.01, 0.0, 1.926327, 0.009999999999999787, -0.020000000000000018, 0.08128482159802175, 0.0, 0.8, 0.0, 0.0037313432835821207
'2016-05-26', 2.0, 2.01, 2.0, 2.01, 2700.0, 1.926327, 0.0, -0.020000000000000018, 0.10988124903225703, 1.0, 1.0, -0.1, 0.0040000000000000036
'2016-05-25', 2.0, 2.0, 2.0, 2.0, 0.0, 1.916743, 0.0, 0.0, 0.12304696483682787, 0.0, 0.8, -0.5, 0.003333333333333336
'2016-05-24', 2.0, 2.0, 2.0, 2.0, 200.0, 1.916743, -0.029999999999999805, 0.0, 0.1364290617459817, 0.0, 0.5, -0.8, 0.0028571428571428597
'2016-05-23', 2.03, 2.04, 2.03, 2.03, 1000.0, 1.945494, 0.009999999999999787, -0.06000000000000005, 0.1538935418470256, -1.0, 0.1, -1.0, 0.0
'2016-05-20', 2.02, 2.04, 2.0, 2.0, 11000.0, 1.916743, 0.020000000000000018, 0.010000000000000231, 0.16533770155519747, 0.0, 0.0, -0.8, 0.004950495049504845
