Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-20', 9.48, 9.48, 9.0, 9.01, 18500.0, 9.01, 0.3000000000000007, 0.5300000000000011, 0.25618482911106716, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 9.18, 9.49, 9.18, 9.47, 19300.0, 9.47, 0.129999999999999, 0.15000000000000036, 0.2592502008999542, 0.0, 0.1, -0.8, 0.03267973856209158
'2016-09-16', 9.05, 9.18, 9.0, 9.18, 48500.0, 9.18, 0.05000000000000071, 0.010000000000001563, 0.269538906694789, 0.0, 0.5, -0.5, 0.02375690607734805
'2016-09-15', 9.0, 9.05, 9.0, 9.03, 13400.0, 9.03, 0.05000000000000071, -0.019999999999999574, 0.2752011385635361, 0.0, 0.8, -0.1, 0.017777777777777795
'2016-09-14', 8.95, 9.08, 8.95, 9.01, 15800.0, 9.01, -0.08000000000000007, -0.16000000000000014, 0.2741945781131834, 1.0, 1.0, 0.0, 0.01480446927374305
'2016-09-13', 9.03, 9.08, 8.8, 8.95, 50400.0, 8.95, -0.009999999999999787, -0.41000000000000014, 0.29398053601481083, 0.0, 0.8, 0.0, 0.009966777408637897
'2016-09-12', 9.04, 9.23, 8.98, 9.02, 19100.0, 9.02, 0.019999999999999574, -0.5500000000000007, 0.3124990666652728, 0.0, 0.5, 0.0, 0.00811209439528026
'2016-09-09', 9.02, 9.17, 8.97, 9.03, 38200.0, 9.03, -0.08999999999999986, -0.25, 0.31110216256971834, 0.0, 0.1, 0.0, 0.007285397529299982
'2016-09-08', 9.11, 9.195, 9.0, 9.15, 31000.0, 9.15, -0.33000000000000007, -0.22000000000000064, 0.3415098827266934, 0.0, 0.0, 0.0, 0.005076838638858412
'2016-09-07', 9.44, 9.44, 9.0, 9.07, 22600.0, 9.07, -0.15000000000000036, 0.15000000000000036, 0.40368703499396913, 0.0, 0.0, 0.0, 0.0004708097928437021
'2016-09-06', 9.59, 9.59, 9.25, 9.4, 14300.0, 9.4, 0.3200000000000003, 0.25, 0.43005800642342273, 0.0, 0.0, 0.0, -0.0011470281543274185
'2016-09-02', 9.27, 9.75, 9.27, 9.46, 19300.0, 9.46, -0.0600000000000005, 0.009999999999999787, 0.44510672877412205, 0.0, 0.0, 0.0, 0.002059429243895272
'2016-09-01', 9.33, 9.47, 9.04, 9.2, 69700.0, 9.2, 0.040000000000000924, 0.13000000000000078, 0.473874982341217, 0.0, 0.0, 0.0, 0.001339764201500539
'2016-08-31', 9.29, 9.47, 9.2, 9.39, 36800.0, 9.39, -0.05000000000000071, 0.08999999999999986, 0.47974093587639083, 0.0, 0.0, 0.0, 0.001573238387016654
'2016-08-30', 9.34, 9.4, 9.2, 9.3, 18000.0, 9.3, 0.08000000000000007, 0.05000000000000071, 0.4892546133320221, 0.0, 0.0, 0.0, 0.0010706638115631736
'2016-08-29', 9.26, 9.46, 9.26, 9.33, 10300.0, 9.33, 0.0600000000000005, 0.23000000000000043, 0.5646465059368265, 0.0, 0.0, -0.1, 0.0015838732901367937
'2016-08-26', 9.2, 9.46, 9.07, 9.21, 15600.0, 9.21, 0.0, 0.2699999999999996, 0.628769335024114, 0.0, 0.0, -0.5, 0.0019021739130434861
'2016-08-25', 9.2, 9.39, 9.1, 9.24, 26100.0, 9.24, -0.08999999999999986, 0.3199999999999985, 0.6594724398251142, 0.0, 0.0, -0.8, 0.001790281329923281
'2016-08-24', 9.29, 9.43, 9.15, 9.26, 27200.0, 9.26, 0.2599999999999998, 0.7899999999999991, 0.6864042127881598, -1.0, 0.0, -1.0, 0.0
'2016-08-23', 9.03, 9.412, 9.03, 9.27, 28900.0, 9.27, 0.09999999999999964, 0.5999999999999996, 0.6909151652377847, 0.0, 0.0, -0.8, 0.028792912513842726
'2016-08-22', 8.93, 9.22, 8.93, 9.0, 13300.0, 9.0, 0.049999999999998934, 0.17999999999999972, 0.6820008056365394, 0.0, 0.0, -0.5, 0.020156774916013406
'2016-08-19', 8.88, 9.07, 8.77, 8.96, 43700.0, 8.96, 0.3800000000000008, -0.129999999999999, 0.6721938452229055, 0.0, 0.0, -0.1, 0.015390390390390328
'2016-08-18', 8.5, 9.0, 8.34, 8.89, 57500.0, 8.89, 0.07000000000000028, -0.6799999999999997, 0.6554497938227016, 0.0, 0.0, 0.0, 0.023235294117647035
'2016-08-17', 8.43, 8.59, 8.08, 8.51, 99800.0, 8.51, -0.3200000000000003, -0.620000000000001, 0.6161291612424568, 0.0, 0.0, 0.0, 0.020403321470937118
'2016-08-16', 8.75, 8.77, 8.05, 8.44, 141400.0, 8.44, -0.2599999999999998, -0.3800000000000008, 0.5656086092775541, 0.0, 0.0, 0.0, 0.01028571428571427
'2016-08-15', 9.01, 9.17, 8.92, 8.98, 80700.0, 8.98, -0.16999999999999993, -0.45000000000000107, 0.5353181286757333, 0.0, 0.0, 0.0, 0.004439511653718081
'2016-08-12', 9.18, 9.25, 8.96, 8.99, 65500.0, 8.99, 0.129999999999999, -0.35999999999999943, 0.5470689464978086, 0.0, 0.0, 0.0, 0.0014978213507625196
'2016-08-11', 9.05, 9.28, 9.0, 9.2, 27300.0, 9.2, -0.08000000000000007, -0.47999999999999865, 0.5379704545790596, 0.0, 0.0, 0.0, 0.0029465930018416015
'2016-08-10', 9.13, 9.19, 8.97, 9.04, 33100.0, 9.04, -0.33000000000000007, -0.3199999999999985, 0.5216463989673038, 0.0, 0.0, 0.0, 0.0017524644030667946
'2016-08-09', 9.46, 9.5, 9.02, 9.05, 19500.0, 9.05, -0.0799999999999983, 0.25, 0.5019546117152648, 0.0, 0.0, 0.0, -0.0016336728810301912
'2016-08-08', 9.54, 9.65, 9.32, 9.46, 29300.0, 9.46, 0.009999999999999787, -0.2400000000000002, 0.4992474659146727, 0.0, 0.0, 0.0, -0.002183787561146052
'2016-08-05', 9.53, 9.68, 9.39, 9.61, 30400.0, 9.61, 0.08000000000000007, -0.2599999999999998, 0.49028992443247293, 0.0, 0.0, 0.0, -0.0019372023569295361
'2016-08-04', 9.45, 9.575, 9.315, 9.44, 28500.0, 9.44, 0.23999999999999844, 0.2699999999999996, 0.4833683998773607, 0.0, 0.0, 0.0, -0.0012093726379440678
'2016-08-03', 9.21, 9.5, 9.21, 9.47, 32000.0, 9.47, -0.5699999999999985, -0.8099999999999987, 0.5286464781769465, 0.0, 0.1, 0.0, 0.0005790807093738566
'2016-08-02', 9.78, 9.8, 9.21, 9.24, 38600.0, 9.24, -0.009999999999999787, -0.6699999999999999, 0.543634710894079, 0.0, 0.5, 0.0, -0.0031313905930470363
'2016-08-01', 9.79, 9.89, 9.58, 9.74, 51700.0, 9.74, 0.6099999999999994, -0.33000000000000007, 0.5370328657436981, 0.0, 0.8, 0.0, -0.0030042660578020793
'2016-07-29', 9.18, 9.79, 9.14, 9.77, 88300.0, 9.77, -0.8399999999999999, -0.8200000000000003, 0.5408685905302897, 1.0, 1.0, 0.0, 0.0006656983781166753
'2016-07-28', 10.02, 10.02, 8.77, 9.15, 207100.0, 9.15, -0.4299999999999997, -0.20899999999999963, 0.5127796461985943, 0.0, 0.8, 0.0, -0.0038344363903771426
'2016-07-27', 10.45, 10.57, 10.17, 10.45, 22900.0, 10.45, 0.33000000000000007, 0.6799999999999997, 0.5208994240734002, 0.0, 0.5, 0.0, -0.005550239234449761
'2016-07-26', 10.12, 10.52, 10.05, 10.48, 22200.0, 10.48, 0.11999999999999922, 0.20999999999999908, 0.524402675008009, 0.0, 0.1, 0.0, -0.003905514775079993
'2016-07-25', 10.0, 10.23, 9.91, 10.16, 28200.0, 10.16, -0.2289999999999992, -0.9600000000000009, 0.5496083747138099, 0.0, 0.0, 0.0, -0.003227272727272731
'2016-07-22', 10.229, 10.31, 10.031, 10.12, 15700.0, 10.12, 0.45899999999999963, -0.7710000000000008, 0.568353244030506, 0.0, 0.0, 0.0, -0.0039912099869509965
'2016-07-21', 9.77, 10.65, 9.76, 10.25, 68700.0, 10.25, -0.14000000000000057, -0.8900000000000006, 0.5814120741780308, 0.0, 0.0, -0.1, -0.0020470829068577295
'2016-07-20', 9.91, 10.23, 9.74, 9.74, 104400.0, 9.74, -1.0500000000000007, -0.7699999999999996, 0.5915572668812378, 0.0, 0.0, -0.5, -0.0025025227043390555
'2016-07-19', 10.96, 11.04, 9.752, 9.83, 105200.0, 9.83, -0.03999999999999915, 0.8100000000000005, 0.6066263722882113, 0.0, 0.0, -0.8, -0.005860471645143184
'2016-07-18', 11.0, 11.05, 10.739, 11.02, 74800.0, 11.02, 0.33999999999999986, 1.3699999999999992, 0.6024372719766486, -1.0, 0.0, -1.0, 0.0
'2016-07-15', 10.66, 11.0, 10.41, 10.99, 95300.0, 10.99, -0.019999999999999574, 0.620000000000001, 0.5954633116788601, 0.0, 0.0, -0.8, 0.03189493433395871
'2016-07-14', 10.68, 10.68, 10.36, 10.56, 50000.0, 10.56, 0.5299999999999994, 0.9599999999999991, 0.5997174334634602, 0.0, 0.0, -0.5, 0.014981273408239714
'2016-07-13', 10.15, 10.69, 10.035, 10.5, 191300.0, 10.5, 0.5199999999999996, 0.5300000000000011, 0.6011788419430609, 0.0, 0.0, -0.1, 0.02791461412151066
'2016-07-12', 9.63, 10.109, 9.63, 10.06, 213400.0, 10.06, -0.40999999999999837, -0.08000000000000007, 0.6261341709250501, 0.0, 0.1, 0.0, 0.03556593977154723
'2016-07-11', 10.04, 10.46, 9.72, 9.77, 90900.0, 9.77, 0.3199999999999985, -0.14000000000000057, 0.6443640275496451, 0.0, 0.5, 0.0, 0.019123505976095637
'2016-07-08', 9.72, 10.39, 9.72, 10.15, 68300.0, 10.15, 0.10000000000000142, -1.209999999999999, 0.6506393436886179, 0.0, 0.8, 0.0, 0.02194787379972564
'2016-07-07', 9.62, 9.97, 9.5, 9.55, 63800.0, 9.55, -0.09000000000000163, -0.8100000000000005, 0.6550246814688232, 1.0, 1.0, 0.0, 0.020493020493020507
'2016-07-06', 9.71, 9.92, 9.53, 9.69, 71900.0, 9.69, -0.46999999999999886, -0.8299999999999983, 0.6585236011968995, 0.0, 0.8, 0.0, 0.016606591143151377
'2016-07-05', 10.18, 10.25, 9.5, 9.71, 148000.0, 9.71, -0.75, -0.2599999999999998, 0.6653039405665152, 0.0, 0.5, 0.0, 0.00895001091464746
