Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-16', 1.24, 1.3, 1.12, 1.19, 178700.0, 1.19, 0.020000000000000018, 0.09000000000000008, 0.13347867078884007, -1.0, 0.5, -1.0, 0.0
'2016-09-15', 1.22, 1.22, 1.15, 1.21, 57000.0, 1.21, 0.09999999999999987, 0.010000000000000009, 0.13905594397779458, 0.0, 0.8, -0.8, 0.016393442622950834
'2016-09-14', 1.12, 1.22, 1.11, 1.21, 45200.0, 1.21, -0.009999999999999787, 0.0, 0.1395086616187922, 1.0, 1.0, -0.3, 0.05357142857142851
'2016-09-13', 1.13, 1.13, 1.05, 1.1, 138900.0, 1.1, -0.020000000000000018, 0.009999999999999787, 0.14182931839205726, 0.0, 0.8, -0.3, 0.03244837758112098
'2016-09-12', 1.15, 1.16, 1.12, 1.13, 23600.0, 1.13, -0.06000000000000005, 0.06999999999999984, 0.14091329091166507, 0.0, 0.5, -0.8, 0.019565217391304367
'2016-09-09', 1.21, 1.23, 1.12, 1.15, 89000.0, 1.15, 0.08999999999999986, 0.15999999999999992, 0.14689225075998166, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 1.12, 1.29, 1.1, 1.21, 355800.0, 1.21, 0.0, 0.07000000000000006, 0.14947352050892934, 0.0, 0.0, -0.8, 0.08035714285714272
'2016-09-07', 1.12, 1.13, 1.06, 1.09, 79200.0, 1.09, 0.040000000000000036, 0.06000000000000005, 0.1529211852193439, 0.0, 0.0, -0.5, 0.04017857142857136
'2016-09-06', 1.08, 1.11, 1.07, 1.08, 25700.0, 1.08, 0.030000000000000027, 0.050000000000000044, 0.16124687766141566, 0.0, 0.0, -0.1, 0.04012345679012342
'2016-09-02', 1.05, 1.18, 1.05, 1.08, 141000.0, 1.08, 0.0, -0.07000000000000006, 0.1630640637568219, 0.0, 0.1, 0.0, 0.03809523809523808
'2016-09-01', 1.05, 1.08, 1.05, 1.07, 22100.0, 1.07, -0.010000000000000009, -0.09999999999999987, 0.1747518876070362, 0.0, 0.5, 0.0, 0.030476190476190462
'2016-08-31', 1.06, 1.13, 1.05, 1.06, 91700.0, 1.06, 0.030000000000000027, -0.07999999999999985, 0.1881042854966952, 0.0, 0.8, 0.0, 0.023584905660377343
'2016-08-30', 1.03, 1.1, 1.02, 1.08, 36400.0, 1.08, -0.09000000000000008, -0.10999999999999988, 0.20377656609357436, 1.0, 1.0, 0.0, 0.024965325936199715
'2016-08-29', 1.12, 1.12, 1.05, 1.07, 41700.0, 1.07, -0.029999999999999805, -0.04999999999999982, 0.21533668728038166, 0.0, 0.8, 0.0, 0.01004464285714284
'2016-08-26', 1.15, 1.15, 1.07, 1.12, 113100.0, 1.12, 0.010000000000000009, -0.030000000000000027, 0.2275072648412695, 0.0, 0.5, 0.0, 0.005797101449275368
'2016-08-25', 1.14, 1.22, 1.09, 1.11, 167100.0, 1.11, 0.0, -0.07000000000000006, 0.23686494041964082, 0.0, 0.1, 0.0, 0.0061403508771929885
'2016-08-24', 1.14, 1.18, 1.09, 1.11, 67400.0, 1.11, -0.030000000000000027, -0.08000000000000007, 0.24481739226524643, 0.0, 0.0, 0.0, 0.005582137161084535
'2016-08-23', 1.17, 1.19, 1.14, 1.15, 28600.0, 1.15, -0.010000000000000009, 0.10999999999999988, 0.2503750520053199, 0.0, 0.0, -0.1, 0.0028490028490028517
'2016-08-22', 1.18, 1.31, 1.1, 1.15, 87800.0, 1.15, -0.030000000000000027, -0.040000000000000036, 0.2522531796958497, 0.0, 0.1, -0.5, 0.001955671447196873
'2016-08-19', 1.21, 1.21, 1.15, 1.19, 72700.0, 1.19, -0.010000000000000009, -0.020000000000000018, 0.25803617317474437, 0.0, 0.5, -0.8, 0.0
'2016-08-18', 1.22, 1.4, 1.15, 1.23, 650000.0, 1.23, 0.15999999999999992, -0.08000000000000007, 0.26636754056503703, -1.0, 0.8, -1.0, -0.0005464480874316944
'2016-08-17', 1.06, 1.17, 1.05, 1.09, 91200.0, 1.09, -0.15999999999999992, -0.34999999999999987, 0.2740942660229627, 1.0, 1.0, -0.8, 0.008844339622641504
'2016-08-16', 1.22, 1.22, 1.01, 1.04, 91300.0, 1.04, -0.010000000000000009, -0.21999999999999997, 0.281481201266917, 0.0, 0.8, -0.5, -0.0004821600771456128
