Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-14', 78.370003, 78.93, 77.300003, 77.669998, 240100.0, 76.791158, 0.25, -3.6099999999999994, 1.2803219348115407, -1.0, 0.5, -1.0, 0.0
'2016-09-13', 78.120003, 78.730003, 76.470001, 76.809998, 276500.0, 75.940889, 0.9599989999999963, -4.229995000000002, 1.2771897333614586, 0.0, 0.8, -0.8, 0.0032002046902123134
'2016-09-12', 77.160004, 79.220001, 77.160004, 78.5, 374400.0, 77.611769, -3.0999979999999994, -3.5899959999999993, 1.2641022356085154, 1.0, 1.0, -0.5, 0.007840843294927747
'2016-09-09', 80.260002, 80.379997, 77.25, 77.410004, 430300.0, 76.534106, -1.7200009999999963, 0.29000100000000373, 1.2115590655309303, 0.0, 0.8, -0.1, -0.007849484811458984
'2016-09-08', 81.980003, 82.110001, 81.209999, 81.330002, 329300.0, 80.409749, -0.36999500000000296, 1.4700009999999963, 1.3362498857387761, 0.0, 0.5, 0.0, -0.011008782227051149
'2016-09-07', 82.349998, 82.529999, 81.68, 82.32, 340100.0, 81.388545, 1.5999979999999994, 1.8399959999999993, 1.3496116772461313, 0.0, 0.1, 0.0, -0.009666047593589503
'2016-09-06', 80.75, 82.389999, 80.519997, 82.389999, 439600.0, 81.457753, 0.7799990000000037, 0.0, 1.2950405759937011, 0.0, 0.0, 0.0, -0.004912274509803928
'2016-09-02', 79.970001, 81.57, 79.910004, 80.669998, 340600.0, 79.757213, -0.5400010000000037, -0.47000100000001055, 1.3003068592208784, 0.0, 0.0, 0.0, -0.0028582110791413244
'2016-09-01', 80.510002, 80.580002, 79.43, 79.790001, 277700.0, 78.887173, 0.0, -1.3399959999999993, 1.3569446478939806, 0.0, 0.0, 0.0, -0.0033225669898753747
'2016-08-31', 80.510002, 81.019997, 80.019997, 80.279999, 450900.0, 79.371627, -0.23999799999999993, -0.4300000000000068, 1.4037614491087396, 0.0, 0.0, -0.1, -0.002953392879889222
'2016-08-30', 80.75, 80.860001, 79.900002, 80.720001, 203900.0, 79.806651, 0.3099979999999931, -0.4400020000000069, 1.430881094292558, 0.0, 0.0, -0.5, -0.0029473647058823565
'2016-08-29', 80.440002, 81.419998, 80.089996, 80.68, 157800.0, 79.767102, -1.4099959999999925, -0.41999899999999, 1.4748089798808635, 0.0, 0.0, -0.8, -0.002339404805991031
'2016-08-26', 81.849998, 82.32, 79.480003, 80.040001, 344400.0, 79.134344, 0.9099959999999925, 2.0400000000000063, 1.4731816895426595, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 80.940002, 82.059998, 80.839996, 81.779999, 251300.0, 80.854654, -0.25, 1.1900020000000069, 1.3940391048171177, 0.0, 0.0, -0.8, 0.011242846275195204
'2016-08-24', 81.190002, 81.190002, 80.370003, 81.010002, 187100.0, 80.09337, 0.33000100000001, 1.450004000000007, 1.3234005542051208, 0.0, 0.1, -0.5, 0.004064515234277199
'2016-08-23', 80.860001, 81.360001, 80.209999, 81.150002, 170700.0, 80.231785, 1.0500030000000038, 1.860000999999997, 1.2183035548952565, 0.0, 0.5, -0.1, 0.004081115457814561
'2016-08-22', 79.809998, 80.510002, 79.589996, 80.510002, 293900.0, 79.599028, 0.05999799999999311, 0.6399999999999864, 1.1366323928866837, 0.0, 0.8, 0.0, 0.006390176829725038
'2016-08-19', 79.75, 79.75, 79.050003, 79.650002, 251800.0, 78.748758, 0.010002000000000066, 0.12000299999999697, 1.1318507083549973, 1.0, 1.0, 0.0, 0.005266452664576801
'2016-08-18', 79.739998, 79.790001, 79.160004, 79.75, 212500.0, 78.847625, 0.7399979999999999, 0.799995999999993, 1.1674805247499738, 0.0, 0.8, -0.1, 0.004410166484662648
'2016-08-17', 79.0, 79.589996, 78.309998, 79.580002, 171800.0, 78.67955, -0.16999800000000675, -0.620002999999997, 1.1447259399540617, 0.0, 0.5, -0.5, 0.0051537034358047
'2016-08-16', 79.169998, 79.239998, 78.470001, 78.660004, 178300.0, 77.769962, -0.45999899999999627, -0.1600039999999865, 1.1405644051099864, 0.0, 0.1, -0.8, 0.004231400890018957
'2016-08-15', 79.629997, 80.139999, 79.379997, 79.470001, 168900.0, 78.570794, 0.6899949999999961, 1.0599970000000098, 1.14029221810497, -1.0, 0.0, -1.0, 0.0
'2016-08-12', 78.940002, 80.440002, 78.93, 79.57, 217300.0, 78.669661, -0.6800009999999901, 0.1399990000000031, 1.1302317902602197, 0.0, 0.0, -0.8, 0.008740752248777446
'2016-08-11', 79.620003, 79.860001, 78.230003, 78.629997, 201900.0, 77.740295, 0.29000100000000373, 1.3500059999999934, 1.1998271874840394, 0.0, 0.0, -0.5, 6.276061054661134e-05
'2016-08-10', 79.330002, 80.0, 79.260002, 79.580002, 207200.0, 78.67955, 0.7600020000000001, 1.620002999999997, 1.2587148318834651, 0.0, 0.0, -0.1, 0.00126053612520187
'2016-08-09', 78.57, 79.160004, 77.610001, 79.059998, 122200.0, 78.16543, -0.23000300000001062, 0.45999899999999627, 1.357249086450294, 0.0, 0.1, 0.0, 0.003372779050528223
'2016-08-08', 78.800003, 78.800003, 78.040001, 78.480003, 151100.0, 77.591998, 0.5300060000000002, 0.3400040000000075, 1.4999868307286497, 0.0, 0.5, 0.0, 0.0021065836761452895
'2016-08-05', 78.269997, 78.989998, 77.849998, 78.580002, 159800.0, 77.690865, 0.5599980000000073, -0.19000199999999268, 1.8330124386082909, 0.0, 0.8, -0.1, 0.0028959585454777334
'2016-08-04', 77.709999, 78.629997, 77.32, 78.010002, 234000.0, 77.127315, -0.40000200000000063, -0.34999899999999684, 1.9769328642631812, 1.0, 1.0, -0.5, 0.00352960278086517
'2016-08-03', 78.110001, 78.110001, 77.129997, 77.290001, 291200.0, 76.415461, -0.34999799999999937, 1.5100029999999975, 2.0845450007997868, 0.0, 0.8, -0.8, 0.002432460601299964
'2016-08-02', 78.459999, 78.68, 77.769997, 77.959999, 198100.0, 77.077878, 0.0, 1.4799959999999999, 2.1866289933094767, -1.0, 0.3, -1.0, 0.0
'2016-08-01', 78.459999, 78.970001, 77.970001, 78.660004, 121300.0, 77.769962, 0.40000100000000316, 1.0999979999999994, 2.237963980050641, 0.0, 0.3, -0.8, 0.0
'2016-07-29', 78.059998, 79.07, 77.919998, 78.57, 299500.0, 77.680976, 1.4599999999999937, 0.3699959999999862, 2.276705595871119, 0.0, 0.8, -0.5, 0.0025621381645436576
'2016-07-28', 76.599998, 78.230003, 76.43, 78.110001, 169900.0, 77.226182, -0.38000499999999704, -0.3200000000000074, 2.327586567556888, 1.0, 1.0, -0.1, 0.008093999341009543
'2016-07-27', 76.980003, 77.120003, 76.110001, 76.68, 136900.0, 75.812362, -0.3799980000000005, 0.3500059999999934, 2.4092516841275504, 0.0, 0.8, -0.5, 0.004806430054309039
'2016-07-26', 77.360001, 77.43, 76.82, 77.059998, 179800.0, 76.18806, -0.33000100000001, 0.5999989999999968, 2.452925280309721, 0.0, 0.5, -0.8, 0.00284384174193586
'2016-07-25', 77.690002, 77.860001, 76.839996, 77.18, 142100.0, 76.306705, 0.7700040000000001, 1.6500010000000032, 2.4569166015838397, -1.0, 0.1, -1.0, 0.0
'2016-07-22', 76.919998, 77.949997, 76.309998, 77.540001, 177600.0, 76.662632, 0.29000100000000373, -0.010002000000000066, 2.450286603001664, 0.0, 0.1, -0.8, 0.010010452678378906
'2016-07-21', 76.629997, 77.269997, 76.459999, 77.080002, 168800.0, 76.207838, -0.13000499999999704, 0.18999499999999614, 2.465897115967869, 0.0, 0.5, -0.5, 0.006916384193516306
