Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 7.66, 7.73, 7.57, 7.62, 293700.0, 7.62, 0.16000000000000014, 0.4500000000000002, 0.30769772324294004, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 7.5, 7.72, 7.48, 7.64, 618300.0, 7.64, 0.13999999999999968, 0.5, 0.2983638718075632, 0.0, 0.0, -0.8, 0.021333333333333353
'2016-10-04', 7.36, 7.51, 7.35, 7.36, 649000.0, 7.36, -0.019999999999999574, 0.8200000000000003, 0.2983638718075632, 0.0, 0.0, -0.5, 0.020380434782608682
'2016-10-03', 7.38, 7.4, 7.26, 7.36, 329900.0, 7.36, 0.16999999999999993, 0.79, 0.2998453304992796, 0.0, 0.1, -0.1, 0.012646793134598024
'2016-09-30', 7.21, 7.44, 7.09, 7.36, 550500.0, 7.36, 0.20999999999999996, 0.34999999999999964, 0.31600351615484, 0.0, 0.5, 0.0, 0.015603328710124834
'2016-09-29', 7.0, 7.42, 7.0, 7.14, 823700.0, 7.14, 0.45999999999999996, 0.20000000000000018, 0.319221274701769, 0.0, 0.8, 0.0, 0.01885714285714286
'2016-09-28', 6.54, 6.99, 6.5, 6.98, 639900.0, 6.98, -0.04999999999999982, -0.33999999999999986, 0.3191544384080465, 1.0, 1.0, 0.0, 0.02854230377166157
'2016-09-27', 6.59, 6.59, 6.41, 6.51, 500400.0, 6.51, -0.27000000000000046, -0.08000000000000007, 0.3039883038685681, 0.0, 0.8, -0.1, 0.023195317580750063
'2016-09-26', 6.86, 6.9, 6.63, 6.63, 326500.0, 6.63, 0.0600000000000005, 0.09000000000000075, 0.2930492942985683, 0.0, 0.3, -0.5, 0.014577259475218655
'2016-09-23', 6.8, 6.92, 6.79, 6.81, 551000.0, 6.81, -0.08000000000000007, -0.04999999999999982, 0.29359931123140526, 0.0, 0.3, -0.8, 0.014052287581699352
'2016-09-22', 6.88, 6.98, 6.79, 6.9, 600500.0, 6.9, 0.20999999999999996, 0.16000000000000014, 0.2926537582574709, -1.0, 0.8, -1.0, 0.011337209302325586
'2016-09-21', 6.67, 6.82, 6.63, 6.8, 912300.0, 6.8, -0.09999999999999964, -0.07000000000000028, 0.2946125515920114, 1.0, 1.0, -0.8, 0.013493253373313346
