Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-08-24', 1.52, 1.52, 1.43, 1.45, 75900.0, 1.45, 0.020000000000000018, 0.040000000000000036, 0.09185072430610199, -1.0, 0.0, -1.0, 0.0
'2016-08-23', 1.5, 1.52, 1.49, 1.5, 28500.0, 1.5, 0.040000000000000036, 0.040000000000000036, 0.09580129899374479, 0.0, 0.0, -0.8, 0.013333333333333345
'2016-08-22', 1.46, 1.48, 1.41, 1.47, 27400.0, 1.47, -0.040000000000000036, -0.040000000000000036, 0.0968756361986278, 0.0, 0.0, -0.5, 0.02054794520547947
'2016-08-19', 1.5, 1.52, 1.44, 1.49, 108400.0, 1.49, 0.020000000000000018, 0.050000000000000044, 0.09789790600416333, 0.0, 0.0, -0.1, 0.004444444444444449
'2016-08-18', 1.48, 1.52, 1.44, 1.5, 62600.0, 1.5, 0.020000000000000018, -0.030000000000000027, 0.09830847143331828, 0.0, 0.0, 0.0, 0.006756756756756763
'2016-08-17', 1.46, 1.46, 1.4, 1.42, 69900.0, 1.42, -0.040000000000000036, -0.09000000000000008, 0.09664884893261791, 0.0, 0.0, 0.0, 0.008219178082191789
'2016-08-16', 1.5, 1.54, 1.44, 1.44, 104400.0, 1.44, 0.050000000000000044, -0.1100000000000001, 0.0926066952223218, 0.0, 0.0, 0.0, 0.0022222222222222244
'2016-08-15', 1.45, 1.49, 1.4, 1.47, 169000.0, 1.47, -0.06000000000000005, -0.17999999999999994, 0.09193234227167038, 0.0, 0.0, 0.0, 0.006896551724137937
'2016-08-12', 1.51, 1.55, 1.43, 1.45, 126200.0, 1.45, -0.040000000000000036, -0.08000000000000007, 0.08407734534343955, 0.0, 0.0, 0.0, 0.0008278145695364246
'2016-08-11', 1.55, 1.55, 1.49, 1.49, 77300.0, 1.49, -0.06000000000000005, 0.030000000000000027, 0.08002499609497021, 0.0, 0.0, 0.0, -0.002150537634408604
'2016-08-10', 1.61, 1.61, 1.52, 1.54, 10200.0, 1.54, -0.019999999999999796, 0.07000000000000006, 0.07808898058554027, 0.0, 0.1, 0.0, -0.005590062111801247
'2016-08-09', 1.63, 1.63, 1.56, 1.57, 33100.0, 1.57, 0.039999999999999813, 0.10999999999999988, 0.07996179643360252, 0.0, 0.5, 0.0, -0.0061349693251533674
'2016-08-08', 1.59, 1.64, 1.58, 1.59, 37300.0, 1.59, 0.07000000000000006, -0.010000000000000009, 0.0795375522770359, 0.0, 0.8, 0.0, -0.0036687631027253697
'2016-08-05', 1.52, 1.62, 1.51, 1.57, 28700.0, 1.57, -0.020000000000000018, -0.07000000000000006, 0.07833262411026455, 1.0, 1.0, 0.0, 0.0
'2016-08-04', 1.54, 1.6, 1.5, 1.56, 28700.0, 1.56, 0.020000000000000018, -0.040000000000000036, 0.0728285658241325, 0.0, 0.8, 0.0, -0.0009276437847866427
'2016-08-03', 1.52, 1.62, 1.5, 1.55, 45500.0, 1.55, -0.08000000000000007, -0.07000000000000006, 0.06799428080524289, 0.0, 0.5, 0.0, 0.0
'2016-08-02', 1.6, 1.63, 1.5, 1.51, 112200.0, 1.51, 0.010000000000000009, -0.029999999999999805, 0.060590611667338555, 0.0, 0.1, 0.0, -0.0031250000000000028
'2016-08-01', 1.59, 1.63, 1.53, 1.6, 80000.0, 1.6, 0.010000000000000009, -0.04999999999999982, 0.05850071224637641, 0.0, 0.0, 0.0, -0.002589715131335555
'2016-07-29', 1.58, 1.66, 1.52, 1.66, 204600.0, 1.66, -0.010000000000000009, -0.07999999999999985, 0.05488978856662585, 0.0, 0.0, 0.0, -0.002109704641350213
'2016-07-28', 1.59, 1.65, 1.56, 1.6, 252800.0, 1.6, -0.039999999999999813, -0.10999999999999988, 0.04995553578489133, 0.0, 0.0, 0.0, -0.002317113538563392
'2016-07-27', 1.63, 1.65, 1.55, 1.62, 43100.0, 1.62, -0.010000000000000009, -0.13000000000000012, 0.04910419760287532, 0.0, 0.0, 0.0, -0.0033742331288343524
'2016-07-26', 1.64, 1.66, 1.62, 1.63, 33000.0, 1.63, -0.020000000000000018, -0.1100000000000001, 0.05694051476955776, 0.0, 0.0, 0.0, -0.003484320557491286
'2016-07-25', 1.66, 1.72, 1.6, 1.64, 115800.0, 1.64, -0.040000000000000036, -0.06000000000000005, 0.06490677074765691, 0.0, 0.0, 0.0, -0.0038335158817086505
'2016-07-22', 1.7, 1.71, 1.66, 1.7, 46900.0, 1.7, -0.06000000000000005, -0.010000000000000009, 0.07336665909435068, 0.0, 0.0, 0.0, -0.004603580562659844
'2016-07-21', 1.76, 1.79, 1.66, 1.72, 146500.0, 1.72, 0.010000000000000009, 0.040000000000000036, 0.08627089118970933, 0.0, 0.0, 0.0, -0.005681818181818181
'2016-07-20', 1.75, 1.75, 1.72, 1.74, 27900.0, 1.74, 0.030000000000000027, 0.050000000000000044, 0.10058937430077904, 0.0, 0.0, 0.0, -0.005257142857142857
'2016-07-19', 1.72, 1.75, 1.7, 1.72, 26000.0, 1.72, 0.010000000000000009, -0.040000000000000036, 0.10859506843724023, 0.0, 0.0, 0.0, -0.004472271914132378
'2016-07-18', 1.71, 1.72, 1.61, 1.7, 166200.0, 1.7, -0.010000000000000009, -0.020000000000000018, 0.12242231096586204, 0.0, 0.0, 0.0, -0.004115226337448558
'2016-07-15', 1.72, 1.73, 1.66, 1.7, 33100.0, 1.7, 0.020000000000000018, -0.06000000000000005, 0.12226973823840832, 0.0, 0.0, 0.0, -0.00415282392026578
'2016-07-14', 1.7, 1.76, 1.7, 1.72, 16500.0, 1.72, -0.06000000000000005, -0.050000000000000044, 0.12426673819740432, 0.0, 0.0, 0.0, -0.0036511156186612567
'2016-07-13', 1.76, 1.76, 1.72, 1.74, 13900.0, 1.74, 0.030000000000000027, 0.020000000000000018, 0.12402911844491285, 0.0, 0.0, 0.0, -0.004545454545454545
'2016-07-12', 1.73, 1.76, 1.67, 1.67, 35600.0, 1.67, -0.050000000000000044, 0.0, 0.12557467897629682, 0.0, 0.0, 0.0, -0.0039157188140965865
'2016-07-11', 1.78, 1.79, 1.69, 1.71, 73100.0, 1.71, 0.030000000000000027, 0.0, 0.12732460703083107, 0.0, 0.0, 0.0, -0.004564606741573034
'2016-07-08', 1.75, 1.79, 1.73, 1.76, 89800.0, 1.76, 0.010000000000000009, 0.07000000000000006, 0.12854787262166403, 0.0, 0.0, -0.1, -0.003982683982683983
'2016-07-07', 1.74, 1.76, 1.73, 1.76, 17200.0, 1.76, 0.010000000000000009, 0.020000000000000018, 0.12955007611816452, 0.0, 0.1, -0.5, -0.0037187288708586883
