Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-26', 7.6, 7.62, 7.17, 7.2, 289100.0, 7.2, 0.2999999999999998, 0.41999999999999993, 0.709772185673372, -1.0, 0.0, -1.0, 0.0
'2016-09-23', 7.3, 7.79, 7.3, 7.6, 523200.0, 7.6, 0.2699999999999996, 0.20999999999999996, 0.755778112646533, 0.0, 0.0, -0.8, 0.04109589041095888
'2016-09-22', 7.03, 7.39, 7.03, 7.32, 391900.0, 7.32, 0.1200000000000001, 0.4500000000000002, 0.789272238626614, 0.0, 0.0, -0.5, 0.040540540540540494
'2016-09-21', 6.91, 7.11, 6.86, 6.99, 340100.0, 6.99, -0.2699999999999996, 0.29000000000000004, 0.7915810480017542, 0.0, 0.1, -0.1, 0.03328509406657016
'2016-09-20', 7.18, 7.21, 6.81, 6.85, 395500.0, 6.85, 0.08999999999999986, 0.47999999999999954, 0.8125323925166854, 0.0, 0.5, 0.0, 0.014623955431754872
'2016-09-19', 7.09, 7.28, 6.92, 7.16, 457300.0, 7.16, 0.5099999999999998, 0.3899999999999997, 0.8780294224379196, 0.0, 0.8, 0.0, 0.01438645980253878
'2016-09-16', 6.58, 6.94, 6.56, 6.91, 425300.0, 6.91, -0.040000000000000036, -0.08000000000000007, 0.9280462751872285, 1.0, 1.0, 0.0, 0.025835866261398163
'2016-09-15', 6.62, 6.72, 6.59, 6.64, 220300.0, 6.64, -0.08000000000000007, -0.33999999999999986, 0.9446619618796039, 0.0, 0.8, 0.0, 0.021148036253776422
'2016-09-14', 6.7, 6.73, 6.56, 6.59, 298200.0, 6.59, 0.0, -0.25, 0.9482316289927384, 0.0, 0.5, 0.0, 0.016791044776119392
'2016-09-13', 6.7, 6.83, 6.47, 6.76, 468800.0, 6.76, 0.040000000000000036, 0.10000000000000053, 0.9603268540797277, 0.0, 0.1, 0.0, 0.014925373134328348
'2016-09-12', 6.66, 6.84, 6.61, 6.79, 221500.0, 6.79, -0.2999999999999998, -0.1899999999999995, 0.9707994414685021, 0.0, 0.0, 0.0, 0.014114114114114108
'2016-09-09', 6.96, 6.99, 6.61, 6.75, 439300.0, 6.75, 0.009999999999999787, 0.040000000000000036, 0.9630103264705364, 0.0, 0.0, 0.0, 0.0083594566353187
'2016-09-08', 6.95, 7.04, 6.74, 7.02, 454700.0, 7.02, 0.35000000000000053, -0.04999999999999982, 0.9684555860865393, 0.0, 0.0, 0.0, 0.0077937649880095855
'2016-09-07', 6.6, 6.97, 6.56, 6.89, 581100.0, 6.89, -0.25, -0.45999999999999996, 0.960623929190468, 0.0, 0.0, 0.0, 0.011655011655011656
'2016-09-06', 6.85, 6.85, 6.49, 6.55, 716400.0, 6.55, -0.07000000000000028, -0.3000000000000007, 0.9312641348666278, 0.0, 0.0, 0.0, 0.007820646506777894
'2016-09-02', 6.92, 7.03, 6.74, 6.82, 363600.0, 6.82, -0.08000000000000007, -0.3899999999999997, 0.9076560777935417, 0.0, 0.0, 0.0, 0.006551059730250479
'2016-09-01', 7.0, 7.13, 6.88, 6.91, 402200.0, 6.91, -0.05999999999999961, -0.5599999999999996, 0.8868105146472322, 0.0, 0.0, 0.0, 0.005357142857142854
'2016-08-31', 7.06, 7.11, 6.97, 7.04, 259800.0, 7.04, -0.09000000000000075, -0.4200000000000008, 0.8657343703469328, 0.0, 0.0, 0.0, 0.004499250124979171
'2016-08-30', 7.15, 7.25, 7.01, 7.09, 480100.0, 7.09, -0.15999999999999925, -1.1999999999999993, 0.8495410525689738, 0.0, 0.0, 0.0, 0.0034965034965034904
'2016-08-29', 7.31, 7.31, 7.06, 7.07, 296600.0, 7.07, -0.25, -0.9799999999999995, 0.8426218342504279, 0.0, 0.0, 0.0, 0.0020879832961336314
'2016-08-26', 7.56, 7.59, 7.01, 7.3, 673900.0, 7.3, 0.07999999999999918, -0.8400000000000007, 0.8198157652112388, 0.0, 0.0, 0.0, 0.0002645502645502648
'2016-08-25', 7.48, 7.78, 7.2, 7.58, 983900.0, 7.58, -0.8699999999999992, -1.0700000000000003, 0.8178532875766901, 0.0, 0.0, 0.0, 0.0007639419404125236
'2016-08-24', 8.35, 8.41, 8.18, 8.23, 386100.0, 8.23, 0.0600000000000005, -0.120000000000001, 0.8163891365165404, 0.0, 0.0, 0.0, -0.004082743603701687
