Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-21', 6.18, 6.2, 6.09, 6.19, 1549100.0, 5.95, 0.040000000000000036, 0.2599999999999998, 0.16476110652160061, -1.0, 0.0, -1.0, 0.0
'2016-09-20', 6.14, 6.18, 6.12, 6.13, 1025100.0, 5.892326, 0.15999999999999925, 0.27999999999999936, 0.169936262561389, 0.0, 0.0, -0.8, 0.006514657980456032
'2016-09-19', 5.98, 6.14, 5.96, 6.12, 1388600.0, 5.882714, -0.08999999999999986, 0.0, 0.17551226611139054, 0.0, 0.0, -0.5, 0.016722408026755793
'2016-09-16', 6.07, 6.08, 5.88, 5.92, 1608400.0, 5.690468, 0.15000000000000036, 0.22000000000000064, 0.17351144694867318, 0.0, 0.0, -0.1, 0.006040637012630391
'2016-09-15', 5.92, 5.96, 5.86, 5.96, 565400.0, 5.728918, 0.05999999999999961, -0.28000000000000025, 0.1733282050523419, 0.0, 0.1, 0.0, 0.010979729729729722
'2016-09-14', 5.86, 5.96, 5.86, 5.88, 589700.0, 5.652019, -0.1200000000000001, -0.3099999999999996, 0.16899178152271851, 0.0, 0.5, 0.0, 0.010921501706484621
'2016-09-13', 5.98, 5.98, 5.86, 5.87, 858000.0, 5.642407, 0.13000000000000078, -0.08999999999999986, 0.17681785983196258, 0.0, 0.8, 0.0, 0.005574136008918597
'2016-09-12', 5.85, 5.98, 5.76, 5.98, 1068600.0, 5.748142, -0.35000000000000053, -0.2400000000000002, 0.18510687603532064, 1.0, 1.0, 0.0, 0.008058608058608061
'2016-09-09', 6.2, 6.2, 5.9, 5.9, 1456600.0, 5.671244, 0.03000000000000025, 0.20000000000000018, 0.1848855501835302, 0.0, 0.8, 0.0, -0.0004032258064516222
'2016-09-08', 6.17, 6.2, 6.12, 6.2, 529200.0, 5.959612, 0.09999999999999964, 0.1200000000000001, 0.19318528814471234, 0.0, 0.5, 0.0, 0.0001800828381055247
'2016-09-07', 6.07, 6.18, 6.07, 6.17, 736900.0, 5.930775, -0.019999999999999574, 0.11000000000000032, 0.19781613236089265, 0.0, 0.1, -0.1, 0.0018121911037891174
'2016-09-06', 6.09, 6.1, 6.02, 6.07, 604900.0, 5.834653, 0.08999999999999986, 0.04999999999999982, 0.2004816422740219, 0.0, 0.1, -0.5, 0.0013434841021047897
'2016-09-02', 6.0, 6.09, 6.0, 6.05, 805900.0, 5.815428, -0.04999999999999982, 0.0, 0.20436378239687075, 0.0, 0.5, -0.8, 0.002499999999999996
'2016-09-01', 6.05, 6.07, 5.87, 5.98, 789600.0, 5.748142, 0.08999999999999986, 0.040000000000000036, 0.2003718764919091, -1.0, 0.8, -1.0, 0.00165289256198347
'2016-08-31', 5.96, 6.04, 5.95, 6.04, 815600.0, 5.805816, -0.08000000000000007, -0.05999999999999961, 0.1977655739056275, 1.0, 1.0, -0.8, 0.0026366251198465932
'2016-08-30', 6.04, 6.05, 5.96, 5.99, 578200.0, 5.757754, 0.040000000000000036, -0.08000000000000007, 0.1895608961081724, 0.0, 0.8, -0.5, 0.0015452538631346544
'2016-08-29', 6.0, 6.05, 5.96, 6.0, 472700.0, 5.767367, -0.009999999999999787, -0.04999999999999982, 0.184276663983503, 0.0, 0.5, -0.1, 0.0018749999999999971
'2016-08-26', 6.01, 6.06, 5.93, 5.96, 664300.0, 5.728918, -0.009999999999999787, 0.02999999999999936, 0.17678109501741285, 0.0, 0.1, 0.0, 0.001663893510815307
'2016-08-25', 6.02, 6.07, 6.01, 6.03, 407200.0, 5.796204, -0.10000000000000053, 0.019999999999999574, 0.168944435310022, 0.0, 0.0, 0.0, 0.0014765596160945013
'2016-08-24', 6.12, 6.13, 6.02, 6.03, 622800.0, 5.796204, 0.07000000000000028, -0.08000000000000007, 0.16094201854498194, 0.0, 0.0, 0.0, 0.0005159958720330203
'2016-08-23', 6.05, 6.14, 6.0, 6.12, 566000.0, 5.882714, 0.0699999999999994, -0.27000000000000046, 0.15777057886550183, 0.0, 0.0, 0.0, 0.0010743801652892554
'2016-08-22', 5.98, 6.01, 5.97, 6.01, 562100.0, 5.776979, -0.019999999999999574, -0.41999999999999993, 0.1513054306141498, 0.0, 0.0, 0.0, 0.0015926102882624564
'2016-08-19', 6.0, 6.02, 5.91, 5.98, 1455400.0, 5.748142, -0.20000000000000018, -0.4299999999999997, 0.14530771945541401, 0.0, 0.0, 0.0, 0.0013636363636363616
'2016-08-18', 6.2, 6.27, 6.0, 6.03, 2137600.0, 5.796204, -0.1200000000000001, -0.16000000000000014, 0.1418387190516828, 0.0, 0.0, -0.1, -0.00014025245441795555
'2016-08-17', 6.32, 6.36, 6.21, 6.24, 731700.0, 5.998061, -0.08000000000000007, -0.08999999999999986, 0.14398919712564856, 0.0, 0.0, -0.5, -0.000922995780590721
'2016-08-16', 6.4, 6.41, 6.33, 6.34, 393000.0, 6.094184, -0.02999999999999936, -0.019999999999999574, 0.1558863546162894, 0.0, 0.0, -0.8, -0.001375000000000004
'2016-08-15', 6.43, 6.45, 6.38, 6.4, 455000.0, 6.151858, 0.0699999999999994, 0.08000000000000007, 0.1613171479484503, -1.0, 0.0, -1.0, 0.0
'2016-08-12', 6.36, 6.44, 6.35, 6.4, 436800.0, 6.151858, -0.04999999999999982, 0.0, 0.1633387754195419, 0.0, 0.0, -0.8, 0.011006289308176005
