Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 31.440001, 31.49, 30.82, 31.299999, 357800.0, 31.299999, 0.16000000000000014, 0.9400009999999988, 0.7336683382386296, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 31.280001, 31.84, 31.280001, 31.469999, 698100.0, 31.469999, 0.23000199999999893, 0.13000100000000003, 0.7121173018232475, 0.0, 0.1, -0.8, 0.005115089350540627
'2016-10-04', 31.049999, 31.73, 30.9, 31.07, 437900.0, 31.07, 0.02999900000000011, -0.1700000000000017, 0.7012435189959303, 0.0, 0.5, -0.5, 0.006280225645095819
'2016-10-03', 31.02, 31.32, 30.620001, 31.049999, 486300.0, 31.049999, 0.5199999999999996, 0.4700009999999999, 0.714244173686336, 0.0, 0.8, -0.1, 0.004513228024930144
'2016-09-30', 30.5, 31.4, 30.370001, 30.950001, 469500.0, 30.950001, -0.6499999999999986, -0.5400010000000002, 0.7230862574182274, 1.0, 1.0, 0.0, 0.007704926229508187
'2016-09-29', 31.15, 31.74, 30.24, 30.49, 398800.0, 30.49, -0.06999900000000281, 0.5499999999999972, 0.7392893786155732, 0.0, 0.8, 0.0, 0.001861964686998396
'2016-09-28', 31.219999, 31.65, 30.780001, 31.360001, 504400.0, 31.360001, 0.6700000000000017, 0.5800000000000018, 0.7279052187998262, 0.0, 0.5, 0.0, 0.0011744715302521168
'2016-09-27', 30.549999, 31.139999, 30.26, 31.129999, 448700.0, 31.129999, -0.4900020000000005, -0.39000199999999907, 0.7084335750249907, 0.0, 0.1, 0.0, 0.004161805139736428
'2016-09-26', 31.040001, 31.110001, 30.190001, 30.66, 417200.0, 30.66, 0.44000099999999875, -0.6799980000000012, 0.7182602827978706, 0.0, 0.0, 0.0, 0.0016108246903729102
'2016-09-23', 30.6, 31.24, 30.49, 31.110001, 632500.0, 31.110001, -0.03999899999999812, -0.9699999999999989, 0.7217189007119579, 0.0, 0.0, -0.1, 0.003050112563543926
'2016-09-22', 30.639999, 30.83, 29.940001, 30.65, 508600.0, 30.65, -0.3000019999999992, 0.16999999999999815, 0.7235372949923915, 0.0, 0.0, -0.5, 0.002610972670070907
'2016-09-21', 30.940001, 31.129999, 29.780001, 30.51, 758500.0, 30.51, -0.7799980000000026, 1.5500019999999992, 0.709368764748232, 0.0, 0.0, -0.8, 0.0014691190686950998
'2016-09-20', 31.719999, 31.719999, 30.49, 30.709999, 691200.0, 30.709999, 0.1499990000000011, 2.449999000000002, 0.6966411264858736, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 31.57, 32.279999, 30.93, 31.370001, 880300.0, 31.370001, 1.100000999999999, 1.75, 0.6409560435095972, 0.0, 0.1, -0.8, 0.004751314539119452
'2016-09-16', 30.469999, 31.27, 30.370001, 31.209999, 777500.0, 31.209999, 1.0800000000000018, 0.9399980000000028, 0.5527754145123397, 0.0, 0.5, -0.5, 0.020511979668919583
'2016-09-15', 29.389999, 31.299999, 29.16, 30.860001, 834600.0, 30.860001, 0.11999899999999997, -0.2700010000000006, 0.5740361384678077, 0.0, 0.8, -0.1, 0.026426222970156187
'2016-09-14', 29.27, 29.700001, 28.9, 29.41, 332200.0, 29.41, -0.5500000000000007, -0.5800000000000018, 0.6705507915473468, 1.0, 1.0, 0.0, 0.0209258541168432
'2016-09-13', 29.82, 30.280001, 29.17, 29.370001, 372400.0, 29.370001, 0.28999900000000167, 0.25, 0.7039635652821624, 0.0, 0.8, 0.0, 0.01274311871227365
'2016-09-12', 29.530001, 30.530001, 28.74, 30.33, 491100.0, 30.33, -0.12999900000000153, -0.979999000000003, 0.716200650842343, 0.0, 0.5, 0.0, 0.012360299841055446
'2016-09-09', 29.66, 30.059999, 28.92, 29.08, 302200.0, 29.08, -0.19000000000000128, -0.6000000000000014, 0.742930040163996, 0.0, 0.1, 0.0, 0.009921968018495333
'2016-09-08', 29.85, 30.41, 29.66, 29.940001, 254100.0, 29.940001, 0.28000000000000114, -1.2199999999999989, 0.763617341488887, 0.0, 0.0, 0.0, 0.007830816582914572
'2016-09-07', 29.57, 30.08, 29.290001, 29.91, 348400.0, 29.91, -0.9400000000000013, -0.7100009999999983, 0.7800710397566571, 0.0, 0.0, 0.0, 0.008078754743922148
'2016-09-06', 30.51, 30.709999, 29.15, 29.610001, 397800.0, 29.610001, 0.25, 0.7199990000000014, 0.8316744473920128, 0.0, 0.0, 0.0, 0.00396590953785644
'2016-09-02', 30.26, 30.370001, 28.959999, 30.35, 532500.0, 30.35, -0.8099999999999987, 0.6399990000000031, 0.8361458036068163, 0.0, 0.0, 0.0, 0.004386225440124977
'2016-09-01', 31.07, 31.379999, 29.32, 30.059999, 478600.0, 30.059999, 0.7899990000000017, 1.5700000000000003, 0.8322914652401183, 0.0, 0.0, 0.0, 0.0017433724922218674
'2016-08-31', 30.280001, 31.059999, 30.030001, 31.01, 478100.0, 31.01, 0.48999999999999844, 0.9300009999999972, 0.7798140994710182, 0.0, 0.0, 0.0, 0.0036581596190527585
'2016-08-30', 29.790001, 30.379999, 29.790001, 30.280001, 401900.0, 30.280001, 0.1700000000000017, -0.2199990000000014, 0.773616703111948, 0.0, 0.0, 0.0, 0.004627626565034358
'2016-08-29', 29.620001, 30.530001, 29.49, 29.780001, 372500.0, 29.780001, 0.12000099999999847, -0.08999800000000135, 0.7791121211570256, 0.0, 0.0, -0.1, 0.004726531463205111
'2016-08-26', 29.5, 29.98, 29.18, 29.459999, 342700.0, 29.459999, 0.14999999999999858, 0.2699999999999996, 0.8156817015644818, 0.0, 0.0, -0.5, 0.00470338771186441
'2016-08-25', 29.35, 29.66, 29.139999, 29.389999, 354600.0, 29.389999, -0.6600000000000001, 0.120000000000001, 0.8721838268777565, 0.0, 0.1, -0.8, 0.004749972943180679
'2016-08-24', 30.01, 30.549999, 29.209999, 29.370001, 177300.0, 29.370001, 0.30000100000000174, 0.729999000000003, 0.9862926665044706, -1.0, 0.5, -1.0, 0.0
'2016-08-23', 29.709999, 30.719999, 29.709999, 30.09, 332400.0, 30.09, 0.4799989999999994, 0.30999900000000125, 1.1674752465615115, 0.0, 0.8, -0.8, 0.010097644230819453
'2016-08-22', 29.23, 29.639999, 28.84, 29.48, 353000.0, 29.48, 0.0, -0.1499990000000011, 1.3741497007646617, 1.0, 1.0, -0.3, 0.013342456380431083
