Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 4.11, 4.11, 3.89, 3.91, 874000.0, 3.91, 0.11000000000000032, 0.3400000000000003, 0.12110601416389967, -1.0, 0.5, -1.0, 0.0
'2016-10-05', 4.0, 4.14, 3.92, 3.97, 1534100.0, 3.97, 0.16999999999999993, 0.14000000000000012, 0.11757787017783387, 0.0, 0.1, -0.8, 0.02750000000000008
'2016-10-04', 3.83, 3.88, 3.75, 3.78, 371400.0, 3.78, 0.03000000000000025, -0.08999999999999986, 0.11868539178105375, 0.0, 0.5, -0.5, 0.036553524804177576
'2016-10-03', 3.8, 3.87, 3.76, 3.8, 409700.0, 3.8, 0.029999999999999805, -0.0900000000000003, 0.1169943018555462, 0.0, 0.8, -0.1, 0.027192982456140397
'2016-09-30', 3.77, 3.86, 3.69, 3.79, 587200.0, 3.79, -0.08999999999999986, -0.16999999999999993, 0.12087459065770055, 1.0, 1.0, 0.0, 0.022546419098143256
'2016-09-29', 3.86, 3.87, 3.76, 3.77, 503000.0, 3.77, -0.06000000000000005, -0.11000000000000032, 0.1336845374587336, 0.0, 0.8, 0.0, 0.01295336787564769
'2016-09-28', 3.92, 3.94, 3.78, 3.86, 619600.0, 3.86, 0.029999999999999805, -0.06000000000000005, 0.1624588836871929, 0.0, 0.5, 0.0, 0.008078231292517023
'2016-09-27', 3.89, 3.95, 3.85, 3.89, 327600.0, 3.89, -0.04999999999999982, -0.020000000000000018, 0.19127525250858304, 0.0, 0.1, 0.0, 0.008079324274697033
'2016-09-26', 3.94, 3.97, 3.87, 3.91, 394400.0, 3.91, -0.03000000000000025, -0.11999999999999966, 0.22031416961542288, 0.0, 0.0, 0.0, 0.005393401015228438
'2016-09-23', 3.97, 4.04, 3.93, 3.97, 359900.0, 3.97, -0.009999999999999787, -0.08999999999999941, 0.2383902030052596, 0.0, 0.0, -0.1, 0.003918275958578229
'2016-09-22', 3.98, 4.02, 3.92, 4.0, 435300.0, 4.0, 0.06999999999999984, -0.020000000000000018, 0.25658526847814156, 0.0, 0.0, -0.5, 0.003266331658291466
'2016-09-21', 3.91, 3.98, 3.81, 3.95, 670000.0, 3.95, -0.14999999999999947, -0.1299999999999999, 0.2786746410342275, 0.0, 0.0, -0.8, 0.004650081376424091
'2016-09-20', 4.06, 4.1, 3.86, 3.87, 1121200.0, 3.87, 0.0, 0.17999999999999972, 0.30617787132464175, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 4.06, 4.12, 3.99, 4.02, 1147100.0, 4.02, 0.05999999999999961, 0.0, 0.32667959158104065, 0.0, 0.0, -0.8, 0.0
'2016-09-16', 4.0, 4.18, 3.95, 4.05, 1358000.0, 4.05, -0.040000000000000036, 0.16999999999999993, 0.33439431148803284, 0.0, 0.0, -0.5, 0.007499999999999951
'2016-09-15', 4.04, 4.05, 3.92, 4.0, 448700.0, 4.0, 0.16000000000000014, -0.16000000000000014, 0.33553870450697965, 0.0, 0.1, -0.1, 0.0016501650165016148
'2016-09-14', 3.88, 4.09, 3.88, 4.02, 677500.0, 4.02, -0.17999999999999972, -0.27000000000000046, 0.33405072801730107, 0.0, 0.5, 0.0, 0.011597938144329878
'2016-09-13', 4.06, 4.06, 3.84, 3.89, 744000.0, 3.89, 0.22999999999999954, -0.15000000000000036, 0.33017251383010193, 0.0, 0.8, 0.0, 0.0
'2016-09-12', 3.83, 4.05, 3.8, 4.05, 604600.0, 4.05, -0.3700000000000001, -0.06000000000000005, 0.32969160674114156, 1.0, 1.0, -0.1, 0.010008703220191451
'2016-09-09', 4.2, 4.21, 3.91, 3.91, 937400.0, 3.91, 0.04999999999999982, 0.41000000000000014, 0.3204136215720063, 0.0, 0.8, -0.5, -0.0047619047619047805
'2016-09-08', 4.15, 4.28, 4.1, 4.2, 848200.0, 4.2, -0.05999999999999961, 0.3100000000000005, 0.3204476036213513, 0.0, 0.3, -0.8, -0.002710843373493998
'2016-09-07', 4.21, 4.25, 4.11, 4.12, 1658700.0, 4.12, 0.31999999999999984, 0.33999999999999986, 0.32002847095566705, -1.0, 0.3, -1.0, 0.0
'2016-09-06', 3.89, 4.01, 3.85, 3.94, 779300.0, 3.94, 0.10000000000000009, -0.06999999999999984, 0.32233109271885846, 0.0, 0.8, -0.8, 0.08226221079691512
'2016-09-02', 3.79, 3.91, 3.75, 3.87, 420900.0, 3.87, -0.04999999999999982, -0.14000000000000012, 0.3169058745642518, 1.0, 1.0, -0.5, 0.05540897097625329
'2016-09-01', 3.84, 3.87, 3.75, 3.79, 480500.0, 3.79, -0.03000000000000025, -0.16000000000000014, 0.30700633362992513, 0.0, 0.8, -0.1, 0.032118055555555566
'2016-08-31', 3.87, 3.91, 3.78, 3.86, 775200.0, 3.86, -0.08999999999999986, 0.1200000000000001, 0.29621313647814845, 0.0, 0.5, -0.1, 0.021963824289405676
'2016-08-30', 3.96, 3.98, 3.86, 3.91, 415200.0, 3.91, 0.029999999999999805, -0.020000000000000018, 0.2948297060263018, 0.0, 0.1, -0.5, 0.012626262626262626
'2016-08-29', 3.93, 3.98, 3.8, 3.91, 562100.0, 3.91, -0.06999999999999984, -0.11999999999999966, 0.29818432032702336, 0.0, 0.5, -0.8, 0.011874469889737057
'2016-08-26', 4.0, 4.0, 3.8, 3.88, 620700.0, 3.88, 0.25, 0.0, 0.2994431869691181, -1.0, 0.8, -1.0, 0.007499999999999999
'2016-08-25', 3.75, 4.0, 3.73, 3.9, 1070500.0, 3.9, -0.22999999999999998, -0.4400000000000004, 0.3069172888942919, 1.0, 1.0, -0.8, 0.015333333333333332
'2016-08-24', 3.98, 4.04, 3.74, 3.8, 1598600.0, 3.8, -0.06999999999999984, -0.36999999999999966, 0.3001816116953202, 0.0, 0.8, -0.5, 0.0064209938581797875
'2016-08-23', 4.05, 4.1, 3.98, 4.01, 795000.0, 4.01, 0.04999999999999982, -0.46999999999999975, 0.30202575313299945, 0.0, 0.5, -0.1, 0.003950617283950621
'2016-08-22', 4.0, 4.08, 3.98, 4.05, 1049400.0, 4.05, -0.1900000000000004, -0.5800000000000001, 0.3020257531329995, 0.0, 0.1, 0.0, 0.004772727272727272
'2016-08-19', 4.19, 4.24, 3.94, 4.0, 1593500.0, 4.0, -0.15999999999999925, -0.46999999999999975, 0.2984480226475328, 0.0, 0.0, 0.0, 0.0003977724741447807
'2016-08-18', 4.35, 4.39, 4.15, 4.18, 1018700.0, 4.18, -0.16999999999999993, -0.23000000000000043, 0.3038830184279616, 0.0, 0.0, 0.0, -0.0024756852343059185
'2016-08-17', 4.52, 4.55, 4.17, 4.35, 1834400.0, 4.35, -0.0600000000000005, -0.10000000000000053, 0.30877607852077316, 0.0, 0.0, 0.0, -0.00489886219974715
