Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 8.34, 8.34, 8.24, 8.24, 27500.0, 8.24, 0.16999999999999993, 0.4399999999999995, 0.2675703438142742, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 8.17, 8.37, 8.16, 8.37, 32900.0, 8.37, -0.09999999999999964, 0.16999999999999993, 0.2630168984854184, 0.0, 0.0, -0.8, 0.020807833537331694
'2016-09-21', 8.27, 8.3, 8.09, 8.15, 76100.0, 8.15, 0.2699999999999996, 0.3899999999999997, 0.262950988251085, 0.0, 0.0, -0.5, 0.004232164449818639
'2016-09-20', 8.0, 8.29, 8.0, 8.25, 27400.0, 8.25, 0.09999999999999964, 0.2400000000000002, 0.2631949003220913, 0.0, 0.0, -0.1, 0.01416666666666666
'2016-09-19', 7.9, 8.04, 7.89, 8.0, 93000.0, 8.0, -0.09999999999999964, -0.15000000000000036, 0.27231517687333473, 0.0, 0.1, 0.0, 0.013924050632911376
'2016-09-16', 8.0, 8.01, 7.89, 7.9, 228200.0, 7.9, 0.1200000000000001, -0.22000000000000064, 0.28419476889391665, 0.0, 0.5, 0.0, 0.008499999999999997
'2016-09-15', 7.88, 8.0, 7.87, 7.98, 18700.0, 7.98, 0.1200000000000001, -0.40999999999999925, 0.2973430491686142, 0.0, 0.8, 0.0, 0.009729272419627748
'2016-09-14', 7.76, 7.95, 7.76, 7.83, 43700.0, 7.83, -0.2900000000000009, -0.5500000000000007, 0.3081449875194035, 1.0, 1.0, 0.0, 0.010677466863033875
'2016-09-13', 8.05, 8.08, 7.84, 7.9, 107100.0, 7.9, -0.16999999999999993, -0.09999999999999964, 0.31134279072002513, 0.0, 0.8, 0.0, 0.0045031055900620984
'2016-09-12', 8.22, 8.22, 8.04, 8.13, 72600.0, 8.13, -0.06999999999999851, 0.08999999999999986, 0.31052088854410786, 0.0, 0.5, 0.0, 0.0016220600162205896
'2016-09-09', 8.29, 8.41, 8.2, 8.22, 41500.0, 8.22, -0.02000000000000135, 0.06999999999999851, 0.301779168708953, 0.0, 0.1, 0.0, 0.0006031363088057987
'2016-09-08', 8.31, 8.37, 8.21, 8.37, 28500.0, 8.37, 0.16000000000000014, 0.16999999999999993, 0.2963948192679638, 0.0, 0.0, -0.1, 0.0003281916639317291
'2016-09-07', 8.15, 8.29, 8.07, 8.24, 41500.0, 8.24, 0.019999999999999574, -0.019999999999999574, 0.2944478825795077, 0.0, 0.0, -0.5, 0.0019427402862985633
'2016-09-06', 8.13, 8.18, 8.07, 8.09, 33700.0, 8.09, -0.08999999999999986, 0.02000000000000135, 0.29439297244027796, 0.0, 0.0, -0.8, 0.0019869429463525313
'2016-09-02', 8.22, 8.22, 8.03, 8.11, 74800.0, 8.11, 0.08000000000000007, 0.2400000000000002, 0.2914692665330829, -1.0, 0.0, -1.0, 0.0
'2016-09-01', 8.14, 8.25, 8.1, 8.19, 50500.0, 8.19, -0.02999999999999936, 0.17000000000000082, 0.28026277352196133, 0.0, 0.0, -0.8, 0.009828009828009836
'2016-08-31', 8.17, 8.19, 8.1, 8.16, 75700.0, 8.16, 0.0600000000000005, 0.29000000000000004, 0.26795439081223416, 0.0, 0.0, -0.5, 0.003059975520195882
'2016-08-30', 8.11, 8.18, 8.09, 8.11, 130100.0, 8.11, 0.129999999999999, 0.3699999999999992, 0.24956495480468932, 0.0, 0.0, -0.1, 0.004521167283189528
'2016-08-29', 7.98, 8.18, 7.96, 8.09, 63100.0, 8.09, 0.010000000000000675, 0.3200000000000003, 0.22952245109260128, 0.0, 0.0, 0.0, 0.0075187969924812095
'2016-08-26', 7.97, 8.0, 7.92, 7.98, 16200.0, 7.98, 0.08999999999999986, 0.45999999999999996, 0.21698054188234378, 0.0, 0.0, 0.0, 0.00627352572145548
'2016-08-25', 7.88, 7.99, 7.78, 7.95, 38600.0, 7.95, 0.13999999999999968, 0.2999999999999998, 0.19845542460601964, 0.0, 0.1, 0.0, 0.007191201353637917
'2016-08-24', 7.74, 7.9, 7.71, 7.86, 26300.0, 7.86, 0.08000000000000007, 0.1800000000000006, 0.18582578460004476, 0.0, 0.5, 0.0, 0.008859357696567007
'2016-08-23', 7.66, 7.78, 7.66, 7.71, 42100.0, 7.71, 0.15000000000000036, 0.04999999999999982, 0.1839411137656107, 0.0, 0.8, 0.0, 0.009138381201044394
'2016-08-22', 7.51, 7.65, 7.51, 7.65, 27200.0, 7.65, -0.07000000000000028, -0.020000000000000462, 0.21149757025134408, 1.0, 1.0, 0.0, 0.010504512501849398
'2016-08-19', 7.58, 7.65, 7.52, 7.53, 48500.0, 7.53, 0.020000000000000462, 0.04999999999999982, 0.23082364600611338, 0.0, 0.8, 0.0, 0.008443271767810035
'2016-08-18', 7.56, 7.73, 7.54, 7.61, 48000.0, 7.61, -0.05000000000000071, -0.03000000000000025, 0.24711580730949248, 0.0, 0.5, 0.0, 0.00793650793650795
'2016-08-17', 7.61, 7.65, 7.46, 7.59, 14200.0, 7.59, 0.08000000000000007, -0.009999999999999787, 0.2550095858764703, 0.0, 0.1, 0.0, 0.006679807271134475
'2016-08-16', 7.53, 7.65, 7.45, 7.64, 41100.0, 7.64, 0.0, -0.1200000000000001, 0.26128315844862426, 0.0, 0.0, 0.0, 0.007048728164266017
'2016-08-15', 7.53, 7.63, 7.45, 7.54, 21900.0, 7.54, -0.05999999999999961, 0.03000000000000025, 0.26660749343474116, 0.0, 0.0, -0.1, 0.006545247581104158
'2016-08-12', 7.59, 7.6, 7.36, 7.54, 22700.0, 7.54, -0.03000000000000025, 0.1299999999999999, 0.2718373696818661, 0.0, 0.0, -0.5, 0.005533596837944671
'2016-08-11', 7.62, 7.68, 7.55, 7.65, 58900.0, 7.65, -0.03000000000000025, 0.21999999999999975, 0.2823087356463172, 0.0, 0.1, -0.8, 0.004921259842519689
'2016-08-10', 7.65, 7.65, 7.21, 7.63, 22000.0, 7.63, 0.15000000000000036, 0.33000000000000007, 0.2885405806237082, -1.0, 0.5, -1.0, 0.0
'2016-08-09', 7.5, 7.75, 7.5, 7.68, 61000.0, 7.68, 0.040000000000000036, 0.13999999999999968, 0.280539955561889, 0.0, 0.8, -0.8, 0.02000000000000005
'2016-08-08', 7.46, 7.5, 7.45, 7.5, 27000.0, 7.5, 0.05999999999999961, -0.08999999999999986, 0.2765252650703407, 1.0, 1.0, -0.5, 0.01273458445040217
'2016-08-05', 7.4, 7.63, 7.4, 7.44, 72800.0, 7.44, 0.08000000000000007, -0.14999999999999947, 0.2735342757315799, 0.0, 0.8, -0.1, 0.011261261261261259
'2016-08-04', 7.32, 7.49, 7.31, 7.41, 101200.0, 7.41, -0.040000000000000036, -0.22999999999999954, 0.26694756039342254, 0.0, 0.5, -0.5, 0.01127049180327869
'2016-08-03', 7.36, 7.41, 7.34, 7.34, 75300.0, 7.34, -0.1899999999999995, 0.08000000000000007, 0.26301436378181997, 0.0, 0.1, -0.8, 0.007880434782608695
'2016-08-02', 7.55, 7.57, 7.31, 7.39, 74300.0, 7.39, 0.0, 0.4299999999999997, 0.2576862864457909, -1.0, 0.0, -1.0, 0.0
'2016-08-01', 7.55, 7.6, 7.53, 7.55, 70000.0, 7.55, 0.0, 0.3700000000000001, 0.24311771268713064, 0.0, 0.1, -0.8, 0.0
'2016-07-29', 7.55, 7.63, 7.5, 7.55, 75100.0, 7.55, 0.2699999999999996, 0.35999999999999943, 0.2243382862256611, 0.0, 0.5, -0.5, 0.0
