Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-21', 15.34, 15.42, 15.07, 15.09, 23900.0, 15.09, 0.08999999999999986, 0.23000000000000043, 0.2733056896590336, -1.0, 0.1, -1.0, 0.0
'2016-09-20', 15.25, 15.25, 15.15, 15.25, 24800.0, 15.192, 0.16000000000000014, 0.009999999999999787, 0.2795639461733219, 0.0, 0.5, -0.8, 0.0059016393442622855
'2016-09-19', 15.09, 15.12, 15.04, 15.12, 15800.0, 15.062495, 0.1999999999999993, -0.16999999999999993, 0.28590208113967974, 0.0, 0.8, -0.5, 0.00828363154406892
'2016-09-16', 14.89, 15.02, 14.8, 14.98, 23800.0, 14.923027, -0.21999999999999886, -0.1899999999999995, 0.28289790070310217, 1.0, 1.0, -0.1, 0.010073875083948943
'2016-09-15', 15.11, 15.11, 14.73, 14.76, 24400.0, 14.703864, -0.13000000000000078, -0.040000000000000924, 0.27116702519951724, 0.0, 0.8, -0.5, 0.0038054268696227737
'2016-09-14', 15.24, 15.24, 15.11, 15.14, 15400.0, 15.082419, -0.019999999999999574, 0.21000000000000085, 0.27116702519951724, 0.0, 0.5, -0.8, 0.0013123359580052446
'2016-09-13', 15.26, 15.26, 15.1, 15.18, 31700.0, 15.122267, 0.17999999999999972, 0.11999999999999922, 0.2747784966517982, -1.0, 0.1, -1.0, 0.0
'2016-09-12', 15.08, 15.29, 15.01, 15.12, 31600.0, 15.062495, -0.07000000000000028, -0.08999999999999986, 0.2921949501426897, 0.0, 0.5, -0.8, 0.011936339522546401
'2016-09-09', 15.15, 15.15, 14.95, 15.09, 27500.0, 15.032609, 0.120000000000001, 0.040000000000000924, 0.30188666011527504, 0.0, 0.8, -0.5, 0.0036303630363036113
'2016-09-08', 15.03, 15.31, 14.98, 15.11, 64400.0, 15.052533, -0.11000000000000121, -0.6500000000000004, 0.32677566208843245, 1.0, 1.0, -0.1, 0.005100909292526069
'2016-09-07', 15.14, 15.21, 15.04, 15.13, 39400.0, 15.072457, -0.02999999999999936, -0.8200000000000003, 0.35280479336627824, 0.0, 0.8, 0.0, 0.0019815059445178205
'2016-09-06', 15.17, 15.22, 15.09, 15.11, 25200.0, 15.052533, 0.0600000000000005, -0.6999999999999993, 0.3816410471750765, 0.0, 0.5, 0.0, 0.0011865524060645995
'2016-09-02', 15.11, 15.18, 15.04, 15.13, 38900.0, 15.072457, -0.5700000000000003, -0.7599999999999998, 0.4114505505593055, 0.0, 0.1, 0.0, 0.0016545334215751198
'2016-09-01', 15.68, 15.68, 15.03, 15.03, 118800.0, 14.972837, -0.28000000000000114, -0.05000000000000071, 0.4392852781001836, 0.0, 0.0, 0.0, -0.0038265306122448974
'2016-08-31', 15.96, 15.96, 15.53, 15.58, 74400.0, 15.520745, 0.09000000000000163, 0.2400000000000002, 0.45907394708139226, 0.0, 0.0, 0.0, -0.0054824561403508856
'2016-08-30', 15.87, 15.98, 15.81, 15.9, 40500.0, 15.839528, 0.0, 0.049999999999998934, 0.4602096140769865, 0.0, 0.0, 0.0, -0.00427081145417629
'2016-08-29', 15.87, 15.88, 15.64, 15.8, 25800.0, 15.739909, 0.1399999999999988, 0.46999999999999886, 0.46321341373784364, 0.0, 0.0, 0.0, -0.0038437303087586606
'2016-08-26', 15.73, 15.76, 15.61, 15.62, 35700.0, 15.560593, 0.009999999999999787, 0.3100000000000005, 0.4670712531890136, 0.0, 0.0, 0.0, -0.002716291972490323
'2016-08-25', 15.72, 15.81, 15.68, 15.73, 31200.0, 15.670174, -0.09999999999999964, 0.370000000000001, 0.4669670461844415, 0.0, 0.0, 0.0, -0.0024385072094995804
'2016-08-24', 15.82, 15.82, 15.65, 15.67, 21800.0, 15.610403, 0.41999999999999993, 0.47000000000000064, 0.4637868284268347, 0.0, 0.0, 0.0, -0.0027229407760381236
'2016-08-23', 15.4, 15.84, 15.4, 15.84, 47700.0, 15.779757, -0.019999999999999574, 0.0600000000000005, 0.4459651207088833, 0.0, 0.0, 0.0, -0.000649350649350652
'2016-08-22', 15.42, 15.42, 15.29, 15.42, 22200.0, 15.361354, 0.07000000000000028, 0.08999999999999986, 0.44315046353731063, 0.0, 0.0, 0.0, -0.0006917423259835717
'2016-08-19', 15.35, 15.43, 15.29, 15.42, 39600.0, 15.361354, 0.0, 0.019999999999999574, 0.4371382949238019, 0.0, 0.0, 0.0, -0.0003664495114006509
'2016-08-18', 15.35, 15.35, 15.26, 15.28, 30200.0, 15.221886, 0.009999999999999787, -0.009999999999999787, 0.43317958811046886, 0.0, 0.0, 0.0, -0.0003448936577888479
'2016-08-17', 15.34, 15.36, 15.2, 15.28, 32300.0, 15.221886, 0.009999999999999787, 0.02999999999999936, 0.43124316419703007, 0.0, 0.0, -0.1, -0.0002897291032884256
'2016-08-16', 15.33, 15.33, 15.25, 15.32, 26400.0, 15.203954, 0.0, -0.009999999999999787, 0.4306037105687264, 0.0, 0.0, -0.5, -0.0002403268445085326
'2016-08-15', 15.33, 15.4, 15.23, 15.25, 32600.0, 15.134484, -0.02999999999999936, 0.2900000000000009, 0.4236633883953942, 0.0, 0.0, -0.8, -0.00022831050228310594
'2016-08-12', 15.36, 15.43, 15.17, 15.18, 29700.0, 15.065015, 0.049999999999998934, 0.34999999999999964, 0.41195860094054215, -1.0, 0.0, -1.0, 0.0
'2016-08-11', 15.31, 15.38, 15.26, 15.31, 22200.0, 15.19403, -0.02999999999999936, 0.08999999999999986, 0.3944082769021068, 0.0, 0.1, -0.8, 0.0032658393207053516
'2016-08-10', 15.34, 15.42, 15.21, 15.34, 31000.0, 15.223803, 0.3000000000000007, 0.14000000000000057, 0.3794131433323486, 0.0, 0.5, -0.5, 0.0006518904823989431
'2016-08-09', 15.04, 15.36, 14.95, 15.28, 22200.0, 15.164257, 0.02999999999999936, -0.07000000000000028, 0.3538557458751926, 0.0, 0.8, -0.1, 0.0070921985815602905
'2016-08-08', 15.01, 15.15, 14.95, 14.95, 39800.0, 14.836757, -0.21000000000000085, -0.08000000000000007, 0.3475215420980723, 1.0, 1.0, 0.0, 0.005829447035309788
'2016-08-05', 15.22, 15.22, 14.97, 15.02, 47800.0, 14.906227, 0.02000000000000135, 0.41999999999999993, 0.34246248780787003, 0.0, 0.8, 0.0, 0.0018396846254927566
'2016-08-04', 15.2, 15.28, 15.05, 15.17, 84600.0, 15.05509, 0.08999999999999986, 0.34999999999999964, 0.315712421886332, 0.0, 0.5, 0.0, 0.0017543859649122825
'2016-08-03', 15.11, 15.26, 15.04, 15.23, 33200.0, 15.114635, 0.019999999999999574, 0.4900000000000002, 0.28288670680837735, 0.0, 0.1, 0.0, 0.002363619173678737
'2016-08-02', 15.09, 15.14, 15.03, 15.09, 42900.0, 14.975696, 0.28999999999999915, 0.5600000000000005, 0.25116373588203816, 0.0, 0.0, 0.0, 0.002236580516898605
'2016-08-01', 14.8, 15.18, 14.78, 15.16, 52400.0, 15.045166, -0.049999999999998934, 0.3200000000000003, 0.21138800554640966, 0.0, 0.0, 0.0, 0.004204204204204194
'2016-07-29', 14.85, 14.88, 14.79, 14.86, 20300.0, 14.747438, 0.23000000000000043, 0.4299999999999997, 0.19850664696399686, 0.0, 0.0, 0.0, 0.003434343434343433
'2016-07-28', 14.62, 14.89, 14.61, 14.84, 33800.0, 14.72759, 0.08999999999999986, 0.22999999999999865, 0.16900493089453542, 0.0, 0.0, 0.0, 0.004601417734112674
'2016-07-27', 14.53, 14.67, 14.51, 14.56, 28500.0, 14.449711, 0.049999999999998934, 0.1899999999999995, 0.15871322846218242, 0.0, 0.0, 0.0, 0.004760266116081671
'2016-07-26', 14.48, 14.52, 14.45, 14.5, 46200.0, 14.390165, 0.0600000000000005, 0.14000000000000057, 0.15143939014962032, 0.0, 0.0, 0.0, 0.004674883127921797
'2016-07-25', 14.42, 14.46, 14.4, 14.44, 21600.0, 14.33062, 0.02999999999999936, 0.13000000000000078, 0.14461289323185852, 0.0, 0.0, 0.0, 0.004656231424608676
'2016-07-22', 14.39, 14.42, 14.34, 14.41, 21800.0, 14.300847, 0.05000000000000071, 0.22000000000000064, 0.13892443989449815, 0.0, 0.0, 0.0, 0.00449386147787815
'2016-07-21', 14.34, 14.38, 14.28, 14.35, 32800.0, 14.241302, 0.0, 0.07000000000000028, 0.13498518437221182, 0.0, 0.0, 0.0, 0.004445606694560668
'2016-07-20', 14.34, 14.36, 14.27, 14.29, 16400.0, 14.181756, 0.05000000000000071, 0.09999999999999964, 0.13601838111078965, 0.0, 0.0, 0.0, 0.00418410041841004
'2016-07-19', 14.29, 14.34, 14.29, 14.34, 22900.0, 14.173817, 0.11999999999999922, -0.010000000000001563, 0.13423859355639875, 0.0, 0.0, 0.0, 0.004159863152165463
'2016-07-18', 14.17, 14.27, 14.15, 14.27, 19100.0, 14.104629, -0.09999999999999964, -0.22000000000000064, 0.13821923004978576, 0.0, 0.0, 0.0, 0.004420012628607508
'2016-07-15', 14.27, 14.29, 14.14, 14.17, 31900.0, 14.005787, 0.02999999999999936, -0.11000000000000121, 0.14743322405603015, 0.0, 0.0, -0.1, 0.0038192011212333566
'2016-07-14', 14.24, 14.24, 14.16, 14.21, 28300.0, 14.045324, -0.0600000000000005, -0.08999999999999986, 0.15100441494649539, 0.0, 0.0, -0.5, 0.003745318352059922
'2016-07-13', 14.3, 14.39, 14.19, 14.21, 24300.0, 14.045324, -0.08999999999999986, 0.10000000000000142, 0.15594194076286502, 0.0, 0.0, -0.8, 0.003369357914812456
'2016-07-12', 14.39, 14.4, 14.18, 14.26, 50200.0, 14.094745, 0.009999999999999787, 0.2900000000000009, 0.15658189195717642, -1.0, 0.0, -1.0, 0.0
'2016-07-11', 14.38, 14.38, 14.28, 14.36, 84000.0, 14.193585, 0.05000000000000071, 0.21000000000000085, 0.15142288099520781, 0.0, 0.1, -0.8, 0.0006954102920723078
'2016-07-08', 14.33, 14.38, 14.3, 14.36, 22900.0, 14.193585, 0.13000000000000078, 0.13000000000000078, 0.14335232432328693, 0.0, 0.5, -0.5, 0.0020935101186322575
'2016-07-07', 14.2, 14.31, 14.18, 14.28, 28000.0, 14.114512, 0.09999999999999964, 0.0, 0.1347771823747953, 0.0, 0.8, -0.1, 0.004460093896713645
'2016-07-06', 14.1, 14.23, 14.08, 14.2, 39000.0, 14.03544, -0.07000000000000028, 0.009999999999999787, 0.1360228738934087, 1.0, 1.0, 0.0, 0.005141843971631222
'2016-07-05', 14.17, 14.17, 14.05, 14.06, 24000.0, 13.897063, -0.02999999999999936, -0.009999999999999787, 0.141231095096732, 0.0, 0.8, 0.0, 0.0031051517290049493
'2016-07-01', 14.2, 14.2, 14.12, 14.12, 25200.0, 13.956367, 0.0, 0.1399999999999988, 0.13680846302606975, 0.0, 0.5, 0.0, 0.0022300469483568226
'2016-06-30', 14.2, 14.2, 14.15, 14.18, 39500.0, 14.015672, 0.10999999999999943, 0.20999999999999908, 0.1312034044273748, 0.0, 0.1, 0.0, 0.0019114688128772767
'2016-06-29', 14.09, 14.2, 14.09, 14.18, 32300.0, 14.015672, -0.08999999999999986, 0.02999999999999936, 0.12238418561598899, 0.0, 0.0, 0.0, 0.002661462029808381
'2016-06-28', 14.18, 14.18, 14.04, 14.06, 36700.0, 13.897063, 0.11999999999999922, 0.10999999999999943, 0.11851863425920257, 0.0, 0.0, 0.0, 0.001645510108133528
'2016-06-27', 14.06, 14.06, 13.91, 14.06, 32600.0, 13.897063, 0.07000000000000028, 0.02000000000000135, 0.10825073774447075, 0.0, 0.0, -0.1, 0.002347083926031295
'2016-06-24', 13.99, 14.0, 13.87, 13.98, 29800.0, 13.817989, -0.07000000000000028, -0.049999999999998934, 0.10515649713112761, 0.0, 0.0, -0.5, 0.0025992592111248316
'2016-06-23', 14.06, 14.06, 13.98, 14.02, 41100.0, 13.857526, -0.009999999999999787, 0.14000000000000057, 0.1051564971311276, 0.0, 0.0, -0.8, 0.0019559032716927457
'2016-06-22', 14.07, 14.07, 14.01, 14.02, 24000.0, 13.857526, 0.030000000000001137, 0.040000000000000924, 0.10235884589684119, -1.0, 0.1, -1.0, 0.0
'2016-06-21', 14.04, 14.06, 14.01, 14.04, 51800.0, 13.877294, 0.0, 0.06999999999999851, 0.09753916592266326, 0.0, 0.5, -0.8, 0.002136752136752218
'2016-06-20', 14.04, 14.04, 13.99, 14.0, 18200.0, 13.837757, 0.11999999999999922, 0.049999999999998934, 0.09357350052231646, 0.0, 0.8, -0.5, 0.001068376068376109
'2016-06-17', 13.92, 14.08, 13.92, 13.99, 21500.0, 13.827873, -0.10999999999999943, -0.08999999999999986, 0.08890444308357129, 1.0, 1.0, -0.1, 0.0035919540229885144
'2016-06-16', 14.03, 14.03, 13.93, 13.94, 39800.0, 13.778452, 0.05999999999999872, -0.009999999999999787, 0.08888756943465136, 0.0, 0.8, 0.0, 0.0007127583749109217
'2016-06-15', 13.97, 13.98, 13.9, 13.96, 29500.0, 13.798221, -0.019999999999999574, -0.02999999999999936, 0.08397155603073099, 0.0, 0.5, -0.1, 0.0014316392269148122
'2016-06-14', 13.99, 13.99, 13.96, 13.98, 18400.0, 13.76066, -0.019999999999999574, 0.07000000000000028, 0.08286870472151833, 0.0, 0.1, -0.5, 0.0009530617107457716
'2016-06-13', 14.01, 14.01, 13.94, 13.98, 21300.0, 13.76066, -0.02999999999999936, 0.0600000000000005, 0.08003054972252069, 0.0, 0.0, -0.8, 0.0006118078923218161
'2016-06-10', 14.04, 14.04, 13.95, 13.96, 22400.0, 13.740975, 0.03999999999999915, 0.17999999999999972, 0.07606722173329451, -1.0, 0.0, -1.0, 0.0
'2016-06-09', 14.0, 14.0, 13.93, 13.98, 22300.0, 13.76066, 0.08000000000000007, 0.1899999999999995, 0.06712840101046802, 0.0, 0.0, -0.8, 0.0028571428571427964
'2016-06-08', 13.92, 13.96, 13.89, 13.96, 77100.0, 13.740975, -0.02999999999999936, 0.08999999999999986, 0.06031767752675995, 0.0, 0.0, -0.5, 0.004310344827586179
'2016-06-07', 13.95, 13.98, 13.91, 13.98, 34600.0, 13.76066, 0.08999999999999986, 0.14999999999999858, 0.059244315245337006, 0.0, 0.0, -0.1, 0.002150537634408599
'2016-06-06', 13.86, 13.95, 13.86, 13.95, 26800.0, 13.731131, 0.049999999999998934, 0.05999999999999872, 0.06076914421718376, 0.0, 0.0, 0.0, 0.0032467532467532418
'2016-06-03', 13.81, 13.96, 13.81, 13.84, 21400.0, 13.622858, -0.019999999999999574, 0.05000000000000071, 0.07203702751594716, 0.0, 0.0, 0.0, 0.0033309196234612404
'2016-06-02', 13.83, 13.87, 13.78, 13.79, 49800.0, 13.573642, 0.02999999999999936, 0.0600000000000005, 0.08232995944504175, 0.0, 0.0, 0.0, 0.0025307302964569663
'2016-06-01', 13.8, 13.84, 13.79, 13.8, 28500.0, 13.583485, 0.0, 0.0, 0.09397635636454278, 0.0, 0.0, 0.0, 0.0024844720496894246
'2016-05-31', 13.8, 13.9, 13.75, 13.9, 69900.0, 13.681916, 0.040000000000000924, 0.0600000000000005, 0.09853876845632316, 0.0, 0.0, 0.0, 0.0021739130434782466
'2016-05-27', 13.76, 13.79, 13.76, 13.79, 23800.0, 13.573642, -0.009999999999999787, 0.03999999999999915, 0.10974161572631508, 0.0, 0.0, 0.0, 0.0022609819121446975
'2016-05-26', 13.77, 13.77, 13.74, 13.74, 32800.0, 13.524426, -0.030000000000001137, -0.08999999999999986, 0.12739309243440158, 0.0, 0.1, 0.0, 0.001960784313725487
'2016-05-25', 13.8, 13.8, 13.74, 13.75, 29600.0, 13.534269, 0.0600000000000005, 0.0, 0.14196087097819904, 0.0, 0.5, 0.0, 0.0015810276679841793
'2016-05-24', 13.74, 13.79, 13.71, 13.77, 55100.0, 13.553956, 0.019999999999999574, -0.11999999999999922, 0.15402885732514174, 0.0, 0.8, 0.0, 0.0018195050946142586
'2016-05-23', 13.72, 13.75, 13.69, 13.71, 37000.0, 13.494897, -0.1399999999999988, -0.1999999999999993, 0.16406672084517587, 1.0, 1.0, 0.0, 0.0017941242431038264
'2016-05-20', 13.86, 13.86, 13.73, 13.73, 40700.0, 13.514583, 0.05999999999999872, -0.0600000000000005, 0.17799625464224428, 0.0, 0.8, 0.0, 0.0009276437847866405
'2016-05-19', 13.8, 13.8, 13.67, 13.79, 69400.0, 13.573642, -0.05999999999999872, -0.049999999999998934, 0.1804069473902451, 0.0, 0.5, 0.0, 0.0011594202898550648
'2016-05-18', 13.86, 13.88, 13.71, 13.85, 33900.0, 13.632701, -0.0600000000000005, -0.13000000000000078, 0.18155623554884218, 0.0, 0.1, 0.0, 0.0008116883116883104
'2016-05-17', 13.92, 13.92, 13.83, 13.86, 30300.0, 13.585453, 0.0, 0.10999999999999943, 0.18060423275463086, 0.0, 0.0, 0.0, 0.000507099391480727
'2016-05-16', 13.92, 13.92, 13.82, 13.86, 38100.0, 13.585453, 0.07000000000000028, 0.08000000000000007, 0.17868190233546935, 0.0, 0.0, 0.0, 0.000478927203065131
'2016-05-13', 13.85, 13.89, 13.82, 13.85, 35000.0, 13.575652, -0.14000000000000057, 0.0, 0.17532319362315477, 0.0, 0.0, 0.0, 0.0007220216606498177
'2016-05-12', 13.99, 13.99, 13.8, 13.83, 41400.0, 13.556048, 0.17999999999999972, 0.13000000000000078, 0.17344739836619052, 0.0, 0.0, 0.0, 0.0001786990707648282
'2016-05-11', 13.81, 13.89, 13.79, 13.83, 29500.0, 13.556048, -0.02999999999999936, -0.019999999999999574, 0.17013589339766672, 0.0, 0.0, 0.0, 0.0007930761008241049
'2016-05-10', 13.84, 13.85, 13.8, 13.82, 30100.0, 13.546246, -0.009999999999999787, -0.02999999999999936, 0.1736410729701421, 0.0, 0.0, 0.0, 0.0006568575932737759
'2016-05-09', 13.85, 13.86, 13.8, 13.83, 34300.0, 13.556048, -0.009999999999999787, 0.0600000000000005, 0.17599116139422705, 0.0, 0.0, -0.1, 0.0005964526761889797
'2016-05-06', 13.86, 13.87, 13.8, 13.83, 53900.0, 13.556048, 0.02999999999999936, 0.05999999999999872, 0.1799509192344772, 0.0, 0.0, -0.5, 0.0005411255411255403
'2016-05-05', 13.83, 13.85, 13.79, 13.79, 24100.0, 13.51684, -0.03999999999999915, 0.0600000000000005, 0.17645931227591502, 0.0, 0.0, -0.8, 0.000607375271149672
'2016-05-04', 13.87, 13.87, 13.8, 13.8, 37300.0, 13.526642, 0.08000000000000007, 0.02999999999999936, 0.17550561877678506, -1.0, 0.1, -1.0, 0.0
'2016-05-03', 13.79, 13.81, 13.74, 13.81, 40000.0, 13.536445, -0.010000000000001563, -0.030000000000001137, 0.1698116603770189, 0.0, 0.5, -0.8, 0.005801305293691086
'2016-05-02', 13.8, 13.84, 13.78, 13.79, 21400.0, 13.51684, 0.030000000000001137, 0.030000000000001137, 0.1669610733075228, 0.0, 0.8, -0.5, 0.0025362318840579166
