Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 54.630001, 54.790001, 53.080002, 53.43, 316200.0, 53.43, 0.5700000000000003, 0.030003000000000668, 0.9648384901118989, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 54.060001, 54.68, 53.599998, 54.59, 360300.0, 54.59, 1.6200019999999995, -0.5099990000000005, 0.9841434219333978, 0.0, 0.8, -0.8, 0.010543839982540886
'2016-09-27', 52.439999, 53.669998, 52.439999, 53.66, 250800.0, 53.66, -1.2100030000000004, -1.5200000000000031, 0.9967538741787335, 1.0, 1.0, -0.5, 0.020881026332590126
'2016-09-26', 53.650002, 53.790001, 52.860001, 52.880001, 278300.0, 52.880001, -0.9499959999999987, -0.04999899999999968, 1.0266214779672438, 0.0, 0.8, -0.8, 0.006088841028064325
'2016-09-23', 54.599998, 55.169998, 54.189999, 54.209999, 246600.0, 54.209999, 0.02999799999999908, 1.519995999999999, 1.0998173477553344, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 54.57, 55.119999, 54.310001, 54.889999, 534700.0, 54.889999, 0.6100009999999969, 1.9399990000000003, 1.1355512036603994, 0.0, 0.1, -0.8, 0.0005497159611507986
'2016-09-21', 53.959999, 54.580002, 53.5, 54.310001, 356100.0, 54.310001, 0.25999800000000306, 1.3999980000000036, 1.136741024489239, 0.0, 0.0, -0.5, 0.005930309598411927
'2016-09-20', 53.700001, 53.939999, 53.41, 53.5, 187800.0, 53.5, 0.619999, 0.7999989999999997, 1.140259549479427, 0.0, 0.1, -0.1, 0.005586573452763989
'2016-09-19', 53.080002, 53.880001, 52.860001, 53.52, 292400.0, 53.52, 0.4500010000000003, -0.2899969999999996, 1.1439879194298184, 0.0, 0.5, 0.0, 0.0071589861658256865
'2016-09-16', 52.630001, 53.330002, 52.189999, 52.970001, 977500.0, 52.970001, 0.07000000000000028, -1.2799989999999966, 1.1670155689055302, 0.0, 0.8, 0.0, 0.007486213044153273
'2016-09-15', 52.560001, 53.610001, 52.560001, 53.18, 228800.0, 53.18, -0.3400010000000009, -2.5200010000000006, 1.325660280162755, 1.0, 1.0, 0.0, 0.006468787928676028
'2016-09-14', 52.900002, 53.779999, 52.599998, 52.68, 273300.0, 52.68, -0.46999699999999933, -1.9799989999999994, 1.4688317282948862, 0.0, 0.8, 0.0, 0.0045908612901105605
'2016-09-13', 53.369999, 53.759998, 52.689999, 53.450001, 331500.0, 53.15, -0.5400009999999966, -0.9900019999999969, 1.5776066104919377, 0.0, 0.5, 0.0, 0.0028808296398881313
'2016-09-12', 53.91, 54.400002, 53.380001, 54.279999, 368000.0, 53.97534, -1.1700020000000038, -2.25, 1.6378628645487576, 0.0, 0.1, 0.0, 0.0014221191698097712
'2016-09-09', 55.080002, 55.43, 54.5, 54.5, 528400.0, 54.194106, 0.20000100000000032, -0.25999800000000306, 1.6550558438517686, 0.0, 0.0, 0.0, -0.0008714669255095542
'2016-09-08', 54.880001, 55.599998, 54.740002, 55.07, 526300.0, 54.760907, 0.5200000000000031, -0.8499989999999968, 1.641071168170677, 0.0, 0.0, 0.0, -0.0004638268534619422
'2016-09-07', 54.360001, 55.669998, 54.360001, 54.869999, 443400.0, 54.562028, -1.7999989999999997, -1.380001, 1.617987951775264, 0.0, 0.0, 0.0, 0.0003679129807227231
'2016-09-06', 56.16, 56.220001, 54.099998, 54.75, 364000.0, 54.442703, 0.8199999999999932, 0.7299999999999969, 1.6036561112522323, 0.0, 0.0, 0.0, -0.0021367548761779495
'2016-09-02', 55.34, 55.98, 54.630001, 55.970001, 252900.0, 55.655857, -0.38999999999999346, 0.8400000000000034, 1.504729432334751, 0.0, 0.0, 0.0, -0.0009551370747070113
'2016-09-01', 55.73, 56.130001, 54.209999, 54.98, 159500.0, 54.671412, -0.010002000000000066, 1.6300019999999975, 1.4442643495800187, 0.0, 0.0, 0.0, -0.0013517578802559934
'2016-08-31', 55.740002, 56.27, 54.779999, 55.470001, 346000.0, 55.158663, 0.3100019999999972, 2.1500019999999935, 1.3526845331500488, 0.0, 0.0, 0.0, -0.0012782606286953462
'2016-08-30', 55.43, 55.77, 55.220001, 55.650002, 235600.0, 55.337653, 0.9299999999999997, 1.9299999999999997, 1.2504683472296951, 0.0, 0.0, 0.0, -0.0008808162918784693
'2016-08-29', 54.5, 55.540001, 54.5, 55.220001, 325400.0, 54.910066, 0.40000200000000063, 0.6399990000000031, 1.1540436946672827, 0.0, 0.0, 0.0, 0.00010193476044852127
'2016-08-26', 54.099998, 54.75, 53.889999, 54.549999, 321100.0, 54.243825, 0.509997999999996, 0.7299989999999994, 1.114056446306432, 0.0, 0.0, 0.0, 0.0004864286589009525
'2016-08-25', 53.59, 54.200001, 53.59, 53.84, 129700.0, 53.537811, 0.09000000000000341, -0.32999799999999624, 1.1048460043328114, 0.0, 0.0, 0.0, 0.0009423381227840976
'2016-08-24', 53.5, 53.889999, 53.419998, 53.700001, 133300.0, 53.398597, -0.3600009999999969, 0.11999899999999997, 1.1056655456336313, 0.0, 0.0, -0.1, 0.000979081441922563
'2016-08-23', 53.860001, 54.0, 53.5, 53.580002, 190400.0, 53.279272, 0.49000199999999694, 0.9900019999999969, 1.1014908183312395, 0.0, 0.0, -0.5, 0.0006245121917604009
'2016-08-22', 53.369999, 53.889999, 53.220001, 53.529999, 127800.0, 53.229549, -0.5499989999999997, 0.20999900000000338, 1.1163918692531978, 0.0, 0.0, -0.8, 0.0010020277008306543
'2016-08-19', 53.919998, 54.439999, 53.490002, 53.689999, 300400.0, 53.388651, 0.5399969999999996, 1.9799989999999994, 1.2118130367443285, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 53.380001, 54.18, 53.07, 54.049999, 263800.0, 53.746631, 0.5100020000000001, 1.6000020000000035, 1.3073254381884023, 0.0, 0.0, -0.8, 0.010116091979840907
'2016-08-17', 52.869999, 53.799999, 52.869999, 53.290001, 182200.0, 52.990898, -0.2900009999999966, 0.6799999999999997, 1.520460687774529, 0.0, 0.1, -0.5, 0.009930007753546579
'2016-08-16', 53.16, 53.450001, 52.950001, 53.02, 236500.0, 52.722413, 1.2200009999999963, 0.13000100000000003, 1.7676411675830679, 0.0, 0.5, -0.1, 0.00476547529470782
'2016-08-15', 51.939999, 53.549999, 51.939999, 53.279999, 256800.0, 52.980952, 0.1600000000000037, -1.3300010000000029, 1.800534249790267, 0.0, 0.8, 0.0, 0.009530222555452876
'2016-08-12', 51.779999, 51.939999, 51.299999, 51.73, 170400.0, 51.439653, -0.4100000000000037, -1.4799990000000065, 1.8256679276001673, 1.0, 1.0, -0.1, 0.008265735964962082
'2016-08-11', 52.189999, 52.73, 51.790001, 52.400002, 196900.0, 52.105894, -0.8399999999999963, -0.13000100000000003, 1.8624056917513567, 0.0, 0.8, -0.5, 0.005524682356607567
'2016-08-10', 53.029999, 53.200001, 52.060001, 52.119999, 261000.0, 51.827463, -0.24000100000000657, 2.939998999999993, 1.971949663443952, 0.0, 0.5, -0.8, 0.0023975620720964887
'2016-08-09', 53.27, 53.529999, 52.669998, 53.18, 218200.0, 52.881515, 0.010002000000000066, 3.279998000000006, 2.1710061417593374, -1.0, 0.1, -1.0, 0.0
'2016-08-08', 53.259998, 53.619999, 53.080002, 53.240002, 241500.0, 52.94118, 0.9399980000000028, 2.9499970000000033, 2.27377596259836, 0.0, 0.1, -0.8, 0.00018779572616581898
