Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 26.5, 26.549999, 26.139999, 26.379999, 1025400.0, 26.379999, 0.36000100000000046, 0.36000100000000046, 1.6162399233200857, -1.0, 0.1, -1.0, 0.0
'2016-09-30', 26.139999, 26.65, 25.82, 26.6, 1288600.0, 26.6, 0.2999989999999997, -0.240000000000002, 1.618927068167318, 0.0, 0.5, -0.8, 0.013772035721960068
'2016-09-29', 25.84, 26.41, 25.700001, 26.0, 876400.0, 26.0, 0.38000100000000003, -0.8999999999999986, 1.5962359143519638, 0.0, 0.8, -0.5, 0.012770897832817341
'2016-09-28', 25.459999, 25.99, 25.4, 25.98, 932500.0, 25.98, -0.6799999999999997, -1.1799999999999997, 1.5721354976522097, 1.0, 1.0, -0.1, 0.013616143504169032
'2016-09-27', 26.139999, 26.190001, 25.799999, 25.83, 990800.0, 25.45, -0.240000000000002, -0.06000200000000078, 1.5140901506993698, 0.0, 0.8, 0.0, 0.003443008930490017
'2016-09-26', 26.379999, 26.450001, 26.08, 26.139999, 1189400.0, 25.755439, -0.3600009999999969, -0.44000099999999875, 1.4650589853655607, 0.0, 0.5, 0.0, 0.0009097877524559304
'2016-09-23', 26.74, 27.190001, 26.4, 26.59, 1215600.0, 26.19882, 0.1000009999999989, -0.6000000000000014, 1.4079452153089898, 0.0, 0.1, 0.0, -0.0014958863126402296
'2016-09-22', 26.639999, 26.93, 26.6, 26.83, 922100.0, 26.435289, 0.4399979999999992, -0.5400010000000002, 1.366701402014, 0.0, 0.0, 0.0, -0.00075074541642652
'2016-09-21', 26.200001, 26.450001, 25.67, 26.34, 2097800.0, 25.952498, -0.619999, -0.7899989999999981, 1.3395994805663742, 0.0, 0.0, 0.0, 0.0014312928843017967
'2016-09-20', 26.82, 26.83, 26.1, 26.110001, 1253500.0, 25.725882, -0.5199999999999996, -0.3000009999999982, 1.2746170941372947, 0.0, 0.0, 0.0, -0.001325710497970007
'2016-09-19', 27.34, 27.48, 26.4, 26.620001, 1708800.0, 26.228379, 0.16000000000000014, 0.26000000000000156, 1.2273783132534206, 0.0, 0.0, 0.0, -0.003072421360643745
'2016-09-16', 27.18, 27.32, 26.700001, 27.110001, 1473900.0, 26.71117, 0.19000000000000128, -0.0200010000000006, 1.1788195966588921, 0.0, 0.0, 0.0, -0.0022743996253930016
'2016-09-15', 26.99, 27.6, 26.879999, 27.299999, 619100.0, 26.898374, -0.13000100000000003, -1.149999000000001, 1.1053092996685134, 0.0, 0.0, 0.0, -0.001512906014573294
'2016-09-14', 27.120001, 27.360001, 26.860001, 27.08, 980800.0, 26.681611, 0.040001000000000175, -1.8799990000000015, 0.9986778976117094, 0.0, 0.0, 0.0, -0.0017585686894106126
'2016-09-13', 27.08, 27.360001, 26.799999, 27.030001, 1316100.0, 26.632347, -0.12000100000000202, -2.0900000000000034, 0.8853382608549473, 0.0, 0.0, 0.0, -0.0015298586199620128
