Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 20.139999, 20.23, 19.73, 19.809999, 3544900.0, 19.809999, 0.2299989999999994, 0.3299999999999983, 0.7641950542168204, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 19.91, 20.16, 19.85, 20.139999, 3784200.0, 20.139999, 0.11000100000000046, 0.36000100000000046, 0.7723184863344088, 0.0, 0.0, -0.8, 0.011551933701657429
'2016-09-27', 19.799999, 20.01, 19.709999, 19.889999, 3538400.0, 19.889999, 0.10999800000000093, 0.5099979999999995, 0.7751618289109308, 0.0, 0.0, -0.5, 0.008585859019487826
'2016-09-26', 19.690001, 19.860001, 19.629999, 19.77, 3674300.0, 19.77, -0.11999800000000249, 0.050001999999999214, 0.7652045960108398, 0.0, 0.1, -0.1, 0.0076180459987449265
'2016-09-23', 19.809999, 19.99, 19.719999, 19.809999, 3918400.0, 19.809999, 0.26000000000000156, 0.07999900000000082, 0.7520581398184623, 0.0, 0.5, 0.0, 0.004164563562067801
'2016-09-22', 19.549999, 19.92, 19.459999, 19.860001, 5603400.0, 19.860001, 0.2599979999999995, -0.19000099999999875, 0.7384839253501159, 0.0, 0.8, 0.0, 0.00603580593533534
'2016-09-21', 19.290001, 19.450001, 19.049999, 19.41, 5265200.0, 19.41, -0.34999799999999937, -0.5799999999999983, 0.7071291672361179, 1.0, 1.0, 0.0, 0.0073440293410732965
'2016-09-20', 19.639999, 19.68, 19.1, 19.290001, 6366900.0, 19.290001, -0.09000100000000089, -0.16000000000000014, 0.6470980386828097, 0.0, 0.8, 0.0, 0.003636892824107141
'2016-09-19', 19.73, 20.25, 19.700001, 19.870001, 4408000.0, 19.870001, -0.00999999999999801, -0.35999999999999943, 0.6110861814110866, 0.0, 0.5, 0.0, 0.002597560821084637
'2016-09-16', 19.74, 19.83, 19.42, 19.57, 4480300.0, 19.57, -0.13000100000000003, -0.1399990000000031, 0.5652831224562157, 0.0, 0.1, 0.0, 0.0022514859844647143
'2016-09-15', 19.870001, 20.09, 19.76, 19.99, 2662400.0, 19.9, 0.07000199999999879, -0.8399980000000014, 0.5121338999394418, 0.0, 0.0, 0.0, 0.0013588222768584717
'2016-09-14', 19.799999, 20.0, 19.65, 19.879999, 5473600.0, 19.790495, -0.2900010000000002, -1.2700010000000006, 0.4623037732684537, 0.0, 0.0, 0.0, 0.0015610652762705138
'2016-09-13', 20.09, 20.24, 19.549999, 19.83, 5735800.0, 19.740721, 0.21000099999999833, -0.7099989999999998, 0.39482800018968006, 0.0, 0.0, 0.0, 0.00020739588518334034
'2016-09-12', 19.879999, 20.27, 19.799999, 20.209999, 5878300.0, 20.119009, -0.8299999999999983, -1.020000999999997, 0.34139622343872883, 0.0, 0.0, 0.0, 0.0010060362679092613
