Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 9.42, 9.45, 9.24, 9.44, 70900.0, 9.44, 0.08999999999999986, 0.6300000000000008, 0.41220127230382114, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 9.33, 9.53, 9.28, 9.49, 73400.0, 9.49, 0.33000000000000007, 0.4299999999999997, 0.5068118213126271, 0.0, 0.5, -0.8, 0.009646302250803844
'2016-09-06', 9.0, 9.35, 8.88, 9.34, 97200.0, 9.34, 0.25, 0.03999999999999915, 0.568094377918161, 0.0, 0.8, -0.5, 0.02333333333333333
'2016-09-02', 8.75, 9.1, 8.66, 9.09, 96700.0, 9.09, -0.03999999999999915, -0.2599999999999998, 0.6329630496499952, 1.0, 1.0, -0.1, 0.02552380952380952
'2016-09-01', 8.79, 8.87, 8.55, 8.68, 200100.0, 8.68, -0.11000000000000121, -0.11000000000000121, 0.6969193321723509, 0.0, 0.8, 0.0, 0.01791808873720139
'2016-08-31', 8.9, 9.07, 8.8, 8.85, 180900.0, 8.85, -0.0600000000000005, -0.09999999999999964, 0.7448373424222678, 0.0, 0.5, 0.0, 0.011685393258426957
'2016-08-30', 8.96, 9.11, 8.85, 8.96, 113900.0, 8.96, -0.049999999999998934, -0.33999999999999986, 0.7990230840776059, 0.0, 0.1, 0.0, 0.0085565476190476
'2016-08-29', 9.01, 9.183, 8.8, 9.01, 190700.0, 9.01, 0.10999999999999943, 0.2599999999999998, 0.8418490891418063, 0.0, 0.0, -0.1, 0.006500713492944349
'2016-08-26', 8.9, 9.07, 8.73, 9.04, 230900.0, 9.04, -0.09999999999999964, -0.08000000000000007, 0.8782637543598292, 0.0, 0.1, -0.5, 0.007303370786516847
'2016-08-25', 9.0, 9.12, 8.8, 8.9, 209300.0, 8.9, -0.3000000000000007, 0.09999999999999964, 0.8955011632227696, 0.0, 0.5, -0.8, 0.005185185185185184
'2016-08-24', 9.3, 9.4, 8.96, 9.03, 206100.0, 9.03, 0.5500000000000007, 0.19000000000000128, 0.9102515525330835, -1.0, 0.8, -1.0, 0.0012903225806451528
'2016-08-23', 8.75, 9.3, 8.75, 9.19, 315500.0, 9.19, -0.23000000000000043, -0.3800000000000008, 0.9135778869672556, 1.0, 1.0, -0.8, 0.00696103896103896
'2016-08-22', 8.98, 9.26, 8.74, 8.78, 198700.0, 8.78, 0.08000000000000007, -0.46999999999999886, 0.9221699048078579, 0.0, 0.8, -0.5, 0.004083147735708978
'2016-08-19', 8.9, 9.18, 8.86, 9.02, 290200.0, 9.02, -0.20999999999999908, -0.33000000000000007, 0.9326309857363498, 0.0, 0.5, -0.1, 0.004494382022471906
'2016-08-18', 9.11, 9.145, 8.8, 8.94, 253600.0, 8.94, -0.02000000000000135, -0.5899999999999999, 0.9443363925118117, 0.0, 0.1, 0.0, 0.0024306100047044106
'2016-08-17', 9.13, 9.2, 9.04, 9.14, 249200.0, 9.14, -0.3199999999999985, -0.6399999999999988, 0.9473258268527373, 0.0, 0.0, 0.0, 0.0021175611537057257
'2016-08-16', 9.45, 9.45, 9.14, 9.18, 289000.0, 9.18, 0.21999999999999886, -0.10000000000000142, 0.947568818960748, 0.0, 0.0, 0.0, -0.0001984126984126942
'2016-08-15', 9.23, 9.62, 8.87, 9.62, 399900.0, 9.62, -0.46999999999999886, -0.4900000000000002, 0.9276958313776965, 0.0, 0.0, 0.0, 0.0012108852208272227
'2016-08-12', 9.7, 9.75, 9.468, 9.55, 178000.0, 9.55, -0.07000000000000028, 0.09999999999999964, 0.9128480462571829, 0.0, 0.0, 0.0, -0.0016036655211912909
'2016-08-11', 9.77, 9.86, 9.71, 9.73, 263300.0, 9.73, 0.21999999999999886, 0.5299999999999994, 0.8745757066524698, 0.0, 0.0, 0.0, -0.0018854710984215896
'2016-08-10', 9.55, 9.85, 9.46, 9.8, 124900.0, 9.8, -0.16999999999999993, 0.05000000000000071, 0.8268280084488888, 0.0, 0.0, 0.0, -0.000680628272251313
'2016-08-09', 9.72, 9.85, 9.55, 9.68, 141600.0, 9.68, 0.120000000000001, 0.3800000000000008, 0.7872311534034263, 0.0, 0.0, 0.0, -0.0014697236919459177
'2016-08-08', 9.6, 9.85, 9.18, 9.82, 320200.0, 9.82, 0.35999999999999943, 0.07000000000000028, 0.7311297194524831, 0.0, 0.0, 0.0, -0.0008522727272727259
'2016-08-05', 9.24, 9.8, 9.18, 9.55, 248000.0, 9.55, -0.2599999999999998, -0.16000000000000014, 0.6813904085683103, 0.0, 0.0, -0.1, 0.0008469791078486717
'2016-08-04', 9.5, 9.5, 9.2, 9.24, 155300.0, 9.24, 0.16000000000000014, 1.4000000000000004, 0.6507828618927617, 0.0, 0.0, -0.5, -0.00035087719298245644
'2016-08-03', 9.34, 9.5, 9.25, 9.4, 182400.0, 9.4, -0.1899999999999995, 1.3100000000000005, 0.5993181310641471, 0.0, 0.0, -0.8, 0.0003426124197002144
'2016-08-02', 9.53, 9.78, 9.35, 9.37, 275500.0, 9.37, 0.129999999999999, 2.0599999999999996, 0.5571279525885912, -1.0, 0.0, -1.0, 0.0
'2016-08-01', 9.4, 9.949, 8.371, 9.49, 1027600.0, 9.49, 1.3000000000000007, 1.7800000000000002, 0.49517325811836366, 0.0, 0.0, -0.8, 0.013829787234042447
'2016-07-29', 8.1, 8.247, 7.85, 7.89, 106400.0, 7.89, 0.07000000000000028, 0.6299999999999999, 0.4362776893473035, 0.0, 0.0, -0.5, 0.08827160493827159
