Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-13', 95.129997, 95.300003, 92.360001, 93.580002, 2039300.0, 93.580002, 3.1699980000000068, 2.9199980000000068, 2.6331857014321987, -1.0, 0.5, -1.0, 0.0
'2016-09-12', 91.959999, 96.230003, 91.279999, 95.230003, 5304600.0, 95.230003, 1.5599969999999956, 1.0299989999999895, 2.4898862095740397, 0.0, 0.8, -0.8, 0.034471487978158924
'2016-09-09', 90.400002, 90.669998, 88.699997, 88.709999, 1269600.0, 88.709999, -0.12999700000000303, -0.8099969999999956, 2.4760313805775573, 1.0, 1.0, -0.5, 0.026161476191117798
'2016-09-08', 90.529999, 91.160004, 89.910004, 90.699997, 1306700.0, 90.699997, -1.6799999999999926, -0.4100030000000032, 2.4794119985916643, 0.0, 0.8, -0.8, 0.016937288010647897
'2016-09-07', 92.209999, 93.089996, 90.110001, 90.389999, 1948000.0, 90.389999, 1.2799989999999895, 1.4799959999999999, 2.4913031538811286, -1.0, 0.5, -1.0, 0.0
'2016-09-06', 90.93, 94.739998, 90.93, 92.07, 3023400.0, 92.07, -0.27999899999998945, 1.889999000000003, 2.4997328037266096, 0.0, 0.1, -0.8, 0.014076751347190029
'2016-09-02', 91.209999, 91.529999, 90.07, 90.75, 1650800.0, 90.75, 0.2699969999999894, 2.870002999999997, 2.5344027990401337, 0.0, 0.0, -0.5, 0.005481855119853691
'2016-09-01', 90.940002, 92.059998, 90.279999, 91.25, 1711800.0, 91.25, 0.20999900000001048, 2.6600030000000032, 2.566075665422147, 0.0, 0.0, -0.1, 0.004655072839489598
'2016-08-31', 90.730003, 91.080002, 90.080002, 90.989998, 1304000.0, 90.989998, 1.6900019999999927, 3.130004999999997, 2.7049903391087575, 0.0, 0.0, 0.0, 0.004078022569887934
'2016-08-30', 89.040001, 91.169998, 88.870003, 91.019997, 1641500.0, 91.019997, 0.7000050000000044, -2.360000999999997, 2.775387045905971, 0.0, 0.1, 0.0, 0.007120390755611048
'2016-08-29', 88.339996, 89.099998, 87.860001, 89.040001, 1328900.0, 89.040001, 0.05999699999999564, -3.8200080000000014, 2.7786871104903317, 0.0, 0.5, 0.0, 0.007301341738797446
'2016-08-26', 88.279999, 89.019997, 87.220001, 88.610001, 3146800.0, 88.610001, 0.6800010000000043, -3.5800019999999932, 2.851648581891621, 0.0, 0.8, -0.1, 0.006359634999866395
'2016-08-25', 87.599998, 89.93, 87.599998, 88.480003, 3213000.0, 88.480003, -3.8000040000000013, -2.870002999999997, 2.8676524208650696, 1.0, 1.0, -0.5, 0.006578197924159765
